cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-13,0.2873734365693865,0.20924764890282133,0.33148295003965106,0.3263291139240506,0.3012658227848101,0.2688321732405259,0.22313747025443895,0.36512820512820515,0.28708133971291866,0.27631578947368424,0.29158316633266534,0.3413566739606127,0.23402255639097744,0.20395185101067453,0.2644444444444444,0.33256880733944955,0.3338018271257906,0.2757619738751814,0.21358024691358024,0.3405275779376499,0.35741354808147796,0.4476987447698745,0.39846743295019155,0.2942097026604069,0.3953488372093023,0.3303600925008259,0.2718562874251497,0.3356216628527841,0.26653821451509313,0.42105263157894735,0.2700490998363339,0.2836946277097078,0.4939195509822264,0.34003421727972627,0.23702031602708803,0.35691823899371067,0.26285240464344944,0.39537126325940214,0.3940754039497307,0.3237410071942446
-12,0.29671772428884025,0.20445988995076744,0.30544412607449856,0.33446346838447194,0.2838931110566315,0.2578642819568648,0.23531933133304758,0.3821571238348868,0.3234750462107209,0.29990262901655307,0.30020491803278687,0.366412213740458,0.2446043165467626,0.21651114977067848,0.2813067150635209,0.30427892234548337,0.3508274231678487,0.3368298368298368,0.23089983022071306,0.36622073578595316,0.3772034913571795,0.42118863049095606,0.4227053140096618,0.2725118483412322,0.40077821011673154,0.34030075187969927,0.36338289962825276,0.3207207207207207,0.25330188679245286,0.41674304919034527,0.2572614107883817,0.2916666666666667,0.49240506329113926,0.3421686746987952,0.2357193647783835,0.37270642201834864,0.28592483419307296,0.404491833030853,0.3755896226415094,0.28488372093023256
-11,0.28723849372384935,0.19721006564551422,0.2914224826851359,0.33384431953670585,0.28211342704798836,0.2637803590285111,0.23609377167429602,0.3800557880055788,0.3117117117117117,0.3040358744394619,0.31519022493751736,0.3437738731856379,0.2725118483412322,0.2213355048859935,0.23978685612788633,0.29249617151607965,0.3122308354866494,0.32207207207207206,0.26773888363292336,0.29545454545454547,0.3783170391061452,0.4260204081632653,0.38271604938271603,0.272234273318872,0.39939485627836613,0.33354390397978523,0.3418054338299737,0.33498647430117223,0.2581818181818182,0.4047544573037222,0.2894088669950739,0.28608082103912763,0.4868270332187858,0.3156792339916218,0.2421160877513711,0.38510301109350237,0.27072997873848337,0.3891059027777778,0.38956521739130434,0.26842105263157895
-10,0.3061268672872916,0.19122003770535956,0.30847096430474163,0.31651519899717956,0.266304347826087,0.2619821709491348,0.226752303825747,0.3830703012912482,0.29942418426103645,0.27365728900255754,0.3289930555555556,0.3744955609362389,0.2503242542153048,0.22603299036420055,0.2647058823529412,0.32051282051282054,0.3351788756388416,0.3031973539140022,0.24461538461538462,0.3278955954323002,0.36330811554332876,0.44,0.4080808080808081,0.2895981087470449,0.39633671083398286,0.3288681809357406,0.31267092069279856,0.3197621225983532,0.2588757396449704,0.4200065167807103,0.2837150127226463,0.28814627994955866,0.4930555555555556,0.33146729522687096,0.23741979061127996,0.37242192103712435,0.2688696958317687,0.40493720225205715,0.3653198653198653,0.29064039408866993
-9,0.2900495458298927,0.20909580193756727,0.2983789260385005,0.3340342931090262,0.25109382596013613,0.26553902588139394,0.22774382141908053,0.380524861878453,0.3126142595978062,0.2952720785013381,0.329852045256745,0.36377590176515734,0.2642762284196547,0.22667771333885667,0.24107142857142858,0.33827493261455527,0.36413502109704643,0.2985571587125416,0.22478829869130101,0.34731543624161076,0.3651797603195739,0.4344262295081967,0.3868131868131868,0.3191489361702128,0.3990719257540603,0.32375822860562536,0.36231884057971014,0.3376383763837638,0.27064464571124136,0.4268209666439755,0.2880299251870324,0.2895662368112544,0.5555555555555556,0.3383259911894273,0.24196296717028284,0.38563829787234044,0.25952100510404397,0.40266189908621375,0.3856353591160221,0.2694063926940639
-8,0.2723644047898568,0.1963670529282806,0.3230320699708455,0.3128501716970902,0.2515759312320917,0.26212897842412686,0.22773946360153258,0.38727415553809896,0.31490384615384615,0.27373271889400924,0.3369392300349984,0.3298045602605863,0.25193199381761977,0.2270901090491678,0.26545454545454544,0.3,0.3358669833729216,0.2814814814814815,0.2351931330472103,0.29981718464351004,0.3783732057416268,0.46321525885558584,0.3835616438356164,0.30677764565992865,0.40664845173041897,0.3119266055045872,0.3256544502617801,0.31265632816408206,0.2697409981048642,0.4590032154340836,0.28286852589641437,0.3137254901960784,0.5335775335775336,0.31553565277299345,0.22684385382059802,0.35918367346938773,0.21832632071061245,0.39622641509433965,0.3837837837837838,0.30319148936170215
-7,0.2720664589823468,0.19165535956580732,0.308259587020649,0.31497120921305183,0.23633207983800983,0.2674775770979236,0.2365482233502538,0.40731901352426414,0.23974082073434125,0.3310104529616725,0.2830578512396694,0.31191885038038886,0.2365732858690605,0.21160116698129397,0.24077328646748683,0.2899022801302932,0.34098065677013045,0.31313131313131315,0.23237850016092693,0.30198019801980197,0.3646306231943871,0.4311050477489768,0.3643835616438356,0.29393939393939394,0.42333654773384766,0.3422587486744433,0.31282586027111575,0.3201720093823299,0.27519582245430807,0.4437060203283815,0.24140453547915142,0.27173169062286107,0.5456821026282853,0.3325436778205508,0.22918141071007314,0.3634064080944351,0.2446317479430062,0.39704524469067404,0.3797216699801193,0.3372093023255814
-6,0.27474747474747474,0.20380010411244143,0.3090507726269316,0.3244132799084144,0.2703454671922096,0.26312549467944774,0.22556792873051226,0.3943298969072165,0.26455026455026454,0.2943962115232833,0.31125917867827035,0.33444592790387184,0.304936599778407,0.22544229149115416,0.27212020033388984,0.2944015444015444,0.32532894736842105,0.3082935301780287,0.21809986130374479,0.2784163473818646,0.3695168467895741,0.49157303370786515,0.37727272727272726,0.30921704658077304,0.4055918663761801,0.3318027550409263,0.3557910673732021,0.3411371237458194,0.2498825739783936,0.45096030729833547,0.27565392354124746,0.2723735408560311,0.46706290242694404,0.3224287484510533,0.23521972810622827,0.35710620831195483,0.3100448933782267,0.39832781195772204,0.40353505092869985,0.27184466019417475
-5,0.2693467336683417,0.1882202304737516,0.3085043988269795,0.32013662474771,0.262651705976643,0.2730155482815057,0.2294402909678723,0.3783068783068783,0.22321428571428573,0.2962962962962963,0.3032292643708964,0.2770909090909091,0.2992979430964404,0.22601928607680596,0.25115562403698,0.31027253668763105,0.3373164902697166,0.32400524704853517,0.23500866551126517,0.30566037735849055,0.3554681095261518,0.4670116429495472,0.39029535864978904,0.27079107505070993,0.4173721015826279,0.33420171194640863,0.34913112164297,0.3261758691206544,0.2745920745920746,0.4385447394296952,0.30708661417322836,0.27444444444444444,0.5335903083700441,0.32267365661861075,0.23605748605748605,0.3592278719397363,0.28694610778443114,0.40696033861106756,0.39153016380343586,0.265625
-4,0.2567622123536536,0.23659702995217718,0.3031312458361093,0.31512532411408817,0.2800097991180794,0.26825177584846094,0.20571654633567402,0.4130695443645084,0.19525547445255476,0.2899050905953408,0.30041782729805017,0.2800982800982801,0.3027348695872373,0.2351684470008217,0.2237871674491393,0.32261521972132906,0.344683808200139,0.33160865475070556,0.20241593209271955,0.2644736842105263,0.38605042016806723,0.46674311926605505,0.4151376146788991,0.29957805907172996,0.4197707736389685,0.3249243188698285,0.36683848797250856,0.3282051282051282,0.26147227533460804,0.45149253731343286,0.2978554408260524,0.292817679558011,0.5285792052259118,0.3110312413602433,0.23336168403146929,0.3481368044920878,0.2871993477374643,0.39904871248154833,0.39244532803180915,0.20599250936329588
