cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.34411247803163447,0.24775784753363228,0.41162608012568735,0.3912146226415094,0.35500598324690863,0.3262801523487093,0.30824607329842935,0.42629904559915166,0.3133971291866029,0.35324015247776364,0.3648054145516074,0.3888280394304491,0.3090047393364929,0.265521472392638,0.32666666666666666,0.3853211009174312,0.39231824417009603,0.3305227655986509,0.2685643564356436,0.36476426799007444,0.4073418841220699,0.5062761506276151,0.4067796610169492,0.35837245696400627,0.4736196319018405,0.3952451708766716,0.35449101796407184,0.3827893175074184,0.3273712737127371,0.4810810810810811,0.3264840182648402,0.35040983606557374,0.5603367633302152,0.3988040478380865,0.3150698122291767,0.29411764705882354,0.3014705882352941,0.4577603143418468,0.4874429223744292,,0.3815789473684211
-12,0.3395204949729312,0.2364942528735632,0.37684583579444775,0.3928221219847029,0.3348736069584126,0.32922896511287014,0.3025546835865754,0.4309993201903467,0.36044362292051757,0.37445414847161573,0.36603483606557374,0.40534351145038167,0.2949640287769784,0.2719594594594595,0.3176043557168784,0.3629160063391442,0.3934045517882025,0.36451169188445665,0.2954739538855679,0.3793103448275862,0.4260524225575854,0.4754521963824289,0.4852459016393443,0.33570581257413995,0.45495680789798437,0.4067547723935389,0.4423791821561338,0.3713527851458886,0.32134387351778654,0.46945954589063,0.3333333333333333,0.3530239099859353,0.5430379746835443,0.3941062176165803,0.3087440135949328,0.286783042394015,0.3166920731707317,0.4455239417071478,0.45072463768115945,,0.2916666666666667
-11,0.34961315280464217,0.23344947735191637,0.37245179063360884,0.4042765787370104,0.32648158035237584,0.32484813422042236,0.2958860759493671,0.4348137535816619,0.3333333333333333,0.3648373983739837,0.38544848653151903,0.37203972498090143,0.31635071090047395,0.2777094677674337,0.2841918294849023,0.36447166921898927,0.3670778392173543,0.36993464052287583,0.30857142857142855,0.32280701754385965,0.4179556689523202,0.48214285714285715,0.4198250728862974,0.33080260303687636,0.45806962025316456,0.39125323301199155,0.4127957931638913,0.388172521120498,0.3115264797507788,0.45442536327608984,0.3327338129496403,0.3577793008910212,0.5463917525773195,0.36425559519948103,0.3149171270718232,0.304635761589404,0.3119673953316043,0.4503642987249545,0.46494464944649444,,0.4056603773584906
-10,0.3537996980372421,0.2179930795847751,0.3855885588558856,0.3889695210449927,0.30259983918520506,0.32118284292197335,0.30558308556326397,0.4342105263157895,0.3397312859884837,0.3456913827655311,0.40480324074074076,0.40839386602098465,0.29961089494163423,0.2855383532723434,0.3014705882352941,0.37037037037037035,0.3883045856121161,0.35094339622641507,0.3046153846153846,0.32332155477031804,0.4030230708035004,0.4826666666666667,0.43977591036414565,0.3621301775147929,0.4637860082304527,0.3833297621598457,0.38012762078395623,0.368705035971223,0.31350925561244586,0.47198349948435886,0.33459357277882795,0.35570934256055364,0.5569444444444445,0.3763000315159155,0.30751344281354454,0.29901960784313725,0.30570975416336243,0.4689507494646681,0.4398311048557354,,0.3416666666666667
-9,0.34498020032611226,0.24014810896588204,0.38373305526590196,0.39103641456582633,0.28694714131607335,0.32502478402492563,0.30862041593903794,0.42968197879858655,0.3436928702010969,0.38662486938349006,0.4026689875253844,0.38910207214121256,0.32270916334661354,0.2831669044222539,0.30178571428571427,0.4029649595687331,0.4150394682176984,0.3460526315789474,0.2777777777777778,0.3738819320214669,0.39818517379267915,0.473972602739726,0.4423676012461059,0.37751479289940826,0.458570268074736,0.3829598402485023,0.4257246376811594,0.38060715903942005,0.31993156544054746,0.4972756992371958,0.33638025594149906,0.34511568123393316,0.5976267529665588,0.38417901040025215,0.31331287447026157,0.3177570093457944,0.2858329871208974,0.46234264988265417,0.45390070921985815,,0.34375
-8,0.3272049027444711,0.2316844082654978,0.39688249400479614,0.3836649214659686,0.29156171284634763,0.3144870534251065,0.3084931506849315,0.4454183266932271,0.3485576923076923,0.3778437190900099,0.40120903595291124,0.3561532192339038,0.29520865533230295,0.28401150842581174,0.30363636363636365,0.371875,0.3840110905730129,0.32952924393723254,0.2897678417884781,0.3163064833005894,0.41826838300123437,0.5286103542234333,0.4157303370786517,0.34720570749108204,0.4726126999515269,0.3666418095948297,0.38534031413612563,0.35872235872235875,0.3197211155378486,0.5107020547945206,0.2957486136783734,0.375,0.5982905982905983,0.35886946820379323,0.29871265098537825,0.25365853658536586,0.24056834884860362,0.44836209052263065,0.4627659574468085,,0.39805825242718446
-7,0.3231871083258729,0.23276691247194614,0.3907335907335907,0.3848912799820668,0.271251193887297,0.36693548387096775,0.29725766241384366,0.44871794871794873,0.27645788336933047,0.3772845953002611,0.35757023933402704,0.3338968723584108,0.28988853503184714,0.28765880217785844,0.30052724077328646,0.36373507057546145,0.38267786124613345,0.33627978478093773,0.28737113402061853,0.31896551724137934,0.3877453326950694,0.5075034106412005,0.4051094890510949,0.1469455145844799,0.4875904860392968,0.40672874737158304,0.37851929092805003,0.3734307235790915,0.3224956063268893,0.503305785123967,0.29012875536480687,0.3225331369661267,0.6032540675844806,0.39551767676767674,0.29686916237017114,0.2514450867052023,0.3066,0.4456654456654457,0.46275197195442597,0.20310478654592498,0.42528735632183906
-6,0.3226867073743542,0.22432701894317048,0.37762634866553096,0.3830121341898644,0.29842661851947383,0.3324258099646066,0.2955292862856635,0.4523129640205597,0.2892416225749559,0.3134057971014493,0.3767765776009096,0.3514259429622815,0.35085497150094996,0.283875580979621,0.3088480801335559,0.361003861003861,0.37511751801942966,0.3444741532976827,0.2673611111111111,0.29554655870445345,0.4088502782679517,0.5421348314606742,0.44171779141104295,0.19250253292806485,0.466412213740458,0.3813046402151984,0.41483724451173354,0.383725008768853,0.28586800573888094,0.5085020242914979,0.31927023945267957,0.3230204509701101,0.5180782565626548,0.3657309322033898,0.2993643633381177,0.24511930585683298,0.35545681755068037,0.4554197229013855,0.48484848484848486,0.2750185322461082,0.296
-5,0.3199907982516678,0.21853658536585366,0.37537718768859385,0.38553607552258934,0.29255861365953106,0.35427555927242316,0.2949337169869489,0.44323394495412843,0.24464285714285713,0.3758831841733396,0.3654168998321209,0.30646083476272157,0.34244841119129005,0.2814306358381503,0.29892141756548535,0.37735849056603776,0.38095238095238093,0.3761950286806883,0.28005559416261294,0.3179419525065963,0.39961443128614704,0.5135834411384217,0.3855072463768116,0.18316831683168316,0.4697261858850752,0.38513791683820503,0.40442338072669826,0.3819996303825541,0.30552506403219903,0.49550475211918826,0.340958605664488,0.31196581196581197,0.572136563876652,0.37374860956618466,0.2965966590420739,0.2407079646017699,0.34428166351606804,0.46123292024149987,0.4735322425409047,0.3042430086788814,0.28776978417266186
-4,0.31319808525188053,0.24666972898484152,0.3575492341356674,0.39260663507109006,0.3141403320835565,0.3525482942868886,0.28023379383634434,0.4566353187042842,0.21532846715328466,0.396541443053071,0.3699127906976744,0.3048628428927681,0.3484156995696962,0.2886399439873972,0.297339593114241,0.3837084673097535,0.39157413455258,0.3655262018189693,0.27087130878600074,0.27184466019417475,0.42429044806223887,0.5298165137614679,0.42483660130718953,0.19468546637744036,0.47620831772199324,0.37660004491354143,0.41924398625429554,0.3673048048048048,0.28904161893852615,0.5001302422505861,0.34623893805309736,0.32621156852527355,0.5737615677735438,0.35175879396984927,0.29396379654484134,0.24476987447698745,0.3340004002401441,0.44933354745463305,0.4606635071090047,0.3248730964467005,0.22580645161290322
