cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,3.9389288101604283,3.256789407836305,6.892857142857143,7.080026169950739,12.655194805194805,7.853948064080729,4.216198295090989,3.2529017857142857,0.8214285714285714,2.388627010849233,4.006528573421456,1.5496570769024174,1.546291184616056,4.355043638320468,1.6031300160513644,2.8369949563650763,1.7360531550151135,0.9980512151310709,2.1466705348524386,2.790281001289405,4.494447237248293,1.8267790262172285,1.1796875,4.228466386554621,12.99712056522047,32.82142857142857,1.6195300037823348,1.6605896871230574,4.696834341213121,4.197989443124316,4.797991071428571,3.002209318031737,6.850420168067227,6.989352961562562,6.879534085447666,4.928571428571429,5.6720137046126515,4.283570499337332,4.340999941643324,7.699499165275459,1.0924369747899159
-12,5.9367230363219665,4.562593330014932,10.857142857142858,11.063244514106584,19.680519480519482,11.815554279600645,6.096091776814445,5.242857142857143,1.3035714285714286,2.886510608732831,5.432226322559287,2.355857940204655,1.543892930253179,6.532219175201887,2.447632423756019,3.921044517597555,2.6983081990781934,1.2665263806354286,3.3558444933391374,3.807142857142857,6.951329183575212,3.1966292134831464,2.5,7.182773109243698,20.270214686998397,74.94047619047619,2.437657254682695,2.6504760104661913,6.962797619047619,6.317940031930827,6.3814935064935066,4.693998092303176,11.057142857142857,9.726327553957788,9.38908888259165,6.517857142857143,7.079448703367178,6.666923272264684,6.571428571428571,7.699499165275459,1.5892857142857142
-11,6.30522952982846,4.723307615729219,12.357142857142858,11.070225033587102,20.357142857142858,11.996246556511409,6.288088968811636,5.002551020408164,1.3392857142857142,3.3190502912725135,5.185212883037136,2.309593906135743,1.5453810254912743,6.68618276063606,2.8047752808988764,4.254377850930888,2.9218413623434993,1.2639753602272652,3.1943861600058043,4.121428571428571,7.2111218103033226,2.9228196896736223,2.375,6.629201680672269,21.14967897271268,52.357142857142854,2.7284735812133074,2.8758454685942705,6.962797619047619,6.135424254535531,6.7564935064935066,4.792482940788026,11.678571428571429,10.200353527983763,9.721701024362472,7.428571428571429,6.934359417652892,6.623777013761283,6.497023809523809,7.699499165275459,1.8571428571428572
-10,5.941593166192097,4.627006595321055,11.25,11.232725033587101,19.17142857142857,12.018355400048824,6.027471208193876,4.845208911967154,1.4642857142857142,3.0968280690502916,5.026774812687044,2.230560666823758,1.5327322159674648,6.107611332064632,2.019060995184591,4.569854041407079,2.980961260302683,1.3073427071660408,3.550784969529613,4.0,6.737619506155857,2.702581594435527,2.232142857142857,6.8524159663865545,21.060393258426966,55.285714285714285,2.5550041934582053,2.8013380794317086,6.814266091051805,5.936019492630769,5.935064935064935,4.538153936459021,10.440700808625337,10.391911969542203,9.80926356903724,7.857142857142857,6.351770131938607,6.4334878981150245,7.232142857142857,7.699499165275459,2.3392857142857144
-9,6.469190568789499,4.904082198289515,12.071428571428571,11.23361789072996,19.692857142857143,12.588083291205287,6.426119856842525,5.011284868977177,1.2142857142857142,3.144447116669339,4.811851343299289,2.222057265463214,1.528267930253179,6.290944665397966,2.1619181380417336,4.474615946168983,3.0992214565715535,1.24951957791434,3.51432663619628,3.9857142857142858,7.091306142100557,2.8990101658640985,2.607142857142857,6.6024159663865545,21.283607544141255,55.74404761904762,2.5014327648867765,2.8130375868208715,6.841575091575092,5.624997145095264,6.7564935064935066,5.012179910484995,6.592318059299191,10.690613268243503,9.891082896372986,7.267857142857143,6.465901905337622,7.072093340291896,6.684523809523809,7.699499165275459,2.125
-8,6.133897129162624,4.482134150942871,10.433673469387756,11.019364064199348,17.949970565149137,11.55113904922278,5.86104489962471,4.863325685303707,0.8199936224489796,3.2627125318097536,4.776376215748269,2.2679148942290057,1.4486016887565805,5.567481075416519,2.3377423138659092,4.244542250023859,2.922124108225735,1.2462093252418425,3.237323022250702,3.9266581632653064,6.514893427510999,2.631897070626003,2.0878507653061225,6.829836982870071,18.89324009908631,51.74771062271062,2.4100690902960613,2.6543651324279733,6.323865318812923,5.277165616041147,6.172309833024118,4.254700782470153,6.516425202156334,10.016635460337124,9.388313140117763,7.079584478021978,5.594467705807084,6.553849573004761,6.870376275510203,7.699499165275459,2.057079081632653
-7,4.2910124585380105,3.570827108526602,8.78061224489796,9.412319769208624,12.900029434850863,9.352586290642217,5.146864213904073,4.15554507305881,0.9121492346938777,2.5199104430255224,5.595067244315538,1.7430236888121304,3.4369134738583966,3.965611186046629,1.4662303988146683,4.2308900797591305,2.073116377011371,2.175597367603792,4.323508051379831,3.2519132653061225,5.172519144226707,4.589151952915998,1.6442920918367345,6.298689427694155,14.325365689436968,37.782051282051285,1.700378299276206,2.889321733649782,4.7587256973795435,4.079430315041188,5.655612244897959,3.7872814861691984,5.396782345013477,7.775183484252506,8.304507284539964,4.688272664835165,5.766255832924441,4.550981571622468,5.112563775510204,26.98891008824231,1.3893494897959184
-6,6.490259740259741,5.062950937950938,11.392857142857142,13.441256157635468,20.542857142857144,12.770399457223313,8.418639111582314,5.475570583262892,1.3928571428571428,3.9215434770990325,8.790816326530612,2.6782077292490354,6.107886904761905,6.9538593625436915,2.9107142857142856,5.8273809523809526,3.0147797439255832,3.5015873015873016,6.584821428571429,5.235714285714286,8.079906652487297,8.380952380952381,2.392857142857143,13.973214285714286,22.169642857142858,52.732142857142854,3.0255102040816326,6.33455185787843,7.229166666666667,6.74110436454814,6.964285714285714,5.3441558441558445,11.368059299191374,11.746753246753247,10.037770044291584,8.178571428571429,8.639677048224009,8.890146656883658,7.291666666666667,99.10714285714286,2.1785714285714284
-5,6.5811688311688314,5.285714285714286,12.607142857142858,12.778410553410554,21.09285714285714,12.964427437641723,9.448976056118912,5.2791420118343195,1.8392857142857142,6.531746031746032,8.784438775510203,2.9025974025974026,5.8273809523809526,6.907383357383358,2.857142857142857,5.559523809523809,2.9991541353383457,3.3273242630385487,6.422166149068323,5.4,8.052749436164584,8.035714285714286,2.5892857142857144,13.776785714285714,22.285714285714285,56.70238095238095,2.9770408163265305,6.4711617405582915,7.258928571428571,7.791666666666667,6.946428571428571,6.029220779220779,12.17142857142857,11.89512987012987,9.939516421944665,9.75,8.53221111777288,9.444939822082679,6.8273809523809526,88.72462406015038,2.4107142857142856
-4,6.860930735930736,5.69031675170068,11.821428571428571,11.486036036036037,19.692857142857143,13.243197278911564,9.261448654305797,5.653867286559595,1.4821428571428572,6.809523809523809,8.91454081632653,2.925189393939394,5.723486073674753,7.055026455026455,2.642857142857143,5.863095238095238,2.9113025210084036,3.605215419501134,6.15819099378882,5.385714285714286,7.742031811106145,8.001488095238095,2.3214285714285716,14.232142857142858,21.633928571428573,56.916666666666664,2.479591836734694,6.5564039408867,7.303571428571429,7.654761904761905,7.589285714285714,6.162337662337662,12.7,10.96103896103896,10.085721154533292,8.535714285714286,9.612486872525611,9.46693092621664,7.136904761904762,74.08082706766916,2.2857142857142856
