cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.09898057044437175,0.08977459809162353,0.08455817560184695,0.09124466112975803,0.07339602507669735,0.11006664271013687,0.0899223146048543,0.0499685901091907,0.0977891156462585,0.0562193932947772,0.08967190441541642,0.06781767731015852,0.1352137918789049,0.14136091039286527,0.11611008039579468,0.08420314690761802,0.042573831441884626,0.08127985236647851,0.09885076785205099,0.06633611190955255,0.06828579384970362,0.04125877993473812,0.08992673992673993,0.1204232275660847,0.08648291718922205,0.061590674762286635,0.12030234315948601,0.0654820956160242,0.07071273247882873,0.054988662131519275,0.15232208267922553,0.08543474861208851,0.043363592677689175,0.11465241008242089,0.06806338820515484,0.11216817554089306,0.12979024943310657,0.04884057085852725,0.07566184368484236,,0.07014723697698258
-12,0.06853477093224852,0.05693607664769525,0.05785658525705364,0.05680647560852557,0.04823932562561647,0.07709606814086016,0.06503315733505513,0.031069442289700953,0.06478672550101121,0.048070345456618396,0.0631406919834884,0.04884502667368746,0.08524319937076923,0.07983931827764663,0.09813797313797314,0.0636481645798416,0.02592060146286025,0.05343164663125524,0.0561855458317926,0.04216503451197329,0.05447615344828185,0.024497354497354497,0.06213262003830658,0.07022459777561818,0.05016140262041901,0.030055332977357473,0.0818914134384079,0.051452008024381775,0.056870469245127404,0.036639664190684595,0.11643490203652439,0.05156792061553966,0.03287206885488304,0.0918283459388359,0.054232154818449126,0.10068463282748998,0.08029707914911997,0.03142375566816838,0.04578547837045266,,0.055030433225921944
-11,0.06910707154979392,0.05949635668220777,0.040150842945874,0.05178613043912508,0.050748426711508574,0.08057159018024433,0.06264149473307633,0.031384034552237317,0.04982274599980837,0.042568138366457696,0.06499614380635975,0.04639328430280068,0.08195434800426193,0.09261019114669539,0.06433637284701114,0.058561862244897955,0.02811756558700707,0.0549367833655925,0.06528896718726288,0.04836309523809523,0.049847444564898334,0.034233520994604735,0.06839332955404383,0.06552261709281414,0.05138726497543462,0.03957352171637886,0.08291304008569017,0.04692925557319702,0.058372820392524824,0.03882034944793831,0.15624419166573733,0.04441154084011227,0.03332715305460276,0.08801498127340823,0.05477982028555066,0.08497174613552515,0.0876726038327856,0.030904257932111063,0.05091738322815564,,0.048202137998056366
-10,0.06635320611458673,0.058875395888382906,0.04743947268348333,0.052945933854148745,0.05171927333624581,0.07833648120213264,0.06365423928484806,0.034656795048846605,0.027332361516034985,0.04787215147155467,0.06251735129559718,0.04792404565131838,0.08105884630274873,0.09277941784680328,0.1225765306122449,0.05491055681531872,0.02329976688308978,0.058715781657767446,0.0564887493458922,0.048913315326130455,0.05016397759649563,0.05268000920174833,0.05543978154642138,0.04486442464309667,0.05383493045391364,0.039241469556020286,0.0940446994248343,0.04401706840347495,0.05026075579718724,0.036991938604095345,0.15416449866065404,0.050359100037441706,0.037948512738428704,0.09065802905897158,0.05257159635039819,0.08097547112839915,0.08820095008094266,0.03125882339654179,0.051767831596157776,,0.03340310483167626
-9,0.06885242223538492,0.06276867154979868,0.07248164166328783,0.055307403742801624,0.05056199842830948,0.08130001736384027,0.06202854125521176,0.03232668067226891,0.042595499738356885,0.04826055252494485,0.0647280260075973,0.0489996483245964,0.07108504852865755,0.1101555684199369,0.10975376065919326,0.060743073900968635,0.024423761634080828,0.06429600309874839,0.061409316362392476,0.04741840556447298,0.055813181734468004,0.027814625850340134,0.058840859178316995,0.0504345278781369,0.04548375761722904,0.04130336651540709,0.08583787212634249,0.04812759717302179,0.06012657203699748,0.037989696646707836,0.1210002519526329,0.05629684849811238,0.03898982527659646,0.09118267034479019,0.05390095992207506,0.09458796176698528,0.08925581484351827,0.026064387538454872,0.06033657827423125,,0.0452037958040359
-8,0.08361509581113116,0.068634550348182,0.09722976643128735,0.06144220211275605,0.06076229964281227,0.09307269617188743,0.07479431959908044,0.030020492467721118,0.08349791529515031,0.05201604451304331,0.07361896957635827,0.04993971405279131,0.10024547246921801,0.11718535183102112,0.09211553473848555,0.0775087400451832,0.025752712345648174,0.06880510051554253,0.07046524903667761,0.056435407092619135,0.06354913587056445,0.028050460690605353,0.07125850340136054,0.07797601799340426,0.05971678651553521,0.04743245750644726,0.10116197316915593,0.05703182474591973,0.06289606033328407,0.04079467330698858,0.16293825222396652,0.05513972542216504,0.04783404447678585,0.09790548634213143,0.061635087123149676,0.09960819770946353,0.11698004340027346,0.03188667872212176,0.058510676998071956,,0.04203109815354713
-7,0.0932261969263053,0.07797572431100785,0.08575680272108843,0.07311158229525576,0.06800243954940087,0.10491349662191651,0.10129032484094284,0.03623428284533603,0.07279469164715066,0.051239178673000596,0.13090636879101278,0.06405167036823298,0.1636583552447704,0.17925923983470676,0.1406954348004262,0.08087741068197095,0.03615310913097634,0.08668261009210149,0.10485352205398288,0.06953892668178382,0.1023996573209779,0.05435452599491197,0.08788928415402858,0.26853711072980174,0.0697401738473167,0.05832122575674908,0.14106399060806354,0.0719514304438827,0.08937693851486955,0.05572208049886621,0.16468924848045727,0.08195074789857033,0.04952352841963232,0.1333679489494913,0.08686806544920779,0.12395304942786363,0.13365708587099762,0.06308170156629946,0.06961123141646798,0.21141180995432143,0.06562280084447572
-6,0.07382276594191457,0.05358335121730214,0.0598730563654033,0.08153649876406549,0.054461305480275946,0.1103435055619901,0.09726173358806425,0.03100827822812425,0.039422713529856386,0.1274008913910392,0.06935758953951109,0.0933210515263168,0.07714262399552357,0.11767561522943126,0.08572581575002883,0.06000807658970924,0.027610121094986954,0.05010561681885468,0.050729082459947145,0.04411124994215373,0.053307707720685736,0.030348387591990253,0.04043513957307061,0.07488229043042531,0.048166241148953445,0.04669608260250973,0.09249171682039566,0.04629782266523555,0.056295185291292404,0.03975611422956367,0.12206728077764771,0.07509747475287966,0.050507476658537186,0.09116404724884379,0.062442193097247314,0.07563415821860198,0.08200143420301377,0.03651411213361235,0.052526490048074026,0.08791423081417944,0.06389115646258503
-5,0.06551115306621914,0.05778591249629923,0.05442176870748299,0.06099309766615615,0.05158293210045412,0.08616765002405367,0.06160988816056224,0.03050051279156199,0.047794375482151624,0.05819885043767905,0.06381357803333981,0.052989200334002125,0.079508960944784,0.09837372448979592,0.09372227151730259,0.062461672299947237,0.024552478333990938,0.0511833423167299,0.05729490117138145,0.03487074829931973,0.051831140025151254,0.023365275597418453,0.05755102040816327,0.0711143505021056,0.04398564750359379,0.04447779523501455,0.07820307162166176,0.04187704187704188,0.05345657558325344,0.03625553185392722,0.11438663377438887,0.05071606634106634,0.03856036270564399,0.08839741253644315,0.06142750760083258,0.0756366263319487,0.0980940794809408,0.03217826005357356,0.05088610421986008,0.10439933741410325,0.036240395438751044
-4,0.06999034683151809,0.061628014486144606,0.056920370888081266,0.0691596321942404,0.05271982773835999,0.08287257634331266,0.0642231813022765,0.0356231778425656,0.08118510562119584,0.042990498149495175,0.06693981371618414,0.05081052777345035,0.07880456302861236,0.10930136992420081,0.0880513495720869,0.055561023980867805,0.02856652949245542,0.05466271790697022,0.05050456201437921,0.03945578231292517,0.0538423878905817,0.03453531788655312,0.05245383867832847,0.06426814658657488,0.04714231073955687,0.043589050261919275,0.083240480100086,0.04081534215075187,0.05321181335970512,0.034877392393569594,0.09009437108176603,0.05334322368864169,0.03490049314854882,0.09247045017531953,0.0667654543397599,0.07758019525801953,0.1006041844725633,0.03616549907191186,0.04804961781494986,0.11126866144088769,0.23839148562650864
-3,0.06590113546742149,0.06332207301525261,0.0557799091367996,0.06532055175816477,0.04973291677676402,0.060556494012426916,0.06469184248596468,0.030530135334557104,0.03355806608357629,0.03589330469029717,0.06496515944168277,0.05866519069380186,0.08096090660475731,0.09536126950780313,0.08924389427902309,0.05826404635928445,0.030007412660473885,0.048333727048947416,0.055075036771465344,0.04225660453883451,0.052274334810376744,0.029123786266643407,0.057572209211553475,0.06470619743960576,0.043627455408901054,0.04476238480823697,0.09611552585636024,0.04086134761723281,0.051801675236409384,0.041729612437168676,0.1261018191737848,0.04873092405171105,0.03714952976872427,0.08888731750609252,0.061409437238380535,0.0850038749677086,0.0853757920735551,0.0310178642936867,0.05329619070796973,0.08384896172352618,0.04469009826152683
-2,0.06397797214123745,0.06154458175332671,0.047523978535513586,0.06149438036083999,0.05321020408163265,0.08206054168879448,0.06751050982190629,0.029521398552471715,0.03845427059712774,0.04118486847582806,0.06585362165939804,0.058967748458194316,0.07994352666483814,0.09899863420271585,0.06503992901508429,0.06129435085972772,0.025549308993209546,0.05070253988651932,0.0493559405953632,0.05721537864395007,0.05097233239585587,0.03264028616141292,0.06826656588561351,0.062221150801646474,0.052087758180195155,0.04152416849791973,0.08908058837570115,0.038036827296363575,0.05609196762521561,0.03735101282852974,0.1037767177877068,0.042954490143587244,0.03954891994917408,0.08378432122202888,0.06431500228194817,0.07310283336635626,0.08607863539836329,0.034171410319298205,0.04789121939247484,0.07830715655686267,0.038287881524291134
-1,0.07180800993721312,0.06018523998926717,0.0560583822570124,0.10428499532676684,0.05120838884212075,0.08455489296999358,0.06499545637007066,0.027455410632980726,0.04859822716965574,0.03169200406161063,0.06810084448356407,0.05955972132442721,0.07636936101860839,0.09202403714832012,0.12116956874492917,0.06270522065639189,0.028443032842275985,0.052263934661126235,0.05478178113350603,0.032682963295208194,0.05150729898721708,0.030864087795396906,0.05954335757291422,0.06584097586594725,0.04214324513075192,0.04410979888323368,0.0808947307736654,0.042026954746461155,0.05426606044248829,0.03758460754042492,0.099063448093919,0.05223623725877728,0.034270621431852485,0.08879180087335481,0.06152377779716628,0.06864906627470933,0.08361729526918532,0.03117652879601482,0.04818484453742812,0.08633457503314469,0.05437496099357174
0,0.06378284726565425,0.05824764901371989,0.05476298799774688,0.06892570221316781,0.055527053705031,0.07999428645151778,0.06331289797472386,0.02900335546512458,0.07117149185255497,0.036165975444503756,0.06957225782384208,0.05831729363035089,0.0743627500261188,0.09346982547750365,0.08479297230703305,0.059665006027194024,0.026708966649304736,0.050829004807911804,0.06155350053862789,0.052123552123552123,0.06291631360496344,0.03156628505060561,0.036804042005151576,0.07926757659585573,0.0577278362127284,0.040226163684910395,0.09193725154504127,0.04142676377173248,0.05940304623318476,0.036632165276480146,0.10329199799810933,0.04908268007365021,0.03897683684065527,0.08460524743404192,0.062070347717400214,0.06487652864614055,0.07735635492542701,0.03297563302926005,0.05088854925230004,0.08862944132356776,0.03536641929499072
1,0.06608511949380691,0.061587216340170156,0.05191785168878047,0.06976213960843256,0.05366555747205389,0.08232759222785624,0.06351368053295048,0.035226445318188436,0.07195185766614338,0.038875647582634024,0.07126970748968221,0.052190009577838356,0.07861559688606709,0.09561978989570347,0.0956418538638477,0.06437761439979718,0.026612336982170193,0.048360471342705685,0.0621279199510492,0.039275965163135314,0.04984350547730829,0.030374940673943997,0.07324755989352262,0.06569123156322863,0.041793068578782865,0.04247829576128986,0.09180966816434796,0.045042478956210656,0.053774248215187136,0.03960607896908134,0.09234411996842937,0.05116490468483995,0.03526117735027105,0.08885214945443914,0.061192456836467166,0.0902159736074881,0.07992139077853364,0.034265173061889795,0.054498643232074755,0.09339478602942775,0.024797953369381943
2,0.17932634145876794,0.059377423984681675,0.06137053159213824,0.06750342722640387,0.04960739286640246,0.08154253549245785,0.0644184675848888,0.03153335598003606,0.06543258328972613,0.0325517398498765,0.06159162350481143,0.05660076530612245,0.07990416698998991,0.09815021899170627,0.08657116692830978,0.05879658813332283,0.02665044920921955,0.05203089193236977,0.05535130168315675,0.04788720467440088,0.05145379768779216,0.0283880697414532,0.06129418980707037,0.0818608966682803,0.04171577445567893,0.04233159429185208,0.0863110315048005,0.04268742987800548,0.05298402016052674,0.039287203691077466,0.09301891488302637,0.052600774352294107,0.04094262921057888,0.09086849302075595,0.05902529200050996,0.07245746531460817,0.09769583610306722,0.03774579380296654,0.055915648572354114,0.08494720540973469,0.04571828731492597
3,0.08177880901585768,0.05811674537380568,0.06949646947386551,0.06611505988534028,0.0512719880851749,0.0802608418367347,0.0646861659053421,0.02823378186936784,0.03968253968253969,0.030891890283810317,0.06907776373148729,0.048601662887377176,0.07379504707404111,0.09584893095226732,0.11715797430083146,0.0698677440519355,0.029799127470792823,0.049385766832829164,0.05587990039034986,0.03628268283440697,0.05960019095357442,0.029225257176041148,0.040843537414965984,0.06696793002915452,0.04362181860649059,0.044662423311745636,0.09198651937839356,0.04303272079278175,0.05674403616292237,0.043519646664636,0.12152551438265724,0.04757580998501095,0.030067280953952016,0.08416744973237322,0.057691074334670356,0.058935879039115645,0.08231410517372603,0.03216522481638096,0.05408810023577278,0.08206413220373202,0.05036762179619322
