cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.02626093594034408,0.01845756982743284,0.015544041450777202,0.019271994512090548,0.00784313725490196,0.028429322792460226,0.020493827160493826,0.006031938899496615,0.034482758620689655,0.009771986970684038,0.015795537230172206,0.009184894053315107,0.028722908412957354,0.049747949419002055,0.0,0.010178117048346057,0.002386634844868735,0.016527355623100305,0.029993584260051324,0.008450704225352112,0.016935454578475173,0.0,0.015384615384615385,0.049617049617049616,0.009352553870710295,0.008907091304845917,0.019894179894179895,0.006944444444444444,0.01680533232485582,0.01043066129273026,0.046153846153846156,0.033045977011494254,0.0033112582781456954,0.04613170205109752,0.011166848418756816,0.018662728249194415,0.03249007936507937,0.006519880290722531,0.01393188854489164,,0.0
-12,0.021743872451812484,0.013106351058509753,0.009836065573770493,0.009892573793919085,0.006032457826179799,0.01640278724855097,0.013777853376424561,0.00414651002073255,0.0,0.009227853152434158,0.014071276757249127,0.008600469116497263,0.012475839044104726,0.025943263211324796,0.02564102564102564,0.001610305958132045,0.0014278914802475012,0.010273972602739725,0.014729446567237767,0.005494505494505495,0.013808227832721795,0.008888888888888889,0.0,0.025113378684807255,0.005902272295714919,0.003702484778673688,0.019674711437565582,0.003780718336483932,0.014764292225550204,0.003258646115788973,0.038643533123028394,0.014524827024827025,0.002367932819060639,0.040517686851129796,0.008626004749725977,0.02564102564102564,0.023100907029478458,0.003174817616860308,0.004577950583218362,,0.0
-11,0.015695193171608265,0.01077779949188978,0.0,0.007620601258447914,0.010393258426966293,0.01879308516279563,0.012156338579955293,0.0021994134897360706,0.0,0.009150326797385621,0.013237126245847176,0.0056273679518609315,0.021643717728055078,0.03852763456954377,0.0,0.0078125,0.002193944712593243,0.014975041597337771,0.020818899819869754,0.010714285714285714,0.01162233846607235,0.004310344827586207,0.013888888888888888,0.020833333333333332,0.002681671626984127,0.003105590062111801,0.009384775808133473,0.003998373542965573,0.013990147783251231,0.006068779501011463,0.06928181108508978,0.014685314685314685,0.003244646333549643,0.030745444245113777,0.01069416958441163,0.006864988558352402,0.019085487077534793,0.003820731287968517,0.0027124773960217,,0.0
-10,0.018466467489582517,0.012386855568673751,0.0,0.008877378944832572,0.0095565749235474,0.016739026093027316,0.011648071792384187,0.0030075187969924814,0.0,0.007320029839612086,0.012021788161198348,0.007733175914994097,0.022115756871854436,0.035983827493261455,0.02232142857142857,0.0014814814814814814,0.00043821209465381246,0.01759917450126118,0.015008675534991323,0.004726890756302521,0.011510914051841747,0.01932367149758454,0.0,0.01246367091437514,0.008151298408402603,0.004527385159010601,0.01528969957081545,0.0009789525208027412,0.011187607573149742,0.005888100380540985,0.05726426547956293,0.013530072500765851,0.0017354767994154183,0.03780493439290335,0.00982082433695337,0.013054830287206266,0.013777942906681528,0.004338287611668907,0.005579399141630901,,0.0
-9,0.01735770825480588,0.01729615949799436,0.006622516556291391,0.010027903732124172,0.007779074290159471,0.01653828726778432,0.011016705069124423,0.0014705882352941176,0.0,0.014925373134328358,0.011915653727181631,0.00882760212324025,0.012802275960170697,0.04745733690999372,0.028169014084507043,0.00396260922576712,0.0013117621337997377,0.020081342145399087,0.021926775576410613,0.007356875334403425,0.01429057916372747,0.005,0.0,0.017543859649122806,0.004531037607612143,0.007026442707467154,0.013091410197519521,0.003273352351693365,0.017619274160663313,0.005335198595567259,0.03673178673178673,0.02111260053619303,0.0010128589043508895,0.035180528538217015,0.00825635103926097,0.015189873417721518,0.016224633313240908,0.0012738853503184713,0.008566275924256087,,0.008403361344537815
-8,0.024629250511809055,0.01723715048781817,0.022813688212927757,0.009293002915451895,0.007877874104787033,0.017374903552139002,0.0142172930655889,0.0009532888465204957,0.04838709677419355,0.014005602240896359,0.012032231630701995,0.008056394763343404,0.019193857965451054,0.043494563179602555,0.01639344262295082,0.0055658627087198514,0.0012239902080783353,0.009368994234465087,0.015056372199229342,0.009425804219993082,0.015653153153153153,0.0,0.0,0.028542451463343957,0.008152431510095743,0.005439779344161814,0.016510375099760576,0.0013351134846461949,0.013871908210288724,0.004262978400909436,0.07051282051282051,0.017191977077363897,0.0011576753878212549,0.037482484820177485,0.010899958247403115,0.007572332730560578,0.018065677408025286,0.0036037199690002585,0.005003819709702063,,0.0
-7,0.02718078381795196,0.014661169208089556,0.00904017857142857,0.015147097800159024,0.006027122049221497,0.022803372846144445,0.026365298915328343,0.0016220600162206002,0.01639344262295082,0.010336906584992343,0.0298935260888955,0.008079324274697026,0.03694227591315744,0.02478087283740994,0.012048192771084338,0.004343105320304018,0.0022535211267605635,0.010284377468554413,0.01827188940092166,0.00849454365079365,0.03408254812142501,0.0032948929159802307,0.027522935779816515,0.12388193202146691,0.006111111111111111,0.0068553405140968976,0.04040020263424519,0.007472758172548236,0.014846743295019157,0.007395833333333333,0.05092983939137786,0.030927835051546393,0.0013774104683195593,0.0481081813256276,0.01504015023960627,0.02601156069364162,0.015714285714285715,0.009789125491006821,0.007005052824988516,0.06857840856212191,0.0
-6,0.02312916681521623,0.012456184276414622,0.005952380952380952,0.019232032045178447,0.008994615810396015,0.030649086894150645,0.03285128962068483,0.0014019579887843362,0.013888888888888888,0.062192118226600986,0.014090798343214488,0.029750768408392355,0.015318427447140319,0.03531760723541545,0.00847457627118644,0.0019305019305019305,0.001203852327447833,0.006374432413552219,0.007966842053013004,0.00816326530612245,0.013154366569035932,0.004231311706629055,0.0,0.023741651734810233,0.006950122649223222,0.0051557946648733465,0.01921470342522974,0.0022886375875067312,0.00827238409814793,0.006274000232729529,0.03794086213038831,0.026294104427297925,0.007242628039317123,0.034567105313057,0.010087394014712661,0.007669662224976758,0.009606334656463558,0.0036948063817009167,0.008374582709796246,0.023072313224131044,0.008
-5,0.018294175232501222,0.012891215005795778,0.0006377551020408163,0.010568290769633053,0.004368536959019533,0.020659982183134633,0.010754198202459792,0.0013831258644536654,0.010309278350515464,0.015400955921402018,0.010627348309217362,0.008788332086761406,0.015876540971718638,0.025405625960061445,0.007246376811594203,0.007337526205450734,7.345595580889699e-05,0.005678035066952726,0.01048068755309049,0.0026666666666666666,0.00846849656893325,0.0019459706959706958,0.0,0.026553287981859408,0.005957333016401236,0.005094689172498971,0.00611353711790393,0.002484002484002484,0.007924856184084372,0.004336602035509992,0.03296703296703297,0.014480311355311356,0.003469029507648583,0.024573501275510203,0.009982410739557641,0.0054361567635903925,0.014841849148418492,0.003800481138352869,0.004911902649258461,0.02556843917021469,0.0
-4,0.021048051327554433,0.00993846052588278,0.010273972602739725,0.016148854586569658,0.0063274383140950975,0.01647354977233184,0.014346439957492029,0.004134412385643913,0.031578947368421054,0.011336343548851956,0.01308139534883721,0.006702108324245729,0.013743810146687845,0.03311134039958728,0.0,0.003215434083601286,0.0024838330393885948,0.006910329468788891,0.006562158220925993,0.002797202797202797,0.011234804724545218,0.0015037593984962407,0.007142857142857143,0.015756956173882123,0.0024670109007458407,0.005213178916300408,0.01477832512315271,0.0016744301424988287,0.006073001887979861,0.003962936018685147,0.024072128851540614,0.019355318990545673,0.0016987310683585755,0.03240583644384119,0.014665637499122869,0.006276150627615063,0.020093389756311107,0.003239754676794375,0.0059271803556308214,0.023658448150833938,0.1935483870967742
