cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.3391304347826087,0.246043707611153,0.48623853211009177,0.3679144385026738,0.3713009491903964,0.3269437863450355,0.31042330450614475,0.3706521739130435,0.296875,0.323943661971831,0.31714389271475174,0.40022935779816515,0.3095004897159647,0.3018867924528302,0.2413793103448276,0.3723404255319149,0.3973087818696884,0.34549356223175964,0.2692307692307692,0.35516372795969775,0.37539128340958344,0.4966887417218543,0.391304347826087,0.3681917211328976,0.45792880258899676,0.40189753320683114,0.35161744022503516,0.3777602523659306,0.31854103343465046,0.48148148148148145,0.3295880149812734,0.350104821802935,0.5636363636363636,0.37886178861788616,0.313334002207284,0.3203125,0.2988165680473373,0.4572925060435133,0.42812006319115326,,0.3815789473684211
-12,0.33564879133092523,0.23534558180227472,0.43506493506493504,0.366120218579235,0.35155656795747914,0.3292082898464291,0.3056884635832004,0.3803810868031052,0.3684210526315789,0.36427566807313644,0.3198766470423325,0.409629044988161,0.2985658409387223,0.30317460317460315,0.32075471698113206,0.3836978131212724,0.3972407231208373,0.38620689655172413,0.2944206008583691,0.3798165137614679,0.40171526586620926,0.44933920704845814,0.42857142857142855,0.3466003316749585,0.4249471458773784,0.4094656992084433,0.44467640918580376,0.3671361502347418,0.3135985198889917,0.4637391882900865,0.29333333333333333,0.3480427046263345,0.5416384563303994,0.36717827626918537,0.3049604482531312,0.31722054380664655,0.3116627265563436,0.4345623416830847,0.42611336032388664,,0.29473684210526313
-11,0.3450520833333333,0.23172712506767731,0.40131578947368424,0.3680666880410388,0.3484848484848485,0.32527634487840823,0.299552164538066,0.39078751857355126,0.3698630136986301,0.33246753246753247,0.36266422242590896,0.384185303514377,0.323943661971831,0.3037825059101655,0.352112676056338,0.3624031007751938,0.3681917211328976,0.3869346733668342,0.30739673390970224,0.32098765432098764,0.3910856746444676,0.452991452991453,0.3333333333333333,0.32158590308370044,0.43737373737373736,0.3959586240076979,0.41590214067278286,0.38630009319664493,0.30772748056698673,0.4503311258278146,0.3028571428571429,0.3542101600556715,0.5468653010552452,0.34313330648409185,0.3113229663202313,0.31435643564356436,0.3098537336412625,0.44995818232506274,0.4403292181069959,,0.4174757281553398
-10,0.349622030237581,0.21520687802256852,0.49101796407185627,0.35548281505728313,0.31161364507474126,0.3219606674612634,0.3085944337475932,0.391337973704563,0.3611111111111111,0.3281853281853282,0.3969771745835904,0.4118136439267887,0.31129476584022037,0.3329092451229856,0.23728813559322035,0.3683241252302026,0.39072563331902105,0.35873015873015873,0.3031709203402939,0.32269503546099293,0.3698350620642748,0.47368421052631576,0.4206896551724138,0.3841166936790924,0.42527472527472526,0.3863438045375218,0.3919491525423729,0.3637667304015296,0.3152951699463327,0.46793948126801155,0.3392330383480826,0.3559322033898305,0.5472118959107807,0.35979258077383325,0.30458616429894997,0.3081232492997199,0.3060556464811784,0.47086383601756954,0.4080234833659491,,0.35344827586206895
-9,0.34027081243731194,0.23722920566996522,0.3710691823899371,0.3679214402618658,0.3237735849056604,0.3232758620689655,0.31303472571716157,0.3905415713196034,0.4264705882352941,0.37066666666666664,0.3913312693498452,0.3957513768686074,0.3396501457725947,0.31097079715864245,0.22,0.39700996677740863,0.41592545531554426,0.3648881239242685,0.2757009345794392,0.37050359712230213,0.36334886817576567,0.45365853658536587,0.5037593984962406,0.3957654723127036,0.4161676646706587,0.3849447825107054,0.4258130081300813,0.37204819277108436,0.3183294663573086,0.49884437596302,0.3333333333333333,0.3433224755700326,0.6021377672209026,0.37358784573432025,0.31395439943586934,0.3425414364640884,0.28405672539750754,0.45915418965064353,0.4264264264264264,,0.3697478991596639
-8,0.3252103278212939,0.22833649588867805,0.4723127035830619,0.35714285714285715,0.3314459930313589,0.3135026737967914,0.3088544654809715,0.40881057268722465,0.375,0.35994930291508237,0.386986301369863,0.3594009983361065,0.2991869918699187,0.31798561151079136,0.20833333333333334,0.3735632183908046,0.3880668257756563,0.35294117647058826,0.28324697754749567,0.30952380952380953,0.38122715906905175,0.53,0.3888888888888889,0.36304700162074555,0.426056338028169,0.365539858728557,0.38717339667458434,0.3518324607329843,0.31570426335671886,0.507226738934056,0.3088235294117647,0.3724531377343113,0.6102841677943166,0.3453631795340338,0.2977189858390571,0.2717391304347826,0.24494949494949494,0.4430379746835443,0.4443231441048035,,0.40594059405940597
-7,0.3193196405648267,0.23127035830618892,0.459375,0.35927505330490406,0.31849135673127293,0.32471364109684137,0.29553158705701077,0.4401805869074492,0.4426229508196721,0.3717357910906298,0.3568993626797095,0.33882149046793764,0.2855173532273759,0.2831227729186913,0.24444444444444444,0.3848069738480697,0.39409141583054624,0.33637873754152825,0.28683951427633736,0.3096774193548387,0.36773151471643933,0.5123558484349259,0.3761467889908257,0.13787991104521868,0.4634146341463415,0.4116570033567287,0.38228155339805825,0.3678780773739742,0.321256038647343,0.4980859208847299,0.29430379746835444,0.32196969696969696,0.6078431372549019,0.3899213724088635,0.2918566263166169,0.2696245733788396,0.3098295095769312,0.43963254593175854,0.4160206718346253,0.1662837449741528,0.43529411764705883
-6,0.3216004051658648,0.22080895446451285,0.46726190476190477,0.3265632131446828,0.3236269812016218,0.30889630567384047,0.29775491113189895,0.43272023233301066,0.4305555555555556,0.3045032165832738,0.37714190650474133,0.35068622811168954,0.34747187378766325,0.3148425787106447,0.34408602150537637,0.3674418604651163,0.38221153846153844,0.3499005964214712,0.26532058094226,0.2640901771336554,0.3775666564511186,0.5428973277074542,0.3620689655172414,0.1953125,0.4352836879432624,0.38530015978087195,0.42091836734693877,0.37881800108440267,0.287676935886761,0.5104284103720406,0.296875,0.32242489270386265,0.5157501334757074,0.35994930291508237,0.29495082929693234,0.2608695652173913,0.35763688760806917,0.4435532384198917,0.4089108910891089,0.2424091587854654,0.31092436974789917
-5,0.3155808768887788,0.21632448673009513,0.43154761904761907,0.3311158149380103,0.3102012491325468,0.32835415535035306,0.2975778546712803,0.4260355029585799,0.38144329896907214,0.3706480985538297,0.36155869779677735,0.31164179104477613,0.3408205660867307,0.2967479674796748,0.3069306930693069,0.3802469135802469,0.3835728952772074,0.378392762107504,0.28105039034776436,0.28913738019169327,0.36331456154465,0.518341307814992,0.37333333333333335,0.19682539682539682,0.42743362831858406,0.3880659294804924,0.41171088746569073,0.3778713629402756,0.2864406779661017,0.49151172190784154,0.32167832167832167,0.30656538252848614,0.5848024316109423,0.36792768664211584,0.29346711586348323,0.24646464646464647,0.34405385190725507,0.45109432500484214,0.42720510095642933,0.2568866111467008,0.291970802919708
-4,0.31113801452784506,0.1891348088531187,0.4241379310344828,0.33428469496967533,0.328149300155521,0.32510233725075927,0.2819353380058784,0.4540133779264214,0.40425531914893614,0.3843537414965986,0.36932787444558174,0.3104575163398693,0.3448183402600885,0.31620271234832265,0.2978723404255319,0.37694300518134716,0.39344941956882257,0.367826904985889,0.27191011235955054,0.25,0.4278319729245471,0.5283842794759825,0.37410071942446044,0.20413026211278792,0.43636363636363634,0.3768248175182482,0.41789577187807275,0.3641135303265941,0.27797513321492007,0.4975596529284165,0.32299741602067183,0.32051282051282054,0.5748078060319338,0.3523741520885398,0.2924673047417257,0.2655086848635236,0.3351362596213855,0.43953897245555773,0.3797216699801193,0.27748992515831894,0.26515151515151514
-3,0.311045734153517,0.19315951780207458,0.4098939929328622,0.34324614833393047,0.3374063854946788,0.23987113150444206,0.2812320422939892,0.41729323308270677,0.5178571428571429,0.3700147710487445,0.36685122343275584,0.3267687819110139,0.3201754385964912,0.30878404296125816,0.38823529411764707,0.3878437047756874,0.3946574752261956,0.36020671834625323,0.2873483535528596,0.24058919803600654,0.4014736842105263,0.5034246575342466,0.36885245901639346,0.1711635750421585,0.4361111111111111,0.36224133922343643,0.3809090909090909,0.37901720920588844,0.27890841813135986,0.4899365867107803,0.27956989247311825,0.31714126186487995,0.5774193548387097,0.3577118030412744,0.2989052472631182,0.24477611940298508,0.3587108827650631,0.4354932866316404,0.4075173095944609,0.27361899845121324,0.3305785123966942
