cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.03856332703213611,0.03202712886209495,0.06880733944954129,0.02406417112299465,0.015633724176437745,0.033598966185655825,0.01934456076467911,0.02608695652173913,0.046875,0.028169014084507043,0.03189561435302646,0.028669724770642203,0.022526934378060724,0.022298456260720412,0.0,0.031914893617021274,0.05099150141643059,0.032188841201716736,0.03598014888337469,0.060453400503778336,0.03491451962436792,0.09933774834437085,0.11594202898550725,0.032679738562091505,0.03398058252427184,0.026565464895635674,0.014064697609001406,0.052050473186119876,0.03343465045592705,0.014351851851851852,0.0149812734082397,0.03563941299790356,0.12525252525252525,0.024390243902439025,0.03481488913414267,0.0390625,0.0338123415046492,0.011281224818694601,0.06635071090047394,,0.039473684210526314
-12,0.03250903028619061,0.03120443277923593,0.06818181818181818,0.025273224043715847,0.017463933181473046,0.035634411808558225,0.022151337940811627,0.02893436838390967,0.02631578947368421,0.035161744022503515,0.031118587047939444,0.028413575374901343,0.035202086049543675,0.023015873015873017,0.018867924528301886,0.039761431411530816,0.060418648905804,0.04827586206896552,0.03347639484978541,0.04036697247706422,0.03224699828473413,0.030837004405286344,0.0380952380952381,0.026533996683250415,0.0200845665961945,0.029848284960422165,0.029227557411273485,0.05352112676056338,0.028677150786308975,0.011310711909514305,0.02666666666666667,0.04199288256227758,0.12186865267433988,0.02558048012593467,0.03749176005273566,0.045317220543806644,0.035855003940110326,0.010976639459611595,0.0465587044534413,,0.05263157894736842
-11,0.04140625,0.03140227395776936,0.049342105263157895,0.026611093299134338,0.017803030303030303,0.03876197494473103,0.019406203350472714,0.022288261515601784,0.0,0.01948051948051948,0.03146959975557592,0.03035143769968051,0.03329065300896287,0.02127659574468085,0.014084507042253521,0.03488372093023256,0.048801742919389976,0.05695142378559464,0.03266090297790586,0.03350970017636684,0.03329864724245578,0.042735042735042736,0.027210884353741496,0.01762114537444934,0.046464646464646465,0.026942506615347608,0.017329255861365953,0.044268406337371856,0.0283493369913123,0.012547926106657371,0.04,0.030619345859429367,0.10986964618249534,0.022553362867498993,0.0373525044932406,0.0594059405940594,0.02848344880677444,0.012266517981600222,0.05555555555555555,,0.019417475728155338
-10,0.03995680345572354,0.027673293927995703,0.0718562874251497,0.027823240589198037,0.011498658489842852,0.03292610250297974,0.020829686679502888,0.0317092034029389,0.013888888888888888,0.03088803088803089,0.03793954349167181,0.02745424292845258,0.027548209366391185,0.02205258693808312,0.03389830508474576,0.03683241252302026,0.0502361528553027,0.04285714285714286,0.03944315545243619,0.040780141843971635,0.026866179221220882,0.03827751196172249,0.020689655172413793,0.029173419773095625,0.05384615384615385,0.02988656195462478,0.019067796610169493,0.038718929254302106,0.03175313059033989,0.013688760806916427,0.014749262536873156,0.028954802259887006,0.11747211895910781,0.02672516952532908,0.036751080914144536,0.05042016806722689,0.033960720130932896,0.013469985358711566,0.04207436399217221,,0.05172413793103448
-9,0.03736208625877633,0.025675314255148435,0.06289308176100629,0.032078559738134206,0.009811320754716982,0.033045977011494254,0.02046636470390874,0.03051106025934401,0.04411764705882353,0.04533333333333334,0.03591331269349845,0.03147128245476003,0.026239067055393587,0.017363851617995266,0.02,0.053156146179401995,0.052096569250317665,0.04647160068846816,0.03582554517133956,0.052158273381294966,0.029127829560585884,0.02926829268292683,0.06766917293233082,0.035830618892508145,0.028942115768463075,0.029975208474194274,0.024390243902439025,0.05301204819277108,0.03341067285382831,0.013482280431432974,0.02564102564102564,0.03322475570032573,0.1330166270783848,0.024542267238021036,0.03831387604795111,0.049723756906077346,0.0335195530726257,0.014709745206199106,0.042042042042042045,,0.05042016806722689
-8,0.03220191470844212,0.024984187223276406,0.08469055374592833,0.033854166666666664,0.008710801393728223,0.028910427807486632,0.016255498183209028,0.024669603524229075,0.025,0.04182509505703422,0.031164383561643836,0.029118136439267885,0.00975609756097561,0.017266187050359712,0.0,0.032567049808429116,0.05298329355608592,0.03125,0.02936096718480138,0.031746031746031744,0.025389497980380843,0.045,0.046296296296296294,0.029173419773095625,0.03403755868544601,0.02472250252270434,0.020190023752969122,0.041884816753926704,0.026983270372369132,0.014453477868112014,0.014705882352941176,0.03830480847595762,0.13125845737483086,0.02466879853814527,0.030272195370134827,0.035326086956521736,0.023232323232323233,0.01605433775856746,0.05240174672489083,,0.0594059405940594
-7,0.03754813863928113,0.03517915309446254,0.090625,0.029850746268656716,0.0178103719224725,0.03071850052065255,0.017873651771956857,0.028216704288939052,0.01639344262295082,0.03379416282642089,0.03497850896694827,0.021663778162911613,0.031949399935128124,0.01652089407191448,0.007407407407407408,0.029887920298879204,0.038461538461538464,0.04443521594684385,0.03938299967180833,0.03870967741935484,0.0262024407753051,0.08237232289950576,0.027522935779816515,0.007412898443291327,0.043237250554323724,0.028989929813854134,0.01820388349514563,0.046424384525205156,0.03768115942028986,0.01105912377711612,0.028481012658227847,0.030303030303030304,0.12605042016806722,0.027162258756254467,0.027983021537494105,0.040955631399317405,0.03157230056830141,0.017716535433070866,0.040051679586563305,0.009190120620333142,0.03529411764705882
-6,0.03823752848822487,0.026965148817094886,0.06845238095238096,0.03331811958010041,0.015112421673424253,0.03395097249395788,0.01655753040224509,0.028073572120038724,0.041666666666666664,0.02644746247319514,0.028614207286641158,0.0326549929010885,0.03582050950472003,0.020989505247376312,0.021505376344086023,0.030232558139534883,0.05689102564102564,0.03628230616302187,0.03436060928090684,0.04186795491143317,0.02482378179589335,0.090014064697609,0.02586206896551724,0.011363636363636364,0.03280141843971631,0.02876055695046793,0.026360544217687076,0.04554491234411712,0.033721898417985015,0.011273957158962795,0.015625,0.029506437768240343,0.10144153764014949,0.026932826362484157,0.03141053867606047,0.043478260869565216,0.03631123919308357,0.02205734910767997,0.04950495049504951,0.016923842707814832,0.07563025210084033
-5,0.03591776071340104,0.02829243865798698,0.07142857142857142,0.03931055337163592,0.01457321304649549,0.03272677892449755,0.017084775086505192,0.021696252465483234,0.05154639175257732,0.03160149973219068,0.036007892140743174,0.032238805970149255,0.03972994027525318,0.02100271002710027,0.019801980198019802,0.0345679012345679,0.05215605749486653,0.04044704630122405,0.036550745209368345,0.027156549520766772,0.026226870474658086,0.07814992025518341,0.04,0.010317460317460317,0.03185840707964602,0.029209263509284374,0.021043000914913082,0.04096477794793262,0.030508474576271188,0.010239827539746699,0.013986013986013986,0.027129679869777535,0.13617021276595745,0.023769668563776363,0.032005273180020506,0.026262626262626262,0.04113687359760658,0.030796048808832074,0.04782146652497343,0.010890454836643177,0.051094890510948905
-4,0.03438256658595642,0.022635814889336015,0.06551724137931035,0.03888690688547984,0.01866251944012442,0.034332497028918524,0.016730725751752204,0.03177257525083612,0.010638297872340425,0.034013605442176874,0.0325827362674855,0.02287581699346405,0.033650623407963536,0.021413276231263382,0.031914893617021274,0.02849740932642487,0.04643449419568822,0.05079962370649106,0.031086142322097377,0.02181208053691275,0.029862631893290862,0.10043668122270742,0.04316546762589928,0.020651310563939634,0.04090909090909091,0.0364963503649635,0.025565388397246803,0.04121306376360809,0.027531083481349913,0.014099783080260303,0.0103359173126615,0.03418803418803419,0.12241277350680072,0.024991074616208496,0.03324322349674874,0.019851116625310174,0.03453297274807572,0.024614182457511232,0.04572564612326044,0.014968336211859529,0.030303030303030304
