cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.004536862003780718,0.0007535795026375283,0.0045871559633027525,0.00909090909090909,0.012283640424343942,0.0032306698255438293,0.00432407828857533,0.008695652173913044,0.0,0.02190923317683881,0.010511054729974628,0.0045871559633027525,0.0068560235063663075,0.0011435105774728416,0.0,0.013297872340425532,0.0113314447592068,0.01072961373390558,0.016129032258064516,0.017632241813602016,0.010594750782566819,0.013245033112582781,0.028985507246376812,0.002178649237472767,0.022653721682847898,0.009487666034155597,0.008438818565400843,0.013406940063091483,0.01458966565349544,0.014814814814814815,0.003745318352059925,0.005241090146750524,0.01717171717171717,0.011382113821138212,0.018059596669007725,0.02734375,0.01944209636517329,0.01974214343271555,0.018957345971563982,,0.05263157894736842
-12,0.0022228396776882466,0.0008748906386701663,0.022727272727272728,0.01092896174863388,0.011389521640091117,0.0047711346354554944,0.006025163919900762,0.013408609738884969,0.0,0.030942334739803096,0.011494252873563218,0.0055248618784530384,0.003911342894393742,0.002777777777777778,0.018867924528301886,0.013916500994035786,0.01569933396764986,0.01206896551724138,0.01201716738197425,0.03669724770642202,0.015265866209262435,0.013215859030837005,0.02857142857142857,0.001658374792703151,0.022198731501057084,0.013852242744063324,0.015657620041753653,0.011737089201877934,0.013876040703052728,0.011976047904191617,0.006666666666666667,0.007829181494661922,0.033852403520649964,0.015741833923652106,0.019528675016479896,0.021148036253776436,0.028368794326241134,0.01998311286236983,0.024291497975708502,,0.042105263157894736
-11,0.003125,0.0008121277747698972,0.006578947368421052,0.009297851875601153,0.011363636363636364,0.0036845983787767134,0.005971139492453143,0.017830609212481426,0.0,0.02727272727272727,0.013137794072716162,0.006389776357827476,0.0038412291933418692,0.0031520882584712374,0.0,0.013565891472868217,0.009586056644880174,0.010050251256281407,0.012487992315081652,0.021164021164021163,0.012660423170308707,0.0,0.027210884353741496,0.002936857562408223,0.023232323232323233,0.012268462833774356,0.01529051987767584,0.011649580615097856,0.009602194787379973,0.013942140118508192,0.017142857142857144,0.0048712595685455815,0.037243947858473,0.01449859041482078,0.018129249042744395,0.022277227722772276,0.03579676674364896,0.02063005296905492,0.015432098765432098,,0.10679611650485436
-10,0.0018898488120950325,0.0008060182697474476,0.02694610778443114,0.014729950900163666,0.011881947106170947,0.0046185935637663884,0.006301417819009277,0.019334880123743233,0.013888888888888888,0.02445302445302445,0.016039481801357187,0.0016638935108153079,0.0027548209366391185,0.0021204410517387615,0.0,0.011049723756906077,0.011592958351223702,0.007936507936507936,0.0038669760247486465,0.014184397163120567,0.014113246046590715,0.004784688995215311,0.013793103448275862,0.0,0.01098901098901099,0.015488656195462478,0.0031779661016949155,0.023422562141491396,0.011180679785330949,0.017651296829971182,0.014749262536873156,0.012005649717514125,0.02973977695167286,0.014758675708017551,0.019379246448424953,0.03361344537815126,0.02618657937806874,0.02020497803806735,0.01761252446183953,,0.017241379310344827
-9,0.0027582748244734203,0.0010698047606311847,0.015723270440251572,0.011456628477905073,0.007547169811320755,0.004454022988505747,0.004697198456634793,0.018306636155606407,0.0,0.028,0.01671826625386997,0.003147128245476003,0.008746355685131196,0.003551696921862668,0.0,0.013289036544850499,0.019906819144430325,0.012048192771084338,0.009345794392523364,0.02697841726618705,0.010319573901464714,0.0,0.022556390977443608,0.003257328990228013,0.011976047904191617,0.01712869055668244,0.016260162601626018,0.015421686746987951,0.01531322505800464,0.02157164869029276,0.002849002849002849,0.004560260586319218,0.028503562945368172,0.017140631086871836,0.018882707827313328,0.06629834254143646,0.04082509669101848,0.02442868400315209,0.009009009009009009,,0.01680672268907563
-8,0.003191180736872643,0.0015812776723592662,0.003257328990228013,0.00744047619047619,0.013066202090592335,0.0031751336898395723,0.005545993497800727,0.012334801762114538,0.0,0.019011406844106463,0.014383561643835616,0.004159733777038269,0.0016260162601626016,0.0028776978417266188,0.0,0.01532567049808429,0.013365155131264916,0.009191176470588236,0.009499136442141624,0.01984126984126984,0.00942488940180804,0.005,0.037037037037037035,0.0032414910858995136,0.015258215962441314,0.015893037336024218,0.011876484560570071,0.010471204188481676,0.013491635186184566,0.022131887985546522,0.01764705882352941,0.015484922575387123,0.02029769959404601,0.017816354499771585,0.018824726532688883,0.04076086956521739,0.007070707070707071,0.018524235875270145,0.019650655021834062,,0.019801980198019802
-7,0.0012836970474967907,0.001954397394136808,0.0125,0.006396588486140725,0.00785751702462022,0.0029503644567858383,0.0061633281972265025,0.011286681715575621,0.03278688524590164,0.021505376344086023,0.010967837557432933,0.0017331022530329288,0.004703211157963023,0.0012957563977972141,0.0,0.0136986301369863,0.011705685618729096,0.009966777408637873,0.006563833278634723,0.01935483870967742,0.010768126346015794,0.009884678747940691,0.01834862385321101,0.0,0.011086474501108648,0.013426914861153494,0.014563106796116505,0.007737397420867527,0.00821256038647343,0.011909825606125054,0.0,0.004545454545454545,0.028011204481792718,0.016440314510364547,0.019650998270712153,0.023890784982935155,0.01073458219322248,0.01706036745406824,0.0103359173126615,0.005456634118322803,0.011764705882352941
-6,0.002279057989364396,0.0005087763927753752,0.017857142857142856,0.011182108626198083,0.009952082565425728,0.0034526412705719878,0.0054256314312441534,0.015488867376573089,0.013888888888888888,0.020014295925661188,0.016137082016303445,0.003786086133459536,0.00775895512737618,0.0014992503748125937,0.0,0.011627906976744186,0.006810897435897436,0.007455268389662028,0.013106624158696423,0.00966183574879227,0.011186025130248238,0.02390998593530239,0.05172413793103448,0.0007102272727272727,0.023936170212765957,0.012554211367267747,0.0195578231292517,0.011928429423459244,0.009991673605328892,0.01832018038331454,0.010416666666666666,0.006437768240343348,0.01761879337960491,0.014575411913814956,0.01900777924555996,0.028985507246376812,0.018731988472622477,0.0180469219971927,0.00891089108910891,0.012444001991040319,0.03361344537815126
-5,0.0014862521674510775,0.000500751126690035,0.005952380952380952,0.009071666162685213,0.01179736294240111,0.005024443237370994,0.006487889273356401,0.01873767258382643,0.0,0.015532940546331012,0.017264057875698784,0.004776119402985075,0.009348221241236042,0.0037262872628726286,0.0,0.016049382716049384,0.017659137577002052,0.011708355508249068,0.0127750177430802,0.025559105431309903,0.011102172164119066,0.011164274322169059,0.04,0.0,0.01415929203539823,0.016065094930106404,0.01738334858188472,0.01282542113323124,0.012711864406779662,0.01778496362166532,0.011655011655011656,0.005968529571351058,0.02735562310030395,0.01841312353531972,0.01911527757433719,0.03434343434343434,0.01944652206432311,0.020918070889018012,0.01700318809776833,0.008968609865470852,0.0
-4,0.003389830508474576,0.0007545271629778672,0.020689655172413793,0.010702818408847663,0.011275272161741835,0.004489634226858576,0.005200090436355415,0.016722408026755852,0.0,0.02108843537414966,0.013988399863527807,0.00392156862745098,0.01018903338249095,0.0028551034975017845,0.0,0.011658031088082901,0.012437810945273632,0.011288805268109126,0.009737827715355805,0.018456375838926176,0.01075054748158471,0.018922852983988356,0.04316546762589928,0.0015885623510722795,0.011818181818181818,0.016423357664233577,0.007866273352999017,0.011275272161741835,0.011545293072824156,0.01654013015184382,0.00516795865633075,0.004807692307692308,0.018923713778829097,0.021420921099607283,0.01790019726748009,0.01240694789081886,0.021011025587684626,0.02266067591326431,0.018886679920477135,0.010938399539435808,0.015151515151515152
