cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.05860113421550094,0.02260738507912585,0.13761467889908258,0.10267379679144385,0.06030150753768844,0.07150549213870343,0.04050978607191625,0.10108695652173913,0.078125,0.07042253521126761,0.06415367886915549,0.06077981651376147,0.023506366307541625,0.0714694110920526,0.034482758620689655,0.06648936170212766,0.08286118980169972,0.08583690987124463,0.062034739454094295,0.055415617128463476,0.09077775102335661,0.026490066225165563,0.043478260869565216,0.10457516339869281,0.08737864077669903,0.13130929791271348,0.11533052039381153,0.07886435331230283,0.08693009118541034,0.13055555555555556,0.026217228464419477,0.07127882599580712,0.09292929292929293,0.10569105691056911,0.07414467743553728,0.08203125,0.04945054945054945,0.15511684125705077,0.04739336492890995,,0.05263157894736842
-12,0.06251736593498194,0.025080198308544764,0.08766233766233766,0.1096311475409836,0.05011389521640091,0.0688832562993887,0.04766967924862662,0.10021171489061398,0.11842105263157894,0.090014064697609,0.06195682646481637,0.05761641673243883,0.035202086049543675,0.06944444444444445,0.018867924528301886,0.073558648111332,0.08848715509039011,0.10344827586206896,0.07124463519313305,0.07889908256880734,0.10017152658662093,0.030837004405286344,0.08571428571428572,0.1044776119402985,0.07610993657505286,0.1162598944591029,0.15866388308977036,0.07136150234741784,0.09111933395004625,0.12208915502328677,0.03666666666666667,0.06619217081850534,0.07718348002708192,0.09445100354191263,0.06723796967699407,0.07250755287009064,0.05319148936170213,0.14157050379960598,0.05161943319838057,,0.031578947368421054
-11,0.05755208333333333,0.025175961017866812,0.1118421052631579,0.11189483808913113,0.05378787878787879,0.06588061901252763,0.03731962182783215,0.10698365527488855,0.1232876712328767,0.06103896103896104,0.07149404216315307,0.05511182108626198,0.028169014084507043,0.06619385342789598,0.04225352112676056,0.09108527131782945,0.0784313725490196,0.08207705192629816,0.07300672430355427,0.0564373897707231,0.09608047173083593,0.04700854700854701,0.08163265306122448,0.09544787077826726,0.10404040404040404,0.12797690642290113,0.13557594291539246,0.06477166821994408,0.09647919524462735,0.0955036598117811,0.03142857142857143,0.07306889352818371,0.08504034761018,0.08699154248892468,0.07040712667031336,0.11386138613861387,0.049653579676674366,0.15333147477000278,0.05452674897119342,,0.05825242718446602
-10,0.06749460043196544,0.0231058570660935,0.11077844311377245,0.11423895253682488,0.04599463395937141,0.0697258641239571,0.040084018904253456,0.08043310131477185,0.1388888888888889,0.05276705276705277,0.07587908698334361,0.06405990016638935,0.03168044077134986,0.06785411365564037,0.03389830508474576,0.07918968692449356,0.09231429798196651,0.08571428571428572,0.06728538283062645,0.05673758865248227,0.09097092331236184,0.023923444976076555,0.10344827586206896,0.09076175040518639,0.08351648351648351,0.11365619546247818,0.12076271186440678,0.06261950286806883,0.09257602862254025,0.1127521613832853,0.0471976401179941,0.07556497175141243,0.08104089219330855,0.08934982050259274,0.06578134651019148,0.11204481792717087,0.046644844517184945,0.1683748169838946,0.057729941291585124,,0.04310344827586207
-9,0.05366098294884654,0.026745119015779622,0.09119496855345911,0.11292962356792144,0.045283018867924525,0.07169540229885057,0.04596544203992619,0.08466819221967964,0.08823529411764706,0.08,0.08885448916408668,0.04878048780487805,0.04664723032069971,0.06353591160220995,0.06,0.07641196013289037,0.09445150360016942,0.09122203098106713,0.05763239875389408,0.048561151079136694,0.08954727030625832,0.03902439024390244,0.15037593984962405,0.11726384364820847,0.09381237524950099,0.11359026369168357,0.12601626016260162,0.06698795180722891,0.09095127610208817,0.11286594761171033,0.03418803418803419,0.06384364820846905,0.09144893111638955,0.09037787300350604,0.07169160855598214,0.11049723756906077,0.03953588311130211,0.15602836879432624,0.05005005005005005,,0.025210084033613446
-8,0.05947200464171744,0.0290955091714105,0.10423452768729642,0.11755952380952381,0.05313588850174216,0.07653743315508021,0.04207305412124689,0.09427312775330396,0.175,0.08745247148288973,0.08698630136986302,0.056572379367720464,0.032520325203252036,0.07194244604316546,0.0,0.06513409961685823,0.08353221957040573,0.0974264705882353,0.06822107081174439,0.057539682539682536,0.10098095787651472,0.02,0.08333333333333333,0.09562398703403566,0.09976525821596244,0.10418768920282542,0.12232779097387174,0.06858638743455497,0.10739341608202914,0.11653116531165311,0.03235294117647059,0.07905460472697637,0.09336941813261164,0.09365006852444038,0.06631052319172391,0.08152173913043478,0.044444444444444446,0.14541525162087063,0.048034934497816595,,0.0297029702970297
-7,0.06322207958921694,0.028013029315960912,0.1,0.11656005685856433,0.045049764274489264,0.07306490801804928,0.03543913713405239,0.12866817155756208,0.06557377049180328,0.09984639016897082,0.05898918037646361,0.0511265164644714,0.029678884203697697,0.06575963718820861,0.044444444444444446,0.0647571606475716,0.09698996655518395,0.08305647840531562,0.06924844108959632,0.07096774193548387,0.10265613783201723,0.06260296540362438,0.11926605504587157,0.0340993328391401,0.0975609756097561,0.12053707659444614,0.10558252427184465,0.0839390386869871,0.10386473429951691,0.10633772862611654,0.0379746835443038,0.05606060606060606,0.08263305322128851,0.10150107219442459,0.06917151391290678,0.09897610921501707,0.042517364765312565,0.14501312335958005,0.04392764857881137,0.0376220562894888,0.058823529411764705
-6,0.06381362370220309,0.02543881963876876,0.12797619047619047,0.09036969420356002,0.04865462587541467,0.06790194498791575,0.03966323666978484,0.08712487899322362,0.09722222222222222,0.057183702644746245,0.06754283813009483,0.048272598201609083,0.038018880124143284,0.07871064467766117,0.043010752688172046,0.07209302325581396,0.08333333333333333,0.091948310139165,0.06482465462274177,0.04830917874396135,0.10956175298804781,0.08579465541490858,0.06896551724137931,0.05823863636363636,0.10106382978723404,0.11572700296735905,0.14795918367346939,0.08458340863907464,0.08742714404662781,0.12965050732807215,0.0390625,0.06545064377682404,0.08542445274959957,0.09949302915082382,0.07162777043886687,0.0748792270531401,0.06023054755043228,0.15219570884299177,0.048514851485148516,0.06470881035340965,0.025210084033613446
-5,0.05226653455536289,0.02829243865798698,0.11904761904761904,0.08648321741759903,0.04753643303261624,0.07645301466594243,0.037197231833910036,0.08875739644970414,0.13402061855670103,0.0723085163363685,0.06511016113120684,0.047164179104477615,0.04232666839781875,0.0647018970189702,0.06930693069306931,0.07037037037037037,0.08213552361396304,0.1096327833954231,0.0631653655074521,0.04952076677316294,0.0992759452936444,0.10526315789473684,0.07333333333333333,0.05476190476190476,0.1,0.11475067807218861,0.12900274473924978,0.08843797856049004,0.09110169491525423,0.13230935057935866,0.030303030303030304,0.06456863809007053,0.09604863221884498,0.09474389019082692,0.07038230555148674,0.09898989898989899,0.05285464971328846,0.1400348634514817,0.048884165781083955,0.06854580397181294,0.029197080291970802
-4,0.053268765133171914,0.021629778672032193,0.10344827586206896,0.08847663217980735,0.05443234836702955,0.06840089792684537,0.03481799683472756,0.10117056856187291,0.10638297872340426,0.07755102040816327,0.06567724326168543,0.045098039215686274,0.038745140099209006,0.0681655960028551,0.05319148936170213,0.06217616580310881,0.09245439469320066,0.10112888052681092,0.06629213483146068,0.04865771812080537,0.12402946446346805,0.08442503639010189,0.10071942446043165,0.04527402700555997,0.12090909090909091,0.10675182481751824,0.13470993117010815,0.08028771384136858,0.08081705150976909,0.1475054229934924,0.056847545219638244,0.06196581196581197,0.09284447072738025,0.08711174580506961,0.07262365748520494,0.11662531017369727,0.061368837112544206,0.14924789998046492,0.0536779324055666,0.059873344847438115,0.03787878787878788
