cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.15425330812854443,0.1450640542577242,0.16972477064220184,0.10802139037433155,0.1970965940815187,0.11781175963816498,0.18252162039144287,0.14782608695652175,0.140625,0.057902973395931145,0.0913374411018485,0.23853211009174313,0.1802154750244858,0.10234419668381932,0.1206896551724138,0.14893617021276595,0.09631728045325778,0.10515021459227468,0.07320099255583126,0.163727959697733,0.14591861305080664,0.31125827814569534,0.13043478260869565,0.09803921568627451,0.16990291262135923,0.12106261859582543,0.08720112517580872,0.1474763406940063,0.06443768996960486,0.18472222222222223,0.21348314606741572,0.16981132075471697,0.15252525252525254,0.15284552845528454,0.06371024380455503,0.0390625,0.11453930684699916,0.15995165189363417,0.21958925750394945,,0.15789473684210525
-12,0.1503195332036677,0.1347331583552056,0.1525974025974026,0.10724043715846994,0.19741837509491267,0.12047114954525123,0.16622363990785044,0.14114326040931546,0.17105263157894737,0.06751054852320675,0.08887019904681806,0.23993685872138912,0.17340286831812254,0.1111111111111111,0.1320754716981132,0.15705765407554673,0.09134157944814462,0.11724137931034483,0.0927038626609442,0.14678899082568808,0.15677530017152658,0.31277533039647576,0.11428571428571428,0.09618573797678276,0.17653276955602537,0.13538918205804748,0.10647181628392484,0.13802816901408452,0.06845513413506013,0.18562874251497005,0.17333333333333334,0.1608540925266904,0.13608666215301288,0.1519086973632428,0.06591957811470006,0.04229607250755287,0.11583924349881797,0.16493104418801013,0.23684210526315788,,0.11578947368421053
-11,0.1546875,0.12696264212236058,0.14144736842105263,0.09939083039435717,0.19318181818181818,0.1109801031687546,0.17316304528114115,0.14561664190193166,0.2328767123287671,0.05974025974025974,0.11885120684387412,0.22843450479233227,0.18181818181818182,0.11150512214342001,0.23943661971830985,0.13372093023255813,0.09673202614379085,0.1306532663316583,0.10662824207492795,0.13403880070546736,0.15105792577176552,0.2948717948717949,0.10884353741496598,0.08370044052863436,0.15151515151515152,0.11883569882126534,0.11416921508664628,0.1598322460391426,0.07087334247828075,0.1965841756709655,0.15714285714285714,0.1684064022268615,0.15828677839851024,0.1409585179218687,0.06540595452059077,0.04455445544554455,0.11624326404926867,0.1497072762754391,0.23353909465020575,,0.18446601941747573
-10,0.15361771058315335,0.12224610424502956,0.18862275449101795,0.09198036006546645,0.17631276351092373,0.11114421930870083,0.17591458078067565,0.1662799690641918,0.16666666666666666,0.0682110682110682,0.12769895126465144,0.25540765391014975,0.17079889807162535,0.11747243426632739,0.1016949152542373,0.15101289134438306,0.0996135680549592,0.12698412698412698,0.1136890951276102,0.1453900709219858,0.14266281244686277,0.3492822966507177,0.15862068965517243,0.1053484602917342,0.15384615384615385,0.11409249563699825,0.11546610169491525,0.14435946462715105,0.07647584973166369,0.19128242074927954,0.2182890855457227,0.16454802259887005,0.1620817843866171,0.13881132828081372,0.06230697961704756,0.01680672268907563,0.12438625204582651,0.16193265007320645,0.22309197651663404,,0.13793103448275862
-9,0.16173520561685056,0.13800481412142285,0.14779874213836477,0.10147299509001637,0.19056603773584907,0.11005747126436781,0.17228652910585474,0.15255530129672007,0.2647058823529412,0.05333333333333334,0.11393188854489164,0.23760818253343824,0.1836734693877551,0.12036306235201263,0.1,0.14285714285714285,0.1012282930961457,0.11703958691910499,0.0895638629283489,0.15467625899280577,0.14547270306258323,0.33170731707317075,0.14285714285714285,0.10749185667752444,0.13972055888223553,0.11471715122830742,0.12398373983739837,0.13975903614457832,0.071461716937355,0.200693374422188,0.18518518518518517,0.16351791530944626,0.15676959619952494,0.14959096221269966,0.06769568283318969,0.03314917127071823,0.09840996991834981,0.14762280010506962,0.24924924924924924,,0.19327731092436976
-8,0.15404699738903394,0.11891208096141682,0.17263843648208468,0.08891369047619048,0.1916376306620209,0.10494652406417113,0.17192579843182254,0.16651982378854627,0.125,0.050697084917617236,0.11335616438356165,0.19384359400998336,0.191869918699187,0.10839328537170263,0.20833333333333334,0.12260536398467432,0.11121718377088305,0.1213235294117647,0.10189982728842832,0.13095238095238096,0.1454125793421812,0.36,0.1111111111111111,0.11183144246353323,0.142018779342723,0.1170534813319879,0.10570071258907364,0.12774869109947645,0.06745817593092283,0.2041553748870822,0.2,0.15240423797881011,0.15696887686062247,0.1247144814984011,0.0692783854829136,0.024456521739130436,0.1095959595959596,0.1512812596480395,0.24672489082969432,,0.1782178217821782
-7,0.13735558408215662,0.1234527687296417,0.175,0.08884150675195451,0.17757988475641698,0.11732037486983686,0.16425269645608628,0.17945823927765236,0.2786885245901639,0.06758832565284179,0.1347265451311694,0.21490467937608318,0.15926046059033408,0.10495626822157435,0.1259259259259259,0.17434620174346202,0.1064659977703456,0.06686046511627906,0.07843780767968493,0.12043010752688173,0.11934673366834171,0.2273476112026359,0.10091743119266056,0.0340993328391401,0.164079822616408,0.13610009154714678,0.10194174757281553,0.1273153575615475,0.07101449275362319,0.2237345810293492,0.18670886075949367,0.14166666666666666,0.15966386554621848,0.16726233023588277,0.05714510297123094,0.030716723549488054,0.14018101452325826,0.14009186351706038,0.2661498708010336,0.07064905226881103,0.23529411764705882
-6,0.14079513800962268,0.12643093360468075,0.16666666666666666,0.09333637608397992,0.1839292296350903,0.10334906203245482,0.16604303086997194,0.19264278799612777,0.2222222222222222,0.04932094353109364,0.1502245882548661,0.18977756743965926,0.20160351739299107,0.1090704647676162,0.1935483870967742,0.15232558139534882,0.11137820512820513,0.09343936381709742,0.07828551186680836,0.10628019323671498,0.13530493410971497,0.2180028129395218,0.11206896551724138,0.04758522727272727,0.14893617021276595,0.12485733850719014,0.10374149659863946,0.1353696005783481,0.0649458784346378,0.21279594137542276,0.1640625,0.14377682403433475,0.14308595835557927,0.13688212927756654,0.06135329517099662,0.04106280193236715,0.15734870317002883,0.13655504311209143,0.23366336633663368,0.09556993529118965,0.11764705882352941
-5,0.14763438196680703,0.12068102153229844,0.1636904761904762,0.09313577260356819,0.17765440666204024,0.11094513851167843,0.16295415224913495,0.1932938856015779,0.17525773195876287,0.07659346545259775,0.13696152581387702,0.1647761194029851,0.19150869903921058,0.11246612466124661,0.15841584158415842,0.16049382716049382,0.10595482546201232,0.09845662586482172,0.10007097232079488,0.12460063897763578,0.13113435237329044,0.18660287081339713,0.08666666666666667,0.051587301587301584,0.15309734513274337,0.12351345712497393,0.10612991765782251,0.13265696784073508,0.06779661016949153,0.19725141471301536,0.20512820512820512,0.13022246337493218,0.15319148936170213,0.15132239705390024,0.06261901274351839,0.026262626262626262,0.1426078284717028,0.147588611272516,0.24867162592986186,0.10506085842408712,0.15328467153284672
-4,0.138498789346247,0.10588531187122736,0.16206896551724137,0.09168747770246165,0.18468118195956454,0.11488181698138122,0.1548722586479765,0.19147157190635453,0.2765957446808511,0.08979591836734693,0.14653701808256567,0.1718954248366013,0.2009652768467623,0.12312633832976445,0.14893617021276595,0.16709844559585493,0.10240464344941957,0.08513640639698965,0.09887640449438202,0.10738255033557047,0.15289667529364923,0.18777292576419213,0.1079136690647482,0.050833995234312944,0.13636363636363635,0.1197536496350365,0.12389380530973451,0.13005443234836703,0.0630550621669627,0.18926247288503253,0.20155038759689922,0.1330128205128205,0.1732702542874039,0.13959300249910747,0.06159129100606415,0.02729528535980149,0.1383399209486166,0.13401054893533892,0.20178926441351888,0.11974668969487623,0.11363636363636363
