cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.3181818181818182,0.2,0.5,0.14285714285714285,0.3333333333333333,0.2,0.19889502762430938,0.37037037037037035,,0.2077922077922078,0.2714285714285714,0.2692307692307692,0.17647058823529413,0.25274725274725274,,0.0,0.248,0.4,0.25,0.42857142857142855,0.21505376344086022,0.3076923076923077,0.0,0.19230769230769232,0.14545454545454545,0.36666666666666664,0.18518518518518517,0.16216216216216217,0.36363636363636365,0.2903225806451613,0.16666666666666666,0.29411764705882354,0.5714285714285714,0.37142857142857144,0.25392670157068065,0.5,0.2711864406779661,0.2631578947368421,0.16666666666666666,,
-12,0.38144329896907214,0.10416666666666667,0.25,0.12307692307692308,0.4186046511627907,0.23333333333333334,0.21575342465753425,0.5217391304347826,,0.25,0.2553191489361702,0.3333333333333333,0.5,0.26277372262773724,0.0,0.3333333333333333,0.37566137566137564,0.375,0.12195121951219512,0.45,0.3404255319148936,0.2727272727272727,0.25,0.2391304347826087,0.2976190476190476,0.2564102564102564,0.36,0.28125,0.3181818181818182,0.17543859649122806,0.2857142857142857,0.29545454545454547,0.4745762711864407,0.29850746268656714,0.25165562913907286,0.0,0.19117647058823528,0.41509433962264153,0.1875,,1.0
-11,0.375,0.08771929824561403,0.4,0.18666666666666668,0.4583333333333333,0.2,0.1870967741935484,0.23809523809523808,,0.3157894736842105,0.16470588235294117,0.3953488372093023,0.44,0.2619047619047619,0.3333333333333333,0.4444444444444444,0.2268041237113402,0.3888888888888889,0.17073170731707318,0.29411764705882354,0.275,0.2777777777777778,0.25,0.26,0.345679012345679,0.2830188679245283,0.25806451612903225,0.2698412698412698,0.25675675675675674,0.225,0.2857142857142857,0.22580645161290322,0.527027027027027,0.4444444444444444,0.34962406015037595,0.18181818181818182,0.2777777777777778,0.19047619047619047,0.19230769230769232,,0.2857142857142857
-10,0.25,0.28,0.6,0.08641975308641975,0.288135593220339,0.22697368421052633,0.23178807947019867,0.35714285714285715,,0.2191780821917808,0.24528301886792453,0.14285714285714285,0.5,0.28125,,0.0,0.2972972972972973,0.29411764705882354,0.16666666666666666,0.5833333333333334,0.19540229885057472,0.42857142857142855,0.3333333333333333,0.35,0.23404255319148937,0.3235294117647059,0.3333333333333333,0.23214285714285715,0.2191780821917808,0.2894736842105263,0.125,0.36046511627906974,0.37142857142857144,0.38181818181818183,0.31843575418994413,0.5,0.2755905511811024,0.4444444444444444,0.16,,0.5
-9,0.3229166666666667,0.13157894736842105,0.6,0.15853658536585366,0.2807017543859649,0.25524475524475526,0.24922118380062305,0.38461538461538464,,0.36764705882352944,0.16483516483516483,0.2564102564102564,0.391304347826087,0.23015873015873015,0.5,0.0,0.3224043715846995,0.13333333333333333,0.1891891891891892,0.5,0.23163841807909605,0.38461538461538464,,0.20408163265306123,0.21052631578947367,0.20689655172413793,0.2571428571428571,0.3275862068965517,0.3105590062111801,0.25,0.2222222222222222,0.29591836734693877,0.4230769230769231,0.359375,0.25986078886310904,0.1111111111111111,0.18796992481203006,0.2967032967032967,0.15,,0.0
-8,0.3333333333333333,0.22580645161290322,0.0,0.1267605633802817,0.34210526315789475,0.28957528957528955,0.17465753424657535,0.34146341463414637,0.0,0.2727272727272727,0.17105263157894737,0.14634146341463414,0.3333333333333333,0.2857142857142857,0.0,0.42857142857142855,0.28654970760233917,0.23529411764705882,0.19444444444444445,0.26666666666666666,0.2809917355371901,0.4444444444444444,0.3333333333333333,0.36363636363636365,0.25,0.22916666666666666,0.20833333333333334,0.2,0.2753623188405797,0.35,0.36363636363636365,0.35,0.5423728813559322,0.2909090909090909,0.2631578947368421,0.0,0.14606741573033707,0.2702702702702703,0.375,,0.0
-7,0.3404255319148936,0.16129032258064516,0.25,0.1927710843373494,0.3,0.3039647577092511,0.20666666666666667,0.5666666666666667,,0.23728813559322035,0.36,0.1724137931034483,0.32386363636363635,0.3333333333333333,0.0,0.14285714285714285,0.25,0.373134328358209,0.15,0.30434782608695654,0.24817518248175183,0.48148148148148145,,0.28,0.32653061224489793,0.2647058823529412,0.3181818181818182,0.23809523809523808,0.3548387096774194,0.3888888888888889,0.2857142857142857,0.2391304347826087,0.576271186440678,0.3125,0.24361948955916474,0.0,0.13071895424836602,0.21739130434782608,0.2,0.1951219512195122,0.75
-6,0.26851851851851855,0.1724137931034483,0.25,0.15384615384615385,0.2978723404255319,0.2774869109947644,0.19973190348525469,0.5945945945945946,1.0,0.2727272727272727,0.30409356725146197,0.34146341463414637,0.3472222222222222,0.37373737373737376,0.5,0.38095238095238093,0.215,0.25217391304347825,0.2191780821917808,0.25,0.26595744680851063,0.575,0.6666666666666666,0.203125,0.22916666666666666,0.35185185185185186,0.3684210526315789,0.2974683544303797,0.2824858757062147,0.4107142857142857,0.0,0.2903225806451613,0.5045871559633027,0.25925925925925924,0.27983539094650206,0.125,0.15568862275449102,0.3548387096774194,0.2727272727272727,0.3548387096774194,0.6666666666666666
-5,0.27184466019417475,0.03773584905660377,0.0,0.12195121951219512,0.32941176470588235,0.28653295128939826,0.1855541718555417,0.3870967741935484,,0.26875,0.30456852791878175,0.22727272727272727,0.2930232558139535,0.3826086956521739,0.0,0.375,0.3138075313807531,0.3595505617977528,0.26,0.2857142857142857,0.25,0.35,0.0,0.17777777777777778,0.2,0.21686746987951808,0.11320754716981132,0.21768707482993196,0.310126582278481,0.296875,0.375,0.2670807453416149,0.5245901639344263,0.28125,0.2673469387755102,0.09090909090909091,0.16568047337278108,0.34306569343065696,0.14285714285714285,0.26666666666666666,0.125
-4,0.2608695652173913,0.16216216216216217,0.75,0.1506849315068493,0.37037037037037035,0.2966751918158568,0.17060367454068243,0.6388888888888888,,0.2733812949640288,0.3073170731707317,0.24528301886792453,0.3604060913705584,0.2974683544303797,1.0,0.14285714285714285,0.2871287128712871,0.27184466019417475,0.1694915254237288,0.3,0.2898550724637681,0.5714285714285714,0.5,0.16666666666666666,0.14814814814814814,0.425531914893617,0.38461538461538464,0.23076923076923078,0.2781065088757396,0.391304347826087,0.14285714285714285,0.24404761904761904,0.5161290322580645,0.2571428571428571,0.24911660777385158,0.26666666666666666,0.21890547263681592,0.2459016393442623,0.15,0.3939393939393939,0.42857142857142855
-3,0.3103448275862069,0.0,0.3333333333333333,0.15492957746478872,0.3508771929824561,0.1819620253164557,0.16666666666666666,0.3235294117647059,0.0,0.22818791946308725,0.25210084033613445,0.2571428571428571,0.3155080213903743,0.3103448275862069,0.0,0.1111111111111111,0.29464285714285715,0.3008130081300813,0.13846153846153847,0.2413793103448276,0.23076923076923078,0.3,,0.2916666666666667,0.2125,0.2638888888888889,0.25,0.3048780487804878,0.3076923076923077,0.49056603773584906,0.4,0.21374045801526717,0.4827586206896552,0.3188405797101449,0.252,0.25,0.24019607843137256,0.2810810810810811,0.13333333333333333,0.30303030303030304,0.25
-2,0.2871287128712871,0.1568627450980392,0.0,0.17777777777777778,0.1875,0.2522255192878338,0.1743119266055046,0.6060606060606061,,0.2361111111111111,0.25675675675675674,0.22916666666666666,0.3795180722891566,0.36363636363636365,0.0,0.3103448275862069,0.2604166666666667,0.3211009174311927,0.15873015873015872,0.28125,0.35772357723577236,0.5,0.0,0.2391304347826087,0.27058823529411763,0.2727272727272727,0.34615384615384615,0.3271604938271605,0.25773195876288657,0.41379310344827586,0.125,0.2631578947368421,0.4788732394366197,0.32075471698113206,0.23251417769376181,0.0,0.24752475247524752,0.27011494252873564,0.1,0.2631578947368421,0.0
-1,0.2976190476190476,0.08695652173913043,0.5,0.12643678160919541,0.35294117647058826,0.25461254612546125,0.22290076335877862,0.4444444444444444,,0.2328767123287671,0.22448979591836735,0.2631578947368421,0.33112582781456956,0.23893805309734514,0.3333333333333333,0.38461538461538464,0.3253588516746411,0.288135593220339,0.15873015873015872,0.35714285714285715,0.2971014492753623,0.625,0.0,0.2558139534883721,0.23684210526315788,0.2558139534883721,0.08,0.30434782608695654,0.2644628099173554,0.4126984126984127,0.2222222222222222,0.24475524475524477,0.5111111111111111,0.43636363636363634,0.2155688622754491,0.08333333333333333,0.20454545454545456,0.36075949367088606,0.3125,0.2,0.4444444444444444
0,0.2268041237113402,0.21052631578947367,0.25,0.13333333333333333,0.23684210526315788,0.252212389380531,0.16434892541087232,0.5,,0.24193548387096775,0.29012345679012347,0.25,0.35609756097560974,0.29133858267716534,0.0,0.5,0.27717391304347827,0.2978723404255319,0.07692307692307693,0.4,0.24647887323943662,0.5625,,0.1956521739130435,0.3333333333333333,0.3103448275862069,0.35714285714285715,0.2913907284768212,0.3069306930693069,0.4,0.16666666666666666,0.25477707006369427,0.5227272727272727,0.3611111111111111,0.23415492957746478,0.06666666666666667,0.20192307692307693,0.2866666666666667,0.3181818181818182,0.16666666666666666,
1,0.2159090909090909,0.15789473684210525,0.2222222222222222,0.1746031746031746,0.4791666666666667,0.24378109452736318,0.17084826762246116,0.3584905660377358,1.0,0.29591836734693877,0.31004366812227074,0.2702702702702703,0.3482142857142857,0.24242424242424243,0.0,0.3333333333333333,0.30837004405286345,0.25225225225225223,0.24691358024691357,0.3333333333333333,0.27007299270072993,0.39285714285714285,0.0,0.2857142857142857,0.323943661971831,0.38202247191011235,0.10526315789473684,0.23622047244094488,0.2556390977443609,0.4117647058823529,0.2,0.21910112359550563,0.44047619047619047,0.3466666666666667,0.23771790808240886,0.2,0.24347826086956523,0.3128205128205128,0.3076923076923077,0.23529411764705882,0.3333333333333333
2,0.32075471698113206,0.12195121951219512,0.0,0.14864864864864866,0.3584905660377358,0.23178807947019867,0.17724550898203592,0.5238095238095238,,0.2537313432835821,0.2985781990521327,0.3,0.35772357723577236,0.28,,0.3157894736842105,0.2672811059907834,0.3082706766917293,0.21348314606741572,0.375,0.3106060606060606,0.24242424242424243,0.0,0.34285714285714286,0.2638888888888889,0.3673469387755102,0.3333333333333333,0.29411764705882354,0.15873015873015872,0.36065573770491804,0.0,0.22033898305084745,0.5058823529411764,0.32222222222222224,0.23835125448028674,0.25,0.270042194092827,0.3172043010752688,0.14285714285714285,0.17391304347826086,0.0
3,0.2549019607843137,0.08,0.42857142857142855,0.1111111111111111,0.25,0.2463768115942029,0.1956241956241956,0.5,,0.25120772946859904,0.29949238578680204,0.21621621621621623,0.34765625,0.24770642201834864,0.0,0.15,0.23809523809523808,0.2358490566037736,0.13636363636363635,0.43103448275862066,0.23529411764705882,0.38636363636363635,1.0,0.23529411764705882,0.24324324324324326,0.22,0.20930232558139536,0.23178807947019867,0.216,0.34375,0.25,0.13761467889908258,0.4158415841584158,0.3333333333333333,0.2450657894736842,0.1111111111111111,0.21962616822429906,0.3567567567567568,0.29411764705882354,0.15384615384615385,0.42857142857142855
4,0.25396825396825395,0.14285714285714285,0.0,0.10526315789473684,0.2777777777777778,0.22119815668202766,0.20239680426098536,0.45614035087719296,,0.2579185520361991,0.2857142857142857,0.13157894736842105,0.340080971659919,0.16,0.0,0.3333333333333333,0.29743589743589743,0.375,0.1111111111111111,0.4888888888888889,0.22994652406417113,0.6388888888888888,0.4,0.2631578947368421,0.323943661971831,0.36065573770491804,0.20930232558139536,0.25287356321839083,0.1297709923664122,0.328125,0.3333333333333333,0.20689655172413793,0.40816326530612246,0.3561643835616438,0.302713987473904,0.09090909090909091,0.28125,0.3090909090909091,0.05263157894736842,0.38461538461538464,0.3333333333333333
5,0.25688073394495414,0.23404255319148937,0.75,0.06097560975609756,0.28125,0.27061310782241016,0.18765432098765433,0.5,1.0,0.2838427947598253,0.23737373737373738,0.35714285714285715,0.33,0.15254237288135594,0.0,0.4,0.25125628140703515,0.3867924528301887,0.15476190476190477,0.54,0.30097087378640774,0.4,0.0,0.14285714285714285,0.23376623376623376,0.3416666666666667,0.2727272727272727,0.3128834355828221,0.1984126984126984,0.41935483870967744,0.25,0.2727272727272727,0.5444444444444444,0.3950617283950617,0.2783687943262411,0.125,0.25,0.3556701030927835,0.46153846153846156,0.47058823529411764,0.2857142857142857
6,0.17894736842105263,0.12962962962962962,0.16666666666666666,0.18181818181818182,0.19718309859154928,0.26405867970660146,0.16169724770642202,0.5454545454545454,,0.18041237113402062,0.22857142857142856,0.2708333333333333,0.3532608695652174,0.2222222222222222,0.0,0.29411764705882354,0.2663755458515284,0.27184466019417475,0.20833333333333334,0.4166666666666667,0.24324324324324326,0.5,0.5,0.23529411764705882,0.3088235294117647,0.33043478260869563,0.23333333333333334,0.23295454545454544,0.1456953642384106,0.35714285714285715,0.125,0.20408163265306123,0.5384615384615384,0.2972972972972973,0.2706333973128599,0.0625,0.24479166666666666,0.2905027932960894,0.05555555555555555,0.23076923076923078,0.3333333333333333
7,0.24731182795698925,0.17777777777777778,0.6666666666666666,0.13924050632911392,0.2777777777777778,0.2293144208037825,0.1662269129287599,0.38333333333333336,,0.24890829694323144,0.2966101694915254,0.25,0.33796296296296297,0.23255813953488372,0.0,0.35294117647058826,0.2830188679245283,0.30392156862745096,0.2,0.3953488372093023,0.29411764705882354,0.4,0.0,0.11363636363636363,0.26744186046511625,0.2743362831858407,0.12903225806451613,0.25308641975308643,0.17763157894736842,0.38461538461538464,0.3125,0.2571428571428571,0.35353535353535354,0.24,0.28371278458844135,0.0,0.2716049382716049,0.25203252032520324,0.043478260869565216,0.26666666666666666,0.16666666666666666
