cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.015151515151515152,0.0,0.0,0.0,0.0,0.03333333333333333,0.055248618784530384,0.18518518518518517,,0.1038961038961039,0.05714285714285714,0.0,0.08823529411764706,0.13186813186813187,,0.0,0.112,0.1,0.21428571428571427,0.0,0.053763440860215055,0.0,0.0,0.07692307692307693,0.03636363636363636,0.06666666666666667,0.14814814814814814,0.0,0.12987012987012986,0.12903225806451613,0.0,0.058823529411764705,0.38095238095238093,0.08571428571428572,0.03926701570680628,0.0,0.15254237288135594,0.08771929824561403,0.0,,
-12,0.05154639175257732,0.020833333333333332,0.0,0.03076923076923077,0.046511627906976744,0.09,0.06164383561643835,0.15217391304347827,,0.11764705882352941,0.0425531914893617,0.05555555555555555,0.34375,0.10948905109489052,0.0,0.0,0.15873015873015872,0.125,0.04878048780487805,0.05,0.0851063829787234,0.0,0.0,0.10869565217391304,0.08333333333333333,0.0641025641025641,0.16,0.203125,0.07575757575757576,0.05263157894736842,0.0,0.06818181818181818,0.3559322033898305,0.08955223880597014,0.04415011037527594,0.0,0.11764705882352941,0.12264150943396226,0.0625,,0.3333333333333333
-11,0.07142857142857142,0.0,0.0,0.04,0.041666666666666664,0.07384615384615385,0.04838709677419355,0.07936507936507936,,0.19736842105263158,0.03529411764705882,0.0,0.2,0.09523809523809523,0.0,0.0,0.11855670103092783,0.1388888888888889,0.0975609756097561,0.11764705882352941,0.1125,0.05555555555555555,0.0,0.1,0.06172839506172839,0.1320754716981132,0.12903225806451613,0.06349206349206349,0.07432432432432433,0.075,0.2857142857142857,0.043010752688172046,0.35135135135135137,0.125,0.06766917293233082,0.0,0.1574074074074074,0.07936507936507936,0.038461538461538464,,0.0
-10,0.07894736842105263,0.0,0.2,0.024691358024691357,0.05084745762711865,0.08223684210526316,0.04966887417218543,0.09523809523809523,,0.0821917808219178,0.05660377358490566,0.0,0.2692307692307692,0.140625,,0.0,0.15675675675675677,0.08823529411764706,0.06666666666666667,0.16666666666666666,0.06321839080459771,0.07142857142857142,0.0,0.175,0.10638297872340426,0.058823529411764705,0.06666666666666667,0.07142857142857142,0.06164383561643835,0.15789473684210525,0.0,0.046511627906976744,0.22857142857142856,0.10909090909090909,0.0595903165735568,0.5,0.15748031496062992,0.09090909090909091,0.0,,0.3333333333333333
-9,0.08333333333333333,0.0,0.2,0.0,0.03508771929824561,0.05944055944055944,0.059190031152647975,0.09615384615384616,,0.16176470588235295,0.04395604395604396,0.0,0.2608695652173913,0.09523809523809523,0.0,0.0,0.17486338797814208,0.0,0.02702702702702703,0.16666666666666666,0.03954802259887006,0.07692307692307693,,0.0,0.06315789473684211,0.05172413793103448,0.14285714285714285,0.06896551724137931,0.07453416149068323,0.038461538461538464,0.0,0.05102040816326531,0.4230769230769231,0.078125,0.04408352668213457,0.1111111111111111,0.12030075187969924,0.08791208791208792,0.1,,0.0
-8,0.04938271604938271,0.03225806451612903,0.0,0.0,0.10526315789473684,0.07335907335907337,0.03767123287671233,0.0975609756097561,0.0,0.14545454545454545,0.06578947368421052,0.04878048780487805,0.16666666666666666,0.15966386554621848,0.0,0.0,0.11695906432748537,0.08823529411764706,0.05555555555555555,0.13333333333333333,0.08264462809917356,0.1111111111111111,0.0,0.18181818181818182,0.03571428571428571,0.020833333333333332,0.16666666666666666,0.01818181818181818,0.057971014492753624,0.0,0.0,0.09,0.3728813559322034,0.07272727272727272,0.03728070175438596,0.0,0.0449438202247191,0.15315315315315314,0.125,,0.0
-7,0.10638297872340426,0.0,0.0,0.08433734939759036,0.06666666666666667,0.08370044052863436,0.05,0.1,,0.1016949152542373,0.07333333333333333,0.0,0.10795454545454546,0.14102564102564102,0.0,0.0,0.12837837837837837,0.19402985074626866,0.03333333333333333,0.043478260869565216,0.0364963503649635,0.0,,0.04,0.04081632653061224,0.014705882352941176,0.22727272727272727,0.047619047619047616,0.13709677419354838,0.08333333333333333,0.0,0.08695652173913043,0.423728813559322,0.08333333333333333,0.06496519721577726,0.0,0.058823529411764705,0.05434782608695652,0.0,0.04878048780487805,0.5
-6,0.046296296296296294,0.0,0.0,0.03418803418803419,0.0851063829787234,0.10209424083769633,0.040214477211796246,0.16216216216216217,0.0,0.10909090909090909,0.0935672514619883,0.024390243902439025,0.12962962962962962,0.12121212121212122,0.0,0.14285714285714285,0.125,0.09565217391304348,0.0821917808219178,0.025,0.05851063829787234,0.05,0.3333333333333333,0.0625,0.0625,0.05555555555555555,0.2631578947368421,0.06962025316455696,0.0903954802259887,0.16071428571428573,0.0,0.03870967741935484,0.3761467889908257,0.04938271604938271,0.07613168724279835,0.125,0.0658682634730539,0.0967741935483871,0.09090909090909091,0.0,0.6666666666666666
-5,0.05825242718446602,0.0,0.0,0.024390243902439025,0.023529411764705882,0.07449856733524356,0.049813200498132,0.06451612903225806,,0.1125,0.05583756345177665,0.022727272727272728,0.11162790697674418,0.16521739130434782,0.0,0.0,0.14644351464435146,0.12359550561797752,0.1,0.03571428571428571,0.06372549019607843,0.05,0.0,0.1111111111111111,0.08571428571428572,0.0963855421686747,0.03773584905660377,0.06802721088435375,0.06962025316455696,0.15625,0.0,0.10559006211180125,0.3770491803278688,0.0625,0.05714285714285714,0.0,0.07100591715976332,0.1386861313868613,0.14285714285714285,0.0,0.0
-4,0.08695652173913043,0.0,0.0,0.0547945205479452,0.037037037037037035,0.08184143222506395,0.048556430446194225,0.2222222222222222,,0.12949640287769784,0.07317073170731707,0.05660377358490566,0.1065989847715736,0.11392405063291139,0.0,0.07142857142857142,0.1485148514851485,0.0970873786407767,0.06779661016949153,0.03333333333333333,0.09420289855072464,0.0,0.0,0.018518518518518517,0.012345679012345678,0.05319148936170213,0.19230769230769232,0.04395604395604396,0.07692307692307693,0.13043478260869565,0.0,0.03571428571428571,0.3978494623655914,0.014285714285714285,0.05123674911660778,0.2,0.09950248756218906,0.08196721311475409,0.0,0.09090909090909091,0.2857142857142857
-3,0.10344827586206896,0.0,0.0,0.056338028169014086,0.03508771929824561,0.0680379746835443,0.04296875,0.058823529411764705,0.0,0.10067114093959731,0.04201680672268908,0.05714285714285714,0.12299465240641712,0.08045977011494253,0.0,0.0,0.125,0.08130081300813008,0.06153846153846154,0.06896551724137931,0.057692307692307696,0.03333333333333333,,0.16666666666666666,0.0375,0.041666666666666664,0.21428571428571427,0.07926829268292683,0.09401709401709402,0.2641509433962264,0.2,0.03816793893129771,0.3218390804597701,0.057971014492753624,0.05,0.0,0.1568627450980392,0.11351351351351352,0.06666666666666667,0.06060606060606061,0.125
-2,0.039603960396039604,0.0,0.0,0.022222222222222223,0.0,0.08605341246290801,0.053735255570117955,0.15151515151515152,,0.1597222222222222,0.10810810810810811,0.0,0.1144578313253012,0.14545454545454545,0.0,0.06896551724137931,0.140625,0.14678899082568808,0.015873015873015872,0.0,0.08130081300813008,0.125,0.0,0.06521739130434782,0.023529411764705882,0.09090909090909091,0.07692307692307693,0.13580246913580246,0.041237113402061855,0.08620689655172414,0.0,0.08771929824561403,0.29577464788732394,0.018867924528301886,0.054820415879017016,0.0,0.1782178217821782,0.16091954022988506,0.0,0.05263157894736842,0.0
