cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.015151515151515152,0.0,0.0,0.023809523809523808,0.041666666666666664,0.011111111111111112,0.011049723756906077,0.037037037037037035,,0.0,0.0,0.0,0.0,0.0,,0.0,0.008,0.05,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.023809523809523808,0.0,0.013089005235602094,0.0,0.0,0.017543859649122806,0.0,,
-12,0.010309278350515464,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.06521739130434782,,0.0,0.0,0.027777777777777776,0.0,0.014598540145985401,0.0,0.0,0.0,0.0,0.0,0.05,0.014184397163120567,0.0,0.0,0.0,0.023809523809523808,0.038461538461538464,0.04,0.015625,0.015151515151515152,0.0,0.0,0.022727272727272728,0.0,0.029850746268656716,0.011037527593818985,0.0,0.0,0.03773584905660377,0.0,,0.0
-11,0.0,0.0,0.0,0.013333333333333334,0.041666666666666664,0.009230769230769232,0.0064516129032258064,0.031746031746031744,,0.0,0.0,0.046511627906976744,0.0,0.015873015873015872,0.0,0.1111111111111111,0.005154639175257732,0.0,0.0,0.0,0.01875,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.013513513513513514,0.05,0.0,0.03225806451612903,0.0,0.041666666666666664,0.02819548872180451,0.0,0.0,0.023809523809523808,0.0,,0.0
-10,0.0,0.0,0.0,0.0,0.01694915254237288,0.006578947368421052,0.006622516556291391,0.0,,0.0,0.009433962264150943,0.03571428571428571,0.019230769230769232,0.0,,0.0,0.005405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.017857142857142856,0.00684931506849315,0.0,0.0,0.03488372093023256,0.0,0.0,0.01675977653631285,0.0,0.007874015748031496,0.06060606060606061,0.0,,0.0
-9,0.010416666666666666,0.0,0.0,0.0,0.017543859649122806,0.0034965034965034965,0.012461059190031152,0.019230769230769232,,0.014705882352941176,0.0,0.0,0.0,0.0,0.5,0.0,0.01639344262295082,0.0,0.0,0.0,0.022598870056497175,0.0,,0.0,0.0,0.0,0.0,0.034482758620689655,0.006211180124223602,0.0,0.0,0.01020408163265306,0.0,0.0,0.009280742459396751,0.0,0.0,0.01098901098901099,0.0,,0.0
-8,0.012345679012345678,0.0,0.0,0.014084507042253521,0.0,0.003861003861003861,0.003424657534246575,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.01680672268907563,0.0,0.0,0.011695906432748537,0.0,0.027777777777777776,0.0,0.024793388429752067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.01818181818181818,0.013157894736842105,0.0,0.011235955056179775,0.009009009009009009,0.0,,0.0
-7,0.02127659574468085,0.0,0.0,0.0,0.0,0.02643171806167401,0.006666666666666667,0.0,,0.0,0.0,0.0,0.005681818181818182,0.01282051282051282,0.0,0.14285714285714285,0.006756756756756757,0.014925373134328358,0.0,0.043478260869565216,0.021897810218978103,0.0,,0.0,0.0,0.0,0.0,0.03571428571428571,0.016129032258064516,0.0,0.0,0.021739130434782608,0.01694915254237288,0.020833333333333332,0.009280742459396751,0.0,0.0,0.043478260869565216,0.0,0.0,0.0
-6,0.009259259259259259,0.0,0.0,0.017094017094017096,0.0,0.015706806282722512,0.012064343163538873,0.02702702702702703,0.0,0.00909090909090909,0.011695906432748537,0.024390243902439025,0.013888888888888888,0.0,0.0,0.0,0.01,0.017391304347826087,0.0,0.025,0.010638297872340425,0.025,0.0,0.0,0.0,0.037037037037037035,0.0,0.02531645569620253,0.022598870056497175,0.03571428571428571,0.0,0.01935483870967742,0.009174311926605505,0.0,0.00823045267489712,0.0,0.0,0.03225806451612903,0.0,0.0,0.0
-5,0.0,0.0,0.0,0.024390243902439025,0.011764705882352941,0.011461318051575931,0.0037359900373599006,0.03225806451612903,,0.0,0.0,0.022727272727272728,0.013953488372093023,0.008695652173913044,0.0,0.0,0.012552301255230125,0.0,0.02,0.0,0.00980392156862745,0.075,0.0,0.0,0.0,0.012048192771084338,0.0,0.02040816326530612,0.006329113924050633,0.0,0.0,0.012422360248447204,0.0,0.03125,0.0163265306122449,0.0,0.011834319526627219,0.021897810218978103,0.0,0.0,0.0
-4,0.034782608695652174,0.0,0.0,0.0410958904109589,0.018518518518518517,0.010230179028132993,0.006561679790026247,0.0,,0.0,0.00975609756097561,0.018867924528301886,0.02030456852791878,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.03333333333333333,0.021739130434782608,0.023809523809523808,0.0,0.0,0.0,0.010638297872340425,0.0,0.02197802197802198,0.011834319526627219,0.014492753623188406,0.0,0.017857142857142856,0.0,0.0,0.014134275618374558,0.0,0.004975124378109453,0.0,0.0,0.0,0.0
-3,0.011494252873563218,0.0,0.0,0.014084507042253521,0.0,0.0031645569620253164,0.00390625,0.0,0.0,0.006711409395973154,0.008403361344537815,0.0,0.0106951871657754,0.011494252873563218,0.0,0.0,0.008928571428571428,0.04065040650406504,0.0,0.0,0.01282051282051282,0.0,,0.041666666666666664,0.025,0.027777777777777776,0.0,0.006097560975609756,0.008547008547008548,0.05660377358490566,0.0,0.0,0.0,0.028985507246376812,0.016,0.0,0.0,0.016216216216216217,0.0,0.0,0.0
-2,0.009900990099009901,0.0196078431372549,0.0,0.0,0.0,0.005934718100890208,0.001310615989515072,0.030303030303030304,,0.006944444444444444,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.005208333333333333,0.01834862385321101,0.0,0.0625,0.04065040650406504,0.0,0.0,0.0,0.03529411764705882,0.0,0.038461538461538464,0.006172839506172839,0.010309278350515464,0.05172413793103448,0.0,0.011695906432748537,0.014084507042253521,0.018867924528301886,0.005671077504725898,0.0,0.0049504950495049506,0.011494252873563218,0.0,0.0,0.0
-1,0.0,0.0,0.0,0.0,0.0,0.01107011070110701,0.007633587786259542,0.0,,0.00684931506849315,0.0,0.0,0.013245033112582781,0.008849557522123894,0.0,0.0,0.009569377990430622,0.0,0.015873015873015872,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.03305785123966942,0.015873015873015872,0.0,0.02097902097902098,0.0,0.01818181818181818,0.00998003992015968,0.0,0.0,0.02531645569620253,0.0625,0.0,0.0
0,0.020618556701030927,0.0,0.0,0.013333333333333334,0.0,0.0022123893805309734,0.0037926675094816687,0.0,,0.010752688172043012,0.0,0.0,0.014634146341463415,0.0,0.0,0.05555555555555555,0.005434782608695652,0.02127659574468085,0.0,0.0,0.028169014084507043,0.0,,0.0,0.02564102564102564,0.011494252873563218,0.03571428571428571,0.013245033112582781,0.019801980198019802,0.016666666666666666,0.08333333333333333,0.006369426751592357,0.0,0.013888888888888888,0.01232394366197183,0.0,0.004807692307692308,0.013333333333333334,0.0,0.041666666666666664,
1,0.0,0.017543859649122806,0.1111111111111111,0.031746031746031744,0.0,0.014925373134328358,0.007168458781362007,0.0,0.0,0.01020408163265306,0.017467248908296942,0.0,0.03125,0.0,0.0,0.05555555555555555,0.00881057268722467,0.009009009009009009,0.0,0.016666666666666666,0.014598540145985401,0.03571428571428571,0.0,0.04081632653061224,0.014084507042253521,0.011235955056179775,0.0,0.015748031496062992,0.015037593984962405,0.04411764705882353,0.0,0.02247191011235955,0.011904761904761904,0.06666666666666667,0.011093502377179081,0.0,0.0,0.02564102564102564,0.07692307692307693,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.004415011037527594,0.005988023952095809,0.015873015873015872,,0.009950248756218905,0.009478672985781991,0.0,0.016260162601626018,0.0,,0.0,0.009216589861751152,0.03007518796992481,0.0,0.0,0.007575757575757576,0.0,0.0,0.08571428571428572,0.0,0.030612244897959183,0.0,0.023529411764705882,0.015873015873015872,0.03278688524590164,0.0,0.011299435028248588,0.0,0.022222222222222223,0.008960573476702509,0.0,0.004219409282700422,0.010752688172043012,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.025,0.004830917874396135,0.005148005148005148,0.017857142857142856,,0.00966183574879227,0.005076142131979695,0.0,0.00390625,0.0,0.0,0.0,0.005291005291005291,0.018867924528301886,0.0,0.06896551724137931,0.01764705882352941,0.0,1.0,0.0,0.013513513513513514,0.01,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.009900990099009901,0.011494252873563218,0.008223684210526315,0.0,0.0,0.03783783783783784,0.0,0.0,0.0
4,0.015873015873015872,0.0,0.0,0.0,0.0,0.009216589861751152,0.002663115845539281,0.017543859649122806,,0.02262443438914027,0.009523809523809525,0.0,0.004048582995951417,0.0,0.0,0.0,0.005128205128205128,0.017857142857142856,0.0,0.022222222222222223,0.0053475935828877,0.0,0.2,0.017543859649122806,0.014084507042253521,0.040983606557377046,0.0,0.022988505747126436,0.0,0.03125,0.0,0.0,0.0,0.0136986301369863,0.014613778705636743,0.0,0.020833333333333332,0.01818181818181818,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.015625,0.008456659619450317,0.0024691358024691358,0.0,0.0,0.017467248908296942,0.005050505050505051,0.0,0.005,0.0,0.0,0.0,0.005025125628140704,0.02830188679245283,0.0,0.04,0.009708737864077669,0.02,0.0,0.0,0.012987012987012988,0.025,0.06060606060606061,0.018404907975460124,0.0,0.0,0.0,0.019138755980861243,0.0,0.012345679012345678,0.010638297872340425,0.0,0.005555555555555556,0.02577319587628866,0.0,0.0,0.0
6,0.010526315789473684,0.018518518518518517,0.0,0.0,0.028169014084507043,0.009779951100244499,0.006880733944954129,0.030303030303030304,,0.0,0.012244897959183673,0.041666666666666664,0.005434782608695652,0.0,0.0,0.0,0.008733624454148471,0.02912621359223301,0.0,0.0,0.021621621621621623,0.0,0.0,0.0196078431372549,0.014705882352941176,0.02608695652173913,0.03333333333333333,0.017045454545454544,0.006622516556291391,0.02857142857142857,0.0,0.01020408163265306,0.0,0.013513513513513514,0.009596928982725527,0.0,0.010416666666666666,0.01675977653631285,0.0,0.038461538461538464,0.1111111111111111
7,0.010752688172043012,0.0,0.0,0.02531645569620253,0.018518518518518517,0.004728132387706856,0.0079155672823219,0.05,,0.0,0.0,0.027777777777777776,0.0,0.015503875968992248,0.0,0.0,0.014150943396226415,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.013157894736842105,0.0,0.125,0.02142857142857143,0.010101010101010102,0.0,0.02276707530647986,0.0,0.006172839506172839,0.0040650406504065045,0.0,0.0,0.0
8,0.0,0.0,0.0,0.01282051282051282,0.013888888888888888,0.010460251046025104,0.002583979328165375,0.015873015873015872,,0.0,0.01282051282051282,0.06060606060606061,0.0051813471502590676,0.007462686567164179,0.0,0.0,0.004672897196261682,0.022222222222222223,0.0,0.0,0.01507537688442211,0.027777777777777776,0.0,0.018518518518518517,0.0,0.0,0.04,0.014084507042253521,0.014925373134328358,0.08620689655172414,0.1111111111111111,0.025157232704402517,0.01694915254237288,0.04,0.02127659574468085,0.0,0.0055248618784530384,0.027932960893854747,0.0,0.0,0.0
9,0.0,0.0,0.0,0.013157894736842105,0.0,0.0022522522522522522,0.0038314176245210726,0.034482758620689655,,0.00909090909090909,0.011111111111111112,0.0,0.005681818181818182,0.006578947368421052,0.0,0.043478260869565216,0.008849557522123894,0.028037383177570093,0.0,0.0,0.015306122448979591,0.05555555555555555,0.0,0.0,0.02531645569620253,0.0,0.0,0.032467532467532464,0.0,0.0,0.0,0.01639344262295082,0.0,0.014084507042253521,0.01601423487544484,0.0,0.0,0.010810810810810811,0.0,0.0,0.0
