cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.09090909090909091,0.03333333333333333,0.0,0.047619047619047616,0.20833333333333334,0.08333333333333333,0.0718232044198895,0.037037037037037035,,0.03896103896103896,0.1,0.23076923076923078,0.058823529411764705,0.054945054945054944,,0.0,0.024,0.1,0.03571428571428571,0.2857142857142857,0.0967741935483871,0.15384615384615385,0.0,0.0,0.03636363636363636,0.03333333333333333,0.0,0.08108108108108109,0.11688311688311688,0.06451612903225806,0.16666666666666666,0.08823529411764706,0.047619047619047616,0.17142857142857143,0.05235602094240838,0.0,0.059322033898305086,0.12280701754385964,0.08333333333333333,,
-12,0.12371134020618557,0.08333333333333333,0.0,0.015384615384615385,0.18604651162790697,0.043333333333333335,0.1095890410958904,0.13043478260869565,,0.014705882352941176,0.07446808510638298,0.16666666666666666,0.0625,0.08759124087591241,0.0,0.1111111111111111,0.06878306878306878,0.0625,0.024390243902439025,0.15,0.07801418439716312,0.18181818181818182,0.0,0.021739130434782608,0.11904761904761904,0.10256410256410256,0.08,0.015625,0.08333333333333333,0.05263157894736842,0.14285714285714285,0.11363636363636363,0.03389830508474576,0.08955223880597014,0.04415011037527594,0.0,0.029411764705882353,0.07547169811320754,0.125,,0.0
-11,0.10714285714285714,0.03508771929824561,0.2,0.06666666666666667,0.1875,0.046153846153846156,0.11935483870967742,0.07936507936507936,,0.05263157894736842,0.03529411764705882,0.16279069767441862,0.18,0.07936507936507936,0.3333333333333333,0.1111111111111111,0.05670103092783505,0.1111111111111111,0.04878048780487805,0.17647058823529413,0.0625,0.1111111111111111,0.0,0.04,0.12345679012345678,0.05660377358490566,0.03225806451612903,0.07936507936507936,0.033783783783783786,0.075,0.0,0.06451612903225806,0.08108108108108109,0.16666666666666666,0.05639097744360902,0.0,0.09259259259259259,0.007936507936507936,0.07692307692307693,,0.14285714285714285
-10,0.09210526315789473,0.16,0.4,0.024691358024691357,0.0847457627118644,0.08223684210526316,0.13245033112582782,0.09523809523809523,,0.0547945205479452,0.07547169811320754,0.07142857142857142,0.09615384615384616,0.0625,,0.0,0.07567567567567568,0.058823529411764705,0.06666666666666667,0.08333333333333333,0.08620689655172414,0.2857142857142857,0.3333333333333333,0.1,0.10638297872340426,0.029411764705882353,0.06666666666666667,0.017857142857142856,0.07534246575342465,0.0,0.125,0.12790697674418605,0.05714285714285714,0.2,0.08193668528864059,0.0,0.03937007874015748,0.1111111111111111,0.0,,0.0
-9,0.125,0.10526315789473684,0.2,0.06097560975609756,0.15789473684210525,0.08041958041958042,0.13395638629283488,0.1346153846153846,,0.04411764705882353,0.054945054945054944,0.1794871794871795,0.06521739130434782,0.07142857142857142,0.0,0.0,0.03825136612021858,0.06666666666666667,0.08108108108108109,0.16666666666666666,0.07344632768361582,0.23076923076923078,,0.02040816326530612,0.08421052631578947,0.017241379310344827,0.02857142857142857,0.08620689655172414,0.055900621118012424,0.11538461538461539,0.0,0.14285714285714285,0.0,0.140625,0.03944315545243619,0.0,0.022556390977443608,0.054945054945054944,0.0,,0.0
-8,0.1111111111111111,0.06451612903225806,0.0,0.056338028169014086,0.18421052631578946,0.08494208494208494,0.08904109589041095,0.07317073170731707,0.0,0.01818181818181818,0.02631578947368421,0.04878048780487805,0.13333333333333333,0.058823529411764705,0.0,0.0,0.05847953216374269,0.029411764705882353,0.027777777777777776,0.13333333333333333,0.049586776859504134,0.2222222222222222,0.3333333333333333,0.030303030303030304,0.125,0.08333333333333333,0.0,0.12727272727272726,0.06521739130434782,0.1,0.18181818181818182,0.14,0.05084745762711865,0.10909090909090909,0.07017543859649122,0.0,0.06741573033707865,0.04504504504504504,0.125,,0.0
-7,0.1276595744680851,0.0967741935483871,0.0,0.04819277108433735,0.13333333333333333,0.06167400881057269,0.09666666666666666,0.13333333333333333,,0.03389830508474576,0.2,0.20689655172413793,0.14772727272727273,0.08974358974358974,0.0,0.0,0.0472972972972973,0.04477611940298507,0.016666666666666666,0.043478260869565216,0.08759124087591241,0.2962962962962963,,0.08,0.08163265306122448,0.1323529411764706,0.0,0.03571428571428571,0.04032258064516129,0.1388888888888889,0.0,0.09782608695652174,0.05084745762711865,0.10416666666666667,0.037122969837587005,0.0,0.058823529411764705,0.021739130434782608,0.2,0.07317073170731707,0.25
-6,0.1574074074074074,0.1206896551724138,0.0,0.05128205128205128,0.0425531914893617,0.0549738219895288,0.09115281501340483,0.16216216216216217,0.0,0.03636363636363636,0.08771929824561403,0.17073170731707318,0.13425925925925927,0.13131313131313133,0.5,0.19047619047619047,0.03,0.0782608695652174,0.0684931506849315,0.125,0.0851063829787234,0.175,0.3333333333333333,0.046875,0.09375,0.07407407407407407,0.0,0.08227848101265822,0.05649717514124294,0.08928571428571429,0.0,0.12903225806451613,0.07339449541284404,0.08641975308641975,0.06378600823045268,0.0,0.04790419161676647,0.056451612903225805,0.18181818181818182,0.16129032258064516,0.0
-5,0.10679611650485436,0.018867924528301886,0.0,0.024390243902439025,0.1411764705882353,0.09742120343839542,0.0921544209215442,0.12903225806451613,,0.04375,0.15736040609137056,0.13636363636363635,0.08837209302325581,0.10434782608695652,0.0,0.0625,0.06276150627615062,0.10112359550561797,0.04,0.10714285714285714,0.09313725490196079,0.1,0.0,0.0,0.08571428571428572,0.060240963855421686,0.0,0.027210884353741496,0.10126582278481013,0.078125,0.375,0.07453416149068323,0.06557377049180328,0.09375,0.044897959183673466,0.0,0.0650887573964497,0.08029197080291971,0.0,0.1,0.125
-4,0.06086956521739131,0.10810810810810811,0.25,0.0410958904109589,0.1111111111111111,0.10741687979539642,0.07611548556430446,0.2222222222222222,,0.02158273381294964,0.11219512195121951,0.09433962264150944,0.13705583756345177,0.10759493670886076,1.0,0.07142857142857142,0.054455445544554455,0.06796116504854369,0.06779661016949153,0.13333333333333333,0.08695652173913043,0.19047619047619047,0.0,0.05555555555555555,0.04938271604938271,0.0851063829787234,0.0,0.0989010989010989,0.03550295857988166,0.13043478260869565,0.14285714285714285,0.05357142857142857,0.03225806451612903,0.12857142857142856,0.04946996466431095,0.0,0.05472636815920398,0.03278688524590164,0.0,0.12121212121212122,0.0
