cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.07740066225165564,0.07549938464451386,0.057683270676691725,0.07650894752805582,0.06355550941306755,0.09763263365260512,0.08616848576954961,0.03786375661375661,0.007564484126984127,0.045174319727891155,0.08849013982324232,0.07546296296296297,0.17714285714285716,0.10473111658456487,0.11532738095238096,0.09469984802431612,0.0314334637964775,0.05995670995670995,0.0884047619047619,0.07432432432432433,0.057782296086751526,0.054454985119047616,0.10521708683473388,0.07051282051282051,0.07753413865546219,0.042248376623376625,0.11806491464510332,0.05191047378547379,0.06625635691169672,0.05825307651150347,0.1359126984126984,0.08446869488536156,0.04340668353955755,0.1513671875,0.05782372539593515,0.09850464576074332,0.14731693281542224,0.05815381708238851,0.0477734725965858,,0.10209627329192546
-12,0.051395440251572326,0.05970647260540877,0.06668083900226758,0.051781692406692406,0.04883333333333333,0.06618317825214376,0.075,0.0150804735301942,0.020709325396825396,0.044782366071428575,0.0517140449929972,0.032695578231292516,0.10671583850931678,0.058734207968901844,0.1648478835978836,0.07988473167044595,0.02630815936689862,0.04535455486542443,0.03655231829573935,0.06468141233766234,0.04306626797823981,0.014213875205254516,0.10057773109243698,0.05213212334113973,0.06225425950196592,0.02459890766342379,0.07291666666666667,0.04796522083153503,0.06200916230366492,0.05027636054421769,0.07839556277056277,0.056220794392523366,0.023917045141756122,0.11679639804639805,0.04152198069310369,0.05646645021645021,0.10324593884376493,0.015120415982484947,0.036889665286404416,,0.048327664399092966
-11,0.046230992396958784,0.05099295724295724,0.02562313988095238,0.0410042242703533,0.04897643178893179,0.07392693315858453,0.06672805059523809,0.020481121442659903,0.04149159663865546,0.0312875150060024,0.05587066991125107,0.05448568316215375,0.09953067765567766,0.08825865468886941,0.032950680272108845,0.06007584485407066,0.028947872465818012,0.033640984483681115,0.05168137657361795,0.06757232462877624,0.045357857857857856,0.053571428571428575,0.07827380952380952,0.03515061327561328,0.04040339157245632,0.0237483250876108,0.06710896164021164,0.03538179577007915,0.05141391663048198,0.0636560409287682,0.11965090090090089,0.04341071428571428,0.029002825877825877,0.09342508837596174,0.04394405343140363,0.05563350340136054,0.11345678236083165,0.024007936507936506,0.045775729646697384,,0.060267857142857144
-10,0.05168075684380032,0.046832115411005903,0.04332386363636364,0.03723998624720646,0.04652014652014652,0.0702078079414528,0.07158097947571632,0.029579156223893066,0.027157738095238092,0.02888257575757576,0.06482800175284838,0.03890162483912484,0.13533549783549784,0.062109436797974996,0.1661706349206349,0.07987570028011204,0.022585810974135846,0.046875,0.03705232092837135,0.05962643678160919,0.0421541057367829,0.0837249373433584,0.044642857142857144,0.03573828725038402,0.04357691658223573,0.023457792207792205,0.08668154761904762,0.03988945578231293,0.04773478835978836,0.05204643841007477,0.202833850931677,0.040291878172588835,0.02537368781378366,0.10670262896825397,0.041345081026040995,0.03382759353741497,0.12976953601953603,0.04203869047619047,0.04300394144144144,,0.06903108465608465
-9,0.05123623202743702,0.05606922057849415,0.05956010452961672,0.0535607228502912,0.04137576083064805,0.08272275990548891,0.08296296296296296,0.034126984126984124,0.03019957983193277,0.020244295634920636,0.06417710733486943,0.03675595238095238,0.12295386904761905,0.08137505816658912,0.13073979591836735,0.07189625850340135,0.01952885910148121,0.057273951247165535,0.035393457841852334,0.0511302835741038,0.04423440724604449,0.029017857142857144,0.07095864661654136,0.03728070175438596,0.026495070684523808,0.027290261598201512,0.08909674981103552,0.04302172027751498,0.04532230898790384,0.04820060207991242,0.1417091836734694,0.06449812788018433,0.03162993920972644,0.1183635752688172,0.04497173750678979,0.06906225604996095,0.13471977699530516,0.03229359925788497,0.04123700536552649,,0.04399181547619048
-8,0.0602361955420466,0.05717660775650467,0.09735275689223058,0.060718795093795096,0.09202694235588972,0.08500503860080617,0.07627138233934351,0.019684912008281572,0.028025793650793652,0.031426803394625176,0.07211808152580404,0.04823339886413281,0.15819444444444444,0.10732096892811178,0.10044642857142856,0.07589285714285714,0.023677736777367776,0.037793542074363994,0.061388888888888896,0.08502435064935064,0.04664938556067588,0.08680555555555555,0.14082792207792208,0.052306547619047614,0.05673363095238096,0.023025136259323006,0.08466641865079365,0.04087669018224573,0.0598827798663325,0.04683017785427424,0.17743764172335602,0.0530181623931624,0.03683816183816183,0.11333632615057196,0.05242855792345299,0.0555661094224924,0.14247997586131228,0.03285435267857143,0.039486921529175045,,0.06108630952380952
-7,0.06378952304394427,0.06707602912960056,0.10231356693620844,0.07747534648187633,0.0617816091954023,0.08884535957240039,0.10467520867111031,0.03869047619047619,0.039965986394557826,0.04780701754385965,0.12311707739137687,0.06068382077240345,0.16337917350848385,0.10423497267759563,0.17455357142857145,0.08368347338935575,0.03379529421196088,0.0688913379159195,0.08910373359870263,0.06918461829176115,0.06305627534925642,0.047177663438256655,0.15930059523809523,0.1798707356076759,0.04792650531286895,0.03523077211957338,0.09351325757575757,0.0548184085418128,0.06940418212739641,0.037578492935635796,0.09321428571428571,0.07425516502897454,0.037136452682338755,0.1422835195530726,0.06600063270922404,0.06749574829931973,0.1257563025210084,0.054456751054852315,0.06860785358919688,0.14448089318600368,0.059409340659340656
-6,0.06098465794768612,0.04428048236585701,0.0551878078817734,0.05110269914417379,0.07428607946245983,0.09321133770332606,0.08100098204264872,0.02819189602446483,0.031074929971988796,0.0569907035848047,0.07435257578057791,0.0766077783426538,0.0885014937533949,0.06944184741959611,0.06723484848484848,0.08660714285714285,0.023608720596672402,0.04646344232515894,0.04572099412215692,0.036904761904761905,0.03844002537901556,0.019407989099254157,0.018533549783549784,0.0589781746031746,0.04325266290726817,0.03172673531655225,0.08828250401284109,0.04148304566042355,0.043154761904761904,0.04208848893888264,0.11786954365079365,0.057173607450360216,0.03506649066197321,0.08950337597725658,0.05241236267729944,0.03365384615384615,0.09974380544509025,0.02593657519504977,0.03054181009753299,0.059432933478735,0.0541225749559083
-5,0.04565209096459096,0.054126346767757384,0.04580745341614907,0.047747400847131305,0.05621339444868856,0.0847956548161653,0.06086784763805722,0.03306878306878307,0.04031385281385281,0.0317675983436853,0.0629665298579109,0.033687025534851624,0.08951955782312926,0.06473533619456366,0.10907738095238095,0.07254464285714286,0.02345016954150081,0.038669950738916256,0.042966819080573405,0.03773809523809524,0.03974822425164891,0.026157407407407407,0.07724567099567099,0.04050682773109243,0.049638605442176874,0.023960183540556543,0.08308150183150184,0.036797485473852934,0.05097042358019695,0.04091726618705036,0.13078703703703703,0.04216616716616716,0.02886904761904762,0.10892557526366252,0.04681492162082224,0.04869111623143881,0.11623917748917749,0.021604339199447892,0.05223934331797235,0.06215728715728716,0.017410714285714286
-4,0.056841927129318966,0.05614446133063155,0.04904381965552178,0.043441805656272654,0.054532097649186255,0.07861705288175876,0.07782197766250759,0.04699500768049155,0.02773268398268398,0.016763191763191763,0.061436638310354945,0.044141252006420544,0.09162943346352626,0.06241030658838878,0.11681547619047619,0.06801358363858363,0.030131939139292078,0.043572154471544715,0.05641329540665824,0.040141828336272785,0.054690083498677246,0.033528071722516165,0.030391483516483516,0.07516420361247947,0.0419462481962482,0.026153420854507812,0.08254748528624933,0.035495389113810165,0.047585336723686235,0.05049221611721611,0.09064980158730158,0.04592228958003866,0.022841716148562115,0.10965918485449735,0.05080168281754715,0.042130488559059986,0.12650506049325266,0.02576694139194139,0.03550595238095238,0.08711910930175179,0.054563492063492064
