cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.3943089430894309,0.25886524822695034,0.7317073170731707,0.4913294797687861,0.4,0.392235609103079,0.35060449050086356,0.36046511627906974,0.42857142857142855,0.33707865168539325,0.3665943600867679,0.4411764705882353,0.33548387096774196,0.35944700460829493,0.3333333333333333,0.33962264150943394,0.4979253112033195,0.2916666666666667,0.2654320987654321,0.32098765432098764,0.4338919925512104,0.5714285714285714,0.35294117647058826,0.36363636363636365,0.5657894736842105,0.36909871244635195,0.4,0.5069767441860465,0.3080168776371308,0.5306122448979592,0.42857142857142855,0.35333333333333333,0.644927536231884,0.3694581280788177,0.3833693304535637,0.36363636363636365,0.3871866295264624,0.582089552238806,0.5,,0.52
-12,0.3499222395023328,0.24311183144246354,0.6136363636363636,0.47854785478547857,0.472,0.4485981308411215,0.3465909090909091,0.4722222222222222,0.4166666666666667,0.3854166666666667,0.3644524236983842,0.4429530201342282,0.31932773109243695,0.358974358974359,0.3333333333333333,0.46875,0.5085714285714286,0.46236559139784944,0.34554973821989526,0.3888888888888889,0.4658385093167702,0.25806451612903225,0.5789473684210527,0.43548387096774194,0.5535714285714286,0.4734042553191489,0.5949367088607594,0.45345345345345345,0.3281653746770026,0.4496124031007752,0.6818181818181818,0.37327188940092165,0.6467391304347826,0.41735537190082644,0.37242699856390615,0.32142857142857145,0.3931888544891641,0.4835164835164835,0.4928571428571429,,0.2857142857142857
-11,0.38535911602209943,0.2840409956076135,0.6060606060606061,0.4227129337539432,0.4066666666666667,0.4513826940231936,0.3488372093023256,0.4186046511627907,0.42105263157894735,0.36666666666666664,0.40350877192982454,0.4409937888198758,0.41284403669724773,0.34523809523809523,0.2857142857142857,0.5079365079365079,0.44146341463414634,0.4444444444444444,0.4222222222222222,0.24489795918367346,0.44296296296296295,0.4583333333333333,0.34210526315789475,0.35294117647058826,0.524822695035461,0.43070362473347545,0.3333333333333333,0.44148936170212766,0.2979942693409742,0.37398373983739835,0.40540540540540543,0.3715415019762846,0.6120092378752887,0.3702127659574468,0.37886037407568507,0.3055555555555556,0.35294117647058826,0.6122448979591837,0.49375,,0.4444444444444444
-10,0.39308176100628933,0.2222222222222222,0.6,0.4570446735395189,0.30597014925373134,0.42674532940019666,0.35318559556786705,0.4972067039106145,0.3125,0.4107142857142857,0.4361493123772102,0.46,0.23076923076923078,0.3377049180327869,0.0,0.36231884057971014,0.5012406947890818,0.4230769230769231,0.31496062992125984,0.2978723404255319,0.4327666151468315,0.48717948717948717,0.4230769230769231,0.4838709677419355,0.5763888888888888,0.450199203187251,0.34782608695652173,0.49171270718232046,0.34316353887399464,0.49206349206349204,0.4782608695652174,0.425,0.657608695652174,0.40329218106995884,0.37261852015950375,0.3333333333333333,0.35798816568047337,0.5942028985507246,0.44805194805194803,,0.23809523809523808
-9,0.38866930171277997,0.25401459854014596,0.5581395348837209,0.423728813559322,0.4326241134751773,0.40252707581227437,0.3463687150837989,0.4166666666666667,0.47058823529411764,0.47474747474747475,0.44612476370510395,0.4689655172413793,0.43434343434343436,0.4025157232704403,0.14285714285714285,0.5068493150684932,0.48048780487804876,0.3978494623655914,0.36363636363636365,0.3333333333333333,0.4708588957055215,0.42857142857142855,0.43902439024390244,0.5862068965517241,0.5378787878787878,0.4444444444444444,0.49230769230769234,0.50625,0.3860182370820669,0.5106382978723404,0.4166666666666667,0.39299610894941633,0.700507614213198,0.4307116104868914,0.3950226244343891,0.3230769230769231,0.32919254658385094,0.525,0.4967741935483871,,0.35294117647058826
-8,0.31851851851851853,0.2624356775300172,0.6521739130434783,0.4474708171206226,0.3442622950819672,0.4323094425483504,0.34394904458598724,0.46218487394957986,0.6666666666666666,0.4369747899159664,0.43283582089552236,0.4,0.26595744680851063,0.398576512455516,0.14285714285714285,0.34545454545454546,0.48467966573816157,0.43478260869565216,0.35555555555555557,0.16666666666666666,0.46271186440677964,0.2727272727272727,0.5,0.54,0.627906976744186,0.41794871794871796,0.44642857142857145,0.4,0.3076923076923077,0.5462962962962963,0.2608695652173913,0.42857142857142855,0.6944444444444444,0.4069264069264069,0.3674418604651163,0.29508196721311475,0.33211678832116787,0.5333333333333333,0.5365853658536586,,0.30434782608695654
-7,0.33762057877813506,0.273224043715847,0.660377358490566,0.40714285714285714,0.39655172413793105,0.41713641488162345,0.344180225281602,0.4528301886792453,0.42857142857142855,0.43157894736842106,0.37456140350877193,0.46564885496183206,0.30745697896749524,0.4098360655737705,0.1,0.47058823529411764,0.477124183006536,0.34765625,0.33126934984520123,0.31746031746031744,0.42992125984251967,0.5169491525423728,0.35,0.16417910447761194,0.5867768595041323,0.4637223974763407,0.4772727272727273,0.4762684124386252,0.35064935064935066,0.40425531914893614,0.6,0.36507936507936506,0.759493670886076,0.40896358543417366,0.33299127757824526,0.19047619047619047,0.38588235294117645,0.5730337078651685,0.41044776119402987,0.16290726817042606,0.46153846153846156
-6,0.34225352112676055,0.2460431654676259,0.5862068965517241,0.36771300448430494,0.3067484662576687,0.4107793153678077,0.348993288590604,0.46788990825688076,0.47058823529411764,0.38202247191011235,0.43889479277364507,0.3333333333333333,0.38712121212121214,0.33507853403141363,0.2727272727272727,0.4631578947368421,0.4750593824228028,0.339572192513369,0.3010752688172043,0.3333333333333333,0.4111888111888112,0.5481927710843374,0.5454545454545454,0.16666666666666666,0.5328947368421053,0.425629290617849,0.47191011235955055,0.5231362467866324,0.31362467866323906,0.47244094488188976,0.4166666666666667,0.3800738007380074,0.6057494866529775,0.44776119402985076,0.3381076388888889,0.24358974358974358,0.44325481798715205,0.6497175141242938,0.4457831325301205,0.2727272727272727,0.4074074074074074
-5,0.34102564102564104,0.2388888888888889,0.6739130434782609,0.4585492227979275,0.34759358288770054,0.43482224247948953,0.34418145956607493,0.3504273504273504,0.4090909090909091,0.40096618357487923,0.40826612903225806,0.3492822966507177,0.39461172741679873,0.3540772532188841,0.3,0.375,0.5045592705167173,0.4482758620689655,0.3225255972696246,0.2911392405063291,0.43288084464555054,0.5514705882352942,0.4090909090909091,0.19117647058823528,0.5454545454545454,0.44582593250444047,0.46153846153846156,0.47545582047685836,0.29461756373937675,0.4305555555555556,0.4,0.3811188811188811,0.6810126582278481,0.43288590604026844,0.36846767050487156,0.23655913978494625,0.4290909090909091,0.631768953068592,0.47580645161290325,0.29411764705882354,0.4
-4,0.34363411619283063,0.2050919377652051,0.5106382978723404,0.39593908629441626,0.37341772151898733,0.44385026737967914,0.33758586849852795,0.45161290322580644,0.5454545454545454,0.4648648648648649,0.41683778234086244,0.3277777777777778,0.3872832369942196,0.36712328767123287,0.375,0.4358974358974359,0.45989304812834225,0.4170731707317073,0.2765957446808511,0.23255813953488372,0.5199306759098787,0.5636363636363636,0.3076923076923077,0.21379310344827587,0.6181818181818182,0.43280632411067194,0.38202247191011235,0.43454790823211875,0.28802588996763756,0.47586206896551725,0.3888888888888889,0.3505535055350554,0.6943765281173594,0.41724137931034483,0.3527352297592998,0.23376623376623376,0.43973941368078173,0.6130268199233716,0.46,0.3471502590673575,0.2916666666666667
