cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.0,0.0,0.0,0.0,0.0,0.004016064257028112,0.0,0.0,0.0,0.0,0.0021691973969631237,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.012345679012345678,0.00186219739292365,0.023809523809523808,0.0,0.0,0.013157894736842105,0.0,0.0,0.004651162790697674,0.0,0.0,0.0,0.0,0.0036231884057971015,0.0049261083743842365,0.003779697624190065,0.0,0.002785515320334262,0.0,0.0,,0.0
-12,0.0,0.0016207455429497568,0.0,0.0,0.008,0.003738317757009346,0.0014204545454545455,0.0,0.0,0.0,0.0017953321364452424,0.020134228187919462,0.0,0.0,0.0,0.0,0.002857142857142857,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.004608294930875576,0.0,0.0,0.0014360938247965534,0.0,0.0030959752321981426,0.01098901098901099,0.0,,0.0
-11,0.004143646408839779,0.0,0.0,0.0031545741324921135,0.0,0.001784121320249777,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0024390243902439024,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007905138339920948,0.0,0.00425531914893617,0.0008699434536755111,0.0,0.0,0.0,0.0,,0.0
-10,0.0015723270440251573,0.0,0.0,0.0,0.0,0.0019665683382497543,0.0013850415512465374,0.0,0.0,0.017857142857142856,0.0019646365422396855,0.0,0.008547008547008548,0.0,0.0,0.0,0.004962779156327543,0.0,0.0,0.010638297872340425,0.0030911901081916537,0.0,0.0,0.0,0.006944444444444444,0.0,0.014492753623188406,0.0027624309392265192,0.002680965147453083,0.0,0.0,0.0,0.002717391304347826,0.0,0.0017722640673460345,0.0,0.0029585798816568047,0.014492753623188406,0.0,,0.0
-9,0.002635046113306983,0.0,0.0,0.0,0.0070921985815602835,0.0036101083032490976,0.0013966480446927375,0.0,0.0,0.0,0.001890359168241966,0.013793103448275862,0.0,0.0,0.0,0.0,0.007317073170731708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.00205761316872428,0.0,0.0,0.0060790273556231,0.0,0.0,0.0,0.0,0.0,0.0018099547511312218,0.0,0.0,0.0,0.0,,0.0
-8,0.0014814814814814814,0.0017152658662092624,0.0,0.0,0.00819672131147541,0.0011376564277588168,0.0,0.0,0.0,0.008403361344537815,0.0,0.007692307692307693,0.0,0.0035587188612099642,0.0,0.0,0.002785515320334262,0.010869565217391304,0.0,0.016666666666666666,0.001694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034965034965034965,0.009259259259259259,0.0,0.0,0.005555555555555556,0.0,0.006201550387596899,0.0,0.0036496350364963502,0.0,0.0,,0.0
-7,0.0,0.0,0.0,0.0,0.0,0.0011273957158962795,0.0050062578222778474,0.0,0.0,0.010526315789473684,0.0,0.007633587786259542,0.002294455066921606,0.003278688524590164,0.0,0.0,0.0032679738562091504,0.001953125,0.0,0.0,0.0031496062992125984,0.01694915254237288,0.0,0.0,0.0,0.006309148264984227,0.0,0.0,0.006493506493506494,0.0,0.0,0.010582010582010581,0.0,0.0,0.0035915854284248334,0.0,0.001176470588235294,0.0,0.0,0.0,0.0
-6,0.0,0.0,0.0,0.002242152466367713,0.006134969325153374,0.004369992716678805,0.003355704697986577,0.009174311926605505,0.0,0.0,0.0010626992561105207,0.0,0.0030303030303030303,0.0,0.0,0.0,0.0,0.0,0.0017921146953405018,0.011494252873563218,0.002797202797202797,0.012048192771084338,0.0,0.0,0.0,0.0,0.011235955056179775,0.0012853470437017994,0.002570694087403599,0.0,0.0,0.007380073800738007,0.004106776180698152,0.0,0.00043402777777777775,0.0,0.0,0.0,0.0,0.0,0.0
-5,0.002564102564102564,0.001388888888888889,0.0,0.0,0.0106951871657754,0.004557885141294439,0.0019723865877712033,0.0,0.0,0.00966183574879227,0.0030241935483870967,0.0,0.001584786053882726,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0017064846416382253,0.0,0.0015082956259426848,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.002805049088359046,0.0028328611898017,0.0,0.0,0.0034965034965034965,0.0,0.0,0.0022143489813994687,0.0,0.0,0.0,0.0,0.004524886877828055,0.06666666666666667
-4,0.0012360939431396785,0.002828854314002829,0.0,0.0025380710659898475,0.006329113924050633,0.004456327985739751,0.001962708537782139,0.0,0.0,0.0,0.001026694045174538,0.0,0.0008257638315441783,0.0,0.0,0.0,0.0,0.0,0.0017730496453900709,0.0,0.005199306759098787,0.012121212121212121,0.0,0.0,0.0,0.0,0.0,0.005398110661268556,0.003236245954692557,0.0,0.0,0.0036900369003690036,0.004889975550122249,0.0,0.002188183807439825,0.0,0.0,0.0,0.0,0.0,0.0
