cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.09349593495934959,0.06560283687943262,0.21951219512195122,0.1329479768786127,0.04,0.08835341365461848,0.04835924006908463,0.10465116279069768,0.14285714285714285,0.1348314606741573,0.1019522776572668,0.0784313725490196,0.05161290322580645,0.06912442396313365,0.0,0.05660377358490566,0.2074688796680498,0.1111111111111111,0.06790123456790123,0.13580246913580246,0.11359404096834265,0.21428571428571427,0.23529411764705882,0.22727272727272727,0.11842105263157894,0.09012875536480687,0.12727272727272726,0.19534883720930232,0.0970464135021097,0.14285714285714285,0.07142857142857142,0.11333333333333333,0.322463768115942,0.07389162561576355,0.09449244060475162,0.13636363636363635,0.116991643454039,0.11940298507462686,0.20491803278688525,,0.08
-12,0.07776049766718507,0.05834683954619125,0.2727272727272727,0.0858085808580858,0.08,0.10747663551401869,0.06960227272727272,0.12222222222222222,0.0,0.125,0.09156193895870736,0.0738255033557047,0.1092436974789916,0.05128205128205128,0.0,0.21875,0.2571428571428571,0.1827956989247312,0.11518324607329843,0.17777777777777778,0.12422360248447205,0.03225806451612903,0.10526315789473684,0.16129032258064516,0.0625,0.10460992907801418,0.25316455696202533,0.2012012012012012,0.07751937984496124,0.11627906976744186,0.18181818181818182,0.08294930875576037,0.33967391304347827,0.14049586776859505,0.12015318334131163,0.16071428571428573,0.1609907120743034,0.13186813186813187,0.14285714285714285,,0.047619047619047616
-11,0.09944751381215469,0.0849194729136164,0.24242424242424243,0.08517350157728706,0.05333333333333334,0.12667261373773417,0.05752753977968176,0.06395348837209303,0.0,0.1,0.11306042884990253,0.08695652173913043,0.05504587155963303,0.05357142857142857,0.14285714285714285,0.1746031746031746,0.18292682926829268,0.2111111111111111,0.11666666666666667,0.08163265306122448,0.11259259259259259,0.0625,0.05263157894736842,0.11764705882352941,0.1276595744680851,0.09594882729211088,0.16666666666666666,0.14095744680851063,0.06017191977077364,0.15447154471544716,0.10810810810810811,0.04743083003952569,0.2909930715935335,0.08936170212765958,0.10613310134841235,0.18055555555555555,0.11455108359133127,0.10204081632653061,0.1375,,0.0
-10,0.11163522012578617,0.06111111111111111,0.26666666666666666,0.07903780068728522,0.022388059701492536,0.11012782694198624,0.07756232686980609,0.08379888268156424,0.0,0.08928571428571429,0.14341846758349705,0.1,0.05128205128205128,0.08196721311475409,0.0,0.21739130434782608,0.20595533498759305,0.1794871794871795,0.0984251968503937,0.13829787234042554,0.1143740340030912,0.05128205128205128,0.07692307692307693,0.14516129032258066,0.18055555555555555,0.12350597609561753,0.17391304347826086,0.14917127071823205,0.09919571045576407,0.1746031746031746,0.21739130434782608,0.055,0.296195652173913,0.09876543209876543,0.10633584404076207,0.15789473684210525,0.1242603550295858,0.08695652173913043,0.11038961038961038,,0.14285714285714285
-9,0.10408432147562582,0.06715328467153285,0.20930232558139536,0.09491525423728814,0.0425531914893617,0.10198555956678701,0.06424581005586592,0.08974358974358974,0.0,0.18181818181818182,0.1285444234404537,0.12413793103448276,0.09090909090909091,0.0660377358490566,0.14285714285714285,0.2328767123287671,0.22439024390243903,0.22580645161290322,0.09956709956709957,0.1875,0.12576687116564417,0.03571428571428571,0.14634146341463414,0.1896551724137931,0.08333333333333333,0.1111111111111111,0.18461538461538463,0.225,0.12158054711246201,0.10638297872340426,0.19444444444444445,0.08560311284046693,0.37055837563451777,0.09737827715355805,0.12171945701357466,0.13846153846153847,0.13975155279503104,0.075,0.12258064516129032,,0.17647058823529413
-8,0.06074074074074074,0.06518010291595197,0.32608695652173914,0.08949416342412451,0.03278688524590164,0.10580204778156997,0.042993630573248405,0.06722689075630252,0.0,0.18487394957983194,0.11727078891257996,0.09230769230769231,0.010638297872340425,0.03914590747330961,0.0,0.12727272727272726,0.2116991643454039,0.11956521739130435,0.1,0.016666666666666666,0.10338983050847457,0.09090909090909091,0.07142857142857142,0.16,0.1511627906976744,0.10256410256410256,0.17857142857142858,0.15161290322580645,0.08391608391608392,0.21296296296296297,0.08695652173913043,0.1043956043956044,0.36666666666666664,0.11688311688311688,0.10232558139534884,0.11475409836065574,0.0948905109489051,0.14666666666666667,0.15853658536585366,,0.17391304347826086
-7,0.08842443729903537,0.11475409836065574,0.18867924528301888,0.08571428571428572,0.07758620689655173,0.09244644870349493,0.057571964956195244,0.05660377358490566,0.0,0.1368421052631579,0.10877192982456141,0.0916030534351145,0.07189292543021032,0.05245901639344262,0.0,0.12745098039215685,0.1503267973856209,0.16015625,0.12538699690402477,0.12698412698412698,0.11181102362204724,0.2288135593220339,0.05,0.05223880597014925,0.1322314049586777,0.09779179810725552,0.22727272727272727,0.16693944353518822,0.1461038961038961,0.14893617021276595,0.12,0.08465608465608465,0.3924050632911392,0.09523809523809523,0.08927655207798871,0.16666666666666666,0.0976470588235294,0.19101123595505617,0.1044776119402985,0.03007518796992481,0.15384615384615385
-6,0.08873239436619719,0.07338129496402877,0.22413793103448276,0.10762331838565023,0.018404907975460124,0.10706482155863073,0.053691275167785234,0.09174311926605505,0.058823529411764705,0.12921348314606743,0.09564293304994687,0.07560137457044673,0.08106060606060606,0.06282722513089005,0.09090909090909091,0.14736842105263157,0.21852731591448932,0.12032085561497326,0.0913978494623656,0.1724137931034483,0.11328671328671329,0.18674698795180722,0.2727272727272727,0.06666666666666667,0.13157894736842105,0.12128146453089245,0.23595505617977527,0.1953727506426735,0.11053984575835475,0.15748031496062992,0.08333333333333333,0.07011070110701106,0.2731006160164271,0.10149253731343283,0.08854166666666667,0.0641025641025641,0.10920770877944326,0.192090395480226,0.12048192771084337,0.055944055944055944,0.18518518518518517
-5,0.09358974358974359,0.0763888888888889,0.21739130434782608,0.15025906735751296,0.026737967914438502,0.11030082041932543,0.06903353057199212,0.05982905982905983,0.09090909090909091,0.12560386473429952,0.1219758064516129,0.08133971291866028,0.09667194928684628,0.06223175965665236,0.0,0.125,0.25835866261398177,0.1724137931034483,0.10068259385665529,0.11392405063291139,0.10105580693815988,0.16911764705882354,0.09090909090909091,0.04411764705882353,0.07142857142857142,0.11012433392539965,0.23076923076923078,0.17952314165497896,0.11614730878186968,0.16666666666666666,0.06666666666666667,0.06293706293706294,0.3721518987341772,0.1040268456375839,0.1054030115146147,0.10752688172043011,0.14363636363636365,0.22021660649819494,0.1532258064516129,0.02262443438914027,0.13333333333333333
-4,0.09023485784919653,0.04950495049504951,0.14893617021276595,0.1319796954314721,0.06962025316455696,0.11764705882352941,0.058881256133464184,0.08870967741935484,0.045454545454545456,0.16756756756756758,0.10574948665297741,0.08333333333333333,0.08587943848059455,0.07397260273972603,0.125,0.15384615384615385,0.20053475935828877,0.18536585365853658,0.0726950354609929,0.046511627906976744,0.11785095320623917,0.2545454545454545,0.15384615384615385,0.06896551724137931,0.12727272727272726,0.12450592885375494,0.21348314606741572,0.16734143049932523,0.08737864077669903,0.2,0.027777777777777776,0.07749077490774908,0.36185819070904646,0.1,0.10809628008752735,0.06493506493506493,0.1254071661237785,0.14559386973180077,0.14666666666666667,0.04145077720207254,0.08333333333333333
