cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.032520325203252036,0.012411347517730497,0.024390243902439025,0.07514450867052024,0.05,0.03480589022757698,0.017271157167530225,0.03488372093023256,0.07142857142857142,0.056179775280898875,0.03253796095444685,0.049019607843137254,0.0,0.041474654377880185,0.0,0.07547169811320754,0.03734439834024896,0.013888888888888888,0.006172839506172839,0.037037037037037035,0.0595903165735568,0.023809523809523808,0.0,0.022727272727272728,0.10526315789473684,0.1072961373390558,0.03636363636363636,0.05116279069767442,0.029535864978902954,0.10204081632653061,0.0,0.06,0.057971014492753624,0.054187192118226604,0.052915766738660906,0.022727272727272728,0.03064066852367688,0.14925373134328357,0.03278688524590164,,0.08
-12,0.041990668740279936,0.017828200972447326,0.06818181818181818,0.07590759075907591,0.032,0.04766355140186916,0.02556818181818182,0.05,0.0,0.03125,0.02333931777378815,0.026845637583892617,0.008403361344537815,0.02849002849002849,0.0,0.015625,0.04,0.043010752688172046,0.03664921465968586,0.05555555555555555,0.06055900621118013,0.03225806451612903,0.10526315789473684,0.04838709677419355,0.10714285714285714,0.10283687943262411,0.0759493670886076,0.021021021021021023,0.03875968992248062,0.09302325581395349,0.045454545454545456,0.03686635944700461,0.059782608695652176,0.05785123966942149,0.03350885591191958,0.03571428571428571,0.01238390092879257,0.13186813186813187,0.04285714285714286,,0.047619047619047616
-11,0.04281767955801105,0.02342606149341142,0.06060606060606061,0.03785488958990536,0.006666666666666667,0.04014272970561998,0.023255813953488372,0.046511627906976744,0.10526315789473684,0.025,0.029239766081871343,0.049689440993788817,0.01834862385321101,0.050595238095238096,0.0,0.07936507936507936,0.03414634146341464,0.03333333333333333,0.027777777777777776,0.030612244897959183,0.05333333333333334,0.020833333333333332,0.10526315789473684,0.04411764705882353,0.09219858156028368,0.11300639658848614,0.027777777777777776,0.023936170212765957,0.025787965616045846,0.024390243902439025,0.02702702702702703,0.039525691699604744,0.04157043879907621,0.06382978723404255,0.03305785123966942,0.05555555555555555,0.01238390092879257,0.14285714285714285,0.0375,,0.0
-10,0.04245283018867924,0.015277777777777777,0.08888888888888889,0.09965635738831616,0.022388059701492536,0.0471976401179941,0.02631578947368421,0.05027932960893855,0.125,0.017857142857142856,0.03929273084479371,0.04,0.008547008547008548,0.04262295081967213,0.0,0.014492753623188406,0.04466501240694789,0.01282051282051282,0.027559055118110236,0.02127659574468085,0.05873261205564142,0.0,0.11538461538461539,0.04838709677419355,0.10416666666666667,0.11354581673306773,0.014492753623188406,0.03314917127071823,0.05093833780160858,0.047619047619047616,0.0,0.05,0.029891304347826088,0.04938271604938271,0.03766061143110323,0.03508771929824561,0.029585798816568046,0.14492753623188406,0.05194805194805195,,0.0
-9,0.03162055335968379,0.01897810218978102,0.06976744186046512,0.1016949152542373,0.028368794326241134,0.0388086642599278,0.027932960893854747,0.02564102564102564,0.058823529411764705,0.050505050505050504,0.05860113421550094,0.027586206896551724,0.020202020202020204,0.06289308176100629,0.0,0.0684931506849315,0.024390243902439025,0.010752688172043012,0.03896103896103896,0.010416666666666666,0.06595092024539877,0.03571428571428571,0.12195121951219512,0.15517241379310345,0.10606060606060606,0.09876543209876543,0.06153846153846154,0.034375,0.0547112462006079,0.06382978723404255,0.027777777777777776,0.0311284046692607,0.07106598984771574,0.0599250936329588,0.04253393665158371,0.06153846153846154,0.012422360248447204,0.1375,0.05161290322580645,,0.0
-8,0.03259259259259259,0.02058319039451115,0.021739130434782608,0.08560311284046693,0.02459016393442623,0.06143344709897611,0.01592356687898089,0.05042016806722689,0.1111111111111111,0.058823529411764705,0.03624733475479744,0.05384615384615385,0.02127659574468085,0.060498220640569395,0.0,0.05454545454545454,0.03899721448467967,0.03260869565217391,0.06111111111111111,0.016666666666666666,0.05423728813559322,0.0,0.07142857142857142,0.08,0.13953488372093023,0.08974358974358974,0.017857142857142856,0.025806451612903226,0.045454545454545456,0.046296296296296294,0.043478260869565216,0.06593406593406594,0.03888888888888889,0.06060606060606061,0.041343669250646,0.03278688524590164,0.0364963503649635,0.08,0.036585365853658534,,0.0
-7,0.022508038585209004,0.01639344262295082,0.03773584905660377,0.10357142857142858,0.02586206896551724,0.038331454340473504,0.02127659574468085,0.05660377358490566,0.0,0.031578947368421054,0.028070175438596492,0.03816793893129771,0.01338432122370937,0.022950819672131147,0.0,0.0392156862745098,0.06535947712418301,0.0234375,0.018575851393188854,0.07936507936507936,0.050393700787401574,0.00847457627118644,0.05,0.03731343283582089,0.0743801652892562,0.10094637223974763,0.045454545454545456,0.03600654664484452,0.05519480519480519,0.07446808510638298,0.04,0.031746031746031744,0.056962025316455694,0.08123249299719888,0.032837352488455616,0.0,0.021176470588235293,0.0898876404494382,0.014925373134328358,0.02506265664160401,0.0
-6,0.02112676056338028,0.025899280575539568,0.10344827586206896,0.053811659192825115,0.05521472392638037,0.03932993445010925,0.02181208053691275,0.03669724770642202,0.0,0.016853932584269662,0.030818278427205102,0.041237113402061855,0.021212121212121213,0.03664921465968586,0.0,0.021052631578947368,0.035629453681710214,0.029411764705882353,0.035842293906810034,0.011494252873563218,0.04895104895104895,0.05421686746987952,0.0,0.03333333333333333,0.1118421052631579,0.10068649885583524,0.0449438202247191,0.04498714652956298,0.043701799485861184,0.047244094488188976,0.0,0.04059040590405904,0.06365503080082136,0.050746268656716415,0.03428819444444445,0.038461538461538464,0.042826552462526764,0.192090395480226,0.04819277108433735,0.045454545454545456,0.037037037037037035
-5,0.029487179487179487,0.020833333333333332,0.2391304347826087,0.05181347150259067,0.0427807486631016,0.053783044667274384,0.023668639053254437,0.03418803418803419,0.045454545454545456,0.028985507246376812,0.03024193548387097,0.06698564593301436,0.022187004754358162,0.045064377682403435,0.0,0.044642857142857144,0.02735562310030395,0.034482758620689655,0.03583617747440273,0.02531645569620253,0.05279034690799397,0.08088235294117647,0.0,0.03676470588235294,0.12987012987012986,0.11190053285968028,0.03076923076923077,0.051893408134642355,0.0453257790368272,0.041666666666666664,0.06666666666666667,0.05244755244755245,0.06582278481012659,0.050335570469798654,0.043401240035429584,0.07526881720430108,0.025454545454545455,0.09747292418772563,0.04032258064516129,0.06334841628959276,0.0
-4,0.027194066749072928,0.01272984441301273,0.0425531914893617,0.08121827411167512,0.056962025316455694,0.04188948306595366,0.018645731108930325,0.04838709677419355,0.09090909090909091,0.04864864864864865,0.023613963039014373,0.03888888888888889,0.018992568125516102,0.038356164383561646,0.0,0.038461538461538464,0.0374331550802139,0.03902439024390244,0.01950354609929078,0.03488372093023256,0.0658578856152513,0.06666666666666667,0.0,0.027586206896551724,0.14545454545454545,0.10276679841897234,0.011235955056179775,0.044534412955465584,0.05177993527508091,0.05517241379310345,0.05555555555555555,0.03690036900369004,0.06356968215158924,0.04482758620689655,0.045076586433260395,0.05194805194805195,0.02280130293159609,0.13409961685823754,0.03333333333333333,0.031088082901554404,0.0
