cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.08333333333333333,0.07624113475177305,0.12195121951219512,0.05202312138728324,0.17,0.07228915662650602,0.07081174438687392,0.06976744186046512,0.07142857142857142,0.0,0.039045553145336226,0.14705882352941177,0.05806451612903226,0.059907834101382486,0.0,0.03773584905660377,0.03319502074688797,0.0,0.006172839506172839,0.024691358024691357,0.08007448789571694,0.11904761904761904,0.058823529411764705,0.0,0.09210526315789473,0.03862660944206009,0.03636363636363636,0.08837209302325581,0.02109704641350211,0.12244897959183673,0.2857142857142857,0.06,0.04710144927536232,0.04926108374384237,0.03185745140388769,0.0,0.05013927576601671,0.05970149253731343,0.09836065573770492,,0.04
-12,0.07776049766718507,0.0713128038897893,0.06818181818181818,0.07920792079207921,0.144,0.07757009345794393,0.0625,0.08333333333333333,0.25,0.010416666666666666,0.03770197486535009,0.15436241610738255,0.11764705882352941,0.05128205128205128,0.0,0.078125,0.03428571428571429,0.021505376344086023,0.020942408376963352,0.08888888888888889,0.09316770186335403,0.12903225806451613,0.10526315789473684,0.04838709677419355,0.08928571428571429,0.06560283687943262,0.02531645569620253,0.06006006006006006,0.028423772609819122,0.06201550387596899,0.18181818181818182,0.07373271889400922,0.04891304347826087,0.049586776859504134,0.03015797032072762,0.017857142857142856,0.058823529411764705,0.054945054945054944,0.11428571428571428,,0.14285714285714285
-11,0.08425414364640885,0.07759882869692533,0.06060606060606061,0.06624605678233439,0.13333333333333333,0.05976806422836753,0.07588739290085679,0.09302325581395349,0.21052631578947367,0.025,0.03313840155945419,0.13664596273291926,0.11926605504587157,0.0625,0.14285714285714285,0.07936507936507936,0.03170731707317073,0.011111111111111112,0.06111111111111111,0.061224489795918366,0.09037037037037036,0.1875,0.10526315789473684,0.014705882352941176,0.06382978723404255,0.06609808102345416,0.013888888888888888,0.09840425531914894,0.03724928366762178,0.056910569105691054,0.05405405405405406,0.11067193675889328,0.06235565819861432,0.06808510638297872,0.03566768160069596,0.013888888888888888,0.058823529411764705,0.10204081632653061,0.15625,,0.1111111111111111
-10,0.08490566037735849,0.07361111111111111,0.08888888888888889,0.061855670103092786,0.08208955223880597,0.07079646017699115,0.07340720221606649,0.08379888268156424,0.0,0.03571428571428571,0.05108055009823183,0.18,0.05128205128205128,0.05245901639344262,0.0,0.07246376811594203,0.04962779156327544,0.02564102564102564,0.05905511811023622,0.06382978723404255,0.07264296754250386,0.23076923076923078,0.11538461538461539,0.03225806451612903,0.06944444444444445,0.043824701195219126,0.0,0.09392265193370165,0.021447721179624665,0.07142857142857142,0.0,0.12,0.0625,0.07818930041152264,0.031014621178555603,0.03508771929824561,0.047337278106508875,0.08695652173913043,0.15584415584415584,,0.047619047619047616
-9,0.08563899868247694,0.07591240875912408,0.16279069767441862,0.061016949152542375,0.14893617021276595,0.06768953068592058,0.07681564245810056,0.04487179487179487,0.23529411764705882,0.030303030303030304,0.045368620037807186,0.1310344827586207,0.09090909090909091,0.06289308176100629,0.0,0.0684931506849315,0.02926829268292683,0.043010752688172046,0.04329004329004329,0.08333333333333333,0.10736196319018405,0.21428571428571427,0.024390243902439025,0.05172413793103448,0.06060606060606061,0.08024691358024691,0.046153846153846156,0.078125,0.0486322188449848,0.1276595744680851,0.05555555555555555,0.08949416342412451,0.07614213197969544,0.10112359550561797,0.033936651583710405,0.015384615384615385,0.021739130434782608,0.1,0.14193548387096774,,0.0
-8,0.07703703703703704,0.07032590051457976,0.06521739130434782,0.058365758754863814,0.11475409836065574,0.07508532423208192,0.06847133757961783,0.12605042016806722,0.1111111111111111,0.025210084033613446,0.04904051172707889,0.1,0.11702127659574468,0.05338078291814947,0.0,0.03636363636363636,0.033426183844011144,0.06521739130434782,0.03888888888888889,0.06666666666666667,0.09322033898305085,0.13636363636363635,0.14285714285714285,0.02,0.05813953488372093,0.06153846153846154,0.0,0.06451612903225806,0.04895104895104895,0.09259259259259259,0.043478260869565216,0.1043956043956044,0.08333333333333333,0.07792207792207792,0.03152454780361757,0.01639344262295082,0.05474452554744526,0.12,0.12195121951219512,,0.0
-7,0.07556270096463022,0.07468123861566485,0.1509433962264151,0.03571428571428571,0.09482758620689655,0.07553551296505073,0.0625782227784731,0.1509433962264151,0.14285714285714285,0.05263157894736842,0.06403508771929825,0.1984732824427481,0.07074569789674952,0.05245901639344262,0.0,0.0784313725490196,0.0392156862745098,0.017578125,0.017027863777089782,0.047619047619047616,0.06456692913385827,0.1016949152542373,0.0,0.022388059701492536,0.08264462809917356,0.07570977917981073,0.0,0.07528641571194762,0.01948051948051948,0.06382978723404255,0.12,0.07936507936507936,0.0759493670886076,0.06722689075630252,0.027706516162134428,0.0,0.08235294117647059,0.10112359550561797,0.16417910447761194,0.02506265664160401,0.15384615384615385
-6,0.08732394366197183,0.08345323741007195,0.10344827586206896,0.06053811659192825,0.13496932515337423,0.06554989075018208,0.07718120805369127,0.12844036697247707,0.23529411764705882,0.03932584269662921,0.08289054197662062,0.05154639175257732,0.1143939393939394,0.06282722513089005,0.0,0.09473684210526316,0.03800475059382423,0.026737967914438502,0.010752688172043012,0.05747126436781609,0.07132867132867132,0.0963855421686747,0.09090909090909091,0.013333333333333334,0.039473684210526314,0.057208237986270026,0.011235955056179775,0.09640102827763496,0.03598971722365039,0.047244094488188976,0.041666666666666664,0.11070110701107011,0.08008213552361396,0.08059701492537313,0.03732638888888889,0.0,0.0728051391862955,0.05084745762711865,0.12048192771084337,0.04195804195804196,0.07407407407407407
-5,0.05897435897435897,0.0763888888888889,0.17391304347826086,0.07253886010362694,0.11764705882352941,0.05195989061075661,0.0601577909270217,0.10256410256410256,0.13636363636363635,0.043478260869565216,0.06854838709677419,0.06220095693779904,0.11727416798732171,0.06223175965665236,0.1,0.03571428571428571,0.0547112462006079,0.034482758620689655,0.032423208191126277,0.0759493670886076,0.05429864253393665,0.1323529411764706,0.0,0.022058823529411766,0.06493506493506493,0.0852575488454707,0.046153846153846156,0.07994389901823282,0.0339943342776204,0.05555555555555555,0.2,0.07692307692307693,0.0759493670886076,0.07718120805369127,0.032329495128432244,0.010752688172043012,0.08181818181818182,0.09025270758122744,0.14516129032258066,0.058823529411764705,0.03333333333333333
-4,0.07787391841779975,0.07496463932107496,0.19148936170212766,0.04568527918781726,0.12658227848101267,0.0659536541889483,0.05789990186457311,0.13709677419354838,0.22727272727272727,0.05405405405405406,0.07186858316221766,0.09444444444444444,0.1147811725846408,0.043835616438356165,0.125,0.08974358974358974,0.03208556149732621,0.036585365853658534,0.03723404255319149,0.05813953488372093,0.09878682842287695,0.12121212121212122,0.038461538461538464,0.0,0.07272727272727272,0.04940711462450593,0.0449438202247191,0.07152496626180836,0.02912621359223301,0.06896551724137931,0.16666666666666666,0.06273062730627306,0.10513447432762836,0.12758620689655173,0.03282275711159737,0.0,0.06188925081433225,0.10727969348659004,0.15333333333333332,0.05181347150259067,0.08333333333333333
