cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.005076142131979695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,,0.0
-12,0.0,0.0,0.0,0.004608294930875576,0.028368794326241134,0.004699248120300752,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01043338683788122,0.0,0.0,0.0,0.0,0.0,0.0023171033119130007,0.0,0.009433962264150943,0.0,0.0,,0.0
-11,0.0,0.0,0.0,0.0,0.05384615384615385,0.0,0.004219409282700422,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.002239920358387257,0.0,0.0,0.0,0.00909090909090909,,0.0
-10,0.0,0.0,0.0,0.004524886877828055,0.043478260869565216,0.0,0.0043859649122807015,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.010674749604638904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078064012490242,0.0,0.0,0.0,0.014925373134328358,,0.0
-9,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.007220216606498195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004484304932735426,0.0,0.0,,0.0
-8,0.0,0.0,0.0,0.0,0.0673076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.004016064257028112,0.0,0.011627906976744186,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.00042265426880811494,0.0,0.0,0.0,0.018867924528301886,,0.0
-7,0.0,0.0,0.0,0.0011459129106187928,0.05319148936170213,0.0,0.0,0.0,0.0,0.0,0.005405405405405406,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.003484320557491289,0.0,0.02575107296137339,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.013157894736842105,0.0,0.027472527472527472,0.0,0.0,0.0,0.002139406487232574,0.0,0.01020408163265306,0.005128205128205128,0.0,0.015384615384615385,0.0
-6,0.0,0.0,0.0,0.0040192926045016075,0.02054794520547945,0.0,0.0,0.0,0.0,0.0,0.006284488044144697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006968641114982578,0.0,0.0,0.0,0.0,0.0037313432835820895,0.0,0.003745318352059925,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.002633711507293355,0.0,0.0,0.0018932874354561102,0.0,0.008771929824561403,0.0
-5,0.0,0.0,0.0,0.0037174721189591076,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.001838235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005374479889042996,0.0,0.00949367088607595,0.0,0.0,0.0,0.013888888888888888,0.0,0.01694915254237288,0.007751937984496124,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0012521343198634036,0.0,0.0016034985422740523,0.0,0.0,0.021739130434782608,0.0
-4,0.0,0.0,0.0,0.0,0.0341726618705036,0.0,0.0,0.0,0.0,0.0,0.003913894324853229,0.0,0.0,0.0125,0.0,0.0,0.0,0.010638297872340425,0.004310344827586207,0.0,0.008438818565400843,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016220600162206002,0.0,0.0,0.0,0.0,0.0,0.0
-3,0.0,0.0,0.0,0.0,0.006024096385542169,0.0,0.0026595744680851063,0.0,0.0,0.0,0.002592165898617511,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008952551477170994,0.0,0.0,0.0,0.01056338028169014,0.0074285714285714285,0.0
-2,0.0,0.0,0.0,0.0,0.04895104895104895,0.0,0.0,0.0,0.0,0.0,0.002074688796680498,0.0,0.0,0.0,0.0,0.0,0.0,0.02247191011235955,0.0,0.0,0.014634146341463415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005733944954128441,0.0,0.0,0.0,0.0,0.0,0.003166160081053698,0.0,0.0,0.0,0.0,0.007518796992481203,0.0
-1,0.0,0.0,0.0,0.0041841004184100415,0.011305241521068859,0.0,0.0,0.0,0.0,0.0,0.0008615288220551378,0.0,0.002785515320334262,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.005434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.007807981492192018,0.03546099290780142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029069767441860465,0.0,0.0,0.0,0.0,0.0,0.005405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012386457473162675,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.002079002079002079,0.023255813953488372,0.0013666180758017492,0.0,0.0,0.0,0.0,0.0,0.0010330578512396695,0.0,0.0040650406504065045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007547169811320754,0.0,0.002583979328165375,0.0,0.0,0.0,0.0
2,0.009259259259259259,0.0,0.0,0.00423728813559322,0.06040268456375839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004291845493562232,0.0,0.011428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0037593984962406013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.03816793893129771,0.0,0.0,0.0,0.0,0.0,0.002066115702479339,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.004,0.0,0.004020813623462629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00423728813559322,0.0,0.0,0.0,0.0,0.0,0.0007818608287724785,0.0,0.0,0.0,0.011363636363636364,0.0,0.0
4,0.0,0.0,0.0,0.0,0.031446540880503145,0.003355704697986577,0.0,0.0,0.0,0.0,0.004158004158004158,0.0,0.002551020408163265,0.0,0.0,0.0,0.007518796992481203,0.0,0.004048582995951417,0.0,0.005393096836049856,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008724988366682178,0.0,0.0,0.0,0.0,0.010526315789473684,0.0
5,0.0,0.0,0.0,0.004975124378109453,0.030063291139240507,0.0,0.0,0.0,0.0,0.0,0.0004097241190931439,0.0,0.0,0.0,,0.0,0.0,0.0,0.004651162790697674,0.0,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.004347826086956522,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0008326394671107411,0.0,0.003816793893129771,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.012422360248447204,0.0,0.0,0.0,0.0,0.011494252873563218,0.0019242610837438424,0.0,0.002849002849002849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016897697330736626,0.0,0.0,0.0019047619047619048,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.013888888888888888,0.0036231884057971015,0.002242152466367713,0.0,0.0,0.0,0.0,0.0,0.0009982253771073648,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.064539521392312e-05,0.0,0.004859086491739553,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.002113929684023142,0.0,0.0,0.0,0.0,0.00202020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.030927835051546393,0.0,0.0,0.0069255839217816405,0.0,0.0,0.0,0.0070921985815602835,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015420200462606013,0.0,0.0,0.0,0.0,0.007194244604316547,0.0
