cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.15555555555555556,0.09090909090909091,0.0625,0.152,0.21,0.25,0.1865671641791045,0.21153846153846154,0.0,0.24,0.1935483870967742,0.15789473684210525,0.25,0.17391304347826086,0.0,0.16666666666666666,0.2,0.18518518518518517,0.21052631578947367,0.3,0.26881720430107525,0.0,0.5714285714285714,0.2,0.48717948717948717,0.17142857142857143,0.18604651162790697,0.26865671641791045,0.19327731092436976,0.3153153153153153,0.375,0.10526315789473684,0.6,0.31868131868131866,0.2494199535962877,0.14285714285714285,0.2849740932642487,0.33157894736842103,0.23529411764705882,,0.2222222222222222
-12,0.12612612612612611,0.2,0.2647058823529412,0.2072072072072072,0.16326530612244897,0.22707423580786026,0.2422680412371134,0.2698412698412698,0.5,0.3064516129032258,0.19329896907216496,0.2962962962962963,0.18181818181818182,0.11627906976744186,0.5,0.20833333333333334,0.17006802721088435,0.2,0.15942028985507245,0.325,0.3462897526501767,0.42857142857142855,0.16666666666666666,0.2222222222222222,0.417910447761194,0.22641509433962265,0.34210526315789475,0.21621621621621623,0.17582417582417584,0.27672955974842767,0.10526315789473684,0.1527777777777778,0.47572815533980584,0.2185792349726776,0.23813632441760138,0.13333333333333333,0.39436619718309857,0.2719033232628399,0.28865979381443296,,0.13333333333333333
-11,0.12,0.11320754716981132,0.15384615384615385,0.11261261261261261,0.26119402985074625,0.24705882352941178,0.24050632911392406,0.22988505747126436,0.5,0.38028169014084506,0.20532319391634982,0.12121212121212122,0.25,0.15714285714285714,,0.21212121212121213,0.18471337579617833,0.3181818181818182,0.21052631578947367,0.26582278481012656,0.2852112676056338,0.5,0.4444444444444444,0.1111111111111111,0.38235294117647056,0.18771331058020477,0.34285714285714286,0.22764227642276422,0.17341040462427745,0.25806451612903225,0.23076923076923078,0.15384615384615385,0.5045045045045045,0.21794871794871795,0.2311033883579496,0.15517241379310345,0.37815126050420167,0.29673590504451036,0.34545454545454546,,0.5714285714285714
-10,0.14285714285714285,0.03076923076923077,0.3,0.18303571428571427,0.15151515151515152,0.23651452282157676,0.23580786026200873,0.40625,0.5,0.29850746268656714,0.21777777777777776,0.22727272727272727,0.2916666666666667,0.08620689655172414,0.5,0.3181818181818182,0.2138364779874214,0.24,0.06756756756756757,0.21333333333333335,0.30036630036630035,0.25,0.1875,0.3333333333333333,0.3877551020408163,0.16298342541436464,0.16129032258064516,0.25547445255474455,0.13186813186813187,0.310126582278481,0.07142857142857142,0.22727272727272727,0.4659090909090909,0.22012578616352202,0.220404984423676,0.16981132075471697,0.3434343434343434,0.2524271844660194,0.25,,0.375
-9,0.13709677419354838,0.1388888888888889,0.13793103448275862,0.20085470085470086,0.20422535211267606,0.2509090909090909,0.2177121771217712,0.3523809523809524,0.5555555555555556,0.359375,0.2924901185770751,0.2903225806451613,0.16129032258064516,0.18072289156626506,0.0,0.25,0.2236842105263158,0.25,0.1728395061728395,0.37333333333333335,0.2579505300353357,0.3333333333333333,0.45454545454545453,0.0,0.2962962962962963,0.21951219512195122,0.2916666666666667,0.22413793103448276,0.15723270440251572,0.3958333333333333,0.2222222222222222,0.11764705882352941,0.46938775510204084,0.2833333333333333,0.21621621621621623,0.2857142857142857,0.39669421487603307,0.2750642673521851,0.23529411764705882,,0.21739130434782608
-8,0.11392405063291139,0.1111111111111111,0.17647058823529413,0.135,0.2153846153846154,0.18631178707224336,0.22325581395348837,0.3048780487804878,1.0,0.3023255813953488,0.3101851851851852,0.15625,0.25,0.16393442622950818,,0.2903225806451613,0.22058823529411764,0.23809523809523808,0.1774193548387097,0.2753623188405797,0.24782608695652175,0.0,0.4444444444444444,0.0,0.28846153846153844,0.16363636363636364,0.3076923076923077,0.1981981981981982,0.15822784810126583,0.35833333333333334,0.2608695652173913,0.2716049382716049,0.5555555555555556,0.21621621621621623,0.2016348773841962,0.19298245614035087,0.12048192771084337,0.2791519434628975,0.32786885245901637,,0.3333333333333333
-7,0.18181818181818182,0.10204081632653061,0.3333333333333333,0.18518518518518517,0.1702127659574468,0.21875,0.24561403508771928,0.2619047619047619,0.0,0.36363636363636365,0.26756756756756755,0.10526315789473684,0.24642857142857144,0.0,0.16666666666666666,0.2777777777777778,0.2087912087912088,0.17582417582417584,0.13821138211382114,0.34782608695652173,0.2918454935622318,0.4074074074074074,0.36363636363636365,0.0,0.24444444444444444,0.2222222222222222,0.32653061224489793,0.2129032258064516,0.13815789473684212,0.3028169014084507,0.23076923076923078,0.14864864864864866,0.4107142857142857,0.28688524590163933,0.23768115942028986,0.11428571428571428,0.23979591836734693,0.291866028708134,0.2,0.23880597014925373,0.3
-6,0.1322314049586777,0.03896103896103896,0.2,0.1761006289308176,0.17123287671232876,0.23214285714285715,0.25217391304347825,0.4084507042253521,0.42857142857142855,0.358974358974359,0.30257510729613735,0.15254237288135594,0.2492836676217765,0.1,0.0,0.2222222222222222,0.13986013986013987,0.24096385542168675,0.14492753623188406,0.2549019607843137,0.2926829268292683,0.4444444444444444,0.3333333333333333,0.0,0.42857142857142855,0.1828358208955224,0.375,0.26591760299625467,0.140625,0.33175355450236965,0.38461538461538464,0.12987012987012986,0.21428571428571427,0.31868131868131866,0.24757281553398058,0.22413793103448276,0.2904761904761905,0.25721153846153844,0.34328358208955223,0.12931034482758622,0.1111111111111111
-5,0.125,0.08888888888888889,0.2727272727272727,0.15357142857142858,0.13333333333333333,0.2090032154340836,0.2755905511811024,0.42857142857142855,0.2857142857142857,0.35051546391752575,0.2849264705882353,0.16666666666666666,0.28865979381443296,0.14,0.3333333333333333,0.23529411764705882,0.24581005586592178,0.27,0.14563106796116504,0.2786885245901639,0.2563291139240506,0.3125,0.3333333333333333,0.25,0.3055555555555556,0.22727272727272727,0.3559322033898305,0.2713178294573643,0.1288888888888889,0.2777777777777778,0.20689655172413793,0.1875,0.5617977528089888,0.3014354066985646,0.21593625498007968,0.19753086419753085,0.35918367346938773,0.29213483146067415,0.2857142857142857,0.21052631578947367,0.17647058823529413
-4,0.16101694915254236,0.1016949152542373,0.19047619047619047,0.13526570048309178,0.18705035971223022,0.196875,0.24285714285714285,0.40963855421686746,0.3333333333333333,0.3695652173913043,0.25048923679060664,0.06451612903225806,0.26628895184135976,0.1125,0.2857142857142857,0.3225806451612903,0.2052980132450331,0.2978723404255319,0.16810344827586207,0.22727272727272727,0.29535864978902954,0.4117647058823529,0.34782608695652173,0.3333333333333333,0.3488372093023256,0.20408163265306123,0.21212121212121213,0.26141078838174275,0.08854166666666667,0.28431372549019607,0.0625,0.09649122807017543,0.38271604938271603,0.25274725274725274,0.23114355231143552,0.10869565217391304,0.31024930747922436,0.26569037656903766,0.25,0.17647058823529413,0.0
-3,0.16494845360824742,0.07407407407407407,0.2,0.1407035175879397,0.20481927710843373,0.09811827956989247,0.2473404255319149,0.3442622950819672,1.0,0.3333333333333333,0.24798387096774194,0.3,0.22,0.1511627906976744,0.0,0.21052631578947367,0.22077922077922077,0.32558139534883723,0.14150943396226415,0.2077922077922078,0.2631578947368421,0.5,0.2,0.2,0.3442622950819672,0.21296296296296297,0.21621621621621623,0.24186046511627907,0.15306122448979592,0.2863849765258216,0.25,0.10377358490566038,0.5975609756097561,0.2681564245810056,0.22470904207699194,0.18,0.33147632311977715,0.25609756097560976,0.29577464788732394,0.24,0.25
-2,0.15315315315315314,0.10416666666666667,0.2857142857142857,0.19895287958115182,0.23076923076923078,0.20146520146520147,0.20485175202156333,0.3870967741935484,0.5,0.26666666666666666,0.2883817427385892,0.26666666666666666,0.2765957446808511,0.10126582278481013,0.0,0.3,0.22023809523809523,0.2247191011235955,0.15948275862068967,0.29508196721311475,0.3106796116504854,0.2962962962962963,0.1875,0.0,0.2807017543859649,0.18211920529801323,0.23333333333333334,0.2553191489361702,0.16972477064220184,0.3005464480874317,0.15384615384615385,0.16535433070866143,0.48623853211009177,0.2583732057416268,0.20656028368794327,0.14102564102564102,0.4090909090909091,0.2935222672064777,0.296875,0.18045112781954886,0.3333333333333333
-1,0.18478260869565216,0.047619047619047616,0.05,0.1506276150627615,0.14388489208633093,0.17803030303030304,0.21008403361344538,0.23880597014925373,0.6666666666666666,0.3108108108108108,0.28728070175438597,0.2571428571428571,0.24233983286908078,0.07920792079207921,0.3333333333333333,0.3333333333333333,0.2571428571428571,0.32432432432432434,0.16956521739130434,0.42857142857142855,0.2864864864864865,0.28125,0.38461538461538464,0.0,0.3181818181818182,0.16774193548387098,0.2972972972972973,0.23737373737373738,0.12444444444444444,0.3269230769230769,0.07692307692307693,0.13157894736842105,0.48314606741573035,0.3125,0.1998199819981998,0.14634146341463414,0.40893470790378006,0.2405857740585774,0.20408163265306123,0.19672131147540983,0.25
0,0.12173913043478261,0.030303030303030304,0.26666666666666666,0.18218623481781376,0.2198581560283688,0.2484076433121019,0.24675324675324675,0.2696629213483146,0.0,0.37209302325581395,0.22784810126582278,0.12903225806451613,0.2703488372093023,0.09090909090909091,0.0,0.1746031746031746,0.2,0.23655913978494625,0.1837837837837838,0.3829787234042553,0.2672413793103448,0.4883720930232558,0.25,0.3333333333333333,0.3076923076923077,0.17897727272727273,0.2857142857142857,0.24825174825174826,0.13,0.34183673469387754,0.2,0.10185185185185185,0.5339805825242718,0.26380368098159507,0.20478943022295623,0.21875,0.3781094527363184,0.28094302554027506,0.23880597014925373,0.23157894736842105,0.1111111111111111
