cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.0,0.0,0.0,0.0,0.05,0.056451612903225805,0.029850746268656716,0.07692307692307693,0.0,0.02,0.024193548387096774,0.0,0.03125,0.043478260869565216,0.0,0.05555555555555555,0.047058823529411764,0.0,0.05263157894736842,0.05,0.13978494623655913,0.0,0.14285714285714285,0.0,0.07692307692307693,0.045714285714285714,0.046511627906976744,0.04477611940298507,0.03361344537815126,0.08108108108108109,0.0,0.0,0.14545454545454545,0.12087912087912088,0.037122969837587005,0.03571428571428571,0.16580310880829016,0.03684210526315789,0.058823529411764705,,0.1111111111111111
-12,0.009009009009009009,0.0,0.08823529411764706,0.013513513513513514,0.013605442176870748,0.013100436681222707,0.020618556701030927,0.047619047619047616,0.0,0.016129032258064516,0.03350515463917526,0.037037037037037035,0.0,0.011627906976744186,0.0,0.125,0.04081632653061224,0.04,0.043478260869565216,0.1375,0.15901060070671377,0.2857142857142857,0.0,0.0,0.07462686567164178,0.026954177897574125,0.15789473684210525,0.02702702702702703,0.016483516483516484,0.06918238993710692,0.0,0.0,0.20388349514563106,0.07103825136612021,0.03882657463330457,0.044444444444444446,0.24413145539906103,0.04833836858006042,0.08247422680412371,,0.06666666666666667
-11,0.0,0.0,0.02564102564102564,0.018018018018018018,0.022388059701492536,0.023529411764705882,0.02109704641350211,0.05747126436781609,0.0,0.04225352112676056,0.030418250950570342,0.06060606060606061,0.08333333333333333,0.014285714285714285,,0.06060606060606061,0.006369426751592357,0.045454545454545456,0.07017543859649122,0.06329113924050633,0.16901408450704225,0.0,0.0,0.1111111111111111,0.04411764705882353,0.020477815699658702,0.08571428571428572,0.056910569105691054,0.011560693641618497,0.10967741935483871,0.0,0.02564102564102564,0.1891891891891892,0.07692307692307693,0.03388357949609035,0.017241379310344827,0.2815126050420168,0.04451038575667656,0.07272727272727272,,0.5
-10,0.0,0.0,0.05,0.03571428571428571,0.012121212121212121,0.02074688796680498,0.017467248908296942,0.11458333333333333,0.0,0.04477611940298507,0.022222222222222223,0.045454545454545456,0.0,0.017241379310344827,0.0,0.09090909090909091,0.018867924528301886,0.08,0.013513513513513514,0.08,0.17216117216117216,0.0,0.0,0.0,0.02040816326530612,0.03591160220994475,0.03225806451612903,0.043795620437956206,0.01098901098901099,0.06329113924050633,0.0,0.0,0.11363636363636363,0.0880503144654088,0.03271028037383177,0.05660377358490566,0.21717171717171718,0.042071197411003236,0.07352941176470588,,0.0
-9,0.0,0.0,0.06896551724137931,0.017094017094017096,0.0,0.014545454545454545,0.014760147601476014,0.10476190476190476,0.0,0.03125,0.039525691699604744,0.06451612903225806,0.03225806451612903,0.012048192771084338,0.0,0.05555555555555555,0.046052631578947366,0.15,0.0,0.10666666666666667,0.11307420494699646,0.0,0.09090909090909091,0.0,0.05555555555555555,0.036585365853658534,0.0625,0.0603448275862069,0.025157232704402517,0.125,0.0,0.0,0.14285714285714285,0.07777777777777778,0.03357903357903358,0.12857142857142856,0.2809917355371901,0.04113110539845758,0.058823529411764705,,0.043478260869565216
-8,0.012658227848101266,0.0,0.0,0.01,0.05384615384615385,0.011406844106463879,0.018604651162790697,0.036585365853658534,0.0,0.046511627906976744,0.041666666666666664,0.0625,0.0,0.01639344262295082,,0.06451612903225806,0.051470588235294115,0.09523809523809523,0.0,0.08695652173913043,0.10869565217391304,0.0,0.2222222222222222,0.0,0.0,0.03272727272727273,0.10256410256410256,0.02702702702702703,0.012658227848101266,0.11666666666666667,0.0,0.012345679012345678,0.06666666666666667,0.07432432432432433,0.03178928247048138,0.03508771929824561,0.030120481927710843,0.04946996466431095,0.06557377049180328,,0.0
-7,0.0,0.0,0.0,0.0,0.010638297872340425,0.020833333333333332,0.008771929824561403,0.0,0.0,0.01818181818181818,0.043243243243243246,0.0,0.060714285714285714,0.0,0.0,0.05555555555555555,0.03296703296703297,0.07692307692307693,0.016260162601626018,0.06521739130434782,0.13733905579399142,0.07407407407407407,0.09090909090909091,0.0,0.0,0.030864197530864196,0.10204081632653061,0.07096774193548387,0.02631578947368421,0.08450704225352113,0.0,0.013513513513513514,0.08928571428571429,0.09016393442622951,0.02705314009661836,0.0,0.061224489795918366,0.06698564593301436,0.0,0.014925373134328358,0.0
-6,0.0,0.0,0.2,0.025157232704402517,0.0136986301369863,0.02857142857142857,0.020289855072463767,0.028169014084507043,0.0,0.0641025641025641,0.0536480686695279,0.01694915254237288,0.04011461318051576,0.0,0.0,0.06349206349206349,0.02097902097902098,0.08433734939759036,0.043478260869565216,0.0392156862745098,0.14634146341463414,0.06666666666666667,0.13333333333333333,0.0,0.05714285714285714,0.018656716417910446,0.14583333333333334,0.0449438202247191,0.010416666666666666,0.08530805687203792,0.0,0.012987012987012988,0.07142857142857142,0.0989010989010989,0.038834951456310676,0.08620689655172414,0.08095238095238096,0.05048076923076923,0.04477611940298507,0.017241379310344827,0.05555555555555555
-5,0.0,0.0,0.0,0.014285714285714285,0.024242424242424242,0.03215434083601286,0.015748031496062992,0.05357142857142857,0.0,0.05154639175257732,0.027573529411764705,0.047619047619047616,0.059278350515463915,0.01,0.0,0.04411764705882353,0.03910614525139665,0.05,0.024271844660194174,0.08196721311475409,0.08860759493670886,0.0625,0.08333333333333333,0.0,0.06944444444444445,0.03939393939393939,0.0847457627118644,0.07751937984496124,0.017777777777777778,0.07142857142857142,0.034482758620689655,0.008928571428571428,0.16853932584269662,0.07655502392344497,0.03745019920318725,0.08641975308641975,0.1510204081632653,0.05393258426966292,0.04285714285714286,0.017543859649122806,0.0
-4,0.025423728813559324,0.0,0.0,0.04830917874396135,0.007194244604316547,0.025,0.017142857142857144,0.03614457831325301,0.0,0.05434782608695652,0.03718199608610567,0.0,0.059490084985835696,0.0,0.0,0.0967741935483871,0.026490066225165563,0.10638297872340426,0.008620689655172414,0.07575757575757576,0.08438818565400844,0.029411764705882353,0.13043478260869565,0.0,0.06976744186046512,0.03741496598639456,0.09090909090909091,0.03734439834024896,0.010416666666666666,0.0784313725490196,0.0,0.0,0.13580246913580246,0.1043956043956044,0.030819140308191405,0.06521739130434782,0.1745152354570637,0.03556485355648536,0.07894736842105263,0.029411764705882353,0.0
