cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005714285714285714,0.0,0.014925373134328358,0.008403361344537815,0.009009009009009009,0.0,0.0,0.03636363636363636,0.01098901098901099,0.0034802784222737818,0.0,0.0,0.010526315789473684,0.0,,0.0
-12,0.009009009009009009,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.005154639175257732,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0035335689045936395,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0,0.0,0.02912621359223301,0.0,0.004314063848144953,0.022222222222222223,0.004694835680751174,0.0030211480362537764,0.0,,0.0
-11,0.0,0.0,0.0,0.009009009009009009,0.007462686567164179,0.00784313725490196,0.004219409282700422,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,,0.0,0.012738853503184714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034129692832764505,0.0,0.0,0.005780346820809248,0.0,0.0,0.01282051282051282,0.0,0.00641025641025641,0.0008688097306689834,0.0,0.0,0.008902077151335312,0.0,,0.0
-10,0.0,0.0,0.0,0.0,0.0,0.012448132780082987,0.004366812227074236,0.010416666666666666,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0027624309392265192,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.004672897196261682,0.0,0.005050505050505051,0.003236245954692557,0.0,,0.0625
-9,0.0,0.0,0.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.005555555555555556,0.002457002457002457,0.014285714285714285,0.004132231404958678,0.0,0.014705882352941176,,0.0
-8,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.009302325581395349,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0036363636363636364,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0018165304268846503,0.0,0.0,0.01060070671378092,0.0,,0.0
-7,0.01818181818181818,0.0,0.0,0.005291005291005291,0.0,0.0,0.0,0.0,0.0,0.0,0.008108108108108109,0.0,0.0035714285714285713,0.0,0.0,0.0,0.01098901098901099,0.01098901098901099,0.0,0.0,0.008583690987124463,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003864734299516908,0.0,0.0,0.0,0.0,0.0,0.0
-6,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.002898550724637681,0.0,0.0,0.01282051282051282,0.004291845493562232,0.0,0.0028653295128939827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037313432835820895,0.0,0.003745318352059925,0.0,0.004739336492890996,0.0,0.0,0.0,0.005494505494505495,0.0040453074433656954,0.0,0.004761904761904762,0.004807692307692308,0.0,0.0,0.0
-5,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.005249343832020997,0.017857142857142856,0.14285714285714285,0.010309278350515464,0.001838235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048543689320388345,0.0,0.0,0.03125,0.0,0.0,0.0,0.0030303030303030303,0.0,0.0,0.0044444444444444444,0.0,0.0,0.008928571428571428,0.033707865168539325,0.004784688995215311,0.0031872509960159364,0.0,0.004081632653061225,0.0022471910112359553,0.0,0.017543859649122806,0.0
-4,0.0,0.0,0.0,0.0,0.0,0.003125,0.002857142857142857,0.0,0.0,0.0,0.0,0.0,0.0028328611898017,0.0,0.0,0.0,0.0,0.0,0.004310344827586207,0.0,0.004219409282700422,0.029411764705882353,0.0,0.0,0.0,0.003401360544217687,0.0,0.012448132780082987,0.0,0.0,0.0,0.0,0.024691358024691357,0.0,0.0008110300081103001,0.0,0.002770083102493075,0.0020920502092050207,0.0,0.0,0.0
