cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.03818615751789976,0.04,0.01694915254237288,0.025056947608200455,0.022304832713754646,0.04365079365079365,0.01984126984126984,0.012658227848101266,0.0,0.008403361344537815,0.01303538175046555,0.028368794326241134,0.030303030303030304,0.029197080291970802,0.0,0.09090909090909091,0.026923076923076925,0.02608695652173913,0.03015075376884422,0.08333333333333333,0.027158098933074686,0.1111111111111111,0.05,0.01904761904761905,0.06481481481481481,0.03862660944206009,0.0048543689320388345,0.045454545454545456,0.033482142857142856,0.013861386138613862,0.03125,0.021505376344086023,0.053691275167785234,0.033734939759036145,0.030049261083743842,0.03333333333333333,0.023872679045092837,0.017333333333333333,0.024096385542168676,,0.0
-12,0.02226027397260274,0.044444444444444446,0.07575757575757576,0.020134228187919462,0.020348837209302327,0.03772241992882562,0.023991275899672846,0.017241379310344827,0.0,0.032679738562091505,0.031294452347083924,0.04,0.043478260869565216,0.03225806451612903,0.0,0.046511627906976744,0.03571428571428571,0.03816793893129771,0.012345679012345678,0.02040816326530612,0.026019690576652602,0.0,0.05263157894736842,0.013986013986013986,0.0,0.04139290407358739,0.013333333333333334,0.04415011037527594,0.01639344262295082,0.008784773060029283,0.03333333333333333,0.026755852842809364,0.09545454545454546,0.017921146953405017,0.02936378466557912,0.045454545454545456,0.0327455919395466,0.013888888888888888,0.06837606837606838,,0.125
-11,0.0352,0.012422360248447204,0.03571428571428571,0.026888604353393086,0.021341463414634148,0.03369175627240143,0.019771071800208116,0.013623978201634877,0.0,0.0,0.022764227642276424,0.01875,0.03529411764705882,0.028517110266159697,0.0,0.017241379310344827,0.038901601830663615,0.046153846153846156,0.01904761904761905,0.05,0.027756360832690823,0.0,0.034482758620689655,0.011695906432748537,0.12025316455696203,0.037107516650808754,0.010238907849829351,0.03081232492997199,0.034358047016274866,0.015,0.07317073170731707,0.02952029520295203,0.07954545454545454,0.027422303473491772,0.030387844862055178,0.056074766355140186,0.01256281407035176,0.015151515151515152,0.06557377049180328,,0.058823529411764705
-10,0.03164556962025317,0.032119914346895075,0.04054054054054054,0.033810143042912875,0.019830028328611898,0.03207810320781032,0.006711409395973154,0.048859934853420196,0.0,0.028985507246376812,0.028333333333333332,0.027586206896551724,0.022222222222222223,0.01383399209486166,0.0,0.009900990099009901,0.03728070175438596,0.03937007874015748,0.03278688524590164,0.02127659574468085,0.017293233082706767,0.14285714285714285,0.0,0.02877697841726619,0.06535947712418301,0.0297029702970297,0.0034965034965034965,0.018276762402088774,0.03718199608610567,0.006259780907668232,0.0,0.010273972602739725,0.09230769230769231,0.02962962962962963,0.03051643192488263,0.03488372093023256,0.026525198938992044,0.02133850630455868,0.03731343283582089,,0.0
-9,0.02661064425770308,0.022388059701492536,0.10294117647058823,0.0328515111695138,0.03197674418604651,0.030683403068340307,0.01910828025477707,0.041791044776119404,0.0,0.045454545454545456,0.027124773960216998,0.024691358024691357,0.014285714285714285,0.014652014652014652,0.0,0.01652892561983471,0.033482142857142856,0.008,0.02112676056338028,0.058823529411764705,0.02175543885971493,0.08333333333333333,0.0,0.023255813953488372,0.05235602094240838,0.033962264150943396,0.014598540145985401,0.026470588235294117,0.03225806451612903,0.013565891472868217,0.0,0.019230769230769232,0.11206896551724138,0.03225806451612903,0.02763521515988946,0.06315789473684211,0.01977401129943503,0.02117863720073665,0.016260162601626018,,0.05555555555555555
-8,0.034904013961605584,0.019656019656019656,0.03488372093023256,0.033182503770739065,0.006493506493506494,0.030781373322809787,0.009029345372460496,0.024489795918367346,0.0,0.018072289156626505,0.036101083032490974,0.033783783783783786,0.0,0.026726057906458798,0.0,0.06382978723404255,0.0345679012345679,0.018691588785046728,0.020080321285140562,0.03896103896103896,0.02134927412467976,0.045454545454545456,0.07692307692307693,0.04285714285714286,0.04430379746835443,0.03353658536585366,0.012,0.029649595687331536,0.02188183807439825,0.004761904761904762,0.045454545454545456,0.024193548387096774,0.10344827586206896,0.021367521367521368,0.023519163763066203,0.043010752688172046,0.0070921985815602835,0.021164021164021163,0.07563025210084033,,0.0
-7,0.03314917127071823,0.035,0.09090909090909091,0.0326530612244898,0.007042253521126761,0.025416997617156472,0.01662049861495845,0.017937219730941704,0.0,0.023809523809523808,0.03142857142857143,0.012345679012345678,0.026563364692861097,0.030911901081916538,0.0,0.015873015873015872,0.03283582089552239,0.008944543828264758,0.019151846785225718,0.027777777777777776,0.023633677991137372,0.07291666666666667,0.03571428571428571,0.004329004329004329,0.05084745762711865,0.04141291108404385,0.0136986301369863,0.036923076923076927,0.026217228464419477,0.006818181818181818,0.02127659574468085,0.03333333333333333,0.08928571428571429,0.020933977455716585,0.020479000347101702,0.03296703296703297,0.02063106796116505,0.018369690011481057,0.05,0.01008827238335435,0.0
-6,0.043076923076923075,0.02386117136659436,0.06172839506172839,0.025021570319240724,0.005813953488372093,0.02683461117196057,0.015211267605633802,0.008583690987124463,0.0,0.027303754266211604,0.026785714285714284,0.028469750889679714,0.027600849256900213,0.02527075812274368,0.0,0.022388059701492536,0.04526748971193416,0.015904572564612324,0.020967741935483872,0.03125,0.015873015873015872,0.11,0.0,0.0136986301369863,0.04712041884816754,0.03627906976744186,0.008,0.03309692671394799,0.02264808362369338,0.010050251256281407,0.0,0.036931818181818184,0.09642857142857143,0.022792022792022793,0.026584122359796066,0.06086956521739131,0.025830258302583026,0.030564784053156147,0.02830188679245283,0.016055045871559634,0.07142857142857142
-5,0.02450229709035222,0.019148936170212766,0.07446808510638298,0.036523929471032744,0.020202020202020204,0.03244274809160305,0.015323117921385743,0.016129032258064516,0.07142857142857142,0.02875399361022364,0.022448979591836733,0.04838709677419355,0.023307436182019976,0.014634146341463415,0.0,0.032679738562091505,0.04128440366972477,0.008908685968819599,0.025252525252525252,0.010526315789473684,0.019536903039073805,0.07608695652173914,0.021739130434782608,0.003816793893129771,0.05025125628140704,0.034934497816593885,0.0031645569620253164,0.02677029360967185,0.018739352640545145,0.0036452004860267314,0.022727272727272728,0.019886363636363636,0.127208480565371,0.036036036036036036,0.025822426600636716,0.014598540145985401,0.03278688524590164,0.035111411208642807,0.023809523809523808,0.010471204188481676,0.0
-4,0.026033690658499236,0.020754716981132074,0.07042253521126761,0.026865671641791045,0.02023121387283237,0.03587736464448793,0.015804597701149427,0.04498269896193772,0.0,0.02575107296137339,0.02208835341365462,0.01762114537444934,0.019527235354573486,0.01073345259391771,0.0,0.02564102564102564,0.028225806451612902,0.028419182948490232,0.018148820326678767,0.0136986301369863,0.019062748212867357,0.0873015873015873,0.03571428571428571,0.03409090909090909,0.08370044052863436,0.05763688760806916,0.012861736334405145,0.02743362831858407,0.024263431542461005,0.008791208791208791,0.0,0.02680965147453083,0.07924528301886792,0.026143790849673203,0.022559041240747268,0.02040816326530612,0.024327784891165175,0.03262316910785619,0.046875,0.00702576112412178,0.0
-3,0.023931623931623933,0.02268041237113402,0.022727272727272728,0.03240058910162003,0.025714285714285714,0.021972884525479196,0.013323464100666173,0.022727272727272728,0.0,0.04186046511627907,0.027659574468085105,0.03684210526315789,0.02558139534883721,0.02099236641221374,0.0,0.017699115044247787,0.03131991051454139,0.026915113871635612,0.03139717425431711,0.03333333333333333,0.024475524475524476,0.13,0.0,0.03643724696356275,0.0779816513761468,0.03216911764705882,0.005780346820809248,0.0283363802559415,0.02411873840445269,0.00853658536585366,0.029411764705882353,0.045454545454545456,0.10330578512396695,0.02258064516129032,0.031016042780748664,0.010309278350515464,0.029154518950437316,0.026704146170063246,0.046296296296296294,0.020785219399538105,0.0
