cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.11694510739856802,0.06,0.2033898305084746,0.15945330296127563,0.08921933085501858,0.1259920634920635,0.0701058201058201,0.16455696202531644,0.2,0.21008403361344538,0.1713221601489758,0.15602836879432624,0.045454545454545456,0.10218978102189781,0.2857142857142857,0.16363636363636364,0.23461538461538461,0.11304347826086956,0.10552763819095477,0.1111111111111111,0.1658583899127061,0.0,0.1,0.17142857142857143,0.10185185185185185,0.2718168812589413,0.18932038834951456,0.18181818181818182,0.140625,0.24356435643564356,0.09375,0.0967741935483871,0.2348993288590604,0.19518072289156627,0.1413793103448276,0.15,0.11405835543766578,0.2693333333333333,0.0963855421686747,,0.25
-12,0.13013698630136986,0.06060606060606061,0.16666666666666666,0.16375838926174496,0.09302325581395349,0.1195729537366548,0.08396946564885496,0.16954022988505746,0.21428571428571427,0.24183006535947713,0.14509246088193456,0.12571428571428572,0.05434782608695652,0.14336917562724014,0.0,0.13953488372093023,0.21904761904761905,0.21374045801526717,0.102880658436214,0.3469387755102041,0.1849507735583685,0.15384615384615385,0.10526315789473684,0.21678321678321677,0.12949640287769784,0.22207621550591328,0.25666666666666665,0.1545253863134658,0.16757741347905283,0.24597364568081992,0.1,0.12709030100334448,0.20909090909090908,0.1953405017921147,0.12398042414355628,0.14772727272727273,0.1486146095717884,0.2867063492063492,0.1111111111111111,,0.125
-11,0.1024,0.047619047619047616,0.19047619047619047,0.19206145966709348,0.07317073170731707,0.12831541218637993,0.06867845993756504,0.1880108991825613,0.2,0.2,0.1967479674796748,0.15,0.047058823529411764,0.11406844106463879,0.2,0.1896551724137931,0.21052631578947367,0.14615384615384616,0.16666666666666666,0.16666666666666666,0.17116422513492677,0.2,0.10344827586206896,0.21637426900584794,0.08860759493670886,0.2654614652711703,0.19795221843003413,0.19327731092436976,0.162748643761302,0.22,0.0975609756097561,0.11439114391143912,0.16287878787878787,0.18281535648994515,0.14194322271091564,0.205607476635514,0.18592964824120603,0.2774621212121212,0.11475409836065574,,0.17647058823529413
-10,0.15348101265822786,0.04925053533190578,0.13513513513513514,0.18725617685305593,0.08498583569405099,0.1290097629009763,0.06823266219239374,0.12052117263843648,0.375,0.15217391304347827,0.19666666666666666,0.1793103448275862,0.07777777777777778,0.11857707509881422,0.0,0.1485148514851485,0.2543859649122807,0.18110236220472442,0.15163934426229508,0.1702127659574468,0.1586466165413534,0.07142857142857142,0.16129032258064516,0.2014388489208633,0.10457516339869281,0.22592259225922592,0.1993006993006993,0.13838120104438642,0.14090019569471623,0.22065727699530516,0.09375,0.10616438356164383,0.2153846153846154,0.19074074074074074,0.1341940532081377,0.20930232558139536,0.13262599469496023,0.3113482056256062,0.1417910447761194,,0.21428571428571427
-9,0.11484593837535013,0.07960199004975124,0.1323529411764706,0.1773981603153745,0.08430232558139535,0.13249651324965134,0.08067940552016985,0.11343283582089553,0.375,0.24242424242424243,0.23688969258589512,0.09876543209876543,0.12857142857142856,0.09340659340659341,0.16666666666666666,0.12396694214876033,0.27232142857142855,0.144,0.09507042253521127,0.19607843137254902,0.14403600900225055,0.3333333333333333,0.2727272727272727,0.19186046511627908,0.14136125654450263,0.2320754716981132,0.19343065693430658,0.17058823529411765,0.14990512333965844,0.23837209302325582,0.07142857142857142,0.10256410256410256,0.21551724137931033,0.1881720430107527,0.14330833004342677,0.2631578947368421,0.1327683615819209,0.27071823204419887,0.13008130081300814,,0.1111111111111111
-8,0.11169284467713787,0.05896805896805897,0.10465116279069768,0.1794871794871795,0.1038961038961039,0.13654301499605367,0.06997742663656885,0.1673469387755102,0.42857142857142855,0.18674698795180722,0.21660649819494585,0.11486486486486487,0.07894736842105263,0.12026726057906459,0.0,0.09574468085106383,0.20493827160493827,0.18691588785046728,0.09236947791164658,0.16883116883116883,0.18018787361229718,0.045454545454545456,0.10256410256410256,0.21428571428571427,0.12658227848101267,0.21138211382113822,0.184,0.1752021563342318,0.18818380743982493,0.2714285714285714,0.06818181818181818,0.10887096774193548,0.23275862068965517,0.18803418803418803,0.1297909407665505,0.13978494623655913,0.07801418439716312,0.26666666666666666,0.13445378151260504,,0.0
-7,0.14917127071823205,0.105,0.13636363636363635,0.18775510204081633,0.08098591549295775,0.12629070691024621,0.07017543859649122,0.2600896860986547,0.5714285714285714,0.24603174603174602,0.13714285714285715,0.12345679012345678,0.06198118428334256,0.11282843894899536,0.0,0.1746031746031746,0.2417910447761194,0.18425760286225404,0.11627906976744186,0.16666666666666666,0.1861152141802068,0.19791666666666666,0.17857142857142858,0.06926406926406926,0.1638418079096045,0.23751522533495736,0.1689497716894977,0.1723076923076923,0.1891385767790262,0.225,0.0851063829787234,0.10416666666666667,0.23214285714285715,0.17552334943639292,0.1207913918778202,0.16483516483516483,0.08859223300970874,0.26521239954075776,0.08,0.04918032786885246,0.0
-6,0.15384615384615385,0.07809110629067245,0.1728395061728395,0.15789473684210525,0.11627906976744186,0.1276013143483023,0.07436619718309859,0.17167381974248927,0.375,0.12627986348122866,0.16865079365079366,0.099644128113879,0.09341825902335456,0.13176895306859207,0.07142857142857142,0.11194029850746269,0.21810699588477367,0.19483101391650098,0.10967741935483871,0.09375,0.21825396825396826,0.35,0.10344827586206896,0.1232876712328767,0.1518324607329843,0.21302325581395348,0.256,0.18124507486209615,0.16202090592334495,0.2952261306532663,0.13157894736842105,0.1278409090909091,0.20714285714285716,0.2207977207977208,0.13073561544064094,0.16521739130434782,0.13284132841328414,0.26578073089701,0.16037735849056603,0.11238532110091744,0.07142857142857142
-5,0.10566615620214395,0.0851063829787234,0.1276595744680851,0.15994962216624686,0.07323232323232323,0.15648854961832062,0.07128580946035976,0.11290322580645161,0.25,0.1853035143769968,0.16938775510204082,0.10080645161290322,0.11320754716981132,0.11056910569105691,0.23529411764705882,0.13725490196078433,0.25229357798165136,0.22939866369710468,0.10774410774410774,0.12631578947368421,0.20043415340086831,0.22826086956521738,0.21739130434782608,0.13358778625954199,0.135678391959799,0.23930131004366811,0.19936708860759494,0.17616580310880828,0.1890971039182283,0.27217496962332927,0.06818181818181818,0.14772727272727273,0.27208480565371024,0.1816816816816817,0.1298195967456668,0.20437956204379562,0.11773472429210134,0.25725860904794057,0.1111111111111111,0.11780104712041885,0.11764705882352941
-4,0.12557427258805512,0.05660377358490566,0.16901408450704225,0.13432835820895522,0.09248554913294797,0.14938030006523156,0.05387931034482758,0.15916955017301038,0.15,0.19313304721030042,0.1757028112449799,0.1145374449339207,0.10277492291880781,0.11985688729874776,0.0,0.1282051282051282,0.25806451612903225,0.20781527531083482,0.132486388384755,0.1232876712328767,0.20095313741064336,0.20634920634920634,0.2857142857142857,0.10227272727272728,0.15418502202643172,0.19692603266090297,0.2282958199356913,0.18672566371681415,0.1022530329289428,0.3010989010989011,0.1276595744680851,0.13136729222520108,0.1811320754716981,0.184640522875817,0.14240394783221713,0.24489795918367346,0.1613316261203585,0.2729693741677763,0.1796875,0.08899297423887588,0.25
