cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.11217183770883055,0.1175,0.15254237288135594,0.09567198177676538,0.17843866171003717,0.09027777777777778,0.12962962962962962,0.09282700421940929,0.1,0.03361344537815126,0.0670391061452514,0.1773049645390071,0.15151515151515152,0.09245742092457421,0.0,0.14545454545454545,0.06153846153846154,0.06086956521739131,0.06532663316582915,0.19444444444444445,0.11057225994180407,0.1111111111111111,0.15,0.09523809523809523,0.1388888888888889,0.09728183118741059,0.06796116504854369,0.07575757575757576,0.0625,0.1188118811881188,0.15625,0.13978494623655913,0.12080536912751678,0.12771084337349398,0.03694581280788178,0.0,0.09549071618037135,0.11466666666666667,0.20481927710843373,,0.0
-12,0.11643835616438356,0.11515151515151516,0.13636363636363635,0.06577181208053691,0.16569767441860464,0.09822064056939502,0.11232279171210469,0.08620689655172414,0.0,0.026143790849673203,0.06401137980085349,0.18857142857142858,0.20652173913043478,0.06810035842293907,0.3333333333333333,0.10465116279069768,0.04523809523809524,0.05343511450381679,0.04526748971193416,0.10204081632653061,0.10126582278481013,0.23076923076923078,0.15789473684210525,0.08391608391608392,0.18705035971223022,0.13469119579500657,0.07,0.09933774834437085,0.04007285974499089,0.10248901903367497,0.16666666666666666,0.10033444816053512,0.08636363636363636,0.11469534050179211,0.04445350734094616,0.022727272727272728,0.07304785894206549,0.10416666666666667,0.15384615384615385,,0.0625
-11,0.1136,0.12629399585921325,0.10714285714285714,0.04225352112676056,0.14939024390243902,0.09247311827956989,0.11446409989594172,0.10354223433242507,0.25,0.032,0.06666666666666667,0.19375,0.1411764705882353,0.07984790874524715,0.2,0.10344827586206896,0.029748283752860413,0.1,0.06666666666666667,0.11666666666666667,0.10100231303006939,0.3,0.0,0.029239766081871343,0.15822784810126583,0.10751665080875357,0.07849829351535836,0.11484593837535013,0.04159132007233273,0.10166666666666667,0.17073170731707318,0.11808118081180811,0.09848484848484848,0.10054844606946983,0.04078368652538984,0.028037383177570093,0.08040201005025126,0.09564393939393939,0.18032786885245902,,0.17647058823529413
-10,0.11234177215189874,0.09635974304068523,0.17567567567567569,0.053315994798439535,0.13314447592067988,0.09135285913528592,0.10961968680089486,0.10749185667752444,0.0625,0.057971014492753624,0.08833333333333333,0.2620689655172414,0.07777777777777778,0.07509881422924901,0.0,0.07920792079207921,0.05263157894736842,0.07086614173228346,0.06967213114754098,0.19148936170212766,0.1,0.2857142857142857,0.0967741935483871,0.06474820143884892,0.12418300653594772,0.10261026102610261,0.09090909090909091,0.08093994778067885,0.06457925636007827,0.09702660406885759,0.15625,0.11986301369863013,0.14871794871794872,0.10740740740740741,0.04812206572769953,0.0,0.08222811671087533,0.0892337536372454,0.17164179104477612,,0.07142857142857142
-9,0.12464985994397759,0.12437810945273632,0.11764705882352941,0.0657030223390276,0.17151162790697674,0.08507670850767085,0.12208067940552017,0.1373134328358209,0.125,0.030303030303030304,0.0705244122965642,0.2345679012345679,0.21428571428571427,0.07875457875457875,0.16666666666666666,0.12396694214876033,0.06473214285714286,0.112,0.0528169014084507,0.0784313725490196,0.11252813203300825,0.08333333333333333,0.12121212121212122,0.06976744186046512,0.10471204188481675,0.10943396226415095,0.10218978102189781,0.07352941176470588,0.04933586337760911,0.12596899224806202,0.32142857142857145,0.15064102564102563,0.15517241379310345,0.10752688172043011,0.04263718910382945,0.0,0.059322033898305086,0.09023941068139964,0.25203252032520324,,0.16666666666666666
-8,0.1343804537521815,0.08108108108108109,0.1744186046511628,0.04675716440422323,0.18831168831168832,0.08129439621152329,0.11512415349887133,0.11836734693877551,0.0,0.04216867469879518,0.061371841155234655,0.16216216216216217,0.11842105263157894,0.06904231625835189,0.1,0.07446808510638298,0.056790123456790124,0.06542056074766354,0.07630522088353414,0.09090909090909091,0.11870196413321947,0.2727272727272727,0.02564102564102564,0.05714285714285714,0.13924050632911392,0.10873983739837398,0.076,0.07277628032345014,0.0350109409190372,0.1380952380952381,0.13636363636363635,0.14516129032258066,0.1206896551724138,0.11538461538461539,0.050522648083623695,0.021505376344086023,0.07801418439716312,0.0835978835978836,0.17647058823529413,,0.1
-7,0.11970534069981584,0.125,0.14772727272727273,0.06394557823129252,0.16549295774647887,0.09134233518665608,0.14127423822714683,0.11659192825112108,0.14285714285714285,0.03968253968253968,0.09904761904761905,0.22839506172839505,0.12396236856668512,0.08346213292117466,0.23529411764705882,0.11904761904761904,0.050746268656716415,0.04830053667262969,0.05471956224350205,0.05555555555555555,0.09231905465288036,0.16666666666666666,0.03571428571428571,0.030303030303030304,0.15819209039548024,0.11327649208282582,0.045662100456621,0.09948717948717949,0.0449438202247191,0.13863636363636364,0.19148936170212766,0.10833333333333334,0.14285714285714285,0.15780998389694043,0.04859423811176675,0.02197802197802198,0.1104368932038835,0.09070034443168772,0.26,0.058007566204287514,0.0
-6,0.1076923076923077,0.09978308026030369,0.24691358024691357,0.054357204486626405,0.19186046511627908,0.09200438116100766,0.1132394366197183,0.12446351931330472,0.0,0.040955631399317405,0.10515873015873016,0.20284697508896798,0.1454352441613588,0.0776173285198556,0.14285714285714285,0.07462686567164178,0.06172839506172839,0.04970178926441352,0.05967741935483871,0.08333333333333333,0.09457671957671958,0.15,0.10344827586206896,0.05136986301369863,0.16753926701570682,0.11813953488372093,0.06133333333333333,0.08983451536643026,0.03832752613240418,0.15201005025125627,0.21052631578947367,0.11363636363636363,0.10714285714285714,0.10683760683760683,0.04042243262927895,0.05217391304347826,0.12546125461254612,0.07574750830564785,0.14150943396226415,0.09862385321100918,0.21428571428571427
-5,0.14548238897396631,0.09574468085106383,0.11702127659574468,0.055415617128463476,0.1691919191919192,0.08778625954198473,0.1105929380413058,0.16532258064516128,0.17857142857142858,0.07348242811501597,0.09693877551020408,0.1774193548387097,0.14872364039955605,0.08780487804878048,0.11764705882352941,0.08496732026143791,0.06651376146788991,0.07349665924276169,0.06228956228956229,0.09473684210526316,0.08972503617945007,0.15217391304347827,0.021739130434782608,0.026717557251908396,0.15577889447236182,0.10655021834061135,0.06962025316455696,0.1001727115716753,0.049403747870528106,0.13730255164034022,0.045454545454545456,0.10795454545454546,0.14840989399293286,0.12012012012012012,0.044570215776441456,0.0,0.10283159463487332,0.074949358541526,0.1984126984126984,0.08115183246073299,0.23529411764705882
-4,0.09647779479326186,0.09056603773584905,0.09859154929577464,0.03731343283582089,0.15895953757225434,0.091324200913242,0.10560344827586207,0.17993079584775087,0.2,0.060085836909871244,0.10642570281124498,0.1277533039647577,0.14388489208633093,0.08407871198568873,0.0,0.10256410256410256,0.046370967741935484,0.05328596802841918,0.07441016333938294,0.0684931506849315,0.10405083399523431,0.11904761904761904,0.03571428571428571,0.022727272727272728,0.11894273127753303,0.0941402497598463,0.07717041800643087,0.08141592920353982,0.053726169844020795,0.11318681318681319,0.10638297872340426,0.08579088471849866,0.18867924528301888,0.10620915032679738,0.05216778286922806,0.030612244897959183,0.10243277848911651,0.07856191744340879,0.125,0.10304449648711944,0.375
