cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.16025641025641027,0.12182296231375986,0.359375,0.21615720524017468,0.19787234042553192,0.1426470588235294,0.13738959764474976,0.19881305637982197,0.16666666666666666,0.19090909090909092,0.14153846153846153,0.2459016393442623,0.07992565055762081,0.12786259541984732,0.17391304347826086,0.19327731092436976,0.1831831831831832,0.1885245901639344,0.09950248756218906,0.2706766917293233,0.22829131652661064,0.3181818181818182,0.375,0.17094017094017094,0.23414634146341465,0.1952662721893491,0.1393939393939394,0.22139303482587064,0.14127423822714683,0.3074866310160428,0.08074534161490683,0.18181818181818182,0.30735930735930733,0.15736766809728184,0.14142928535732133,0.11428571428571428,0.14971428571428572,0.22981366459627328,0.2644927536231884,,0.2608695652173913
-12,0.17899101589495509,0.14003701418877237,0.28125,0.22404371584699453,0.1997291807718348,0.14270994332818135,0.15021129466000768,0.1940928270042194,0.20833333333333334,0.19130434782608696,0.15188470066518847,0.27769347496206376,0.1411192214111922,0.13914174252275682,0.1724137931034483,0.2235294117647059,0.2058252427184466,0.22807017543859648,0.18134715025906736,0.27884615384615385,0.25499524262607043,0.4076923076923077,0.2903225806451613,0.16447368421052633,0.29906542056074764,0.20908483633934535,0.24899598393574296,0.20084269662921347,0.14038876889848811,0.29270544783010155,0.15,0.18806509945750452,0.37714285714285717,0.18088386433710174,0.15217391304347827,0.2391304347826087,0.18255578093306288,0.26612170753860126,0.28761061946902655,,0.25
-11,0.18436109345200255,0.13325540619520748,0.26595744680851063,0.26015228426395937,0.20229265003371544,0.14946236559139786,0.14530850675428988,0.23271889400921658,0.14285714285714285,0.2037037037037037,0.173963133640553,0.2640625,0.19477434679334918,0.1507177033492823,0.2,0.1910828025477707,0.18673647469458987,0.24043715846994534,0.15680473372781065,0.24423963133640553,0.2629330802088277,0.32727272727272727,0.1891891891891892,0.14594594594594595,0.27002967359050445,0.225444340505145,0.18110236220472442,0.2194787379972565,0.16666666666666666,0.29333333333333333,0.12562814070351758,0.2125,0.3621621621621622,0.16613076098606644,0.15853658536585366,0.2222222222222222,0.1394422310756972,0.28703703703703703,0.2890792291220557,,0.2222222222222222
-10,0.1835564053537285,0.12814645308924486,0.25892857142857145,0.21484375,0.1961792799412197,0.13233724653148346,0.15179910044977513,0.20616113744075829,0.15384615384615385,0.1357142857142857,0.2193627450980392,0.2813918305597579,0.16666666666666666,0.15535248041775457,0.18181818181818182,0.2670157068062827,0.1846435100548446,0.21226415094339623,0.14912280701754385,0.2096069868995633,0.2278301886792453,0.26785714285714285,0.22916666666666666,0.15757575757575756,0.2516778523489933,0.22469982847341338,0.17557251908396945,0.19756838905775076,0.1590909090909091,0.304390243902439,0.1319796954314721,0.18518518518518517,0.3149847094801223,0.1895424836601307,0.1402200922967696,0.18518518518518517,0.16108786610878661,0.3196955280685062,0.2572614107883817,,0.28205128205128205
-9,0.1806914546640574,0.1524422973698336,0.2222222222222222,0.24776500638569604,0.18854748603351956,0.15043345232024477,0.15797154323239693,0.20754716981132076,0.23076923076923078,0.1506849315068493,0.18306351183063513,0.25,0.15384615384615385,0.13144963144963145,0.13793103448275862,0.1477832512315271,0.1791304347826087,0.1657754010695187,0.13486005089058525,0.3010204081632653,0.22049405306495884,0.38333333333333336,0.27586206896551724,0.2129032258064516,0.25496688741721857,0.21057118499573743,0.23426573426573427,0.21808510638297873,0.1417624521072797,0.35019455252918286,0.17647058823529413,0.19649122807017544,0.41739130434782606,0.19423692636072573,0.1683133380381087,0.24,0.13908045977011493,0.30735930735930733,0.2645161290322581,,0.21621621621621623
-8,0.17555555555555555,0.14082599864590387,0.2717391304347826,0.18356164383561643,0.1839738348323794,0.1292798110979929,0.14279766860949208,0.2116279069767442,0.0,0.14705882352941177,0.1909814323607427,0.25980392156862747,0.19444444444444445,0.15161290322580645,0.22727272727272727,0.22413793103448276,0.1894093686354379,0.2023121387283237,0.170316301703163,0.2608695652173913,0.20347259902333154,0.49056603773584906,0.36,0.1891891891891892,0.23448275862068965,0.23116089613034624,0.1896551724137931,0.1796116504854369,0.15418502202643172,0.34278959810874704,0.140625,0.19239373601789708,0.3471502590673575,0.159846547314578,0.14734393175649477,0.08695652173913043,0.1560549313358302,0.29876796714579057,0.27546296296296297,,0.35294117647058826
-7,0.17204301075268819,0.1284796573875803,0.22115384615384615,0.20430107526881722,0.1645193260654113,0.14285714285714285,0.1383989145183175,0.1988472622478386,0.2413793103448276,0.168141592920354,0.1531573986804901,0.20309810671256454,0.14128869690424767,0.07813733228097869,0.0392156862745098,0.14790996784565916,0.21365638766519823,0.1655773420479303,0.10047281323877069,0.24242424242424243,0.20975918884664133,0.3316582914572864,0.1111111111111111,0.09881422924901186,0.21100917431192662,0.2296137339055794,0.13793103448275862,0.15197313182199831,0.15294117647058825,0.3561946902654867,0.10526315789473684,0.15019762845849802,0.39226519337016574,0.18292682926829268,0.14244186046511628,0.05263157894736842,0.14432989690721648,0.2539325842696629,0.3251366120218579,0.0745393634840871,0.1875
-6,0.1755771567436209,0.13417190775681342,0.23148148148148148,0.22427184466019418,0.1911049339819319,0.11298969072164948,0.14103970168896687,0.24455205811138014,0.23333333333333334,0.11320754716981132,0.1858695652173913,0.23326133909287258,0.19439444587297505,0.13097949886104784,0.3235294117647059,0.16822429906542055,0.2378138847858198,0.2231237322515213,0.1378132118451025,0.19313304721030042,0.2007233273056058,0.3688212927756654,0.2222222222222222,0.11458333333333333,0.20971867007672634,0.23581135091926458,0.21262458471760798,0.19697885196374623,0.16526138279932545,0.35091743119266056,0.11739130434782609,0.16312056737588654,0.33858267716535434,0.16271186440677965,0.13789398280802292,0.0851063829787234,0.18763479511143064,0.2989247311827957,0.2625,0.11323529411764706,0.21621621621621623
-5,0.17270029673590503,0.1493820526598603,0.19801980198019803,0.21385176184690158,0.20498614958448755,0.13120229007633588,0.13160518444666003,0.2328042328042328,0.32142857142857145,0.16546762589928057,0.18133333333333335,0.20224719101123595,0.19510952623535405,0.13213213213213212,0.18604651162790697,0.21245421245421245,0.21375186846038863,0.1984126984126984,0.15051311288483465,0.2,0.20127015144113336,0.34934497816593885,0.21212121212121213,0.10526315789473684,0.23573200992555832,0.21964423820572312,0.23255813953488372,0.21366995073891626,0.13432835820895522,0.3468038207200588,0.172,0.14641288433382138,0.3805774278215223,0.1902222222222222,0.15068027210884355,0.0,0.16111111111111112,0.2869924294562973,0.31390134529147984,0.1076923076923077,0.2564102564102564
-4,0.16977829638273045,0.10873058382431709,0.2289156626506024,0.22088353413654618,0.20681986656782803,0.14027777777777778,0.1307908881494753,0.24943820224719102,0.225,0.22408963585434175,0.17855072463768115,0.2191780821917808,0.19388297872340426,0.15132924335378323,0.11764705882352941,0.20317460317460317,0.20512820512820512,0.229957805907173,0.14186046511627906,0.22272727272727272,0.25063775510204084,0.3173913043478261,0.1891891891891892,0.0873015873015873,0.22888283378746593,0.23102866779089376,0.1969111969111969,0.2085661080074488,0.16195856873822975,0.3476990504017531,0.16666666666666666,0.17761194029850746,0.3787128712871287,0.1746641074856046,0.129304286718201,0.12727272727272726,0.18321826872012745,0.2898341744772891,0.2537634408602151,0.11075441412520064,0.1111111111111111
