cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.009157509157509158,0.0008764241893076249,0.0,0.006550218340611353,0.006382978723404255,0.011764705882352941,0.009813542688910697,0.008902077151335312,0.0,0.03636363636363636,0.006153846153846154,0.00936768149882904,0.011152416356877323,0.019083969465648856,0.0,0.0,0.03303303303303303,0.00819672131147541,0.004975124378109453,0.015037593984962405,0.0070028011204481795,0.0,0.0,0.02564102564102564,0.024390243902439025,0.005917159763313609,0.0,0.007462686567164179,0.0110803324099723,0.00267379679144385,0.012422360248447204,0.02077922077922078,0.012987012987012988,0.011444921316165951,0.014492753623188406,0.0,0.006857142857142857,0.006211180124223602,0.0,,0.0
-12,0.009675190048375951,0.0030845157310302285,0.0,0.00546448087431694,0.012186865267433988,0.010303967027305513,0.006146753745678064,0.012658227848101266,0.0,0.043478260869565216,0.004434589800443459,0.004552352048558422,0.0072992700729927005,0.006501950585175552,0.0,0.0,0.017475728155339806,0.011695906432748537,0.0025906735751295338,0.014423076923076924,0.007136060894386299,0.015384615384615385,0.0,0.019736842105263157,0.03426791277258567,0.0033400133600534404,0.008032128514056224,0.007022471910112359,0.01079913606911447,0.003693444136657433,0.0,0.0162748643761302,0.008571428571428572,0.0041109969167523125,0.012368815592203899,0.021739130434782608,0.006085192697768763,0.005449591280653951,0.004424778761061947,,0.0
-11,0.00572155117609663,0.0035067212156633548,0.010638297872340425,0.0025380710659898475,0.005394470667565745,0.015053763440860216,0.006936838262139467,0.018433179723502304,0.0,0.018518518518518517,0.004608294930875576,0.00625,0.0166270783847981,0.017942583732057416,0.0,0.01910828025477707,0.017452006980802792,0.00546448087431694,0.005917159763313609,0.018433179723502304,0.006169909824394874,0.045454545454545456,0.0,0.0,0.02967359050445104,0.005612722170252572,0.0,0.012345679012345678,0.01568627450980392,0.0044444444444444444,0.010050251256281407,0.025,0.013513513513513514,0.007502679528403001,0.010401721664275465,0.018518518518518517,0.0099601593625498,0.003703703703703704,0.004282655246252677,,0.0
-10,0.0038240917782026767,0.0011441647597254005,0.0,0.005208333333333333,0.008082292432035268,0.012273212379935965,0.012368815592203899,0.014218009478672985,0.0,0.02142857142857143,0.006127450980392157,0.0030257186081694403,0.013888888888888888,0.020887728459530026,0.0,0.0,0.018281535648994516,0.009433962264150943,0.0021929824561403508,0.013100436681222707,0.007075471698113208,0.026785714285714284,0.0,0.024242424242424242,0.03355704697986577,0.003430531732418525,0.003816793893129771,0.00911854103343465,0.030303030303030304,0.005853658536585366,0.0,0.02292768959435626,0.009174311926605505,0.0054466230936819175,0.009229676961306355,0.0,0.005230125523012552,0.007611798287345386,0.0,,0.02564102564102564
-9,0.005870841487279843,0.0021470746108427268,0.009259259259259259,0.0038314176245210726,0.006284916201117319,0.012748597654258032,0.011309740970448741,0.009433962264150943,0.0,0.03424657534246575,0.0049813200498132005,0.011834319526627219,0.011396011396011397,0.007371007371007371,0.0,0.009852216748768473,0.019130434782608695,0.0106951871657754,0.0,0.025510204081632654,0.0054894784995425435,0.025,0.0,0.0064516129032258064,0.033112582781456956,0.0076726342710997444,0.0034965034965034965,0.0026595744680851063,0.01532567049808429,0.0038910505836575876,0.004901960784313725,0.021052631578947368,0.02608695652173913,0.0021344717182497333,0.013761467889908258,0.0,0.010344827586206896,0.006926406926406926,0.004301075268817204,,0.0
-8,0.005185185185185185,0.003385240352064997,0.0,0.009589041095890411,0.006541291905151268,0.01357733175914994,0.008742714404662781,0.023255813953488372,0.0,0.014705882352941176,0.002652519893899204,0.006535947712418301,0.006172839506172839,0.01129032258064516,0.0,0.005747126436781609,0.012219959266802444,0.005780346820809248,0.0024330900243309003,0.021739130434782608,0.0027129679869777536,0.018867924528301886,0.0,0.005405405405405406,0.02413793103448276,0.008146639511201629,0.004310344827586207,0.006472491909385114,0.028634361233480177,0.0035460992907801418,0.005208333333333333,0.017897091722595078,0.03626943005181347,0.0076726342710997444,0.010856921287320668,0.0,0.008739076154806492,0.00513347022587269,0.0,,0.0
-7,0.0041356492969396195,0.0035688793718772305,0.0,0.0030721966205837174,0.009910802775024777,0.010625737898465172,0.0101763907734057,0.01440922190201729,0.0,0.061946902654867256,0.012252591894439209,0.008605851979345954,0.00755939524838013,0.0015785319652722968,0.0,0.003215434083601286,0.028634361233480177,0.008714596949891068,0.0035460992907801418,0.01818181818181818,0.005069708491761723,0.01507537688442211,0.0,0.011857707509881422,0.024464831804281346,0.01072961373390558,0.008620689655172414,0.007556675062972292,0.009411764705882352,0.0011061946902654867,0.005847953216374269,0.009881422924901186,0.011049723756906077,0.005628517823639775,0.010382059800664452,0.02631578947368421,0.001212856276531231,0.0033707865168539327,0.0,0.002512562814070352,0.0
-6,0.004860267314702308,0.0010482180293501049,0.009259259259259259,0.002912621359223301,0.011118832522585128,0.010721649484536083,0.014476858960298312,0.012106537530266344,0.0,0.03773584905660377,0.007065217391304348,0.011879049676025918,0.007714065312419645,0.01366742596810934,0.0,0.009345794392523364,0.028064992614475627,0.02636916835699797,0.009111617312072893,0.004291845493562232,0.0054249547920434,0.026615969581749048,0.027777777777777776,0.013888888888888888,0.010230179028132993,0.003996802557953637,0.0033222591362126247,0.0036253776435045317,0.013490725126475547,0.0045871559633027525,0.008695652173913044,0.019858156028368795,0.010498687664041995,0.005932203389830509,0.01325214899713467,0.0,0.005751258087706686,0.007885304659498209,0.0020833333333333333,0.0058823529411764705,0.0
-5,0.00830860534124629,0.0010746910263299302,0.0,0.0036452004860267314,0.006925207756232687,0.01049618320610687,0.011714855433698903,0.013227513227513227,0.0,0.03597122302158273,0.0144,0.008739076154806492,0.008405501782985226,0.013013013013013013,0.0,0.003663003663003663,0.014947683109118086,0.013888888888888888,0.00798175598631699,0.01276595744680851,0.0039081582804103565,0.026200873362445413,0.0,0.0,0.02977667493796526,0.0007733952049497294,0.0033222591362126247,0.008620689655172414,0.01824212271973466,0.0036737692872887582,0.024,0.024890190336749635,0.015748031496062992,0.0035555555555555557,0.012585034013605442,0.02,0.005555555555555556,0.0027529249827942187,0.002242152466367713,0.007692307692307693,0.0
-4,0.0029171528588098016,0.0010712372790573112,0.0,0.008032128514056224,0.008895478131949592,0.006481481481481481,0.01382134630151011,0.011235955056179775,0.0,0.028011204481792718,0.010434782608695653,0.0027397260273972603,0.007712765957446808,0.0081799591002045,0.0,0.009523809523809525,0.020833333333333332,0.016877637130801686,0.002325581395348837,0.00909090909090909,0.00510204081632653,0.008695652173913044,0.0,0.011904761904761904,0.02997275204359673,0.002529510961214165,0.003861003861003861,0.0074487895716946,0.01694915254237288,0.006574141709276844,0.009523809523809525,0.016417910447761194,0.012376237623762377,0.008637236084452975,0.010541110330288124,0.0,0.006903876792352629,0.008651766402307137,0.002150537634408602,0.004815409309791332,0.0
