cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.026556776556776556,0.02366345311130587,0.078125,0.03056768558951965,0.018085106382978722,0.03161764705882353,0.019627085377821395,0.02967359050445104,0.0,0.00909090909090909,0.03230769230769231,0.03278688524590164,0.027881040892193308,0.02480916030534351,0.0,0.01680672268907563,0.018018018018018018,0.03278688524590164,0.04975124378109453,0.07518796992481203,0.03711484593837535,0.045454545454545456,0.1875,0.008547008547008548,0.024390243902439025,0.02514792899408284,0.006060606060606061,0.022388059701492536,0.013850415512465374,0.017379679144385027,0.031055900621118012,0.02857142857142857,0.0735930735930736,0.020028612303290415,0.031984007996002,0.02857142857142857,0.029714285714285714,0.017391304347826087,0.05434782608695652,,0.043478260869565216
-12,0.0359364201796821,0.027760641579272053,0.0625,0.028688524590163935,0.021665538253215978,0.03142709943328181,0.021129466000768343,0.014767932489451477,0.041666666666666664,0.034782608695652174,0.025498891352549888,0.025796661608497723,0.0170316301703163,0.02600780234070221,0.034482758620689655,0.01764705882352941,0.031067961165048542,0.03508771929824561,0.03367875647668394,0.019230769230769232,0.029495718363463368,0.038461538461538464,0.06451612903225806,0.006578947368421052,0.03426791277258567,0.028056112224448898,0.008032128514056224,0.02949438202247191,0.028077753779697623,0.010156971375807941,0.011111111111111112,0.0433996383363472,0.06285714285714286,0.017471736896197326,0.034482758620689655,0.021739130434782608,0.028397565922920892,0.008174386920980926,0.03982300884955752,,0.0
-11,0.033693579148124604,0.027469316189362946,0.031914893617021274,0.048223350253807105,0.02157788267026298,0.03870967741935484,0.020080321285140562,0.02304147465437788,0.0,0.009259259259259259,0.020737327188940093,0.0296875,0.03800475059382423,0.0215311004784689,0.025,0.012738853503184714,0.019197207678883072,0.04371584699453552,0.026627218934911243,0.027649769585253458,0.030849549121974372,0.02727272727272727,0.02702702702702703,0.010810810810810811,0.02373887240356083,0.0205799812909261,0.015748031496062992,0.03429355281207133,0.03137254901960784,0.008,0.04020100502512563,0.03214285714285714,0.04594594594594595,0.01822079314040729,0.03335724533715925,0.018518518518518517,0.030876494023904383,0.016666666666666666,0.05139186295503212,,0.05555555555555555
-10,0.030592734225621414,0.02631578947368421,0.07142857142857142,0.041666666666666664,0.012490815576781777,0.027214514407684097,0.022488755622188907,0.026066350710900472,0.0,0.03571428571428571,0.030637254901960783,0.024205748865355523,0.03333333333333333,0.031331592689295036,0.030303030303030304,0.015706806282722512,0.02010968921389397,0.02358490566037736,0.03289473684210526,0.017467248908296942,0.022641509433962263,0.026785714285714284,0.0,0.03636363636363636,0.030201342281879196,0.02830188679245283,0.015267175572519083,0.030395136778115502,0.022727272727272728,0.013658536585365854,0.0,0.03350970017636684,0.04892966360856269,0.027233115468409588,0.03123890663826766,0.05555555555555555,0.03347280334728033,0.014272121788772598,0.05394190871369295,,0.05128205128205128
-9,0.030006523157208087,0.024154589371980676,0.018518518518518517,0.05108556832694764,0.009078212290502794,0.02702702702702703,0.022619481940897482,0.03537735849056604,0.0,0.04794520547945205,0.021170610211706103,0.02514792899408284,0.022792022792022793,0.013513513513513514,0.0,0.06403940886699508,0.01391304347826087,0.0374331550802139,0.043256997455470736,0.030612244897959183,0.027904849039341262,0.025,0.034482758620689655,0.03225806451612903,0.023178807947019868,0.0247229326513214,0.027972027972027972,0.02925531914893617,0.017241379310344827,0.010700389105058366,0.029411764705882353,0.03684210526315789,0.08260869565217391,0.016008537886873,0.03952011291460833,0.04,0.03218390804597701,0.01904761904761905,0.043010752688172046,,0.08108108108108109
-8,0.028148148148148148,0.02234258632362898,0.08695652173913043,0.0547945205479452,0.014717906786590351,0.018890200708382526,0.021232306411323898,0.027906976744186046,0.0,0.022058823529411766,0.01989389920424403,0.03431372549019608,0.015432098765432098,0.02258064516129032,0.0,0.028735632183908046,0.034623217922606926,0.017341040462427744,0.0267639902676399,0.05434782608695652,0.026044492674986434,0.02830188679245283,0.04,0.010810810810810811,0.027586206896551724,0.026476578411405296,0.01293103448275862,0.042071197411003236,0.019823788546255508,0.0070921985815602835,0.020833333333333332,0.049217002237136466,0.07253886010362694,0.01278772378516624,0.025979061651803026,0.0,0.026217228464419477,0.021560574948665298,0.027777777777777776,,0.058823529411764705
-7,0.03225806451612903,0.022840827980014276,0.08653846153846154,0.05683563748079877,0.02081268582755203,0.030696576151121605,0.018656716417910446,0.03170028818443804,0.034482758620689655,0.008849557522123894,0.032516493873704054,0.0189328743545611,0.03257739380849532,0.01499605367008682,0.0,0.03536977491961415,0.01762114537444934,0.02178649237472767,0.026004728132387706,0.03636363636363636,0.028517110266159697,0.06532663316582915,0.037037037037037035,0.003952569169960474,0.03363914373088685,0.027896995708154508,0.01293103448275862,0.03526448362720403,0.011764705882352941,0.008849557522123894,0.023391812865497075,0.02766798418972332,0.09392265193370165,0.0300187617260788,0.0340531561461794,0.02631578947368421,0.031534263189812006,0.016853932584269662,0.03825136612021858,0.010887772194304857,0.0
-6,0.03219927095990279,0.023060796645702306,0.06481481481481481,0.04951456310679612,0.02779708130646282,0.030103092783505155,0.019083132265847774,0.03631961259079903,0.03333333333333333,0.014150943396226415,0.027717391304347826,0.042116630669546434,0.03599897145795834,0.025056947608200455,0.029411764705882353,0.028037383177570093,0.028064992614475627,0.02231237322515213,0.02847380410022779,0.02575107296137339,0.026220614828209764,0.057034220532319393,0.027777777777777776,0.003472222222222222,0.020460358056265986,0.019184652278177457,0.009966777408637873,0.03323262839879154,0.03709949409780776,0.00764525993883792,0.021739130434782608,0.031205673758865248,0.047244094488188976,0.02457627118644068,0.03939828080229226,0.0425531914893617,0.035945363048166784,0.015053763440860216,0.0625,0.013235294117647059,0.08108108108108109
-5,0.027299703264094956,0.025792584631918324,0.0594059405940594,0.0425273390036452,0.01662049861495845,0.02862595419847328,0.015453639082751745,0.031746031746031744,0.0,0.026378896882494004,0.0384,0.02871410736579276,0.04049923586347427,0.018018018018018018,0.06976744186046512,0.029304029304029304,0.01195814648729447,0.02976190476190476,0.027366020524515394,0.02127659574468085,0.0268685881778212,0.07860262008733625,0.06060606060606061,0.018796992481203006,0.04714640198511166,0.025522041763341066,0.019933554817275746,0.03140394088669951,0.02321724709784411,0.0073475385745775165,0.012,0.02342606149341142,0.06036745406824147,0.015111111111111112,0.03163265306122449,0.0,0.04135802469135803,0.026841018582243633,0.042600896860986545,0.015384615384615385,0.0
-4,0.029171528588098017,0.01821103374397429,0.10843373493975904,0.041499330655957165,0.020756115641215715,0.026851851851851852,0.016892756590734578,0.024719101123595506,0.0,0.011204481792717087,0.02782608695652174,0.01780821917808219,0.03723404255319149,0.019427402862985686,0.0,0.015873015873015872,0.022435897435897436,0.029535864978902954,0.031395348837209305,0.04090909090909091,0.02806122448979592,0.043478260869565216,0.05405405405405406,0.007936507936507936,0.01907356948228883,0.025295109612141653,0.02702702702702703,0.028553693358162633,0.02448210922787194,0.010226442658875092,0.01904761904761905,0.03880597014925373,0.0594059405940594,0.015355086372360844,0.02775825720309206,0.01818181818181818,0.036112586298459905,0.020187454938716654,0.04086021505376344,0.019261637239165328,0.031746031746031744
