cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.03021978021978022,0.014022787028921999,0.0625,0.05458515283842795,0.04148936170212766,0.039705882352941174,0.026987242394504417,0.05637982195845697,0.0,0.02727272727272727,0.02,0.03747072599531616,0.013011152416356878,0.04007633587786259,0.0,0.05042016806722689,0.036036036036036036,0.04918032786885246,0.03482587064676617,0.03759398496240601,0.052521008403361345,0.045454545454545456,0.0625,0.05128205128205128,0.07317073170731707,0.0650887573964497,0.01818181818181818,0.029850746268656716,0.060941828254847646,0.06016042780748663,0.006211180124223602,0.04415584415584416,0.03463203463203463,0.06151645207439199,0.03948025987006497,0.05714285714285714,0.022857142857142857,0.06583850931677018,0.036231884057971016,,0.0
-12,0.0359364201796821,0.013571869216533004,0.0625,0.06420765027322405,0.03588354773188896,0.03863987635239567,0.029581252401075682,0.052742616033755275,0.08333333333333333,0.043478260869565216,0.025498891352549888,0.036418816388467376,0.014598540145985401,0.031209362808842653,0.034482758620689655,0.058823529411764705,0.03300970873786408,0.06432748538011696,0.04404145077720207,0.028846153846153848,0.05518553758325404,0.023076923076923078,0.06451612903225806,0.06578947368421052,0.056074766355140186,0.06212424849699399,0.06827309236947791,0.032303370786516857,0.03023758099352052,0.07202216066481995,0.027777777777777776,0.03616636528028933,0.04857142857142857,0.051387461459403906,0.03785607196401799,0.08695652173913043,0.036511156186612576,0.05086285195277021,0.04424778761061947,,0.0
-11,0.029879211697393517,0.014611338398597311,0.06382978723404255,0.04568527918781726,0.04383007417397168,0.03763440860215054,0.02482657904344651,0.04377880184331797,0.09523809523809523,0.027777777777777776,0.016129032258064516,0.0296875,0.026128266033254157,0.028708133971291867,0.05,0.025477707006369428,0.02617801047120419,0.04918032786885246,0.029585798816568046,0.04608294930875576,0.05268153773137162,0.045454545454545456,0.08108108108108109,0.04864864864864865,0.09198813056379822,0.06641721234798878,0.06299212598425197,0.03292181069958848,0.049019607843137254,0.052444444444444446,0.020100502512562814,0.05357142857142857,0.08378378378378379,0.04072883172561629,0.04375896700143472,0.07407407407407407,0.022908366533864542,0.07222222222222222,0.05353319057815846,,0.027777777777777776
-10,0.02804333970681963,0.01887871853546911,0.08035714285714286,0.053385416666666664,0.03159441587068332,0.0368196371398079,0.02136431784107946,0.04265402843601896,0.038461538461538464,0.02857142857142857,0.028186274509803922,0.04236006051437216,0.013888888888888888,0.02349869451697128,0.030303030303030304,0.07329842931937172,0.03473491773308958,0.04716981132075472,0.03289473684210526,0.05240174672489083,0.04764150943396227,0.026785714285714284,0.08333333333333333,0.01818181818181818,0.06375838926174497,0.057461406518010294,0.0648854961832061,0.031914893617021274,0.0625,0.06146341463414634,0.03553299492385787,0.047619047619047616,0.06116207951070336,0.049019607843137254,0.039048633297834576,0.05555555555555555,0.028242677824267783,0.08372978116079924,0.03319502074688797,,0.05128205128205128
-9,0.024787997390737115,0.016639828234031134,0.08333333333333333,0.05236270753512133,0.034916201117318434,0.03773584905660377,0.030645749726377236,0.04245283018867924,0.0,0.0136986301369863,0.031133250311332503,0.03698224852071006,0.037037037037037035,0.036855036855036855,0.0,0.04926108374384237,0.029565217391304348,0.053475935828877004,0.022900763358778626,0.02040816326530612,0.05077767612076853,0.025,0.13793103448275862,0.03870967741935484,0.059602649006622516,0.057971014492753624,0.055944055944055944,0.03590425531914894,0.040229885057471264,0.07490272373540856,0.0196078431372549,0.03859649122807018,0.08695652173913043,0.052294557097118465,0.04163726182074806,0.06,0.014942528735632184,0.08917748917748917,0.030107526881720432,,0.0
-8,0.03037037037037037,0.02234258632362898,0.09782608695652174,0.0589041095890411,0.04006541291905151,0.03423848878394333,0.03205661948376353,0.05116279069767442,0.11764705882352941,0.058823529411764705,0.04376657824933687,0.03594771241830065,0.018518518518518517,0.04032258064516129,0.0,0.040229885057471264,0.032586558044806514,0.06936416184971098,0.04866180048661801,0.021739130434782608,0.04503526858383071,0.018867924528301886,0.08,0.05405405405405406,0.0896551724137931,0.04989816700610998,0.0603448275862069,0.032362459546925564,0.05506607929515418,0.07919621749408984,0.020833333333333332,0.03355704697986577,0.06735751295336788,0.049872122762148335,0.03644823575029081,0.0,0.0299625468164794,0.07597535934291581,0.02546296296296296,,0.08823529411764706
-7,0.03225806451612903,0.014275517487508922,0.0673076923076923,0.055299539170506916,0.023785926660059464,0.03600944510035419,0.01594301221166893,0.07780979827089338,0.0,0.04424778761061947,0.030160226201696512,0.025817555938037865,0.01997840172786177,0.02920284135753749,0.0392156862745098,0.022508038585209004,0.039647577092511016,0.0457516339869281,0.03309692671394799,0.03636363636363636,0.048795944233206594,0.035175879396984924,0.14814814814814814,0.015810276679841896,0.06422018348623854,0.059012875536480686,0.03879310344827586,0.04450041981528128,0.05176470588235294,0.07853982300884955,0.017543859649122806,0.03359683794466403,0.03867403314917127,0.051594746716697934,0.04152823920265781,0.02631578947368421,0.022437841115827774,0.06741573033707865,0.03825136612021858,0.020100502512562814,0.09375
-6,0.031591737545565005,0.012578616352201259,0.07407407407407407,0.04951456310679612,0.03474635163307853,0.027216494845360824,0.023031366527747312,0.048426150121065374,0.06666666666666667,0.02830188679245283,0.034782608695652174,0.02591792656587473,0.024942144510156854,0.03758542141230068,0.058823529411764705,0.028037383177570093,0.0413589364844904,0.05070993914807302,0.03758542141230068,0.03862660944206009,0.05289330922242315,0.026615969581749048,0.08333333333333333,0.03125,0.06905370843989769,0.07673860911270983,0.059800664451827246,0.0404833836858006,0.050590219224283306,0.06880733944954129,0.021739130434782608,0.03971631205673759,0.05511811023622047,0.04576271186440678,0.04369627507163324,0.02127659574468085,0.043134435657800146,0.07455197132616488,0.035416666666666666,0.03823529411764706,0.02702702702702703
-5,0.03323442136498516,0.01934443847393874,0.0297029702970297,0.04495747266099635,0.036703601108033244,0.03816793893129771,0.022931206380857428,0.047619047619047616,0.07142857142857142,0.047961630695443645,0.03306666666666667,0.026217228464419477,0.02750891492613347,0.03203203203203203,0.0,0.03663003663003663,0.04484304932735426,0.057539682539682536,0.03420752565564424,0.01702127659574468,0.049829018075232046,0.08296943231441048,0.0,0.03383458646616541,0.0794044665012407,0.05104408352668213,0.06976744186046512,0.04002463054187192,0.03150912106135987,0.07347538574577517,0.008,0.02342606149341142,0.06561679790026247,0.05422222222222222,0.04251700680272109,0.0,0.030246913580246913,0.06675843083275981,0.02242152466367713,0.032692307692307694,0.02564102564102564
-4,0.030921820303383897,0.013926084627745045,0.04819277108433735,0.060240963855421686,0.04225352112676056,0.03611111111111111,0.020987970309700538,0.06741573033707865,0.05,0.058823529411764705,0.03536231884057971,0.0273972602739726,0.021808510638297873,0.03169734151329243,0.029411764705882353,0.03492063492063492,0.03205128205128205,0.06118143459915612,0.03372093023255814,0.04090909090909091,0.06505102040816327,0.030434782608695653,0.02702702702702703,0.023809523809523808,0.08446866485013624,0.07166947723440135,0.05791505791505792,0.03786468032278088,0.06591337099811675,0.0723155588020453,0.02857142857142857,0.034328358208955224,0.09653465346534654,0.046065259117082535,0.04708362614195362,0.03636363636363636,0.03664365374402549,0.07570295602018745,0.02795698924731183,0.01765650080256822,0.031746031746031744
