cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.22802197802197802,0.1761612620508326,0.25,0.2205240174672489,0.26382978723404255,0.18235294117647058,0.2512266928361138,0.21364985163204747,0.23333333333333334,0.17272727272727273,0.20153846153846153,0.2857142857142857,0.21561338289962825,0.14122137404580154,0.21739130434782608,0.2184873949579832,0.2042042042042042,0.2540983606557377,0.10945273631840796,0.24060150375939848,0.23319327731092437,0.5,0.125,0.21367521367521367,0.24878048780487805,0.2455621301775148,0.2,0.26865671641791045,0.12465373961218837,0.3649732620320856,0.2608695652173913,0.24675324675324675,0.2727272727272727,0.22603719599427755,0.1359320339830085,0.14285714285714285,0.19657142857142856,0.3217391304347826,0.3007246376811594,,0.34782608695652173
-12,0.23427781617138907,0.175817396668723,0.2604166666666667,0.2103825136612022,0.24983073798239674,0.1818650180319423,0.24010756819054938,0.20253164556962025,0.25,0.1826086956521739,0.19068736141906872,0.29742033383915023,0.2116788321167883,0.16775032509752927,0.20689655172413793,0.25882352941176473,0.21359223300970873,0.26900584795321636,0.16580310880829016,0.23557692307692307,0.25689819219790677,0.45384615384615384,0.12903225806451613,0.2236842105263158,0.27102803738317754,0.23714094856379425,0.25301204819277107,0.2401685393258427,0.1511879049676026,0.34349030470914127,0.2,0.23508137432188064,0.3057142857142857,0.24152106885919836,0.13493253373313344,0.13043478260869565,0.19776876267748478,0.35603996366939145,0.33185840707964603,,0.20833333333333334
-11,0.23776223776223776,0.15254237288135594,0.2553191489361702,0.22081218274111675,0.2494942683749157,0.16774193548387098,0.24132895217232567,0.19815668202764977,0.23809523809523808,0.17592592592592593,0.2684331797235023,0.3140625,0.1995249406175772,0.15669856459330145,0.3,0.21019108280254778,0.22164048865619546,0.20765027322404372,0.1834319526627219,0.21658986175115208,0.25296630280018984,0.36363636363636365,0.13513513513513514,0.22702702702702704,0.2195845697329377,0.23012160898035547,0.2204724409448819,0.2729766803840878,0.13333333333333333,0.3582222222222222,0.19095477386934673,0.24285714285714285,0.34324324324324323,0.22186495176848875,0.1327116212338594,0.12962962962962962,0.1902390438247012,0.3351851851851852,0.2955032119914347,,0.25
-10,0.2332695984703633,0.14988558352402745,0.21428571428571427,0.18359375,0.23952975753122704,0.17022411953041622,0.24737631184407796,0.24407582938388625,0.3076923076923077,0.12857142857142856,0.30392156862745096,0.2934947049924357,0.25555555555555554,0.16971279373368145,0.15151515151515152,0.25654450261780104,0.20475319926873858,0.2641509433962264,0.16447368421052633,0.23580786026200873,0.23018867924528302,0.39285714285714285,0.1875,0.20606060606060606,0.22483221476510068,0.2307032590051458,0.23282442748091603,0.24620060790273557,0.14015151515151514,0.35609756097560974,0.27411167512690354,0.2310405643738977,0.2874617737003058,0.21895424836601307,0.11537096201632943,0.05555555555555555,0.21338912133891214,0.37012369172216936,0.3091286307053942,,0.23076923076923078
-9,0.2465753424657534,0.17176596886741816,0.23148148148148148,0.21583652618135377,0.2479050279329609,0.18001019887812342,0.24261218533381979,0.21933962264150944,0.19230769230769232,0.136986301369863,0.27023661270236615,0.28846153846153844,0.21082621082621084,0.18058968058968058,0.13793103448275862,0.19704433497536947,0.22956521739130434,0.24598930481283424,0.13994910941475827,0.22448979591836735,0.22186642268984447,0.425,0.27586206896551724,0.25161290322580643,0.1986754966887417,0.2216538789428815,0.23076923076923078,0.24867021276595744,0.12452107279693486,0.3433852140077821,0.24019607843137256,0.23157894736842105,0.30434782608695654,0.22732123799359658,0.14184897671136204,0.1,0.17701149425287357,0.32987012987012987,0.31827956989247314,,0.2702702702702703
-8,0.23407407407407407,0.16181448882870683,0.22826086956521738,0.16301369863013698,0.23548650858544562,0.15820543093270367,0.24313072439633637,0.20930232558139536,0.11764705882352941,0.1323529411764706,0.253315649867374,0.2679738562091503,0.24382716049382716,0.1693548387096774,0.2727272727272727,0.21839080459770116,0.28105906313645623,0.24277456647398843,0.170316301703163,0.20652173913043478,0.224633749321758,0.5094339622641509,0.2,0.25405405405405407,0.2,0.23523421588594703,0.1810344827586207,0.22006472491909385,0.1277533039647577,0.3557919621749409,0.265625,0.22818791946308725,0.27979274611398963,0.17263427109974425,0.1403644823575029,0.043478260869565216,0.1797752808988764,0.34291581108829566,0.3472222222222222,,0.38235294117647056
-7,0.20678246484698098,0.15560314061384725,0.17307692307692307,0.18740399385560677,0.22001982160555006,0.1782762691853601,0.2330393487109905,0.21902017291066284,0.3103448275862069,0.13274336283185842,0.21489161168708765,0.2512908777969019,0.21238300935925125,0.13654301499605367,0.17647058823529413,0.24437299035369775,0.23788546255506607,0.19389978213507625,0.1536643026004728,0.18787878787878787,0.21482889733840305,0.3969849246231156,0.07407407407407407,0.11067193675889328,0.24770642201834864,0.24570815450643776,0.21120689655172414,0.21074727120067172,0.1623529411764706,0.3893805309734513,0.21637426900584794,0.22727272727272727,0.32044198895027626,0.24296435272045028,0.12666112956810632,0.15789473684210525,0.2110369921164342,0.2932584269662921,0.3524590163934426,0.11892797319932999,0.28125
-6,0.19623329283110572,0.1609014675052411,0.19444444444444445,0.20679611650485438,0.2237665045170257,0.16,0.24457117788988814,0.2639225181598063,0.26666666666666666,0.13679245283018868,0.2625,0.2688984881209503,0.2625353561326819,0.16287015945330297,0.29411764705882354,0.24299065420560748,0.24519940915805022,0.22515212981744423,0.14578587699316628,0.15021459227467812,0.22649186256781192,0.3612167300380228,0.16666666666666666,0.1076388888888889,0.1918158567774936,0.2533972821742606,0.21926910299003322,0.2350453172205438,0.12647554806070826,0.3746177370030581,0.20869565217391303,0.20567375886524822,0.29658792650918636,0.20423728813559322,0.12034383954154727,0.10638297872340426,0.22861250898634075,0.3232974910394265,0.30416666666666664,0.13676470588235295,0.16216216216216217
-5,0.21127596439169138,0.15905427189682966,0.27722772277227725,0.20899149453219928,0.2458448753462604,0.17270992366412213,0.2330508474576271,0.24603174603174602,0.2857142857142857,0.13908872901678657,0.22933333333333333,0.23096129837702872,0.2531839021905247,0.16816816816816818,0.18604651162790697,0.3076923076923077,0.21076233183856502,0.2123015873015873,0.1847206385404789,0.18723404255319148,0.21934538348803126,0.26200873362445415,0.15151515151515152,0.15413533834586465,0.23325062034739455,0.24129930394431554,0.22259136212624583,0.23583743842364532,0.12603648424543948,0.36370315944158704,0.256,0.21376281112737922,0.30708661417322836,0.23555555555555555,0.1326530612244898,0.08,0.2154320987654321,0.34136269786648316,0.3542600896860987,0.1346153846153846,0.23076923076923078
-4,0.21236872812135357,0.13122656668452062,0.2289156626506024,0.2074966532797858,0.24314306893995552,0.17777777777777778,0.23496288712567187,0.251685393258427,0.25,0.16806722689075632,0.24811594202898551,0.24794520547945206,0.261968085106383,0.1768916155419223,0.14705882352941177,0.26031746031746034,0.21955128205128205,0.22573839662447256,0.17093023255813952,0.17727272727272728,0.27040816326530615,0.3391304347826087,0.16216216216216217,0.1626984126984127,0.2016348773841962,0.2436762225969646,0.2548262548262548,0.234016139044072,0.12617702448210924,0.36523009495982467,0.2714285714285714,0.22238805970149253,0.2995049504950495,0.21785028790786948,0.12825017568517216,0.09090909090909091,0.2299522039298991,0.2876712328767123,0.3139784946236559,0.16693418940609953,0.1111111111111111
-3,0.2029543994861914,0.13803317535545023,0.275,0.21398002853067047,0.26262626262626265,0.12902033271719038,0.2185145317545748,0.273972602739726,0.3939393939393939,0.17627118644067796,0.22824858757062147,0.2495921696574225,0.2394946443284812,0.17529039070749736,0.23809523809523808,0.23461538461538461,0.21516754850088182,0.2095435684647303,0.16455696202531644,0.17050691244239632,0.2636849132176235,0.2895927601809955,0.2857142857142857,0.14457831325301204,0.19834710743801653,0.23897707231040563,0.19141914191419143,0.23628977657413677,0.11405295315682282,0.32393347794649313,0.2073732718894009,0.18887262079062958,0.3087071240105541,0.22233201581027667,0.12327272727272727,0.10344827586206896,0.22525192649673978,0.31653076352853965,0.3093385214007782,0.1593984962406015,0.14545454545454545
-2,0.19853917662682602,0.1445466491458607,0.14150943396226415,0.19374068554396423,0.26945126945126946,0.16242555495397942,0.21709595244834418,0.2086720867208672,0.2903225806451613,0.16387959866220736,0.22347480106100795,0.23164763458401305,0.25758495145631066,0.2116527942925089,0.18421052631578946,0.3348623853211009,0.213768115942029,0.20210526315789473,0.15099009900990099,0.18090452261306533,0.27786032689450224,0.35772357723577236,0.3076923076923077,0.20618556701030927,0.15384615384615385,0.24261414503133394,0.25,0.23731236597569694,0.1368421052631579,0.33441822620016276,0.2640449438202247,0.20679012345679013,0.2906666666666667,0.2286282306163022,0.12817460317460316,0.10256410256410256,0.24739583333333334,0.3491346877351392,0.3347547974413646,0.14747474747474748,0.16666666666666666
-1,0.1873134328358209,0.13236313236313235,0.23076923076923078,0.1944792973651192,0.23724696356275304,0.1529535864978903,0.23489096573208723,0.28225806451612906,0.39285714285714285,0.16339869281045752,0.23448275862068965,0.22684310018903592,0.24582262210796915,0.20601851851851852,0.21875,0.3038461538461538,0.261101243339254,0.20293398533007334,0.15676359039190899,0.26666666666666666,0.2740676496097138,0.33755274261603374,0.2608695652173913,0.1989795918367347,0.2943722943722944,0.2236084452975048,0.23148148148148148,0.21299638989169675,0.11627906976744186,0.3224,0.2602040816326531,0.18601190476190477,0.33156498673740054,0.2160919540229885,0.12469635627530365,0.027777777777777776,0.2315238718116416,0.34137426900584794,0.289760348583878,0.14579439252336449,0.2857142857142857
0,0.16431226765799256,0.14587593728698023,0.17708333333333334,0.18050541516245489,0.24764663287472846,0.14409881061299176,0.2062446290461186,0.23529411764705882,0.18867924528301888,0.16353887399463807,0.20361687876758205,0.2076069730586371,0.25483870967741934,0.20361990950226244,0.2222222222222222,0.24907063197026022,0.2006980802792321,0.21428571428571427,0.14935064935064934,0.27312775330396477,0.2511182108626198,0.31275720164609055,0.11538461538461539,0.17898832684824903,0.24187725631768953,0.22613065326633167,0.21454545454545454,0.23405746320953047,0.09388646288209607,0.32731554160125587,0.22797927461139897,0.18958031837916064,0.37901498929336186,0.17486338797814208,0.1053440984236832,0.10526315789473684,0.2488356620093147,0.3323903818953324,0.2957446808510638,0.129979035639413,0.2
