cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.2278719397363465,0.15843621399176955,0.25,0.21011058451816747,0.23184357541899442,0.190671031096563,0.16285714285714287,0.287292817679558,0.25,0.27461139896373055,0.20933165195460277,0.33121019108280253,0.17692307692307693,0.15320910973084886,0.14285714285714285,0.3170731707317073,0.2826086956521739,0.24545454545454545,0.17197452229299362,0.3013698630136986,0.23603192702394526,0.1111111111111111,0.125,0.21604938271604937,0.2518518518518518,0.24330900243309003,0.2186046511627907,0.22614840989399293,0.22332506203473945,0.3058470764617691,0.17391304347826086,0.2125984251968504,0.45569620253164556,0.2562189054726368,0.18820224719101122,0.2,0.16216216216216217,0.27569331158238175,0.2247191011235955,,0.06666666666666667
-12,0.2206703910614525,0.14759535655058043,0.3,0.2183507549361208,0.21485943775100402,0.18181818181818182,0.15517241379310345,0.2880658436213992,0.2,0.2350230414746544,0.2372697724810401,0.31221719457013575,0.10989010989010989,0.17475728155339806,0.5,0.26666666666666666,0.2910602910602911,0.2361111111111111,0.19574468085106383,0.29591836734693877,0.25303152789005656,0.2571428571428571,0.34615384615384615,0.21465968586387435,0.2242152466367713,0.265748031496063,0.24719101123595505,0.26695842450765866,0.18040089086859687,0.3206703910614525,0.047619047619047616,0.2159090909090909,0.41644562334217505,0.23745173745173745,0.19656203288490284,0.29545454545454547,0.17805383022774326,0.23253275109170304,0.21333333333333335,,0.1875
-11,0.18057455540355677,0.1456859971711457,0.24489795918367346,0.20192307692307693,0.20161290322580644,0.16575492341356673,0.16354166666666667,0.2600896860986547,0.18181818181818182,0.2379182156133829,0.25080731969860065,0.24651162790697675,0.21739130434782608,0.16459627329192547,0.0625,0.16666666666666666,0.3187022900763359,0.2426470588235294,0.18691588785046728,0.2708333333333333,0.2471819645732689,0.225,0.3,0.21212121212121213,0.2097560975609756,0.23731587561374795,0.2702702702702703,0.2469879518072289,0.24008810572687225,0.3474576271186441,0.07547169811320754,0.15934065934065933,0.3732590529247911,0.21851851851851853,0.19145855953673543,0.19607843137254902,0.2030360531309298,0.28115015974440893,0.20422535211267606,,0.18181818181818182
-10,0.22655122655122656,0.14224137931034483,0.3620689655172414,0.20498915401301518,0.1925233644859813,0.18132464712269272,0.1640625,0.2591093117408907,0.16666666666666666,0.22540983606557377,0.25862068965517243,0.33163265306122447,0.1566265060240964,0.20672268907563024,0.058823529411764705,0.24489795918367346,0.26770293609671847,0.18831168831168832,0.20425531914893616,0.21495327102803738,0.22904191616766467,0.3076923076923077,0.47619047619047616,0.1902439024390244,0.1917808219178082,0.24436363636363637,0.28113879003558717,0.24193548387096775,0.20766129032258066,0.330379746835443,0.16923076923076924,0.18627450980392157,0.3838383838383838,0.23817567567567569,0.18640429338103756,0.2621359223300971,0.19866071428571427,0.2885514018691589,0.22641509433962265,,0.2
-9,0.21550591327201052,0.12960235640648013,0.1076923076923077,0.2088888888888889,0.1441947565543071,0.16666666666666666,0.15592515592515593,0.2384937238493724,0.625,0.2510460251046025,0.25074925074925075,0.2903225806451613,0.15730337078651685,0.21792890262751158,0.0,0.25477707006369427,0.31197301854974707,0.2198581560283688,0.17829457364341086,0.3253968253968254,0.20987654320987653,0.2413793103448276,0.631578947368421,0.27932960893854747,0.27631578947368424,0.23423423423423423,0.33695652173913043,0.24948875255623723,0.2013129102844639,0.30183727034120733,0.15384615384615385,0.17370892018779344,0.46464646464646464,0.24420677361853832,0.18033381712626995,0.2191780821917808,0.1921182266009852,0.2783300198807157,0.24404761904761904,,0.2727272727272727
-8,0.21915820029027577,0.14918032786885246,0.3333333333333333,0.24511082138200782,0.1945031712473573,0.17324290998766953,0.18193224592220827,0.3211009174311927,0.25,0.24719101123595505,0.2502937720329025,0.28870292887029286,0.21333333333333335,0.1981981981981982,0.125,0.2360248447204969,0.24953095684803,0.17094017094017094,0.16818181818181818,0.2222222222222222,0.227491961414791,0.3888888888888889,0.2222222222222222,0.21844660194174756,0.24761904761904763,0.2171206225680934,0.2821576763485477,0.24044943820224718,0.20555555555555555,0.35285714285714287,0.1276595744680851,0.20118343195266272,0.4589041095890411,0.26732673267326734,0.16654135338345866,0.21904761904761905,0.1793478260869565,0.27144535840188017,0.2727272727272727,,0.25
-7,0.1752738654147105,0.1515625,0.2727272727272727,0.2226027397260274,0.216,0.18187874750166555,0.14716312056737588,0.3695652173913043,0.3333333333333333,0.21287128712871287,0.2304075235109718,0.22065727699530516,0.16816025303110174,0.1462140992167102,0.10204081632653061,0.24489795918367346,0.28043478260869564,0.2388888888888889,0.190625,0.22916666666666666,0.21651376146788992,0.2785714285714286,0.391304347826087,0.06419400855920114,0.2459016393442623,0.2507676560900716,0.28793774319066145,0.23298638911128902,0.20683111954459202,0.31020408163265306,0.1346153846153846,0.1506849315068493,0.4797297297297297,0.23842195540308747,0.18130665833072834,0.2261904761904762,0.16589434661723818,0.31215161649944256,0.23684210526315788,0.10020242914979757,0.375
-6,0.2244039270687237,0.1489071038251366,0.22857142857142856,0.1951219512195122,0.20418848167539266,0.17784256559766765,0.15265700483091788,0.3235294117647059,0.3333333333333333,0.15019011406844107,0.24353312302839117,0.1883495145631068,0.23031496062992127,0.18992805755395684,0.0967741935483871,0.25663716814159293,0.2671353251318102,0.2702702702702703,0.15495867768595042,0.21052631578947367,0.23014888337468983,0.36082474226804123,0.18181818181818182,0.08717105263157894,0.2894736842105263,0.2361111111111111,0.26153846153846155,0.232574679943101,0.16142557651991615,0.34095238095238095,0.15492957746478872,0.18151815181518152,0.4216589861751152,0.21005917159763313,0.19032463399108848,0.18518518518518517,0.22077922077922077,0.2751824817518248,0.2,0.1391304347826087,0.1
-5,0.1940928270042194,0.145,0.35294117647058826,0.19745222929936307,0.1672185430463576,0.1797520661157025,0.18003913894324852,0.32065217391304346,0.0,0.2537313432835821,0.24163319946452477,0.19148936170212766,0.19405940594059407,0.1841704718417047,0.19230769230769232,0.26063829787234044,0.2607204116638079,0.19239373601789708,0.16302186878727634,0.2265625,0.23456019962570182,0.40816326530612246,0.391304347826087,0.10420475319926874,0.2629310344827586,0.2436548223350254,0.30201342281879195,0.24036281179138322,0.1912442396313364,0.32427366447985007,0.20754716981132076,0.1693548387096774,0.4334862385321101,0.2144,0.17805989583333334,0.21951219512195122,0.2208994708994709,0.2773722627737226,0.2422360248447205,0.150997150997151,0.038461538461538464
-4,0.18030513176144244,0.13402061855670103,0.296875,0.2180028129395218,0.20038167938931298,0.18132942326490714,0.15983026874115983,0.2968036529680365,0.3333333333333333,0.25813449023861174,0.23983459682977257,0.17263843648208468,0.23029045643153526,0.24018126888217523,0.13636363636363635,0.26344086021505375,0.2991150442477876,0.23858921161825727,0.1890547263681592,0.17355371900826447,0.2580385852090032,0.2777777777777778,0.5,0.09479553903345725,0.22580645161290322,0.222486144101346,0.28762541806020064,0.255044390637611,0.2088607594936709,0.33097880928355194,0.1267605633802817,0.2536231884057971,0.40774487471526194,0.23636363636363636,0.18422774869109948,0.21428571428571427,0.19441571871768357,0.27485380116959063,0.17964071856287425,0.1450381679389313,0.17647058823529413
