cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.035781544256120526,0.0720164609053498,0.0,0.04265402843601896,0.0446927374301676,0.031096563011456628,0.047142857142857146,0.07734806629834254,0.0,0.04145077720207254,0.012610340479192938,0.09554140127388536,0.023076923076923078,0.020703933747412008,0.0,0.06504065040650407,0.03260869565217391,0.03636363636363636,0.025477707006369428,0.0958904109589041,0.04903078677309008,0.05555555555555555,0.0,0.04938271604938271,0.037037037037037035,0.030413625304136254,0.023255813953488372,0.04240282685512368,0.01240694789081886,0.035982008995502246,0.0,0.05511811023622047,0.05063291139240506,0.0472636815920398,0.023876404494382022,0.023529411764705882,0.02702702702702703,0.024469820554649267,0.0898876404494382,,0.06666666666666667
-12,0.04329608938547486,0.04477611940298507,0.1,0.0313588850174216,0.05220883534136546,0.030113636363636363,0.03556034482758621,0.06584362139917696,0.1,0.03686635944700461,0.015167930660888408,0.11764705882352941,0.03296703296703297,0.038834951456310676,0.0,0.08,0.0498960498960499,0.04861111111111111,0.0425531914893617,0.05102040816326531,0.047696038803556995,0.11428571428571428,0.0,0.020942408376963352,0.04035874439461883,0.04872047244094488,0.0149812734082397,0.05032822757111598,0.017817371937639197,0.053631284916201116,0.0,0.0625,0.04774535809018567,0.02702702702702703,0.028774289985052316,0.03409090909090909,0.026915113871635612,0.043668122270742356,0.08666666666666667,,0.0
-11,0.03146374829001368,0.04667609618104668,0.08163265306122448,0.03311965811965812,0.05443548387096774,0.027899343544857767,0.04583333333333333,0.07174887892376682,0.09090909090909091,0.01858736059479554,0.03229278794402583,0.08372093023255814,0.08695652173913043,0.04192546583850932,0.0,0.028985507246376812,0.04961832061068702,0.029411764705882353,0.018691588785046728,0.041666666666666664,0.04106280193236715,0.025,0.1,0.03535353535353535,0.05853658536585366,0.024549918166939442,0.05067567567567568,0.050200803212851405,0.030837004405286344,0.06053268765133172,0.03773584905660377,0.06593406593406594,0.07242339832869081,0.05,0.025696706478465437,0.029411764705882353,0.030360531309297913,0.03514376996805112,0.06338028169014084,,0.0
-10,0.031746031746031744,0.041666666666666664,0.10344827586206896,0.031453362255965296,0.05794392523364486,0.033659066232356136,0.05022321428571429,0.07692307692307693,0.0,0.02459016393442623,0.028397565922920892,0.12244897959183673,0.03614457831325301,0.03361344537815126,0.0,0.05442176870748299,0.02936096718480138,0.025974025974025976,0.059574468085106386,0.04672897196261682,0.04565868263473054,0.15384615384615385,0.14285714285714285,0.01951219512195122,0.0639269406392694,0.030545454545454546,0.028469750889679714,0.04233870967741935,0.03024193548387097,0.06582278481012659,0.06153846153846154,0.03431372549019608,0.04040404040404041,0.033783783783783786,0.02254025044722719,0.009708737864077669,0.03571428571428571,0.04088785046728972,0.09433962264150944,,0.05
-9,0.0328515111695138,0.042709867452135494,0.0,0.027777777777777776,0.0449438202247191,0.026371308016877638,0.04677754677754678,0.0502092050209205,0.25,0.02092050209205021,0.02097902097902098,0.08755760368663594,0.056179775280898875,0.03709428129829984,0.0,0.06369426751592357,0.0387858347386172,0.028368794326241134,0.04263565891472868,0.11904761904761904,0.03776325344952796,0.10344827586206896,0.15789473684210525,0.05027932960893855,0.07017543859649122,0.027777777777777776,0.036231884057971016,0.026584867075664622,0.0350109409190372,0.045931758530183726,0.03076923076923077,0.06103286384976526,0.06060606060606061,0.0374331550802139,0.022496371552975326,0.0136986301369863,0.027093596059113302,0.03876739562624255,0.05952380952380952,,0.13636363636363635
-8,0.0420899854862119,0.03442622950819672,0.06349206349206349,0.03259452411994785,0.06553911205073996,0.030826140567200986,0.05520702634880803,0.0963302752293578,0.0,0.018726591760299626,0.025851938895417155,0.06276150627615062,0.08,0.03783783783783784,0.0,0.049689440993788817,0.039399624765478425,0.017094017094017096,0.02727272727272727,0.050505050505050504,0.0297427652733119,0.1111111111111111,0.05555555555555555,0.019417475728155338,0.07142857142857142,0.03346303501945525,0.058091286307053944,0.03146067415730337,0.019444444444444445,0.06142857142857143,0.0425531914893617,0.05325443786982249,0.0684931506849315,0.047524752475247525,0.02518796992481203,0.02857142857142857,0.019021739130434784,0.0399529964747356,0.12878787878787878,,0.0
-7,0.03129890453834116,0.040625,0.01818181818181818,0.028538812785388126,0.06933333333333333,0.034643570952698204,0.03368794326241135,0.08695652173913043,0.0,0.019801980198019802,0.03500522466039707,0.06103286384976526,0.040063257775434895,0.030026109660574413,0.02040816326530612,0.03571428571428571,0.04782608695652174,0.015277777777777777,0.028125,0.11458333333333333,0.031804281345565746,0.05714285714285714,0.08695652173913043,0.0028530670470756064,0.07103825136612021,0.03582395087001024,0.0311284046692607,0.04243394715772618,0.020872865275142316,0.06938775510204082,0.07692307692307693,0.0273972602739726,0.05405405405405406,0.048027444253859346,0.018443263519849953,0.011904761904761904,0.026876737720111215,0.05239687848383501,0.08771929824561403,0.019230769230769232,0.1875
-6,0.05329593267882188,0.045081967213114756,0.02857142857142857,0.028201219512195123,0.06282722513089005,0.029987505206164097,0.034782608695652174,0.07647058823529412,0.0,0.0038022813688212928,0.043533123028391164,0.05048543689320388,0.06692913385826772,0.03741007194244604,0.03225806451612903,0.048672566371681415,0.040421792618629174,0.02702702702702703,0.024793388429752067,0.06140350877192982,0.04032258064516129,0.09278350515463918,0.0,0.013157894736842105,0.05701754385964912,0.020833333333333332,0.046153846153846156,0.04054054054054054,0.027253668763102725,0.07047619047619047,0.04225352112676056,0.026402640264026403,0.0576036866359447,0.042899408284023666,0.025461489497135583,0.018518518518518517,0.03896103896103896,0.035036496350364967,0.08888888888888889,0.034782608695652174,0.0
-5,0.040787623066104076,0.04625,0.029411764705882353,0.02653927813163482,0.04470198675496689,0.035640495867768594,0.046314416177429873,0.10326086956521739,0.0,0.026865671641791045,0.041499330655957165,0.05167173252279635,0.05742574257425743,0.0365296803652968,0.0,0.05851063829787234,0.03773584905660377,0.017897091722595078,0.02982107355864811,0.046875,0.03368683718028696,0.08163265306122448,0.08695652173913043,0.018281535648994516,0.07327586206896551,0.02973168963016679,0.050335570469798654,0.037037037037037035,0.016129032258064516,0.053420805998125584,0.07547169811320754,0.020161290322580645,0.06422018348623854,0.0576,0.022135416666666668,0.04878048780487805,0.03306878306878307,0.042335766423357665,0.049689440993788817,0.037037037037037035,0.0
-4,0.026352288488210817,0.03608247422680412,0.078125,0.030942334739803096,0.0648854961832061,0.03616813294232649,0.03182461103253183,0.1004566210045662,0.2222222222222222,0.04338394793926247,0.03790489317711923,0.04234527687296417,0.061203319502074686,0.055891238670694864,0.0,0.04838709677419355,0.03716814159292035,0.01867219917012448,0.022388059701492536,0.04132231404958678,0.03938906752411576,0.022222222222222223,0.09090909090909091,0.01858736059479554,0.059907834101382486,0.030878859857482184,0.05016722408026756,0.03551251008878128,0.016877637130801686,0.04238143289606458,0.04225352112676056,0.06159420289855073,0.08200455580865604,0.03140495867768595,0.023232984293193717,0.008928571428571428,0.033092037228541885,0.0445906432748538,0.023952095808383235,0.035623409669211195,0.0
