cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,0.1167608286252354,0.043209876543209874,0.1111111111111111,0.11058451816745656,0.11173184357541899,0.09328968903436989,0.054285714285714284,0.12154696132596685,0.125,0.15025906735751296,0.15510718789407313,0.14012738853503184,0.06153846153846154,0.07660455486542443,0.07142857142857142,0.13821138211382114,0.19293478260869565,0.19090909090909092,0.10191082802547771,0.0958904109589041,0.1322690992018244,0.05555555555555555,0.25,0.11728395061728394,0.1111111111111111,0.15571776155717762,0.14883720930232558,0.12014134275618374,0.12903225806451613,0.2098950524737631,0.06521739130434782,0.06299212598425197,0.270042194092827,0.13432835820895522,0.10159176029962547,0.15294117647058825,0.08333333333333333,0.17455138662316477,0.056179775280898875,,0.0
-12,0.12569832402234637,0.05140961857379768,0.15,0.10569105691056911,0.09437751004016064,0.09375,0.06357758620689655,0.11934156378600823,0.0,0.10599078341013825,0.1744312026002167,0.09954751131221719,0.02197802197802198,0.0889967637540453,0.5,0.13333333333333333,0.19334719334719336,0.1527777777777778,0.1148936170212766,0.1326530612244898,0.14551333872271624,0.02857142857142857,0.19230769230769232,0.13612565445026178,0.1210762331838565,0.14763779527559054,0.16853932584269662,0.1400437636761488,0.0957683741648107,0.19776536312849163,0.0,0.05113636363636364,0.246684350132626,0.14671814671814673,0.10089686098654709,0.22727272727272727,0.12836438923395446,0.12117903930131005,0.06,,0.125
-11,0.11354309165526676,0.04667609618104668,0.14285714285714285,0.10363247863247864,0.07661290322580645,0.0886214442013129,0.075,0.13452914798206278,0.0,0.16356877323420074,0.16469321851453175,0.10697674418604651,0.07608695652173914,0.055900621118012424,0.0,0.09420289855072464,0.19083969465648856,0.1323529411764706,0.08878504672897196,0.09375,0.1497584541062802,0.0,0.2,0.15151515151515152,0.05365853658536585,0.14729950900163666,0.1554054054054054,0.15461847389558234,0.12334801762114538,0.23486682808716708,0.018867924528301886,0.038461538461538464,0.20055710306406685,0.11666666666666667,0.10387260224393775,0.10784313725490197,0.12903225806451613,0.16080937167199147,0.04929577464788732,,0.0
-10,0.1240981240981241,0.05172413793103448,0.10344827586206896,0.11171366594360087,0.07476635514018691,0.09337676438653637,0.052455357142857144,0.12955465587044535,0.08333333333333333,0.16393442622950818,0.1744421906693712,0.1377551020408163,0.04819277108433735,0.10252100840336134,0.0,0.1292517006802721,0.17443868739205526,0.12337662337662338,0.09787234042553192,0.08411214953271028,0.1279940119760479,0.038461538461538464,0.23809523809523808,0.14146341463414633,0.0639269406392694,0.16218181818181818,0.20640569395017794,0.14516129032258066,0.0967741935483871,0.2088607594936709,0.046153846153846156,0.049019607843137254,0.2222222222222222,0.14189189189189189,0.10805008944543829,0.1650485436893204,0.10491071428571429,0.169392523364486,0.08176100628930817,,0.1
-9,0.1340341655716163,0.053019145802650956,0.03076923076923077,0.12,0.07303370786516854,0.08175105485232068,0.0550935550935551,0.12552301255230125,0.0,0.18828451882845187,0.17482517482517482,0.11059907834101383,0.056179775280898875,0.09891808346213292,0.0,0.1337579617834395,0.2175379426644182,0.1347517730496454,0.1124031007751938,0.07936507936507936,0.11619462599854757,0.06896551724137931,0.3157894736842105,0.17318435754189945,0.09210526315789473,0.13963963963963963,0.213768115942029,0.1574642126789366,0.087527352297593,0.20603674540682415,0.07692307692307693,0.06572769953051644,0.2777777777777778,0.1586452762923351,0.10522496371552975,0.136986301369863,0.10098522167487685,0.16302186878727634,0.08928571428571429,,0.13636363636363635
-8,0.10595065312046444,0.06885245901639345,0.12698412698412698,0.12516297262059975,0.07399577167019028,0.08323057953144267,0.06900878293601004,0.11009174311926606,0.0,0.15355805243445692,0.19036427732079905,0.11297071129707113,0.05333333333333334,0.0972972972972973,0.0,0.14285714285714285,0.15572232645403378,0.11965811965811966,0.07272727272727272,0.1111111111111111,0.13745980707395497,0.1388888888888889,0.1111111111111111,0.13592233009708737,0.11428571428571428,0.14163424124513618,0.17427385892116182,0.15730337078651685,0.125,0.22,0.0425531914893617,0.05917159763313609,0.273972602739726,0.13465346534653466,0.08909774436090226,0.13333333333333333,0.09239130434782608,0.15511163337250294,0.08333333333333333,,0.25
-7,0.09702660406885759,0.0734375,0.09090909090909091,0.11301369863013698,0.096,0.08794137241838774,0.06648936170212766,0.15942028985507245,0.1111111111111111,0.1485148514851485,0.14158829676071055,0.06572769953051644,0.07854507116499737,0.06919060052219321,0.04081632653061224,0.14795918367346939,0.18043478260869567,0.18194444444444444,0.1109375,0.0625,0.12660550458715597,0.12142857142857143,0.2608695652173913,0.042796005706134094,0.10382513661202186,0.14943705220061412,0.1556420233463035,0.13290632506004804,0.11195445920303605,0.19183673469387755,0.038461538461538464,0.0776255707762557,0.3310810810810811,0.11663807890222985,0.10972178805876837,0.15476190476190477,0.10009267840593142,0.1806020066889632,0.05263157894736842,0.05668016194331984,0.125
-6,0.11921458625525946,0.05874316939890711,0.1,0.10365853658536585,0.09424083769633508,0.08912952936276551,0.06570048309178744,0.16470588235294117,0.2222222222222222,0.11787072243346007,0.15078864353312302,0.06796116504854369,0.08759842519685039,0.08920863309352518,0.03225806451612903,0.11946902654867257,0.1687170474516696,0.19594594594594594,0.07231404958677685,0.08771929824561403,0.13027295285359802,0.13402061855670103,0.09090909090909091,0.05921052631578947,0.12719298245614036,0.16049382716049382,0.1476923076923077,0.14580369843527738,0.09643605870020965,0.21142857142857144,0.08450704225352113,0.08250825082508251,0.2764976958525346,0.11686390532544379,0.10057288351368555,0.12037037037037036,0.12698412698412698,0.1686131386861314,0.06111111111111111,0.05217391304347826,0.05
-5,0.0970464135021097,0.05,0.16176470588235295,0.1178343949044586,0.05132450331125828,0.09762396694214875,0.06131767775603392,0.09239130434782608,0.0,0.15522388059701492,0.14725568942436412,0.06382978723404255,0.07128712871287128,0.076103500761035,0.11538461538461539,0.14893617021276595,0.1680960548885077,0.13870246085011187,0.08151093439363817,0.0859375,0.12351840299438553,0.23469387755102042,0.2608695652173913,0.0603290676416819,0.10344827586206896,0.14938361131254532,0.17114093959731544,0.1436130007558579,0.09907834101382489,0.20056232427366447,0.03773584905660377,0.04435483870967742,0.27522935779816515,0.0896,0.09505208333333333,0.14634146341463414,0.13756613756613756,0.16131386861313868,0.09937888198757763,0.07122507122507123,0.038461538461538464
-4,0.09986130374479889,0.061855670103092786,0.125,0.12376933895921238,0.08015267175572519,0.08895405669599218,0.06506364922206506,0.1141552511415525,0.0,0.13665943600867678,0.14059269469331495,0.06840390879478828,0.08506224066390042,0.1027190332326284,0.09090909090909091,0.14516129032258066,0.19646017699115045,0.1991701244813278,0.08955223880597014,0.06611570247933884,0.1382636655948553,0.12222222222222222,0.3181818181818182,0.05390334572490706,0.06912442396313365,0.13460015835312747,0.14381270903010032,0.1606133979015335,0.11392405063291139,0.21796165489404642,0.07042253521126761,0.057971014492753624,0.22323462414578588,0.1322314049586777,0.0975130890052356,0.13392857142857142,0.11478800413650465,0.15570175438596492,0.05389221556886228,0.061068702290076333,0.11764705882352941
