cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-13,0.7723358449946178,0.7616538305634374,0.7662835249042146,0.8180039138943248,0.7560175054704595,0.7816768723504475,0.7572550358484125,0.764505119453925,0.7648514851485149,0.8077922077922078,0.737467018469657,0.772,0.8052159739201304,0.8103448275862069,,0.7121212121212122,0.7520325203252033,0.8092868988391376,0.75,0.7728824076946944,0.79,0.8064516129032258,0.7176470588235294,0.771485345255837,0.825,0.7969018932874354,0.702020202020202,0.8099891422366993,0.7058823529411765,0.7697929354445798,0.6414634146341464,0.7418096723868954,0.7603905858788182,0.7864583333333334,0.7492753623188406,0.773936170212766,0.7700831024930748,0.7435897435897436
-12,0.7526595744680851,0.7418280871670703,0.7883008356545961,0.8085595950299126,0.7266566265060241,0.7520833333333333,0.7717557251908397,0.75764192139738,0.7652859960552268,0.8151231356226153,0.7545289855072463,0.7859007832898173,0.766497461928934,0.6792452830188679,,0.7808219178082192,0.722972972972973,0.8343711083437111,0.7162162162162162,0.7555656519763744,0.823076923076923,0.8164556962025317,0.6753731343283582,0.7944412275622467,0.7880658436213992,0.7462165308498254,0.7523923444976076,0.7860161352285824,0.6296296296296297,0.7497842968075927,0.6894308943089431,0.7483069977426636,0.750224295711466,0.7746153846153846,0.7509386733416771,0.7615658362989324,0.7727272727272727,0.7551020408163265
-11,0.7429537767756482,0.7424541607898448,0.7527472527472527,0.8112467306015693,0.7119565217391305,0.7562983698336901,0.7377367654201068,0.7626728110599078,0.7678883071553229,0.7865716429107277,0.7391304347826086,0.7802056555269923,0.7685714285714286,0.6901408450704225,,0.7708333333333334,0.7711864406779662,0.8079019073569482,0.6290322580645161,0.7663677130044843,0.7705882352941177,0.8098159509202454,0.7246653919694073,0.7624521072796935,0.7962962962962963,0.7491448118586089,0.7582417582417582,0.80545229244114,0.8181818181818182,0.7726480836236934,0.6521084337349398,0.7251184834123223,0.7392913802221047,0.7601713062098501,0.7336814621409922,0.7794117647058824,0.7938517179023508,0.6964285714285714
-10,0.7403086187429432,0.7511160714285714,0.7609254498714653,0.8044501497646556,0.7292506043513296,0.7527107946269623,0.7515009135995824,0.6868421052631579,0.7872340425531915,0.7543341940243452,0.7361376673040153,0.7886740331491713,0.7819785759294265,0.8305084745762712,,0.7657657657657657,0.7431781701444623,0.8128898128898129,0.6486486486486487,0.7407077676385488,0.7318435754189944,0.7933333333333333,0.718816067653277,0.7675690456658463,0.8021978021978022,0.7751091703056768,0.7404162102957283,0.802021903959562,0.6,0.7584708948740226,0.6608996539792388,0.7394195888754534,0.7347762289068231,0.7785179017485429,0.7074401008827238,0.7737226277372263,0.774822695035461,0.6101694915254238
-9,0.7467718794835008,0.7434965034965035,0.7479892761394102,0.8030616466694249,0.722488038277512,0.7539032307930128,0.7461841457410143,0.7237163814180929,0.7575757575757576,0.7503703703703704,0.7387791741472173,0.7774524158125915,0.7862780813600486,0.72,,0.832,0.75,0.8228822882288229,0.7833333333333333,0.7593030759303075,0.7974683544303798,0.7142857142857143,0.7248459958932238,0.7532575547546437,0.8333333333333334,0.7666666666666667,0.7340425531914894,0.7924179380490061,0.8125,0.7323272438443209,0.6586466165413534,0.7324263038548753,0.7359244460588449,0.767579570688379,0.7259740259740259,0.7733644859813084,0.7731239092495636,0.8095238095238095
-8,0.745040101308569,0.7284638060923682,0.7350427350427351,0.8171731789676797,0.7221223021582733,0.7448200654307524,0.7408340330254688,0.754601226993865,0.72568093385214,0.7714168039538715,0.7170868347338936,0.7618270799347472,0.7696629213483146,0.7291666666666666,,0.7614678899082569,0.7184643510054844,0.8144578313253013,0.6923076923076923,0.7541470661054717,0.6271186440677966,0.75,0.7425968109339408,0.7497662823309442,0.7915690866510539,0.7670731707317073,0.7384428223844283,0.7888165038002172,0.8157894736842105,0.7537154989384289,0.6696750902527075,0.7475601821730644,0.7489997894293535,0.7935054121565362,0.7450142450142451,0.8071625344352618,0.7807377049180327,0.6727272727272727
-7,0.7627821280515892,0.7408330366678534,0.7984084880636605,0.8140350877192982,0.7603485838779956,0.7566698202459792,0.7580431908329661,0.7894736842105263,0.7604395604395604,0.7777422960242695,0.75,0.7577170963364993,0.8478344193177463,0.8296296296296296,,0.7934272300469484,0.7666666666666667,0.7849731663685152,0.5555555555555556,0.7515134837644469,0.7657657657657657,0.8125,0.7126213592233009,0.7750088999644001,0.8012422360248447,0.792090395480226,0.7446197991391679,0.8121645796064401,0.8125,0.764378478664193,0.6697247706422018,0.7353224254090471,0.7568993506493507,0.7943805874840357,0.7684835402050728,0.7901234567901234,0.75,0.8148148148148148
-6,0.7384558551902475,0.7392022008253095,0.7545691906005222,0.7954294139329156,0.7313988095238095,0.7532828282828283,0.7636007188367914,0.7529976019184652,0.819422150882825,0.7434516069106446,0.7687074829931972,0.7280796126949973,0.7637506547930853,0.7311827956989247,0.7931034482758621,0.7584745762711864,0.7393812270582066,0.7477768795472919,0.7910447761194029,0.7295046032441912,0.7793103448275862,0.7970297029702971,0.7160686427457098,0.7556270096463023,0.8118971061093248,0.7321063394683026,0.7103882476390346,0.8032374100719425,0.7333333333333333,0.7513069454817027,0.6747967479674797,0.7310887625710538,0.7419652752124123,0.7848297213622291,0.7344207444583856,0.7307692307692307,0.7386569872958257,0.6440677966101694
-5,0.7483085250338295,0.7323328785811732,0.7925531914893617,0.7976135842129417,0.7469000729394603,0.7501152604887045,0.741551724137931,0.736318407960199,0.7623188405797101,0.7426238634254964,0.744611365120836,0.7278018408229562,0.7829131652661064,0.7821782178217822,0.7346938775510204,0.8205128205128205,0.7407797681770284,0.7522708505367465,0.746031746031746,0.7444523979957051,0.7564102564102564,0.7643979057591623,0.7209677419354839,0.7528795811518325,0.8018867924528302,0.7877263581488934,0.717439293598234,0.8012798922196026,0.7341772151898734,0.7451994091580503,0.6452119309262166,0.708411214953271,0.7300018304960645,0.7783393501805054,0.7407087294727744,0.7566371681415929,0.7914230019493177,0.75
-4,0.733026874115983,0.7406980098067494,0.7650429799426934,0.7944535073409462,0.7291139240506329,0.7497106481481481,0.7553930530164534,0.7909407665505227,0.7774086378737541,0.7509150452706608,0.7374224672639559,0.7215598260625614,0.785603314344899,0.8297872340425532,0.6979166666666666,0.7935483870967742,0.7411367473269556,0.7590673575129534,0.676923076923077,0.7398805573988055,0.7559523809523809,0.7802197802197802,0.6788321167883211,0.7451257417349534,0.7532956685499058,0.7729885057471264,0.7233009708737864,0.789935832489024,0.7,0.7210526315789474,0.6519886363636364,0.741904761904762,0.7403885066774585,0.778023598820059,0.7244635193133048,0.8027972027972028,0.7647058823529411,0.7763157894736842
-3,0.7309486780715396,0.746474555487431,0.8099688473520249,0.7895622895622896,0.7191103789126854,0.7370555208983156,0.7433371958285052,0.7290322580645161,0.7850821744627055,0.7529318226992645,0.7356664184661206,0.729947306791569,0.7772357723577236,0.7411764705882353,0.7413793103448276,0.7786259541984732,0.7439724454649828,0.7667454688731284,0.6666666666666666,0.7430340557275542,0.7248322147651006,0.8181818181818182,0.7053571428571429,0.7614464858559347,0.8254237288135593,0.7494331065759637,0.7233294255568582,0.7934782608695652,0.7323943661971831,0.7573643410852713,0.6920731707317073,0.7334352701325179,0.7320136228182205,0.7863117870722434,0.7360677663843067,0.7651933701657458,0.7692307692307693,0.6865671641791045
-2,0.7533875338753387,0.7382707774798928,0.7569832402234636,0.7893139040680024,0.7141544117647058,0.7510453522032808,0.7410241318422601,0.726161369193154,0.7811764705882352,0.7592351151673186,0.7509433962264151,0.72859375,0.7717717717717718,0.7441860465116279,0.6923076923076923,0.768,0.7248554913294798,0.7485406376290974,0.7678571428571429,0.7452615617892343,0.7870967741935484,0.8451612903225807,0.6976241900647948,0.7433042431537767,0.815845824411135,0.7698695136417556,0.7055393586005831,0.797841726618705,0.6774193548387096,0.7390243902439024,0.6406995230524642,0.7142094017094017,0.7374914324880055,0.7603758809710258,0.7440633245382586,0.7579250720461095,0.7677902621722846,0.7142857142857143
-1,0.7278350515463917,0.7370647575658965,0.7801857585139319,0.8266322390261897,0.7251101321585903,0.7390014829461197,0.7474187380497131,0.7166666666666667,0.7625730994152047,0.7545738509593931,0.7824675324675324,0.7430532853873815,0.7819241982507289,0.8395061728395061,0.7267441860465116,0.75,0.7414383561643836,0.7571301247771836,0.6909090909090909,0.7514677103718199,0.7714285714285715,0.7869822485207101,0.7161572052401747,0.7440667094291212,0.8139059304703476,0.7752234993614304,0.7142857142857143,0.7781408859840232,0.7142857142857143,0.7405405405405405,0.6779089376053963,0.7294384571752695,0.7259893543161305,0.7837837837837838,0.7374213836477987,0.7557666214382632,0.7184873949579832,0.7777777777777778
0,0.7375605460149713,0.7440166493236212,0.7828418230563002,0.7986381322957199,0.7586726998491704,0.7585107924090975,0.7454682779456193,0.7627906976744186,0.7657657657657657,0.7483711525499888,0.7552083333333334,0.7376896872096624,0.7800707547169812,0.6881720430107527,0.7455621301775148,0.7681159420289855,0.7394957983193278,0.7859795728876509,0.5737704918032787,0.7639182522903453,0.7371794871794872,0.8298969072164949,0.6901893287435457,0.7446083995459705,0.8002980625931445,0.7686139747995419,0.7515527950310559,0.8020415603353992,0.7413793103448276,0.7369706840390879,0.6604651162790698,0.7153439153439154,0.7508090614886731,0.7623143080531666,0.7445866141732284,0.7727272727272727,0.7392996108949417,0.7254901960784313
