cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-13,0.6320491345616974,0.6309672063096721,0.366412213740458,0.45256024096385544,0.7541703248463565,0.5784531751914999,0.5429353404036948,0.7568493150684932,0.4780316344463972,0.5371160409556314,0.7343532684283728,0.8002103049421662,0.4632352941176471,,,0.757201646090535,0.32945091514143093,0.5,0.6493911957539806,,0.5722222222222222,0.35988200589970504,0.565365025466893,0.7620396600566572,0.6010452961672473,0.5897832817337462,0.774581589958159,0.375,0.4779951100244499,0.34306569343065696,0.6724273369992144,0.6678935447338619,0.822529224229543,0.5352112676056338,0.6630434782608695,0.6309523809523809,
-12,0.5990602975724354,0.6415152448413921,0.3445378151260504,0.44591029023746703,0.7824791418355185,0.5944220430107527,0.5342849859801173,0.8240534521158129,0.4792207792207792,0.5159106296547055,0.7540514775977121,0.7610872675250357,0.47422096317280454,,,0.7495741056218058,0.2942643391521197,,0.6565356489945156,0.9,0.582441113490364,0.3401869158878505,0.5464167585446527,0.7647058823529411,0.6214622641509434,0.6312849162011173,0.7724240177909563,0.36454849498327757,0.5100087032201914,0.38778877887788776,0.6592718998862344,0.663664839467502,0.829153605015674,0.5398700531600709,0.6986301369863014,0.6352941176470588,
-11,0.6137239784117193,0.6187590187590187,0.4111111111111111,0.43579573624194345,0.7792207792207793,0.5912220309810671,0.5246898564826077,0.8243559718969555,0.5114873035066505,0.5289287047405749,0.7361904761904762,0.7637906647807637,0.4644087256027555,,0.5053763440860215,0.7681895093062606,0.2923497267759563,,0.6580732700135685,0.8690476190476191,0.5774378585086042,0.342911877394636,0.5516677567037279,0.7089397089397089,0.6208092485549133,0.6212814645308925,0.7644514353126229,0.3850574712643678,0.46847635726795095,0.3596358118361153,0.6942446043165468,0.6518851338151983,0.8219278881530537,0.5326890278567368,0.673469387755102,0.5986696230598669,0.9107142857142857
-10,0.6031807602792862,0.6293625612921835,0.3963730569948187,0.41742898411169954,0.7781392322706572,0.5696073431922488,0.5232862375719518,0.8432432432432433,0.482837528604119,0.5495729669513554,0.7410805300713558,0.755223880597015,0.49461001902346224,,0.48148148148148145,0.7702265372168284,0.28556485355648537,0.4027777777777778,0.6578829834747655,0.8820224719101124,0.6149068322981367,0.3524416135881104,0.536697247706422,0.7645739910313901,0.6366666666666667,0.6024844720496895,0.758565094719871,0.3687315634218289,0.4995640802092415,0.3819444444444444,0.6818734793187348,0.6593027969193352,0.8170940170940171,0.5304659498207885,0.725925925925926,0.6152149944873209,
-9,0.5971385542168675,0.6321970782010885,0.36585365853658536,0.43794242567248703,0.7838669950738916,0.5871530019367334,0.5193588162762022,0.8353808353808354,0.47461629279811096,0.551865671641791,0.7253787878787878,0.7196850393700788,0.4597069597069597,,0.5,0.7168874172185431,0.29392265193370165,,0.6629846220489495,0.8354430379746836,0.5885947046843177,0.3216494845360825,0.5435323383084577,0.7505070993914807,0.6193939393939394,0.6163265306122448,0.7505432420686659,0.39255014326647564,0.4864649681528662,0.3524962178517398,0.6796561604584527,0.6663996796155387,0.8226415094339623,0.5672947510094213,0.7303102625298329,0.6020833333333333,0.9365079365079365
-8,0.5913461538461539,0.6216307277628033,0.3170028818443804,0.41196198993851313,0.8096935138987883,0.5821489482660602,0.5205171444631815,0.84472049689441,0.45897435897435895,0.5316770186335403,0.75,0.700354609929078,0.4585674157303371,,,0.7878228782287823,0.2524154589371981,0.40384615384615385,0.6690737051792829,0.8879310344827587,0.5368421052631579,0.35469107551487417,0.5642535503983374,0.7345971563981043,0.6071871127633209,0.6338672768878718,0.7293997965412004,0.34523809523809523,0.4962805526036132,0.38155515370705245,0.6889763779527559,0.6675367821547223,0.8192771084337349,0.5888704318936877,0.6938202247191011,0.6272617611580217,
-7,0.609450337512054,0.6456664238892935,0.4053333333333333,0.4566929133858268,0.8042939719240297,0.5774703557312253,0.5501133786848073,0.8328690807799443,0.47218259629101283,0.6625441696113075,0.7580144777662875,0.8403145836895196,0.45745090489025797,0.42962962962962964,0.7246376811594203,0.7744360902255639,0.4325581395348837,,0.6801104972375691,0.9009009009009009,0.5863013698630137,0.345703125,0.5446859903381642,0.7358490566037735,0.6890173410404624,0.6076294277929155,0.7580191333708497,0.44089456869009586,0.49634273772204807,0.34191176470588236,0.7453928225024248,0.6671934974034771,0.8015564202334631,0.6457590876692801,0.7003154574132492,0.61133069828722,0.9074074074074074
-6,0.6053030303030303,0.6340497737556561,0.3492063492063492,0.4656172328086164,0.7929844738355377,0.6346103384938336,0.5634159580242446,0.7936893203883495,0.47821681864235055,0.6428437441380604,0.7590072057646117,0.8309377138945927,0.4769150052465897,0.6236559139784946,0.6818181818181818,0.7860798362333674,0.40374440374440373,0.39705882352941174,0.6644635382242785,0.8732394366197183,0.5627062706270627,0.34065934065934067,0.5412034009156311,0.7540983606557377,0.6325237592397043,0.5888778550148958,0.7798763736263736,0.4319371727748691,0.49479583666933546,0.35374149659863946,0.7105030891438658,0.6621989528795812,0.8115477145148356,0.6444593237361902,0.7563218390804598,0.6037735849056604,0.9482758620689655
-5,0.6058368495077355,0.6297441664323868,0.3951612903225806,0.46826923076923077,0.773013150371641,0.6175523349436393,0.535687453042825,0.803030303030303,0.5148514851485149,0.6354088522130532,0.7428817946505608,0.8356866002214839,0.4712213383247543,0.5643564356435643,0.7005347593582888,0.7850129198966408,0.4175642087821044,0.4603174603174603,0.6765342960288808,0.8709677419354839,0.5678119349005425,0.34471544715447155,0.5615792575132587,0.7263969171483622,0.6462167689161554,0.6124197002141327,0.7713633398564905,0.38028169014084506,0.4960254372019078,0.37697160883280756,0.7161654135338346,0.6612635078969243,0.820817843866171,0.6417241379310344,0.723744292237443,0.6423913043478261,
-4,0.6089181286549707,0.6312203791469194,0.40804597701149425,0.44390507011866237,0.7851801495581238,0.607509047044632,0.5511251480457955,0.8172231985940246,0.4682274247491639,0.6202605483181023,0.7597712106768351,0.8462957706500142,0.4820779220779221,0.6595744680851063,0.7272727272727273,0.7790055248618785,0.43566246659030167,0.4603174603174603,0.6889408620113598,0.863905325443787,0.5572519083969466,0.3436928702010969,0.5399422521655438,0.7514231499051234,0.6559454191033138,0.6217798594847775,0.7722836694860117,0.4088541666666667,0.4754625905068383,0.3739130434782609,0.7075060532687651,0.6438228438228438,0.8157492354740061,0.5769650655021834,0.7386934673366834,0.6468039003250271,0.8552631578947368
-3,0.5809446911586597,0.6454057467634986,0.3395638629283489,0.4499169894853348,0.8016850291639663,0.6755717033554178,0.5542344597413433,0.8394793926247288,0.4801980198019802,0.6219951923076923,0.7473460721868365,0.8256122750073768,0.48010899182561306,0.6352941176470588,0.753968253968254,0.7937043282743114,0.40051395007342144,0.39622641509433965,0.6937282229965157,0.9115646258503401,0.5734989648033126,0.3667262969588551,0.5607294041028981,0.729636048526863,0.6624423963133641,0.6295871559633027,0.7603222557905337,0.4180327868852459,0.4443500424808836,0.36306729264475746,0.7195247933884298,0.6729323308270677,0.8161993769470405,0.6131409272336505,0.7222222222222222,0.6257110352673493,0.9692307692307692
