cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV,WY
-13,0.2828369905956113,0.29151470675443275,0.3138878608438194,0.2901619755708975,0.2942528735632184,0.3577109266943292,0.29760671224028423,0.1980320699708455,0.19809604656803298,0.2984194792330008,0.25164217594394706,0.36920809990662934,0.40560693469727604,0.44379058441558444,,0.33277845036319614,0.2816375746440055,0.299133875106929,0.2708333333333333,0.2412206706810631,0.32703267477203646,0.28945500218436,0.281015037593985,0.23177899686520376,0.451762269459206,0.279379489225858,0.23573191617973002,0.20579241751545227,0.4211881868131868,0.22078775203775206,0.22064643799472294,0.3298041648683643,0.24769196320920456,0.3548921130952381,0.13972929936305734,0.29965702356099017,,0.31939935064935066
-12,0.20325694042799305,0.1866847599599933,0.21940866510538642,0.21946868235930736,0.1787037037037037,0.2550787661313681,0.22227325685606739,0.12104072398190045,0.16737132352941175,0.20191377566723825,0.18088040600176522,0.2790370760850466,0.2486961608630126,0.3103250915750916,,0.23152281746031747,0.1945518653321201,0.18028935042524344,0.16310975609756098,0.18399014778325123,0.18035714285714288,0.16565148305084745,0.16303448909580984,0.10688824662813103,0.3143648282097649,0.17819810851169735,0.16547217537942666,0.14227999780135217,0.3065006759801713,0.15310431605074462,0.16747658079625294,0.2686724764756202,0.18214130434782608,0.25818093803786574,0.10235640648011783,0.20461401952085184,,0.25015664160401
-11,0.19982926556202418,0.19611588821575143,0.1676122790253225,0.21007450599287333,0.1966750657318142,0.2637827421778039,0.2186345908259414,0.11455485304169515,0.14541525928869461,0.2094271018091522,0.17178321459817522,0.25691695352839927,0.2611273618467863,0.26453267477203646,,0.22017477203647418,0.1886904761904762,0.18188824996535957,0.24706632653061225,0.1756800462276193,0.2231060606060606,0.16596237731733915,0.19193750765087525,0.1509941465650127,0.32606456043956045,0.1766743648960739,0.1891387884267631,0.14699900793650794,0.3767320452771273,0.1279985888993415,0.16123949579831934,0.2707363001237173,0.1792791253843526,0.2739382239382239,0.07936026352288487,0.22679472167177084,,0.23683414043583537
-10,0.19444525165639892,0.19297520661157025,0.1974267968056788,0.18538873130479627,0.19686744560838035,0.26344694448142725,0.20766460341805434,0.1464974419519874,0.1752030909451159,0.20801321060905728,0.18384281678773204,0.23989789005032908,0.2697008490896359,0.31741071428571427,,0.2693452380952381,0.1775014033118159,0.17379265471370736,0.21649029982363313,0.17785618044376006,0.19483784893267653,0.133078231292517,0.1763971560846561,0.13747286898184688,0.35760882635882635,0.16843388298715714,0.17065491183879095,0.14002273548542518,0.35982395791177657,0.16200112819066423,0.17106186224489797,0.2619245524296675,0.1719091451948976,0.26652219140083216,0.0886056511056511,0.20567488561260805,,0.24824355971896955
-9,0.20233980689049813,0.1948076770324477,0.24320009460737937,0.18513559708295352,0.2082894582894583,0.27878006872852235,0.20709454667943125,0.14693022827687777,0.1551901336073998,0.22235545760954106,0.18514780570386768,0.235318024791709,0.3218925334484247,0.3019366197183099,,0.2876385467980296,0.18486024844720497,0.1751028270188854,0.20002880184331795,0.1936852508178844,0.2183005752636625,0.14374079528718703,0.15041741720936677,0.1423026048026048,0.34246096481006755,0.19389508928571428,0.18194160490672118,0.14832052958483166,0.3018162393162393,0.1700896919277265,0.15755714285714287,0.2578863083309476,0.1858414804469274,0.28337601078167113,0.08470478452663725,0.23175223214285715,,0.2478813559322034
-8,0.2337828947368421,0.2234868098326702,0.3286596958174905,0.20613377985370585,0.21851932262266607,0.3143654678145348,0.25225062698149814,0.11195308381655246,0.18094349680170577,0.2632401797928474,0.1978483442649176,0.3176069372086646,0.3404284612842824,0.3089871194379391,,0.30112670068027214,0.2087115232833465,0.2227415441701156,0.2986819727891157,0.2147656214078808,0.22983870967741934,0.19832469278033793,0.17568465154302065,0.16536493954150025,0.37790360046457605,0.21050875507153533,0.20499873503120258,0.16883684497320864,0.3964915293040293,0.1671724518459069,0.22053973616473618,0.2884346138730595,0.2080677365883062,0.33600042390843576,0.08678571428571427,0.2525354416575791,,0.1948529411764706
-7,0.2904264734806267,0.2664923757313309,0.33046875,0.24040693762196352,0.2638630269626099,0.36855040345493806,0.31152946260916214,0.19887712702809657,0.19054773351648352,0.4098086603062277,0.2420175023651845,0.481128764675855,0.5111497268350733,0.5208691910499139,,0.37143695506371566,0.3157088912864124,0.33544066820276497,0.2469642857142857,0.31368438368182483,0.27487244897959184,0.5911390339425587,0.25102749433106575,0.21189787692153625,0.4092136854741897,0.2973828916747992,0.3386603976697062,0.20769804441498177,0.4145974218089603,0.24877726952850107,0.22232961992136305,0.4028685576682512,0.30846278972536517,0.42884242683047,0.10708791208791209,0.2678708160140013,0.53759639034767,0.27485119047619044
-6,0.2155743066457352,0.18221752271264038,0.23697916666666666,0.16104680778809147,0.2100500406421459,0.36171202252152795,0.2541992121931022,0.144998287084618,0.3143427051671732,0.23388775510204082,0.2886206404678696,0.24385611184983907,0.34658654517525483,0.31007869249394676,0.5472255017709563,0.2484553948161543,0.1873931544522075,0.17881651444455474,0.16300675675675674,0.18424484235110938,0.20689655172413793,0.20166839635411968,0.16201374916163647,0.17405335628227195,0.3525853226408057,0.1807342233009709,0.17971562275018,0.1576542876766091,0.3443400427502672,0.1754496505899874,0.18187741312741315,0.27038466702470465,0.2193538102456748,0.2892722878625134,0.0995243469848436,0.2128909431503502,0.26283103133382796,0.25952380952380955
-5,0.2069459971807709,0.19004882503776038,0.22207164115646258,0.30818340680726,0.1988304828973843,0.292325294052681,0.2145154828675119,0.1709088486140725,0.18486995341614906,0.22716346153846154,0.18777574340421777,0.24693340276572354,0.32414200152110534,0.3771997929606625,0.23485252309879176,0.22118506493506493,0.19262666456544006,0.1945360515664818,0.16596638655462187,0.18905814900436083,0.17021520146520144,0.17997011036174126,0.1552775441547519,0.1677116059878026,0.33713989739542227,0.1739933604626258,0.17520122706292918,0.13965171953409145,0.32645211930926216,0.16941445182724252,0.17485468365750056,0.27954826732673266,0.20329349174539557,0.2956982438365417,0.09760596546310832,0.21986607142857145,0.3162707219856871,0.19230030721966207
-4,0.21932032724984266,0.20525635962747227,0.2245902641878669,0.22404708817752297,0.21307422969187673,0.2948689384010485,0.219453326006045,0.17423913043478262,0.1377832512315271,0.22489787336297007,0.1908944763138416,0.2540645735070749,0.3485180329965469,0.37427995391705066,0.2505384063173008,0.19557005494505494,0.202593537414966,0.17591857194937763,0.16798469387755102,0.19512732615083253,0.22909663865546218,0.1797781612645058,0.17842108779901109,0.1613327041525929,0.34839424141749725,0.17707180887844007,0.17764544688026981,0.13984824699110412,0.27173056722689076,0.16101306281267372,0.16382978723404254,0.28062950272359866,0.2248425568075992,0.35168598275731683,0.19331164315517582,0.2059138403562864,0.3420390681653372,0.17894345238095238
-3,0.20305169066494094,0.2030828610513973,0.2398725391216557,0.20732371450086057,0.2098178427997705,0.18695147586931768,0.2176703376812726,0.13942749846719804,0.12048600063633472,0.2230249486755796,0.19733952281122094,0.2599325822900257,0.30884438142502657,0.33591920374707257,0.23189205457463885,0.18225190839694658,0.18055076297829922,0.19202159749034747,0.19854721549636806,0.1832324919235613,0.16946308724832215,0.17967248558616272,0.1670955626651829,0.1699890047238964,0.3533918732782369,0.1761974122276029,0.17975629892367906,0.1580624756714675,0.320421589688507,0.14620079429973132,0.16365881458966566,0.2659397019392654,0.22042874089137435,0.31270922252908195,0.11750637755102042,0.23378896482747125,0.27598499061913695,0.22971938775510203
-2,0.20373471372984994,0.20877985138733784,0.1969276841171251,0.20361567888546306,0.21571586599241468,0.2857313575525813,0.22778761763772867,0.15036674816625917,0.13622995357670395,0.22290582270287765,0.21455877870351553,0.25509130386371226,0.3067073170731707,0.29130434782608694,0.16579011741682975,0.21843363329583804,0.18766386995280546,0.1790830153199491,0.20777845036319612,0.17744693749251586,0.22799539170506913,0.1698483560090703,0.1785426267281106,0.16403543972290274,0.33684357889497263,0.17121937059577194,0.19623406935388263,0.1452922077922078,0.3165416314454776,0.14781829049611475,0.18706135386008604,0.2730531686358754,0.21299962656777152,0.31421903988868277,0.13454081632653062,0.2091010165184244,0.2561792365278723,0.1607142857142857
-1,0.21766763848396503,0.2021461716937355,0.21819960861056753,0.3130554876060013,0.21227157673786887,0.2951582974434161,0.2193787726358149,0.1379251700680272,0.11132872503840245,0.22495653013910355,0.20089285714285715,0.2517848457476376,0.30720131241514553,0.39211992136304064,0.18316326530612245,0.1656961697722567,0.2014384393502353,0.19157383348076074,0.15965496368038742,0.1873007274415725,0.22175785207700102,0.183614825240441,0.16761791742013263,0.16858358235582716,0.3204081632653061,0.18129401791148597,0.21030247446410588,0.1450839255084538,0.2804956470122675,0.17359245415255226,0.16826923076923078,0.2760595070186043,0.2086200203469694,0.29840273095077546,0.12805641124374278,0.21898693136472466,0.28075887338866323,0.30934873949579833
