cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV,WY
-13,0.17628750559785045,0.20850382494218112,0.18911917098445596,0.19853956452469462,0.1873152709359606,0.2612008496344596,0.20279362687049196,0.10772594752186589,0.13903710890128546,0.20729852119153752,0.14777150642273257,0.29172502334267036,0.3311526109194719,0.34131493506493504,,0.22639225181598063,0.1794901240238861,0.23139435414884518,0.0763888888888889,0.13309800664451826,0.2370820668693009,0.20915246832678025,0.20512820512820512,0.1412151067323481,0.3685526727102219,0.18728385208832135,0.13635905702196252,0.11151736745886655,0.31195054945054945,0.15492277992277992,0.1239163211458726,0.24438929650410013,0.16973543697681628,0.2585813492063492,0.04185623293903549,0.21204891142260662,,0.275974025974026
-12,0.1262434933487565,0.12183280546757794,0.13805620608899297,0.15011160714285715,0.10029100529100529,0.17677726643709973,0.14497221724323353,0.0552682611506141,0.1085609243697479,0.1367783493822275,0.10496784768629429,0.21463714637146372,0.17980090425953835,0.2284798534798535,,0.1552579365079365,0.1097209584470731,0.12557007272279058,0.05574912891986063,0.09631421534130893,0.08351648351648353,0.11138014527845036,0.1068978191619701,0.055181668042939724,0.2384719710669078,0.09710469553675129,0.09121296073235365,0.07042543835541142,0.23321315908066698,0.10173055708769994,0.09449648711943795,0.1953414599372683,0.11459006211180124,0.17086919104991397,0.035787923416789394,0.12679680567879326,,0.16040100250626566
-11,0.12056370353784147,0.12926519444987297,0.09149546106067845,0.1347424684159378,0.12228856266432954,0.1814373897707231,0.13740378973527076,0.04511278195488722,0.08787005761970992,0.1366619368570415,0.09767529058867641,0.1719449225473322,0.19999604711834928,0.1774316109422492,,0.12651975683890576,0.09538690476190476,0.12186504087571012,0.11581632653061225,0.08780660295994756,0.14935064935064934,0.1098691384950927,0.13349247153874402,0.08070866141732283,0.2434752747252747,0.09039920818211812,0.11750839576336865,0.06635487528344672,0.312256049960968,0.08029834699637146,0.08032950022114109,0.1922349174004803,0.11086436624530235,0.1812955812955813,0.01222260748959778,0.15492704017294182,,0.1440677966101695
-10,0.11350691619202603,0.12682998819362457,0.10714285714285714,0.11009218669417226,0.12017957868078738,0.18483723871654906,0.13358165352030382,0.0743801652892562,0.11714880126808004,0.1377098230133374,0.10377993005111649,0.16787650019357336,0.21312587535014005,0.25535714285714284,,0.19510582010582012,0.10061745719898962,0.10942741469057259,0.13051146384479717,0.08985441310282075,0.11104269293924467,0.07401656314699794,0.12132936507936508,0.07458563535911603,0.29292929292929293,0.0906532424290471,0.10108552237015712,0.06779992772825826,0.2997774180493727,0.1089761669722183,0.09540816326530613,0.19168797953964195,0.10392844437668344,0.18173832639852056,0.01974376974376974,0.1414167090323674,,0.17037470725995316
-9,0.1468619705946895,0.14691806664283727,0.18129139072847683,0.13165776793853365,0.15505440505440507,0.22331042382588775,0.14708541644505904,0.0821060382916053,0.11433710174717368,0.17006740990407052,0.12846724833962755,0.1827372485267222,0.2767587397496763,0.25553319919517103,,0.21582512315270935,0.11149068322981366,0.13222685667941142,0.1405529953917051,0.12650797437295527,0.15699904122722913,0.09123711340206185,0.11389774144381322,0.08958078958078959,0.29853181076672103,0.12861607142857143,0.12602223358037312,0.08577966655769859,0.2505087505087505,0.13294553490185884,0.09017142857142857,0.20480246206699113,0.13487629688747008,0.22315363881401618,0.022310824567356634,0.17607142857142857,,0.2033898305084746
-8,0.16906015037593985,0.16366435929579767,0.2658881042911461,0.13221556358508857,0.15085395860471848,0.2467333828606389,0.18930109307717788,0.06497100685292567,0.14056503198294243,0.19827698521268972,0.12993920972644377,0.24492733753770224,0.28001431875757243,0.2611241217798595,,0.258078231292517,0.13368192580899765,0.15727130012844298,0.23214285714285715,0.14017885879810565,0.1597542242703533,0.15591397849462366,0.13876967095851217,0.11087705859823822,0.32251742160278746,0.14088191330343797,0.1537358745150953,0.10435019525928617,0.33653846153846156,0.1272572231139647,0.14695945945945946,0.23069365297700925,0.1523658830620856,0.2641656068955772,0.025857142857142856,0.1891494002181025,,0.1134453781512605
-7,0.19514193929063137,0.18256783526051504,0.23671875,0.15973016620685013,0.1676597646357813,0.27459559798461947,0.22468778873953085,0.10199841709537,0.12173763736263735,0.33017944019713147,0.14278956615758887,0.3939449184472156,0.44125601774219725,0.4109294320137693,,0.27716297786720323,0.21701466015104398,0.25091013824884795,0.16,0.21525076765609008,0.19196428571428573,0.5403301007086908,0.1845710506424792,0.131377998097241,0.32605042016806723,0.19339764281960814,0.25630065856129686,0.11638216771627444,0.3460481825866441,0.17621393384940184,0.13276539973787682,0.32097510632974735,0.2335898507930701,0.31371743914857275,0.016153846153846154,0.19612776197768542,0.4481569500764475,0.18511904761904763
-6,0.13541339612768186,0.11446634237069891,0.1601828231292517,0.10100181118406158,0.13206157285104653,0.27783727092073307,0.17062062174078468,0.07348406988694758,0.2445288753799392,0.16648979591836735,0.21109407317595036,0.1763407912740167,0.2782432621142299,0.2282082324455206,0.4445100354191263,0.18731163351416516,0.10511743719339973,0.11497319567159735,0.09555984555984556,0.1061891786687427,0.14039408866995073,0.15057305297355836,0.11575005589090095,0.10016597000245882,0.2822640805669526,0.09847434119278779,0.11135966265555898,0.07355033359497645,0.2703063769148557,0.11736739603620117,0.10733590733590734,0.1995435016111708,0.15556798768016555,0.18494606080418438,0.02563689132537891,0.14334582179508062,0.2015723988356829,0.1845238095238095
-5,0.12558936470130752,0.12579472408584777,0.13626700680272108,0.23710234719409032,0.12937625754527163,0.21226323927328952,0.13906301550643352,0.10163468372423595,0.1233695652173913,0.159461861667744,0.11287831995058678,0.17720206754228623,0.2609963239954367,0.2525879917184265,0.18461265103056146,0.15079365079365079,0.11039319202584509,0.1288537450657073,0.08823529411764706,0.11120816476645826,0.10874542124542125,0.12949621908849376,0.10068484921302415,0.101875808538163,0.26100039463299135,0.0936496037695438,0.1037093324327367,0.06784908613783895,0.25353218210361067,0.114562569213732,0.09931813100827186,0.2083922677982084,0.1400062028819544,0.19404641289139768,0.02111459968602826,0.14867424242424243,0.24515354651689464,0.13248847926267282
-4,0.13689064239725032,0.14040543653536053,0.1417563600782779,0.15638105855497159,0.1415126050420168,0.21126474442988205,0.1424824519771189,0.08826086956521739,0.09364532019704433,0.15872281629220233,0.1152618430792006,0.18191402190422898,0.28365200153472314,0.27736175115207373,0.18467336683417085,0.12385531135531135,0.12447938359017077,0.10935628352689965,0.10714285714285714,0.11683223730236462,0.14012605042016807,0.1289765906362545,0.12164238941600962,0.0993840651698788,0.26893687707641195,0.09426427879961277,0.1074138761744158,0.07140478569049998,0.19301470588235295,0.11178432462479154,0.08490374873353597,0.20942423709951385,0.16026029055690072,0.256759056189972,0.10098350884164514,0.14268585131894485,0.2533236644911772,0.11061507936507936
