cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-13,0.7237663074305162,0.6737897950283471,0.7854077253218884,0.7094890510948905,0.7264367816091954,0.7149204864359214,0.7231737154840965,0.5959183673469388,0.6453333333333333,0.7184418145956607,0.6884353741496598,0.7581168831168831,0.731004366812227,0.7613636363636364,,0.7796610169491526,0.7738693467336684,0.6926229508196722,0.8333333333333334,0.700327868852459,0.7659574468085106,0.7217125382262997,0.6194331983805668,0.641519250780437,0.8205689277899344,0.7486033519553073,0.7024390243902439,0.6648385131017672,0.8192307692307692,0.4709851551956815,0.6965699208443272,0.7190332326283988,0.5784647629028032,0.6799065420560748,0.7972222222222223,0.6847133757961783,0.6951219512195121,0.6440677966101694
-12,0.5809595202398801,0.5112646440372485,0.5686274509803921,0.5628211116300794,0.5711111111111111,0.5366863905325444,0.6118495156566794,0.4230769230769231,0.4796116504854369,0.5734072022160664,0.5445719329214475,0.6236162361623616,0.5615034168564921,0.6410256410256411,,0.6527777777777778,0.6527545909849749,0.4689054726368159,0.6097560975609756,0.578125,0.5846153846153846,0.5614406779661016,0.4537671232876712,0.3119477525931617,0.6424050632911392,0.5911730545876888,0.56513222331048,0.5101962293189688,0.6340694006309149,0.3339011925042589,0.4934426229508197,0.6212574850299402,0.4255957634598411,0.5536938309215537,0.6981927710843373,0.4865979381443299,0.5574468085106383,0.7123287671232876
-11,0.5527204502814259,0.503403289846852,0.5167597765363129,0.5757034390352836,0.5621165644171779,0.5419542874674029,0.6150776053215078,0.42822966507177035,0.4956521739130435,0.5789286981199007,0.5240594925634295,0.6409638554216868,0.5298165137614679,0.6170212765957447,,0.7127659574468085,0.6053511705685619,0.4891008174386921,0.6714285714285714,0.5558493060145406,0.6060606060606061,0.5992366412213741,0.46872322193658955,0.4539895165987187,0.6939102564102564,0.5889145496535797,0.6089211618257261,0.5388888888888889,0.6338797814207651,0.29948364888123924,0.5170278637770898,0.6311767702496179,0.41913676547061884,0.5397727272727273,0.7153153153153153,0.5072815533980582,0.5658465991316932,0.6625
-10,0.5587121212121212,0.5084745762711864,0.5649867374005305,0.5580774365821095,0.5576148267526189,0.5397572078907436,0.5902826442419995,0.4793388429752066,0.5154826958105647,0.5835995740149095,0.5574387947269304,0.5948509485094851,0.5617834394904458,0.6125,,0.6203703703703703,0.6290849673202614,0.49836779107725787,0.5802469135802469,0.5706377325066431,0.5344827586206896,0.5341614906832298,0.4527777777777778,0.4440463065049614,0.6717171717171717,0.5615982241953386,0.5974842767295597,0.5113827993254637,0.6345609065155807,0.3613518197573657,0.525,0.6138107416879796,0.41053206997084546,0.5743464052287581,0.6951456310679611,0.5257985257985258,0.5492371705963939,0.6867469879518072
-9,0.5333082423786225,0.47793696275071634,0.5423728813559322,0.5160857908847185,0.5495495495495496,0.5171419902912622,0.5800443458980045,0.4948453608247423,0.47176684881602915,0.5829401088929219,0.5205104831358249,0.5974395448079659,0.553337492202121,0.6056338028169014,,0.6637931034482759,0.6020583190394511,0.45847554038680316,0.5967741935483871,0.561792863359443,0.5369127516778524,0.5567010309278351,0.3646944713870029,0.4219505260164913,0.6721044045676998,0.585,0.5779645191409897,0.5011441647597255,0.5527065527065527,0.3496391339214114,0.5184,0.6007014028056112,0.40865297218687513,0.536834427425237,0.6588679245283019,0.505938242280285,0.5748930099857347,0.6265060240963856
-8,0.5045454545454545,0.46147829487680875,0.5445544554455446,0.4813683567501527,0.5157041540020263,0.5300911854103344,0.5531300160513644,0.2988929889298893,0.4503464203233256,0.5718194254445964,0.46196868008948544,0.6161228406909789,0.5558213716108453,0.5245901639344263,,0.5952380952380952,0.5950782997762863,0.47599451303155005,0.6190476190476191,0.5087158628704241,0.5376344086021505,0.5295698924731183,0.3590844062947067,0.3615149196633512,0.6178861788617886,0.5336322869955157,0.5367088607594936,0.4780673871582963,0.625,0.31527093596059114,0.49099099099099097,0.5357634112792297,0.38916934373565853,0.5308641975308642,0.6666666666666666,0.392,0.5893805309734513,0.6142857142857143
-7,0.6727909011373578,0.6050332051730164,0.7368421052631579,0.6285448628544863,0.6934306569343066,0.6905837387074357,0.7122104436592069,0.6177285318559557,0.6133909287257019,0.7755954868366067,0.6480605487228004,0.8457905203844879,0.8012116622491481,0.8975903614457831,,0.7230046948356808,0.7668301382077575,0.7090336134453782,0.7,0.663341007930417,0.6071428571428571,0.6586666666666666,0.5886243386243386,0.5915443745632425,0.7764705882352941,0.7024608501118568,0.7120481927710843,0.6299303944315545,0.7485207100591716,0.5420393559928444,0.6385321100917432,0.7570052539404554,0.5965361149380043,0.7178571428571429,0.858358243274316,0.6246153846153846,0.6483126110124334,0.8117647058823529
-6,0.5703289013296011,0.48695885990857757,0.6072351421188631,0.502914885347843,0.5568990042674253,0.6138154844691701,0.6234604105571847,0.4460431654676259,0.625,0.5659694920584998,0.6172654690618763,0.5944065126050421,0.6194373401534526,0.6101694915254238,0.8884297520661157,0.5907172995780591,0.5788939624556063,0.4946703513620213,0.5540540540540541,0.5634712411705348,0.5241379310344828,0.56957928802589,0.4225352112676056,0.4948453608247423,0.6971279373368147,0.5764944275582573,0.579225352112676,0.5521978021978022,0.6458852867830424,0.389572773352643,0.5527027027027027,0.6319548872180452,0.43201987930422436,0.5443548387096774,0.7195161817587447,0.5282167042889391,0.5705128205128205,0.691358024691358
-5,0.5736961451247166,0.493114406779661,0.6119791666666666,0.5153550863723608,0.5556338028169014,0.5723591050693855,0.5853922174181594,0.5049751243781094,0.42816365366317793,0.5584476309226932,0.5271604938271605,0.5907234154697588,0.6161939615736505,0.7391304347826086,0.4427860696517413,0.5454545454545454,0.5767060030785018,0.5002028397565923,0.6323529411764706,0.5609152752009895,0.4807692307692308,0.5424028268551236,0.4327731092436975,0.4693140794223827,0.6671270718232044,0.5668662674650699,0.5982824427480916,0.5024170157911698,0.6351648351648351,0.3842293906810036,0.5273865414710485,0.6316006600660066,0.42005277044854883,0.5997434252726106,0.7173252279635258,0.5538461538461539,0.5787965616045845,0.5811965811965812
-4,0.5637384412153237,0.47563504406428203,0.5971830985915493,0.5407680168332457,0.5576470588235294,0.571827613727055,0.5978173647889584,0.5043478260869565,0.3963083604777416,0.5537190082644629,0.5343264248704663,0.6044389978213508,0.6231684981684982,0.7661290322580645,0.507537688442211,0.5705128205128205,0.5644808743169399,0.4593580658607753,0.5142857142857142,0.5830815709969789,0.6411764705882353,0.6109022556390977,0.45743685687558466,0.4490304709141274,0.6852713178294574,0.6001881467544685,0.5476673427991886,0.4901764901764902,0.6151960784313726,0.3666427030913012,0.5219858156028369,0.6186961869618696,0.470825302260382,0.5894665766374072,0.7596611964002118,0.6369958275382476,0.5535465924895688,0.6785714285714286
-3,0.5499814195466369,0.5168539325842697,0.5548780487804879,0.5380053908355795,0.5493975903614458,0.4007259172061997,0.5938351498637602,0.45064377682403434,0.3886138613861386,0.5711651299245599,0.5157232704402516,0.601640967605036,0.5792682926829268,0.639344262295082,0.449438202247191,0.5038167938931297,0.5747062115277001,0.5022883295194508,0.5932203389830508,0.5626322471434617,0.5503355704697986,0.596039603960396,0.4527750730282376,0.46215139442231074,0.7079889807162535,0.5880398671096345,0.5924024640657084,0.5245231607629428,0.6441102756892231,0.34395848776871757,0.5319148936170213,0.577040593627237,0.444286475919673,0.5878616796047988,0.7335285505124451,0.5096153846153846,0.5972789115646259,0.5531914893617021
-2,0.545045045045045,0.5203751617076326,0.5833333333333334,0.5578824898196626,0.5761061946902655,0.5441347270615563,0.5733841621902617,0.4718826405867971,0.3612078977932636,0.5764255784295864,0.561877667140825,0.6062348668280871,0.5992239467849224,0.7043478260869566,0.410958904109589,0.5511811023622047,0.5945190156599552,0.4949450549450549,0.6779661016949152,0.5506402793946449,0.5548387096774193,0.5961538461538461,0.5268817204301075,0.4537146226415094,0.7125435540069687,0.6049528301886793,0.6032745591939547,0.5239234449760766,0.6331360946745562,0.3550387596899225,0.5689381933438986,0.5824561403508772,0.4287598944591029,0.5702247191011236,0.7357142857142858,0.5671428571428572,0.5789473684210527,0.704225352112676
-1,0.539046856227473,0.5,0.5828220858895705,0.6645207439198856,0.5756266205704408,0.553226779252111,0.5420526793823797,0.44285714285714284,0.29779837775202783,0.564797623468251,0.5197268588770865,0.5964302637813932,0.5867319195214791,0.7614678899082569,0.4228571428571429,0.4782608695652174,0.6134593993325917,0.47684984855041107,0.6610169491525424,0.5611793611793612,0.5602836879432624,0.5954356846473029,0.48417721518987344,0.4708631972577127,0.6446428571428572,0.5916561314791403,0.6275449101796408,0.5087478559176672,0.5706371191135734,0.3637042569081404,0.5334448160535117,0.5947343676539727,0.42124263727911837,0.5434782608695652,0.7147673634524613,0.5350404312668463,0.6,0.735632183908046
0,0.5611205432937182,0.5160862354892206,0.633245382585752,0.5388888888888889,0.5663976522377109,0.5653036919412465,0.5792847503373819,0.41531322505800466,0.37915742793791574,0.5759567066099729,0.5676243868255081,0.6050357568533969,0.5914036996735582,0.6850393700787402,0.4550561797752809,0.644927536231884,0.6037187681580476,0.5505210693248754,0.6612903225806451,0.5652838427947598,0.6815286624203821,0.6209677419354839,0.4163732394366197,0.47731045932484784,0.7528571428571429,0.6309255079006773,0.6326002587322122,0.5558219178082192,0.6103542234332425,0.3608964451313756,0.5377503852080123,0.6078343088698784,0.43383829165906185,0.5561719833564494,0.7375820056232427,0.5212464589235127,0.6185714285714285,0.5394736842105263
1,0.5397505845674201,0.5052433449852111,0.6102564102564103,0.5506692160611855,0.5534779356768885,0.5713722397476341,0.5719167443305374,0.4584139264990329,0.38716148445336007,0.574361820199778,0.5314009661835749,0.6219200215430187,0.5854661791590493,0.7050359712230215,0.43312101910828027,0.4470588235294118,0.6118863049095608,0.5080804099329918,0.5806451612903226,0.5412606880095446,0.6025641025641025,0.6202020202020202,0.45345858240819814,0.445113605255954,0.6881443298969072,0.608829568788501,0.5159386068476978,0.5138974675725757,0.5773480662983426,0.3858891288696904,0.5622047244094488,0.6208745874587459,0.4382524939800482,0.5506578947368421,0.7172854534388314,0.5464824120603015,0.6114570361145704,0.693069306930693
2,0.7240669240669241,0.4907456372289794,0.6555819477434679,0.5668759053597296,0.5291997116077866,0.558246828143022,0.5837238363011559,0.48823529411764705,0.32367632367632365,0.5568998109640831,0.5500618046971569,0.6205808910500723,0.5735430157261795,0.75,0.38764044943820225,0.44554455445544555,0.5977295162882527,0.4831294030404153,0.5714285714285714,0.555244195356285,0.6748466257668712,0.632,0.44304857621440535,0.456401766004415,0.6495263870094723,0.5856236786469344,0.4809081527347781,0.5349620893007582,0.5951219512195122,0.38461538461538464,0.5557299843014128,0.5784526391901663,0.443500424808836,0.5203081232492998,0.7450501762950908,0.5266106442577031,0.6135135135135135,0.6923076923076923
3,0.5941918226977455,0.488030888030888,0.5989583333333334,0.5802804161013116,0.5223529411764706,0.5630465086807755,0.5899808551372049,0.43383947939262474,0.33034825870646767,0.5847733105218135,0.5189088654680719,0.6115759155122754,0.5879043600562588,0.8222222222222222,0.43523316062176165,0.5214007782101168,0.6173120728929385,0.4752879970271275,0.5657894736842105,0.5744016649323621,0.5669291338582677,0.5961904761904762,0.4552238805970149,0.46929471708232773,0.6671159029649596,0.5682281059063137,0.46976241900647947,0.5396725440806045,0.6240786240786241,0.36363636363636365,0.5330459770114943,0.5785094066570188,0.4392886014551334,0.550326797385621,0.7323141486810552,0.5385542168674698,0.6008344923504868,0.6233766233766234
4,0.5941644562334217,0.486752253482655,0.6149425287356322,0.5538530869761153,0.5578446909667195,0.5527514465099101,0.5842064112587959,0.4294117647058823,0.3173996175908222,0.564717317349749,0.5589870290302656,0.601272534464475,0.5665094339622642,0.8275862068965517,0.5121951219512195,0.5877551020408164,0.6146364057433997,0.44846491228070173,0.6455696202531646,0.5586054898817873,0.5833333333333334,0.5616438356164384,0.4272875816993464,0.39859193067966425,0.656498673740053,0.6286008230452675,0.5187353629976581,0.5159697069476457,0.6299212598425197,0.37148337595907927,0.5429799426934098,0.5965417867435159,0.4410940846927006,0.535142658315936,0.7224030778336786,0.5424354243542435,0.569672131147541,0.6235294117647059
5,0.618213058419244,0.5028112449799197,0.6384039900249376,0.5564655172413793,0.5162264150943396,0.5416045702930948,0.5774816589309777,0.4553191489361702,0.32851063829787236,0.5656005221932114,0.5178571428571429,0.5969783585136791,0.5798627002288329,0.6883116883116883,0.4020618556701031,0.5186915887850467,0.6154214559386973,0.49581666060385593,0.5333333333333333,0.5614481409001957,0.5988700564971752,0.5902255639097744,0.4062957540263543,0.4601084430673896,0.6587615283267457,0.5981210855949896,0.5098493626882966,0.5228821811100293,0.6035353535353535,0.35099750623441395,0.5225988700564972,0.589798087141339,0.4382040553588671,0.5675146771037182,0.7442827442827443,0.5688185140073082,0.6010498687664042,0.691358024691358
6,0.5895741556534508,0.4770263293753227,0.6047197640117994,0.5508474576271186,0.5513513513513514,0.5490075961774075,0.5748849636336648,0.42936802973977695,0.34335154826958103,0.5485516787360105,0.537521815008726,0.6109742747673782,0.5880297072957623,0.6285714285714286,0.49743589743589745,0.6262295081967213,0.6348340154615735,0.5206581352833638,0.5529411764705883,0.5525828359744803,0.6242038216560509,0.5353356890459364,0.46,0.46860684451630286,0.6005398110661269,0.6142241379310345,0.5368898978433598,0.512921164540399,0.5921375921375921,0.47087594486438417,0.5076923076923077,0.5728679381072328,0.4260127217944426,0.5477075588599752,0.7484868863483524,0.5205327413984462,0.5983009708737864,0.6352941176470588
