cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV,WY
-13,0.11598384304673975,0.09043348281016443,0.18807339449541285,0.15309446254071662,0.19747899159663865,0.11453320500481232,0.06888519134775374,0.15017064846416384,0.13333333333333333,0.10396233817183209,0.16853932584269662,0.06025267249757046,0.08959757023538345,0.0967741935483871,,0.12121212121212122,0.10396039603960396,0.07797029702970297,0.05555555555555555,0.16566265060240964,0.24,0.13672922252010725,0.15180722891566265,0.1901066925315228,0.10121457489878542,0.11623931623931624,0.11270983213429256,0.21544929059379928,0.0498220640569395,0.11345646437994723,0.3486682808716707,0.12620689655172415,0.10038522547020168,0.10615199034981906,0.14627659574468085,0.1579925650557621,,0.10416666666666667
-12,0.12816392125351547,0.09971264367816092,0.17475728155339806,0.16279069767441862,0.20937042459736457,0.11069293779056896,0.08478368970661362,0.12636165577342048,0.14035087719298245,0.11137370753323486,0.18466898954703834,0.12709832134292565,0.10298102981029811,0.16049382716049382,,0.1643835616438356,0.17970401691331925,0.10845431255337319,0.2289156626506024,0.18991678903573175,0.16153846153846155,0.11974789915966387,0.17091836734693877,0.18727237876174047,0.15146831530139104,0.1453287197231834,0.08809135399673736,0.20183823529411765,0.09375,0.12380952380952381,0.3446601941747573,0.13837095191364082,0.11046808510638298,0.12238979118329467,0.12411347517730496,0.1878048780487805,,0.1896551724137931
-11,0.11542901115813775,0.08737603859555079,0.15789473684210525,0.14415584415584415,0.15849056603773584,0.10376940133037695,0.07577551503670377,0.10829493087557604,0.12517193947730398,0.11780545270952542,0.15649183147033535,0.13270142180094788,0.08836206896551724,0.14583333333333334,,0.16666666666666666,0.16115702479338842,0.10761904761904761,0.09859154929577464,0.1875746714456392,0.21176470588235294,0.10754716981132076,0.16080402010050251,0.17386298215313759,0.10869565217391304,0.11337868480725624,0.08721422523285352,0.1992233009708738,0.07219251336898395,0.10803324099722991,0.3373493975903614,0.1294820717131474,0.11223811107416029,0.09815950920245399,0.1506276150627615,0.16666666666666666,,0.06451612903225806
-10,0.13549920760697307,0.08038328453553367,0.18862275449101795,0.15742699957680914,0.1633935585231736,0.1074361820199778,0.07959081836327345,0.12860892388451445,0.11444141689373297,0.14497756299620296,0.19244935543278086,0.11802853437094682,0.09486873508353222,0.14942528735632185,,0.14285714285714285,0.13793103448275862,0.08846153846153847,0.17073170731707318,0.17642840066937604,0.1787709497206704,0.12219959266802444,0.14658273381294964,0.17883995703544575,0.12439418416801293,0.13225806451612904,0.09516129032258064,0.20641282565130262,0.08611111111111111,0.11759082217973231,0.356401384083045,0.15101838052657726,0.11516709511568124,0.10306242638398115,0.21654501216545013,0.17972350230414746,,0.11475409836065574
-9,0.12224231464737793,0.10103147315524993,0.16037735849056603,0.16248457424928014,0.18427139552814187,0.11028156996587031,0.08404356060606061,0.15085158150851583,0.13464235624123422,0.13655172413793104,0.16550522648083624,0.12350597609561753,0.09174311926605505,0.17105263157894737,,0.12,0.12857142857142856,0.09182098765432099,0.109375,0.1751758565917858,0.16981132075471697,0.13,0.18460111317254174,0.16766630316248637,0.13671274961597543,0.14184397163120568,0.09564474807856532,0.21731601731601732,0.0921409214092141,0.09581881533101046,0.3502994011976048,0.14985727878211227,0.12268328686239134,0.09880636604774536,0.19347319347319347,0.16370106761565836,,0.12698412698412698
-8,0.12329931972789115,0.09361302442078898,0.15806451612903225,0.13655761024182078,0.1941830624465355,0.10507880910683012,0.08263343267407207,0.18654434250764526,0.14227642276422764,0.14524080394387562,0.17974452554744524,0.1205564142194745,0.10747663551401869,0.16216216216216217,,0.07339449541284404,0.140625,0.10232158211521926,0.16071428571428573,0.17723831897676848,0.25210084033613445,0.15257731958762888,0.1945080091533181,0.17106879606879608,0.11979166666666667,0.12560386473429952,0.10460652591170826,0.24347826086956523,0.08635097493036212,0.12138728323699421,0.34657039711191334,0.13024523160762944,0.10390813113539545,0.12039312039312039,0.1813186813186813,0.17161290322580644,,0.16129032258064516
-7,0.11519045433685177,0.10932991343379288,0.128125,0.1273747841105354,0.1553701772679875,0.11222339304531086,0.07928228666805759,0.1634349030470914,0.1266025641025641,0.10570544007076514,0.15515610217596973,0.0974615841752271,0.05868989019310867,0.04819277108433735,,0.07042253521126761,0.11280746395250212,0.07377577319587629,0.14,0.15337423312883436,0.16071428571428573,0.030678851174934726,0.18253968253968253,0.18156326673676831,0.1092436974789916,0.10719915922228061,0.09663120567375887,0.22935779816513763,0.07692307692307693,0.09064039408866995,0.3651376146788991,0.12237762237762238,0.09367042560931248,0.07932858128305358,0.20307692307692307,0.1807044410413476,0.06619232427770591,0.1
-6,0.13516483516483516,0.10294117647058823,0.1875,0.13083090379008747,0.17354196301564723,0.09457579972183588,0.08397305342315525,0.1510791366906475,0.08581560283687943,0.13175510204081634,0.13729405891163254,0.1480484522207268,0.09237536656891496,0.11864406779661017,0.09504132231404959,0.08438818565400844,0.14994934143870314,0.08541666666666667,0.0945945945945946,0.1729200652528548,0.15862068965517243,0.0574857864813645,0.18857589984350548,0.19104991394148021,0.13315926892950392,0.14271844660194175,0.11807055435565154,0.24642126789366053,0.09226932668329177,0.10184442662389735,0.3324324324324324,0.1296365680029974,0.10001672520488376,0.12095456031382805,0.23024830699774265,0.16647662485746864,0.08969607116382505,0.15
-5,0.1296359305886356,0.1,0.15476190476190477,0.12289029535864979,0.1704225352112676,0.11199073180150608,0.0791817881887166,0.14427860696517414,0.11467391304347826,0.11974789915966387,0.150710315009265,0.13668192835981685,0.09272404614019521,0.14492753623188406,0.15920398009950248,0.12121212121212122,0.1516822945394374,0.0917303683113273,0.16176470588235295,0.1733797143903332,0.21794871794871795,0.05221745350500715,0.18923465096719932,0.18473479948253557,0.11878453038674033,0.13493253373313344,0.10323089046493301,0.23396825396825396,0.1054945054945055,0.10155038759689923,0.35524256651017216,0.1354679802955665,0.10221777555444389,0.11516379601485985,0.2175824175824176,0.18686868686868688,0.10655737704918032,0.15053763440860216
-4,0.11182649949169773,0.07923748277446027,0.1267123287671233,0.15124489037532515,0.17411764705882352,0.1018348623853211,0.07308970099667775,0.1617391304347826,0.14758620689655172,0.11606391925988226,0.13924870466321243,0.13706079196876744,0.08236347358997315,0.08870967741935484,0.1457286432160804,0.07051282051282051,0.152089407191448,0.08239154210718191,0.17142857142857143,0.1751224289911851,0.18823529411764706,0.05742296918767507,0.1824134705332086,0.17774687065368566,0.10697674418604651,0.1335914811229429,0.08347386172006746,0.2336869173899068,0.10294117647058823,0.10428015564202335,0.3574468085106383,0.11939690301548492,0.09305736636245111,0.09634727368978295,0.1905424200278164,0.16546762589928057,0.09517766497461928,0.1111111111111111
