cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-13,0.014854111405835544,0.015593762495002,0.022900763358778626,0.021957340025094103,0.019834710743801654,0.014187446259673258,0.011356660527931247,0.030716723549488054,0.015306122448979591,0.016241299303944315,0.022443890274314215,0.010617760617760617,0.015103338632750398,0.010752688172043012,0.0,0.01,0.008156606851549755,0.0,0.030825022665457842,0.02,0.024128686327077747,0.029347826086956522,0.03516377649325626,0.02834008097165992,0.015384615384615385,0.01466275659824047,0.03298350824587706,0.0035587188612099642,0.02609727164887307,0.07990314769975787,0.029655172413793104,0.014157364552137218,0.024415055951169887,0.022316043425814235,0.021505376344086023,0.025974025974025976,0.015873015873015872
-12,0.019338043882484196,0.015995260663507108,0.01662049861495845,0.025460930640913083,0.02944507361268403,0.01647470476745881,0.0140625,0.0196078431372549,0.026415094339622643,0.019202363367799114,0.03484320557491289,0.02877697841726619,0.017777777777777778,0.08641975308641975,0.0547945205479452,0.03482587064676617,0.008547008547008548,0.04819277108433735,0.03990246065174019,0.023076923076923078,0.01680672268907563,0.03802281368821293,0.03283069288032067,0.027820710973724884,0.025374855824682813,0.011156186612576065,0.04012561060711793,0.003125,0.02356902356902357,0.07119741100323625,0.03287536800785083,0.01905829596412556,0.04318689501116903,0.02668213457076566,0.04391891891891892,0.026137463697967087,0.02631578947368421
-11,0.015441176470588236,0.012791991101223582,0.03287671232876712,0.024491490244914902,0.02463343108504399,0.018244354718109767,0.014555724527482076,0.018433179723502304,0.024475524475524476,0.021878155503197577,0.023215821152192607,0.037914691943127965,0.01784718349135527,0.03125,0.03125,0.019769357495881382,0.009271523178807948,0.0,0.043762246897452645,0.07058823529411765,0.013207547169811321,0.035114503816793895,0.03473019517795637,0.026397515527950312,0.026077097505668934,0.012644889357218124,0.049198250728862976,0.016042780748663103,0.024513947590870666,0.07228915662650602,0.03237051792828685,0.02088338569580484,0.027083333333333334,0.02844394868934746,0.04815864022662889,0.027906976744186046,0.011904761904761904
-10,0.022091310751104567,0.015603613468382151,0.02295918367346939,0.02959059586542359,0.027672955974842768,0.01824551160414538,0.01641212673808981,0.01837270341207349,0.022002200220022004,0.024508111839834312,0.03406998158379374,0.03501945525291829,0.015489467162329617,0.05747126436781609,0.044642857142857144,0.037914691943127965,0.008221993833504625,0.04878048780487805,0.038494809688581315,0.03910614525139665,0.014256619144602852,0.02564102564102564,0.03693790149892934,0.017770597738287562,0.02903225806451613,0.014245014245014245,0.046704331450094165,0.005555555555555556,0.030328559393428812,0.0986159169550173,0.037257824143070044,0.022026431718061675,0.03491078355314197,0.02591283863368669,0.0364963503649635,0.03170289855072464,0.0
-9,0.015482054890921885,0.015363511659807956,0.016042780748663103,0.030303030303030304,0.028185554903112156,0.015102328863796755,0.013983050847457627,0.031630170316301706,0.026225769669327253,0.020689655172413793,0.028745644599303136,0.03187250996015936,0.009456264775413711,0.06578947368421052,0.008,0.02694136291600634,0.020607375271149676,0.015625,0.03663837714758849,0.03773584905660377,0.026,0.03161397670549085,0.035636561479869426,0.018433179723502304,0.02364066193853428,0.016536964980544747,0.04168336673346693,0.018970189701897018,0.025423728813559324,0.07934131736526946,0.0390104662226451,0.019387001477104874,0.024793388429752067,0.017241379310344827,0.039627039627039624,0.026246719160104987,0.0
-8,0.009779951100244499,0.006754583467352846,0.028089887640449437,0.012345679012345678,0.019554956169925825,0.007877975192758967,0.007280944012051218,0.024464831804281346,0.01600985221674877,0.01441031475161168,0.020966271649954422,0.015455950540958269,0.010309278350515464,0.02702702702702703,0.0,0.012567324955116697,0.009535160905840286,0.017857142857142856,0.019529411764705882,0.025210084033613446,0.012371134020618556,0.018867924528301886,0.01715686274509804,0.013888888888888888,0.008454106280193236,0.007856341189674524,0.02420503084954912,0.005571030640668524,0.013184584178498986,0.036101083032490974,0.014713896457765668,0.010572687224669603,0.009195402298850575,0.013104013104013105,0.013736263736263736,0.013779527559055118,0.011764705882352941
-7,0.01837270341207349,0.012156998957971519,0.015789473684210527,0.02414654454621149,0.03137254901960784,0.01401141670991178,0.014526894385551629,0.0110803324099723,0.031988873435326845,0.01351163114639922,0.017029328287606435,0.015544898296676038,0.004922377887163953,0.024096385542168676,0.0,0.02188841201716738,0.009433962264150943,0.02,0.03806847215125191,0.008928571428571428,0.018666666666666668,0.03794642857142857,0.03248340901152637,0.025210084033613446,0.012304250559284116,0.02257636122177955,0.039319872476089264,0.011834319526627219,0.016100178890876567,0.07522935779816514,0.029283216783216784,0.019854824935952177,0.02619047619047619,0.010347206254311335,0.043076923076923075,0.02577873254564984,0.011764705882352941
-6,0.026592022393282014,0.018464008563018466,0.01808785529715762,0.02378454004896817,0.030944625407166124,0.012052381504229923,0.015328697850821745,0.026378896882494004,0.023506366307541625,0.024689416574933166,0.03089675960813866,0.02856019913533342,0.011764705882352941,0.025423728813559324,0.008438818565400843,0.029513034923757994,0.01103230890464933,0.013513513513513514,0.04207771290517415,0.013793103448275862,0.02912621359223301,0.03895184135977337,0.03571428571428571,0.030026109660574413,0.029381965552178316,0.01665034280117532,0.04404723906798596,0.02493765586034913,0.022447501810282405,0.07567567567567568,0.02772573997751967,0.02182972812065886,0.033602150537634407,0.01896044458973521,0.06320541760722348,0.025261324041811847,0.024691358024691357
-5,0.019760285066407514,0.014964557626673668,0.026041666666666668,0.027530707327403644,0.02576489533011272,0.014855687606112054,0.015558467081559122,0.03233830845771144,0.020855057351407715,0.021820448877805487,0.02650602409638554,0.027996845425867507,0.012808783165599268,0.036231884057971016,0.025252525252525252,0.026394422310756973,0.01364913689281413,0.058823529411764705,0.039384615384615386,0.038461538461538464,0.0176678445229682,0.04036557501904037,0.03763856664088683,0.019337016574585635,0.027944111776447105,0.02098635886673662,0.04962406015037594,0.01978021978021978,0.026523297491039426,0.07198748043818466,0.03489326765188834,0.01767478397486253,0.023091725465041693,0.02127659574468085,0.04395604395604396,0.026737967914438502,0.008547008547008548
-4,0.016512549537648614,0.015499870834409714,0.014084507042253521,0.03353658536585366,0.02895871842267406,0.017557861133280128,0.013166779203241054,0.04,0.0203862660944206,0.020418084589207585,0.020671834625323,0.0247014115092291,0.011446886446886446,0.024193548387096774,0.019230769230769232,0.0432230522945571,0.01434878587196468,0.04285714285714286,0.042943461372464395,0.01764705882352941,0.02819548872180451,0.040268456375838924,0.031258644536652835,0.024806201550387597,0.02539981185324553,0.021889400921658985,0.04951397326852977,0.012254901960784314,0.024442846872753415,0.08794326241134752,0.02730236348818256,0.01759874853343762,0.02633355840648211,0.019322392800423506,0.04187192118226601,0.021352313167259787,0.026785714285714284
