cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.7742718446601942,0.7554882664647994,0.7511520737327189,0.8240589198036007,0.7560175054704595,0.7749089705395564,0.7581560283687944,0.764505119453925,0.7532894736842105,0.8092307692307692,0.7371202113606341,0.7706237424547284,0.8076923076923077,0.8103448275862069,0.7121212121212122,0.7550505050505051,0.7940074906367042,0.7272727272727273,0.7742782152230971,0.8125,0.8064516129032258,0.7176470588235294,0.7718422366450325,0.825,0.7969018932874354,0.702020202020202,0.8101952277657267,0.7368421052631579,0.7883310719131614,0.6423357664233577,0.7428127428127428,0.7619808306709265,0.7728395061728395,0.773936170212766,0.7707865168539326,
-12,0.747431506849315,0.7436801881246325,0.7687296416938111,0.8047099368179207,0.7266566265060241,0.7459557985873775,0.7693355119825708,0.75764192139738,0.757396449704142,0.8151872399445215,0.7543064369900272,0.7859007832898173,0.7672462142456534,0.6792452830188679,0.7808219178082192,0.7456896551724138,0.808124459809853,0.75,0.7566997256805233,0.8571428571428571,0.8164556962025317,0.6753731343283582,0.7946532351801627,0.7880658436213992,0.7462165308498254,0.7526881720430108,0.7860983102918587,0.6296296296296297,0.7470817120622568,0.6894308943089431,0.7485970819304153,0.7536945812807881,0.75125,0.7615658362989324,0.7649769585253456,
-11,0.7421716144774299,0.7421896223852215,0.7664473684210527,0.8105895196506551,0.7121799844840963,0.7556166895919303,0.7406464749300077,0.7626728110599078,0.7281553398058253,0.7865716429107277,0.7391304347826086,0.7810499359795134,0.7688385269121814,0.6901408450704225,0.7708333333333334,0.7829787234042553,0.7913043478260869,0.6666666666666666,0.769293756397134,0.8518518518518519,0.8098159509202454,0.7246653919694073,0.7619610159480212,0.7962962962962963,0.7491448118586089,0.7582017010935601,0.8056128765992571,0.8235294117647058,0.7734597156398104,0.6521084337349398,0.7262536873156342,0.740219629375429,0.7327249022164276,0.7794117647058824,0.7853881278538812,
-10,0.7492612916842549,0.7518287726903278,0.7507507507507507,0.8091644204851752,0.7288817377312953,0.7428243398392652,0.7506145861786397,0.6868421052631579,0.7581967213114754,0.7541467010689273,0.7363896848137536,0.7892561983471075,0.7827715355805244,0.8305084745762712,0.7657657657657657,0.7475728155339806,0.7987567987567987,0.6285714285714286,0.7460580912863071,0.8292682926829268,0.7933333333333333,0.718816067653277,0.7672059226761722,0.8021978021978022,0.7751091703056768,0.740983606557377,0.8021052631578948,0.6,0.7640671273445212,0.6608996539792388,0.7407185628742515,0.7422994269340975,0.707808564231738,0.7737226277372263,0.7808417997097242,
-9,0.7463933181473045,0.7429956896551724,0.7547169811320755,0.8086548488008342,0.722488038277512,0.7521968365553603,0.7434244455905106,0.7237163814180929,0.7436260623229461,0.750462791558682,0.7390134529147983,0.7784256559766763,0.7878787878787878,0.72,0.832,0.7735849056603774,0.8026521060842434,0.7777777777777778,0.7611464968152867,0.7916666666666666,0.7142857142857143,0.7248459958932238,0.7533333333333333,0.8333333333333334,0.7666666666666667,0.7343251859723698,0.7926096997690532,0.82,0.7396768402154399,0.6586466165413534,0.7329192546583851,0.7352838121934128,0.7259740259740259,0.7733644859813084,0.7771173848439822,
-8,0.75,0.7286079182630907,0.742671009771987,0.8191681735985533,0.7223719676549866,0.7412280701754386,0.7411388727484021,0.754601226993865,0.7058823529411765,0.7718865598027127,0.7170868347338936,0.7609756097560976,0.7706611570247934,0.7291666666666666,0.7614678899082569,0.7188208616780045,0.8006932409012132,0.7777777777777778,0.7549851019940408,0.65,0.75,0.7425968109339408,0.75,0.7920560747663551,0.7670731707317073,0.7384428223844283,0.7888165038002172,0.8333333333333334,0.751207729468599,0.6696750902527075,0.7478882391163093,0.7460815047021944,0.7450142450142451,0.8071625344352618,0.7747899159663866,
-7,0.7622751579970831,0.7434469200524246,0.803125,0.8150943396226416,0.7603485838779956,0.7527173913043478,0.7558218403798327,0.7894736842105263,0.7306451612903225,0.7776268884739433,0.75,0.7577042936288089,0.8483575248281131,0.8296296296296296,0.7934272300469484,0.767965367965368,0.783508541392904,0.5454545454545454,0.7866356523577923,0.9,0.8169934640522876,0.7126213592233009,0.7753571428571429,0.8020618556701031,0.7718811881188119,0.7457142857142857,0.8122765196662693,0.8170731707317073,0.7709611451942741,0.6697247706422018,0.7366156787762906,0.7585879673562346,0.7686506867761917,0.7901234567901234,0.7575150300601202,0.8086756679115197
-6,0.7482544608223429,0.7377175025588536,0.7648809523809523,0.7937671860678277,0.7308550185873606,0.7509578544061303,0.7609871534820825,0.7529976019184652,0.8004418262150221,0.745733126454616,0.7701508060322413,0.7291379785183145,0.7702635504724018,0.7311827956989247,0.759493670886076,0.7391534391534391,0.748045486851457,0.9032258064516129,0.7441945511062351,0.8064516129032258,0.8018867924528302,0.7169517884914464,0.755633596722271,0.8128,0.7264734614132204,0.7099476439790576,0.8035906642728905,0.7402597402597403,0.7557755775577558,0.6747967479674797,0.7316224445411048,0.7393972207182818,0.7345575959933222,0.7307692307692307,0.7530864197530864,0.7705326032852166
-5,0.7506297229219143,0.7312262958280658,0.7820895522388059,0.7927651747394237,0.7469000729394603,0.746203037569944,0.7383345297918162,0.736318407960199,0.7523338824821527,0.7430340557275542,0.7442922374429224,0.7282413172824131,0.7860674157303371,0.7821782178217822,0.8223350253807107,0.7397959183673469,0.7556029882604055,0.7333333333333333,0.7595744680851064,0.8518518518518519,0.7577319587628866,0.7214170692431562,0.7526966587740068,0.8022598870056498,0.7406518010291595,0.7177508269018743,0.8014804845222072,0.7439024390243902,0.7464114832535885,0.64576802507837,0.7086247086247086,0.7294729293653639,0.7410444540353905,0.7566371681415929,0.7792421746293245,0.75208199871877
-4,0.7354954954954955,0.7393617021276596,0.7551724137931034,0.7933634992458521,0.7295703454085931,0.7435946099829189,0.7530552861299709,0.7909407665505227,0.7580645161290323,0.751004016064257,0.7374570446735396,0.7228846430110616,0.7848164906988436,0.8297872340425532,0.7935483870967742,0.7359242650722472,0.7619226436349982,0.6451612903225806,0.7642213642213642,0.8421052631578947,0.7659574468085106,0.6788321167883211,0.7451814058956916,0.7537593984962406,0.7510402219140083,0.7233009708737864,0.7898819561551433,0.7123287671232876,0.7248376623376623,0.6519886363636364,0.7427759355755567,0.7349081364829396,0.7246252676659529,0.803072625698324,0.7602427921092565,0.7599309153713298
-3,0.7287594734742721,0.7460407239819005,0.8042704626334519,0.7887537993920972,0.7191103789126854,0.7311356229631487,0.7396544797107272,0.7290322580645161,0.7441509433962264,0.7518309269721699,0.737037037037037,0.7300970873786408,0.7790636507101526,0.7411764705882353,0.7786259541984732,0.7374793615850302,0.7641739130434783,0.7407407407407407,0.757078592220164,0.6666666666666666,0.8238993710691824,0.7053571428571429,0.7606211544096103,0.8257191201353637,0.7418759231905465,0.7236533957845434,0.794055944055944,0.7466666666666667,0.7647058823529411,0.6925418569254186,0.7338056680161943,0.7293106669157482,0.7365615282096846,0.7651933701657458,0.7611510791366907,0.7529715762273902
-2,0.7522633744855967,0.7344089357741235,0.7577639751552795,0.7873888439773646,0.7144168962350781,0.7422271223814774,0.743003064351379,0.726161369193154,0.7561338289962826,0.7571299230421005,0.7516930022573364,0.7276520622692987,0.7768065268065268,0.7441860465116279,0.768,0.719439956919763,0.7516778523489933,0.7142857142857143,0.7631503305547571,0.8,0.8292682926829268,0.6976241900647948,0.742744860943168,0.8162393162393162,0.7349943374858438,0.7063953488372093,0.7980596478620194,0.676923076923077,0.7398945518453427,0.6412698412698413,0.7142099681866384,0.7303459119496856,0.7444678609062171,0.7579250720461095,0.768025078369906,0.7539585870889159
-1,0.7229965156794426,0.7380307136404698,0.7889273356401384,0.836609873307121,0.7251101321585903,0.7342332374419119,0.7357992073976222,0.7166666666666667,0.7471181556195965,0.7571228397944886,0.7840451248992748,0.7431054654855423,0.7816544738323016,0.8395061728395061,0.75,0.7372143634385201,0.7576601671309192,0.7692307692307693,0.7667937811674977,0.8695652173913043,0.7906976744186046,0.7167755991285403,0.7434824589636305,0.8139059304703476,0.7436,0.7140883977900553,0.7782214156079855,0.726027397260274,0.7417998317914214,0.6789915966386555,0.7299270072992701,0.7303212851405623,0.7378335949764521,0.7557666214382632,0.7192691029900332,0.7584134615384616
0,0.7421052631578947,0.7410714285714286,0.7731629392971247,0.7969924812030075,0.7593984962406015,0.7517160227495587,0.7450240938613032,0.7627906976744186,0.7503448275862069,0.74736595645048,0.7555720653789004,0.7410700111128751,0.7828539199097575,0.6914893617021277,0.7681159420289855,0.7335562987736901,0.7779585197234649,0.6551724137931034,0.7867986798679868,0.88,0.8221153846153846,0.6890034364261168,0.7439544807965861,0.8011869436201781,0.7324211326491828,0.7519260400616333,0.8025454545454546,0.7619047619047619,0.7399103139013453,0.6615146831530139,0.7155625657202944,0.7481690140845071,0.7448377581120944,0.7727272727272727,0.7447154471544716,0.7718164188752424
