cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.013063357282821686,0.0077091857913775715,0.0,0.01021355617455896,0.0011494252873563218,0.012058559457302474,0.00882764560232533,0.004081632653061225,0.0050933786078098476,0.0074647986980825014,0.0027247956403269754,0.011321195144724556,0.04079933388842631,0.0,0.01694915254237288,0.006430868167202572,0.013900769888793843,0.0,0.008577139342822,0.0,0.03473132372214941,0.0,0.0026164311878597592,0.01312910284463895,0.005054535780792764,0.008241758241758242,0.0065508836075563685,0.03461538461538462,0.028045903045903042,0.005277044854881266,0.032854984894259816,0.005400532470596165,0.013886338597135513,0.0031847133757961785,0.007754249925439905,
-12,0.014294790343074968,0.004604934155692616,0.004098360655737705,0.0029205607476635513,0.0,0.008089618053303937,0.007725398816992292,0.0,0.004411764705882353,0.006991162115815856,0.0053902408271340315,0.0015375153751537515,0.017291980645673038,0.0,0.0,0.006382978723404255,0.0068100579317145315,0.0,0.007684882684882685,0.0,0.01059322033898305,0.0,0.00236304012345679,0.007741862567811934,0.0036917205906752946,0.006066262249183388,0.001923816852635629,0.006309148264984227,0.012513789299503586,0.0,0.02657185628742515,0.004470343089746075,0.009530981067125644,0.002061855670103093,0.0014658848614072495,
-11,0.00945977412970078,0.005745554035567715,0.0,0.005039193729003359,0.004601226993865031,0.005927648067537264,0.004633624408932454,0.0,0.005910987482614743,0.009881923681143262,0.0026246719160104987,0.010843373493975903,0.029686141196932567,0.0,0.0,0.008333333333333333,0.009699321047526674,0.0,0.0054640481469749765,0.0,0.015267175572519083,0.0004284490145672665,0.0012405137186223,0.005837912087912088,0.0011547344110854503,0.008937034529451592,0.003713151927437642,0.033567525370804055,0.00940733772342427,0.0,0.026526453678771558,0.004369901781255202,0.009566709566709566,0.0,0.0025220680958385876,
-10,0.01163466242661448,0.006257378984651712,0.0,0.005601059985545652,0.0040290088638195,0.007248689692245666,0.004208661992404324,0.0,0.0010402219140083217,0.005324813631522897,0.005649717514124294,0.006194347657762292,0.029324229691876747,0.0,0.009259259259259259,0.004077615298087738,0.010526315789473684,0.0,0.003625328568475147,0.0,0.002070393374741201,0.000925925925925926,0.0011065006915629322,0.005050505050505051,0.0,0.004608294930875576,0.004035172247651168,0.042492917847025496,0.011846001974333662,0.0029974489795918367,0.031658750456704424,0.0038314176245210726,0.004808136846971798,0.0,0.003897644467039485,
-9,0.012325541813230454,0.009948766829500775,0.004848628192999054,0.007782335907335907,0.0042705042705042705,0.007235364080877494,0.003226607098535617,0.0,0.011356628982528262,0.004939071817474721,0.005274124234926423,0.005689900426742532,0.04505826499784204,0.028169014084507043,0.008620689655172414,0.010869565217391304,0.011962692619626927,0.0,0.007377734228652122,0.0,0.006185567010309278,0.0006235277816267148,0.0026477656931035883,0.0065252854812398045,0.0025,0.01034629879826495,0.003203661327231121,0.018009768009768008,0.01364877161055505,0.0,0.02914758087603779,0.003403979661679867,0.005148247978436657,0.0,0.0025,
-8,0.013763256394260761,0.008189349757453534,0.015209125475285171,0.006944444444444444,0.002134896511796208,0.007852077001013171,0.006388113377182605,0.0,0.004477611940298508,0.0080125073285128,0.004479283314669653,0.014532492459555799,0.040092521202775636,0.0,0.006377551020408163,0.0055248618784530384,0.007349793064078779,0.0,0.00972048867203752,0.0,0.01737711213517665,0.001430615164520744,0.0016980718667835234,0.008130081300813009,0.0,0.0069592112893872024,0.0019071837253655435,0.041666666666666664,0.016853932584269662,0.0,0.032103556690901945,0.006098821583626215,0.004945598417408506,0.0,0.0015267175572519084,
-7,0.01911252305800369,0.009513060303128023,0.0,0.004433211799801127,0.004171011470281543,0.010808018976203228,0.012123334624899406,0.0,0.0037774725274725275,0.015469345632990038,0.002838221381267739,0.017100561510974988,0.014848271758533024,0.006024096385542169,0.004694835680751174,0.006330519768991559,0.008421658986175116,0.0,0.02142857142857143,0.0,0.07473890339425587,0.0,0.0032581453634085208,0.02040816326530612,0.003711952487008166,0.007757107757107757,0.0035838581372224067,0.023668639053254437,0.019774806474313865,0.0,0.032946584938704025,0.003946827110973979,0.0071444995565483034,0.0,0.0030627871362940277,0.03504952469587183
-6,0.013780169602087411,0.006885327991987982,0.002976190476190476,0.005569957261963148,0.0007112375533428165,0.02071239518693979,0.006440097580627112,0.0,0.05119047619047619,0.006594752186588922,0.014246487411739533,0.006716000847931241,0.02620094958804636,0.00847457627118644,0.004219409282700422,0.0026014568158168575,0.0034746351633078527,0.0,0.007893969226281631,0.0,0.011596426315314502,0.002347417840375587,0.002182824349251896,0.006527415143603133,0.0009516345723242274,0.00360720248032435,0.004404475634293566,0.007481296758104738,0.01085462252262573,0.0013996138996138995,0.026960257787325453,0.003680317298099618,0.003502545182832859,0.0,0.002280501710376283,0.005735973974088237
-5,0.01100070972320795,0.005005444518599178,0.0,0.0074229691876750705,0.0,0.009959191605130199,0.004465758589810058,0.0,0.010345496894409938,0.0059331424877643365,0.005029559692932145,0.0063115971378425815,0.016399416909620993,0.0,0.018037518037518036,0.0027578599007170436,0.003897466646679658,0.0,0.004479584842847351,0.0,0.014638258736971183,0.0008410428931875525,0.00233402489626556,0.004143646408839779,0.00019821836668065853,0.002936241610738255,0.002693246167303531,0.017582417582417582,0.006838316722037652,0.004694835680751174,0.020037718057520037,0.0040663591369948585,0.004402470207941333,0.0,0.0,0.010032611649605942
-4,0.015280864821175995,0.0048375950241879755,0.010273972602739725,0.012576180146679062,0.001568627450980392,0.007677149734176211,0.004839757200309745,0.0,0.008448275862068965,0.006860507028715607,0.0045336787564766836,0.006160564393636581,0.027609029287632692,0.0,0.0,0.00260434752413362,0.004739336492890996,0.0,0.006413252323830295,0.0,0.00980392156862745,0.0009354536950420954,0.0019476905954368391,0.010852713178294573,0.0006648936170212766,0.0009103322712790169,0.0030326816041101757,0.014705882352941176,0.01867704280155642,0.0014184397163120568,0.021642359280735664,0.007922392886014552,0.009994704792163092,0.0013908205841446453,0.005995203836930456,0.012357988880831521
