cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.03843843843843844,0.028400597907324365,0.06880733944954129,0.022435897435897436,0.01680672268907563,0.02947845804988662,0.0129783693843594,0.034129692832764506,0.027642276422764227,0.029423303256178895,0.024968789013732832,0.0184645286686103,0.026575550493545937,0.0,0.030303030303030304,0.03217821782178218,0.03217821782178218,0.0,0.03361823361823362,0.0625,0.03753351206434316,0.004819277108433735,0.028169014084507043,0.020242914979757085,0.03418803418803419,0.02996941896024465,0.011035207566999475,0.010676156583629894,0.0316622691292876,0.15254237288135594,0.017241379310344827,0.0350177304964539,0.027995520716685332,0.0,0.048327137546468404,
-12,0.03026481715006305,0.03017241379310345,0.06796116504854369,0.027979854504756575,0.018301610541727673,0.032114183764495985,0.018398806563898557,0.013071895424836602,0.03216374269005848,0.028360413589364846,0.02177700348432056,0.02997601918465228,0.025474254742547425,0.012345679012345678,0.0273972602739726,0.05084745762711865,0.03159692570452605,0.0,0.02788680024788267,0.0,0.029411764705882353,0.004251700680272109,0.030128574170024947,0.03863987635239567,0.04267589388696655,0.026977594878829447,0.009926470588235294,0.025,0.04285714285714286,0.13592233009708737,0.01815505397448479,0.03602257636122178,0.03248259860788863,0.0,0.03540903540903541,
-11,0.041583366653338664,0.028946663093004556,0.049342105263157895,0.030933333333333334,0.017358490566037735,0.038504589209760465,0.01586549846080985,0.009216589861751152,0.01925722145804677,0.030292830696735107,0.024935511607910577,0.02843601895734597,0.022629310344827586,0.010416666666666666,0.010416666666666666,0.05991735537190083,0.02666666666666667,0.0,0.029517351416035103,0.0,0.020754716981132074,0.005862646566164154,0.028522039757994815,0.024844720496894408,0.032879818594104306,0.024145785876993165,0.012815533980582524,0.034759358288770054,0.032317636195752536,0.12951807228915663,0.018924302788844622,0.03596889176928062,0.027328499721137756,0.0020920502092050207,0.044444444444444446,
-10,0.041666666666666664,0.025552302368911366,0.0688622754491018,0.029921259842519685,0.014139827179890024,0.033168982519049754,0.015718562874251496,0.02099737532808399,0.027247956403269755,0.03589920607525026,0.024861878453038673,0.02594033722438392,0.02684964200477327,0.022988505747126436,0.008928571428571428,0.04222648752399232,0.036923076923076927,0.0,0.02406957928802589,0.0,0.03054989816700611,0.00539568345323741,0.030115622479161063,0.027463651050080775,0.03763440860215054,0.02775290957923008,0.011222444889779559,0.013888888888888888,0.02676864244741874,0.14186851211072665,0.01639344262295082,0.03758389261744966,0.037102473498233215,0.0072992700729927005,0.02304147465437788,
-9,0.03634319970026227,0.024332187252049723,0.05660377358490566,0.033367037411526794,0.009252120277563608,0.030342156229825695,0.01680871212121212,0.029197080291970802,0.04067321178120617,0.03413793103448276,0.024390243902439025,0.02257636122177955,0.016628440366972478,0.02631578947368421,0.048,0.04897959183673469,0.034722222222222224,0.0,0.02504334424966288,0.0,0.042,0.0055658627087198514,0.03028649386084584,0.030721966205837174,0.04373522458628842,0.028978622327790974,0.012121212121212121,0.02168021680216802,0.032229965156794424,0.15119760479041916,0.016175071360608945,0.03825136612021858,0.03183023872679045,0.002331002331002331,0.033214709371293,
-8,0.03346543372963452,0.023794614902943018,0.07419354838709677,0.0337798485730926,0.007698887938408896,0.026958931720836483,0.01164995936060688,0.024464831804281346,0.03387533875338753,0.030716723549488054,0.025547445255474453,0.00927357032457496,0.016688918558077435,0.0,0.03669724770642202,0.022321428571428572,0.028374892519346516,0.0,0.021239325596671774,0.047619047619047616,0.0288659793814433,0.005720823798627002,0.025522755227552277,0.029513888888888888,0.035024154589371984,0.026215182960131075,0.011764705882352941,0.013927576601671309,0.04393063583815029,0.1371841155234657,0.020708446866485014,0.027481468088953173,0.02702702702702703,0.008241758241758242,0.04774193548387097,
-7,0.03299856527977044,0.0323821737736454,0.084375,0.03234220135628586,0.017726798748696558,0.02819898909284384,0.016065094930106404,0.013850415512465374,0.035256410256410256,0.02756892230576441,0.020813623462630087,0.029119619662110536,0.013631200302915562,0.006024096385542169,0.023474178403755867,0.041560644614079725,0.035438144329896906,0.0,0.019249278152069296,0.0,0.00587467362924282,0.013227513227513227,0.030526315789473683,0.020168067226890758,0.036748329621380846,0.033906633906633905,0.008027522935779817,0.023668639053254437,0.02857142857142857,0.13944954128440368,0.023164335664335664,0.027624309392265192,0.02621292251092205,0.003076923076923077,0.027565084226646247,0.0071151358344113845
-6,0.0410958904109589,0.023928215353938187,0.06547619047619048,0.04072598494909252,0.016358463726884778,0.028798256537982566,0.014726617577941407,0.02158273381294964,0.023404255319148935,0.024,0.028457314028956564,0.03230148048452221,0.024437927663734114,0.01694915254237288,0.02109704641350211,0.03546099290780142,0.029166666666666667,0.0,0.017320427916454408,0.03225806451612903,0.007580543272267846,0.006259780907668232,0.029555236728837878,0.03263707571801567,0.04200626959247649,0.031302170283806344,0.009205591544493692,0.0199501246882793,0.028869286287089013,0.12567567567567567,0.01985762457849382,0.030272281413833924,0.03237410071942446,0.006772009029345372,0.036488027366020526,0.01111934766493699
-5,0.036905606813342796,0.026829268292682926,0.06547619047619048,0.04695652173913043,0.014788732394366197,0.028732284993205202,0.016001319696469812,0.009950248756218905,0.027717391304347826,0.028765352294764058,0.03150092649783817,0.038109345542687856,0.021739130434782608,0.014492753623188406,0.030303030303030304,0.03861003861003861,0.031966643502432245,0.03225806451612903,0.020136518771331057,0.0,0.008583690987124463,0.011774600504625737,0.03137966804979253,0.03038674033149171,0.03787136793992817,0.02978187919463087,0.008888888888888889,0.013186813186813187,0.030232558139534883,0.15805946791862285,0.0180623973727422,0.03207388748950462,0.03546099290780142,0.006593406593406593,0.036616161616161616,0.007714561234329798
-4,0.033946251768033946,0.024115755627009645,0.06164383561643835,0.04266088214027477,0.0196078431372549,0.0301795963710424,0.015037593984962405,0.017391304347826087,0.030344827586206897,0.028763666947014297,0.021373056994818652,0.03165086447295036,0.022381378692927483,0.016129032258064516,0.019230769230769232,0.04715605250364609,0.027706890266131972,0.03225806451612903,0.021083242457288258,0.05,0.014005602240896359,0.00841908325537886,0.039788536449638284,0.031007751937984496,0.03158244680851064,0.02548930359581247,0.01446480231436837,0.00980392156862745,0.029571984435797664,0.14326241134751774,0.01752241238793806,0.032012934518997574,0.029123643102991793,0.013908205841446454,0.047961630695443645,0.01015228426395939
