cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.0024024024024024023,0.0007473841554559044,0.0045871559633027525,0.011217948717948718,0.012605042016806723,0.004859086491739553,0.002995008319467554,0.0,0.022764227642276424,0.008630835621812475,0.003745318352059925,0.006802721088435374,0.0015186028853454822,0.0,0.0,0.009900990099009901,0.01608910891089109,0.0,0.009401709401709401,0.0625,0.002680965147453083,0.014457831325301205,0.011170471102476931,0.010121457489878543,0.008547008547008548,0.012844036697247707,0.010509721492380452,0.0035587188612099642,0.005277044854881266,0.009685230024213076,0.00896551724137931,0.012632978723404254,0.012877939529675251,0.0026595744680851063,0.020446096654275093,
-12,0.0016813787305590584,0.0008620689655172414,0.019417475728155338,0.010072747621712367,0.012445095168374817,0.004906333630686887,0.00522128294380905,0.002178649237472767,0.02631578947368421,0.010635155096011817,0.003484320557491289,0.0035971223021582736,0.002168021680216802,0.012345679012345678,0.0273972602739726,0.014830508474576272,0.009393680614859094,0.027777777777777776,0.013013840115678578,0.0,0.0,0.015306122448979591,0.014776434465553637,0.021638330757341576,0.008073817762399077,0.014631915866483767,0.009926470588235294,0.003125,0.006666666666666667,0.02750809061488673,0.013738959764474975,0.013446215139442231,0.018561484918793503,0.005319148936170213,0.02442002442002442,
-11,0.003198720511795282,0.0008040739748056821,0.006578947368421052,0.010133333333333333,0.015849056603773583,0.004029550033579583,0.005683163627752783,0.004608294930875576,0.024759284731774415,0.01144395826321104,0.004299226139294927,0.0035545023696682463,0.003771551724137931,0.0,0.03125,0.010330578512396695,0.012380952380952381,0.0,0.010769844435580374,0.037037037037037035,0.0018867924528301887,0.01675041876046901,0.012100259291270527,0.018633540372670808,0.009070294784580499,0.009111617312072893,0.01087378640776699,0.016042780748663103,0.00554016620498615,0.043674698795180725,0.00796812749003984,0.012151652624756967,0.02509760178471835,0.0041841004184100415,0.016049382716049384,
-10,0.00125,0.001064679265371307,0.023952095808383235,0.014698162729658792,0.01728201099764336,0.0044822949350067235,0.00499001996007984,0.0026246719160104987,0.02316076294277929,0.015533310321021747,0.0009208103130755065,0.0025940337224383916,0.0017899761336515514,0.0,0.008928571428571428,0.009596928982725527,0.003076923076923077,0.0,0.012540453074433657,0.0,0.0,0.008992805755395683,0.016402258671685935,0.004846526655896607,0.021505376344086023,0.012085944494180842,0.013627254509018036,0.013888888888888888,0.0124282982791587,0.03460207612456748,0.01092896174863388,0.012919463087248322,0.018256772673733806,0.004866180048661801,0.01728110599078341,
-9,0.0026227051330086175,0.0010579211848717272,0.012578616352201259,0.010111223458038422,0.008481110254433308,0.004734237142242307,0.004261363636363636,0.0024330900243309003,0.025245441795231416,0.015862068965517243,0.0017421602787456446,0.00796812749003984,0.0028669724770642203,0.0,0.008,0.0163265306122449,0.008487654320987654,0.0,0.008668849932575612,0.08,0.002,0.00927643784786642,0.01800818553888131,0.021505376344086023,0.010638297872340425,0.014251781472684086,0.01818181818181818,0.0027100271002710027,0.0017421602787456446,0.02844311377245509,0.014272121788772598,0.011732561877209901,0.02586206896551724,0.002331002331002331,0.010676156583629894,
-8,0.0035226772346983706,0.0015654351909830933,0.0032258064516129032,0.0064065230052417,0.013686911890504704,0.004283194759385236,0.004876727174207532,0.0061162079510703364,0.018970189701897018,0.012893439514599925,0.0018248175182481751,0.0015455950540958269,0.0033377837116154874,0.0,0.01834862385321101,0.011160714285714286,0.009458297506448839,0.0,0.006568863586599518,0.047619047619047616,0.004123711340206186,0.013729977116704805,0.01783517835178352,0.015625,0.008454106280193236,0.013107591480065538,0.01687979539641944,0.013927576601671309,0.010404624277456647,0.019855595667870037,0.013623978201634877,0.010486349665521606,0.011466011466011465,0.008241758241758242,0.01935483870967742,
-7,0.0009564801530368245,0.0019236934915036871,0.0125,0.004694835680751174,0.01251303441084463,0.002926310188880021,0.006259127894846651,0.008310249307479225,0.019230769230769232,0.009140498304584991,0.000946073793755913,0.004669326767976908,0.001135933358576297,0.0,0.009389671361502348,0.008057675996607293,0.005798969072164949,0.0,0.008084696823869105,0.0,0.0,0.010582010582010581,0.014736842105263158,0.01680672268907563,0.006310319227913883,0.007371007371007371,0.00974770642201835,0.0,0.0049261083743842365,0.027522935779816515,0.01048951048951049,0.012653715915166636,0.009887330420786388,0.009230769230769232,0.013782542113323124,0.0036653730056058647
-6,0.0030441400304414,0.0002492522432701894,0.017857142857142856,0.011066843736166445,0.01209103840682788,0.00311332503113325,0.0062666457778474075,0.011990407673860911,0.018439716312056736,0.01420408163265306,0.003494757863205192,0.007671601615074024,0.0019550342130987292,0.0,0.004219409282700422,0.008105369807497468,0.012152777777777778,0.03125,0.008999830191883173,0.0967741935483871,0.0006317119393556538,0.017996870109546165,0.013773314203730272,0.02610966057441253,0.010658307210031349,0.009181969949916527,0.011592226389362428,0.012468827930174564,0.0048115477145148355,0.024324324324324326,0.010865492693892843,0.01454422458988669,0.020274689339437543,0.01580135440180587,0.010262257696693273,0.008524833209785025
-5,0.0017743080198722497,0.0004878048780487805,0.005952380952380952,0.01217391304347826,0.01267605633802817,0.0052417006406523005,0.006763444407786209,0.004975124378109453,0.015217391304347827,0.014221073044602456,0.004323656578134651,0.008887691893347698,0.0044365572315882874,0.0,0.0,0.011031439602868174,0.01389854065323141,0.0,0.007508532423208191,0.037037037037037035,0.0,0.011774600504625737,0.01815352697095436,0.026243093922651933,0.007835455435847209,0.012583892617449664,0.014285714285714285,0.01098901098901099,0.006201550387596899,0.02190923317683881,0.012315270935960592,0.012090680100755667,0.015873015873015872,0.006593406593406593,0.021464646464646464,0.0057859209257473485
-4,0.0031824611032531826,0.0006890215893431327,0.0136986301369863,0.012292118582791034,0.013333333333333334,0.00425847065358267,0.004895960832313341,0.01565217391304348,0.018620689655172412,0.012111017661900756,0.0038860103626943004,0.0096207473508087,0.003133393017009848,0.0,0.02564102564102564,0.0106951871657754,0.009478672985781991,0.0,0.007997091966557615,0.05,0.0014005602240896359,0.00841908325537886,0.018920422927100722,0.007751937984496124,0.008311170212765957,0.011834319526627219,0.013179042108646738,0.0024509803921568627,0.0038910505836575876,0.018439716312056736,0.015484922575387123,0.012126111560226353,0.015620863118877415,0.005563282336578581,0.022781774580335732,0.008037225042301184
-3,0.004722550177095631,0.00027359781121751026,0.014134275618374558,0.005046863734679163,0.013654618473895583,0.005305367057371993,0.005285219609987243,0.015021459227467811,0.017817371937639197,0.013494567122327375,0.004891684136967156,0.008679299869810501,0.002977667493796526,0.0,0.015267175572519083,0.012345679012345678,0.00945945945945946,0.037037037037037035,0.006975496333392953,0.0,0.0,0.011684518013631937,0.012296253931941665,0.009641873278236915,0.007087172218284904,0.012937230474365118,0.01078167115902965,0.005012531328320802,0.005723630417007359,0.025835866261398176,0.01765719207579673,0.011959678797198017,0.01991798476859988,0.013736263736263736,0.022170361726954493,0.011632270168855536
-2,0.0032441200324412004,0.0021046301864101023,0.015527950310559006,0.010752688172043012,0.01415929203539823,0.004509340777324458,0.00610658771280533,0.022004889975550123,0.014032496307237814,0.016801963375495565,0.004267425320056899,0.008726819386005922,0.0027100271002710027,0.0,0.03937007874015748,0.012060828526481384,0.012388695315524584,0.0,0.007786645902277594,0.06666666666666667,0.0,0.008602150537634409,0.01481042654028436,0.010452961672473868,0.007653061224489796,0.015486725663716814,0.010936431989063569,0.011834319526627219,0.007531380753138075,0.03486529318541997,0.012999071494893221,0.008830419895476662,0.02077922077922078,0.012857142857142857,0.020330368487928845,0.009527934170636639
-1,0.00255863539445629,0.0002900232018561485,0.010273972602739725,0.007966457023060796,0.00950734658599827,0.0038701354547409157,0.004426559356136821,0.004761904761904762,0.01863799283154122,0.013910355486862442,0.004552352048558422,0.008431976649910815,0.004751847940865892,0.01834862385321101,0.028985507246376812,0.010626992561105207,0.009674922600619196,0.0,0.0067141403865717195,0.0,0.0,0.007383966244725738,0.011260556771973726,0.014285714285714285,0.008101851851851851,0.011615628299894404,0.0137221269296741,0.008310249307479225,0.003270645952575634,0.026755852842809364,0.015514809590973202,0.012088525199925608,0.024275118004045852,0.004043126684636119,0.01675977653631285,0.010712814173877214
0,0.0042293233082706765,0.0009177118384827164,0.025477707006369428,0.012575177692728267,0.008070432868672046,0.004022988505747126,0.006255924170616114,0.018561484918793503,0.017844886753603295,0.014475271411338963,0.002803083391730904,0.008724934945660493,0.0010554089709762533,0.007874015748031496,0.014492753623188406,0.00980392156862745,0.009573195053849222,0.0,0.006996342820798219,0.04,0.0007230657989877079,0.00528169014084507,0.01804553026096613,0.008571428571428572,0.016245487364620937,0.011645569620253165,0.014041095890410958,0.005449591280653951,0.002564102564102564,0.02773497688751926,0.014858171994597028,0.01040197461212976,0.0240625,0.015580736543909348,0.01375,0.009146341463414634
1,0.004308487720809996,0.0002506265664160401,0.01749271137026239,0.010264721772015126,0.010471204188481676,0.004036908881199538,0.002964254577157803,0.015473887814313346,0.024922118380062305,0.016472868217054265,0.004830917874396135,0.010087052646124084,0.0021929824561403508,0.0,0.0196078431372549,0.007960199004975124,0.010229276895943563,0.0,0.007664009809932557,0.05405405405405406,0.0,0.008539709649871904,0.013179571663920923,0.012903225806451613,0.008591707134852447,0.014862981885740827,0.010500308832612723,0.013812154696132596,0.004669260700389105,0.025196850393700787,0.008663366336633664,0.013909587680079483,0.016737674984783932,0.016331658291457288,0.010764262648008612,0.0075878594249201275
2,0.0016469942355201758,0.0004946821667078902,0.0221606648199446,0.007004310344827586,0.015861571737563085,0.004636498516320474,0.007463981947578546,0.00980392156862745,0.016235718580877932,0.016945773524720893,0.003708281829419036,0.010224673752186197,0.0009017132551848512,0.0,0.006600660066006601,0.00990566037735849,0.010898282694848084,0.0,0.008466748768472906,0.02631578947368421,0.0,0.011725293132328308,0.013344453711426188,0.017591339648173207,0.011597456041900486,0.006765899864682003,0.014321819713563605,0.012195121951219513,0.003249390739236393,0.02040816326530612,0.013015184381778741,0.012771996215704825,0.012869399428026692,0.014005602240896359,0.013237063778580024,0.009314456035767511
3,0.0029585798816568047,0.0004815795810257645,0.02531645569620253,0.011293634496919919,0.006274509803921568,0.00300187617260788,0.0053898670499461015,0.008676789587852495,0.019538188277087035,0.01322373123659757,0.0043397396156230625,0.006884923422790502,0.0031992687385740404,0.0,0.0,0.006547359231776516,0.008016032064128256,0.058823529411764705,0.007731958762886598,0.0,0.00072992700729927,0.012437810945273632,0.0159072526287409,0.009433962264150943,0.010580204778156996,0.012808783165599268,0.009130982367758186,0.007371007371007371,0.0056179775280898875,0.021551724137931036,0.011939218523878437,0.013681970203709334,0.015043996593812092,0.01927710843373494,0.018226002430133656,0.00579080709373869
4,0.0033644859813084112,0.0012983640612827837,0.04081632653061224,0.01112797167425392,0.008716323296354992,0.006371681415929204,0.006473058082575227,0.01568627450980392,0.01809954751131222,0.013322091062394605,0.0018529956763434219,0.00869919804268044,0.002771362586605081,0.0,0.00816326530612245,0.009721608484312859,0.014294996751137101,0.027777777777777776,0.008589723567077932,0.025,0.0,0.013071895424836602,0.017973856209150325,0.015915119363395226,0.0093964582580412,0.010721247563352826,0.005926901547579849,0.013123359580052493,0.004830917874396135,0.014326647564469915,0.013328530259365994,0.012505862122870096,0.014127423822714681,0.013530135301353014,0.025423728813559324,0.010556232237109216
