cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.05525525525525526,0.025037369207772796,0.15137614678899083,0.12900641025641027,0.10714285714285714,0.07742144476838354,0.03993344425956739,0.10921501706484642,0.07804878048780488,0.07414672420557081,0.06367041198501873,0.028182701652089408,0.09339407744874716,0.03225806451612903,0.09090909090909091,0.09405940594059406,0.07054455445544554,0.0,0.08888888888888889,0.0,0.11796246648793565,0.04216867469879518,0.16075764934434192,0.10931174089068826,0.0905982905982906,0.09602446483180428,0.1371518654755649,0.02491103202846975,0.07387862796833773,0.12106537530266344,0.07862068965517241,0.07291666666666667,0.05655095184770437,0.12234042553191489,0.055762081784386616,
-12,0.059688944934846576,0.02586206896551724,0.0970873786407767,0.1331841074426413,0.07979502196193265,0.0715878679750223,0.045251118846345105,0.10239651416122005,0.10380116959064327,0.06617429837518464,0.06445993031358885,0.03477218225419664,0.0915989159891599,0.012345679012345678,0.0958904109589041,0.11652542372881355,0.07685738684884715,0.0,0.09440198306135096,0.047619047619047616,0.12394957983193278,0.036564625850340135,0.13989637305699482,0.15919629057187018,0.08419838523644751,0.09876543209876543,0.12720588235294117,0.040625,0.05714285714285714,0.09385113268608414,0.07409224730127575,0.06258300132802125,0.0568445475638051,0.09574468085106383,0.03540903540903541,
-11,0.053978408636545384,0.02707049048512463,0.12171052631578948,0.13173333333333334,0.08981132075471698,0.07163644504141482,0.0324413923750888,0.15668202764976957,0.06464924346629987,0.07775159878828677,0.06018916595012898,0.02843601895734597,0.07866379310344827,0.041666666666666664,0.16666666666666666,0.09090909090909091,0.0761904761904762,0.0,0.09513362584762665,0.0,0.10754716981132076,0.05025125628140704,0.15528666090463844,0.12577639751552794,0.07369614512471655,0.10159453302961276,0.10213592233009709,0.03208556149732621,0.06371191135734072,0.11295180722891567,0.05826693227091633,0.06869734283862605,0.053541550474065815,0.08158995815899582,0.04197530864197531,
-10,0.059583333333333335,0.023955283470854405,0.12574850299401197,0.13543307086614173,0.06991358994501179,0.07306140744060959,0.03617764471057884,0.09711286089238845,0.06267029972752043,0.08180876769071453,0.06537753222836096,0.0324254215304799,0.0883054892601432,0.05747126436781609,0.11607142857142858,0.08445297504798464,0.07384615384615385,0.0,0.08737864077669903,0.024390243902439025,0.10386965376782077,0.03597122302158273,0.14062920139822532,0.1260096930533118,0.07634408602150537,0.10026857654431513,0.12344689378757515,0.04722222222222222,0.0745697896749522,0.11072664359861592,0.05812220566318927,0.0610738255033557,0.05535924617196702,0.1411192214111922,0.038018433179723504,
-9,0.04983139752716373,0.02882835228775456,0.09748427672955975,0.1365015166835187,0.07632999228989977,0.07983645362599527,0.04071969696969697,0.0827250608272506,0.08555399719495091,0.09724137931034482,0.054878048780487805,0.0451527224435591,0.08428899082568807,0.05263157894736842,0.128,0.09795918367346938,0.06327160493827161,0.0,0.08225775380466191,0.08,0.14,0.045454545454545456,0.1377899045020464,0.11827956989247312,0.08747044917257683,0.0992874109263658,0.12251082251082251,0.032520325203252036,0.0627177700348432,0.10179640718562874,0.06327307326355852,0.06525233044037287,0.04111405835543767,0.13053613053613053,0.03914590747330961,
-8,0.04667547335975341,0.031308703819661866,0.1064516129032258,0.14210832847990681,0.08896492728828058,0.08264046359284455,0.04009753454348415,0.12538226299694188,0.1016260162601626,0.09632157755024649,0.06204379562043796,0.03245749613601236,0.10080106809078772,0.0,0.06422018348623854,0.09375,0.07136715391229578,0.05555555555555555,0.09415371140792643,0.047619047619047616,0.1154639175257732,0.059496567505720827,0.12607626076260764,0.1388888888888889,0.09057971014492754,0.1103222282905516,0.12378516624040921,0.033426183844011144,0.08323699421965318,0.11191335740072202,0.05994550408719346,0.0573133248960405,0.06715806715806716,0.12912087912087913,0.03483870967741935,
-7,0.05978000956480153,0.028534786790638023,0.109375,0.14084507042253522,0.08133472367049009,0.07608406491088056,0.03672021698310036,0.14681440443213298,0.10737179487179487,0.056022408963585436,0.05487228003784295,0.03175142202224297,0.0814085573646346,0.03614457831325301,0.07511737089201878,0.08821034775233248,0.07248711340206186,0.0,0.09085659287776708,0.047619047619047616,0.030678851174934726,0.07671957671957672,0.14140350877192984,0.11596638655462185,0.09613956941351151,0.10712530712530713,0.11525229357798165,0.04142011834319527,0.04926108374384237,0.09357798165137615,0.07604895104895106,0.05881304580288719,0.04690733501954472,0.1476923076923077,0.042879019908116385,0.033850797757654164
-6,0.05403348554033485,0.024925224327018942,0.13392857142857142,0.11996458610004426,0.08463726884779517,0.07285180572851806,0.037756540811530626,0.0815347721822542,0.06099290780141844,0.0630204081632653,0.05292061907139291,0.040511440107671604,0.09530791788856305,0.0423728813559322,0.08016877637130802,0.09574468085106383,0.06909722222222223,0.03125,0.09492273730684327,0.03225806451612903,0.04864181933038535,0.06651017214397496,0.1406025824964132,0.14490861618798956,0.1,0.08764607679465776,0.14149335151721787,0.04488778054862843,0.05854049719326383,0.11891891891891893,0.06893967778194081,0.061559276171148314,0.06376716808371484,0.17155756207674944,0.03534777651083238,0.05707931801334322
-5,0.052164655784244146,0.02829268292682927,0.11904761904761904,0.10144927536231885,0.08309859154929577,0.07862550960978451,0.03563180468492247,0.1044776119402985,0.07717391304347826,0.06334841628959276,0.053119209388511425,0.04322650148128198,0.07897071872227152,0.06521739130434782,0.08585858585858586,0.1141753998896856,0.06428075052119528,0.0,0.09232081911262799,0.0,0.05007153075822604,0.061396131202691336,0.1408195020746888,0.12016574585635359,0.10349330721514854,0.09228187919463088,0.14,0.03296703296703297,0.05736434108527132,0.0782472613458529,0.06855500821018062,0.05978169605373636,0.054373522458628844,0.11208791208791209,0.04292929292929293,0.05834136933461909
-4,0.04702970297029703,0.02365640790078089,0.10616438356164383,0.1019522776572668,0.09254901960784313,0.07239400111090538,0.0340968700821822,0.09565217391304348,0.08068965517241379,0.063919259882254,0.04727979274611399,0.040016731734523144,0.07788719785138765,0.04032258064516129,0.0641025641025641,0.10938259601361205,0.06817353262850893,0.03225806451612903,0.0970556161395856,0.025,0.04131652661064426,0.07202993451824134,0.1310517529215359,0.13178294573643412,0.0920877659574468,0.08511606736458807,0.15911282545805208,0.056372549019607844,0.06614785992217899,0.10921985815602837,0.061532192339038304,0.058852061438965236,0.05930632777336511,0.13073713490959665,0.047961630695443645,0.05879864636209814
-3,0.04919323101141283,0.025991792065663474,0.12014134275618374,0.10814708002883922,0.0746987951807229,0.04885872917951881,0.034991798797156914,0.08369098712446352,0.07201187824795843,0.06484402383456012,0.04122990915443746,0.04064805439027919,0.08089330024813896,0.040983606557377046,0.04580152671755725,0.10413311862587225,0.0652027027027027,0.07407407407407407,0.09121802897513862,0.0,0.03961136023916293,0.07108081791626096,0.1392622247640835,0.12947658402203857,0.10382707299787385,0.08481073310972688,0.1465633423180593,0.02756892230576441,0.06377759607522486,0.12613981762917933,0.07278208440999138,0.058944131214761664,0.05741066198008202,0.11538461538461539,0.039673278879813305,0.05365853658536585
-2,0.041768045417680456,0.023752254960914012,0.12111801242236025,0.12211981566820276,0.06991150442477877,0.07279364397680911,0.03164322723908216,0.097799511002445,0.08050221565731167,0.07457051161034547,0.04054054054054054,0.04020570359981299,0.08617886178861789,0.06086956521739131,0.015748031496062992,0.1038280020975354,0.057684862562911346,0.03571428571428571,0.08682110181039517,0.0,0.04047619047619048,0.07096774193548387,0.13299763033175355,0.09581881533101046,0.09985422740524781,0.08241150442477876,0.1507177033492823,0.03254437869822485,0.048535564853556486,0.11251980982567353,0.06731662024141133,0.05983060010812759,0.06266233766233766,0.13428571428571429,0.04066073697585769,0.04893893460372455
-1,0.0464818763326226,0.022331786542923435,0.11986301369863013,0.12033542976939203,0.07260155574762317,0.07267254353902386,0.0317907444668008,0.10238095238095238,0.0910394265232975,0.0722565687789799,0.03414264036418816,0.03583590076212097,0.08342133051742344,0.045871559633027525,0.07246376811594203,0.10042507970244421,0.06540247678018576,0.0,0.09379450661241098,0.0,0.040229885057471264,0.07172995780590717,0.13262433531435722,0.1357142857142857,0.12037037037037036,0.09186906019007392,0.1632933104631218,0.038781163434903045,0.06132461161079313,0.11705685618729098,0.05735778091208275,0.06007067137809187,0.05799055967633176,0.1334231805929919,0.04748603351955307,0.05109188298310672
0,0.048402255639097745,0.027837259100642397,0.12101910828025478,0.1273920174958994,0.07336757153338225,0.07049808429118774,0.032417061611374406,0.09280742459396751,0.07343857240905971,0.06795335745878568,0.032936229852838124,0.03566508495331394,0.08337730870712401,0.015748031496062992,0.06521739130434782,0.09912854030501089,0.06422018348623854,0.0,0.09858483065670218,0.0,0.036153289949385395,0.08538732394366197,0.12853970016657412,0.13714285714285715,0.10613718411552346,0.07443037974683545,0.13904109589041097,0.02452316076294278,0.05555555555555555,0.1140215716486903,0.05853219270598829,0.057651622002820875,0.0590625,0.1359773371104816,0.05125,0.05357142857142857
