cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.025825825825825825,0.02242152466367713,0.03211009174311927,0.019230769230769232,0.046218487394957986,0.015549076773566569,0.018302828618968387,0.030716723549488054,0.008130081300813009,0.007061592781482934,0.04119850187265917,0.015549076773566569,0.012148823082763858,0.010752688172043012,0.030303030303030304,0.01485148514851485,0.007425742574257425,0.0,0.03190883190883191,0.0,0.0160857908847185,0.018072289156626505,0.020398251578436135,0.010121457489878543,0.011965811965811967,0.00856269113149847,0.0394114555964267,0.010676156583629894,0.025065963060686015,0.0387409200968523,0.025517241379310347,0.010638297872340425,0.020716685330347144,0.0425531914893617,0.020446096654275093,
-12,0.0332072299285414,0.02385057471264368,0.016181229773462782,0.02182428651371013,0.060029282576866766,0.01694915254237288,0.016658378915962207,0.026143790849673203,0.01608187134502924,0.014771048744460856,0.047038327526132406,0.03117505995203837,0.015718157181571817,0.04938271604938271,0.0136986301369863,0.025423728813559324,0.015371477369769428,0.05555555555555555,0.041933484817186534,0.0,0.014705882352941176,0.026360544217687076,0.027441949721742468,0.00463678516228748,0.02191464821222607,0.007315957933241884,0.03823529411764706,0.021875,0.02857142857142857,0.05339805825242718,0.023061825318940136,0.015106241699867198,0.026102088167053363,0.03723404255319149,0.031746031746031744,
-11,0.031187524990004,0.02653444116858751,0.049342105263157895,0.024533333333333334,0.03471698113207547,0.016118200134318333,0.01586549846080985,0.020737327188940093,0.0068775790921595595,0.012453719286435544,0.04299226139294927,0.031990521327014215,0.018857758620689655,0.052083333333333336,0.010416666666666666,0.03512396694214876,0.02,0.0,0.046868767451136814,0.07407407407407407,0.0037735849056603774,0.018425460636515914,0.021895707288965716,0.010869565217391304,0.022675736961451247,0.01275626423690205,0.047766990291262135,0.0053475935828877,0.027700831024930747,0.058734939759036146,0.027390438247011952,0.014095917044718081,0.018404907975460124,0.058577405857740586,0.03580246913580247,
-10,0.027916666666666666,0.02422145328719723,0.02694610778443114,0.02204724409448819,0.041633935585231735,0.018377409233527566,0.018463073852295408,0.04199475065616798,0.010899182561307902,0.022091819123230928,0.04880294659300184,0.023346303501945526,0.017899761336515514,0.034482758620689655,0.03571428571428571,0.036468330134357005,0.015384615384615385,0.0,0.03923948220064725,0.024390243902439025,0.004073319755600814,0.02877697841726619,0.026620059155687013,0.014539579967689823,0.02258064516129032,0.010295434198746643,0.043286573146292584,0.019444444444444445,0.018164435946462717,0.05709342560553633,0.028812717337307503,0.010067114093959731,0.021790341578327443,0.06326034063260341,0.03456221198156682,
-9,0.021356313225927313,0.021687384289870406,0.0031446540880503146,0.019716885743174924,0.03700848111025443,0.012911555842479019,0.017518939393939392,0.038929440389294405,0.0070126227208976155,0.012413793103448275,0.040940766550522645,0.027888446215139442,0.009174311926605505,0.02631578947368421,0.0,0.014285714285714285,0.016203703703703703,0.0,0.028703525332305913,0.0,0.012,0.016697588126159554,0.017462482946794,0.006144393241167435,0.02009456264775414,0.010926365795724466,0.032034632034632034,0.02168021680216802,0.02177700348432056,0.03592814371257485,0.024262607040913417,0.01253616200578592,0.015915119363395226,0.04895104895104895,0.02609727164887307,
-8,0.02686041391457508,0.022855353788353162,0.01935483870967742,0.016307513104251603,0.0427715996578272,0.013857394809775762,0.017881332972094283,0.04281345565749235,0.012195121951219513,0.009101251422070534,0.046532846715328466,0.02472952086553323,0.012683578104138851,0.05405405405405406,0.009174311926605505,0.020089285714285716,0.014617368873602751,0.05555555555555555,0.03131158309612437,0.047619047619047616,0.012371134020618556,0.028604118993135013,0.023985239852398525,0.006944444444444444,0.008454106280193236,0.015838339705079193,0.04040920716112532,0.022284122562674095,0.019653179190751446,0.036101083032490974,0.016893732970027248,0.009943952269029109,0.02375102375102375,0.046703296703296704,0.03870967741935484,
-7,0.01912960306073649,0.01923693491503687,0.015625,0.020865936358894107,0.0364963503649635,0.01675977653631285,0.020029209263509283,0.04709141274238227,0.008012820512820512,0.012236473536783135,0.046357615894039736,0.025384158247729008,0.006436955698599016,0.006024096385542169,0.009389671361502348,0.012298558100084818,0.008376288659793814,0.0,0.02656400384985563,0.0,0.0013054830287206266,0.03968253968253968,0.03192982456140351,0.005042016806722689,0.020415738678544914,0.013759213759213759,0.0430045871559633,0.01775147928994083,0.016748768472906402,0.05688073394495413,0.022727272727272728,0.009623952949563358,0.012416647505173604,0.052307692307692305,0.036753445635528334,0.0034497628288055198
-6,0.032343987823439876,0.029661016949152543,0.008928571428571428,0.019034971226206288,0.04551920341394026,0.012453300124533,0.017076609744634184,0.02877697841726619,0.004964539007092199,0.018285714285714287,0.044932601098352475,0.04293405114401077,0.010263929618768328,0.03389830508474576,0.029535864978902954,0.019250253292806486,0.0125,0.03125,0.030056036678553236,0.06451612903225806,0.006317119393556538,0.023474178403755867,0.028694404591104734,0.01174934725848564,0.02225705329153605,0.015859766277128547,0.049096488237299694,0.02493765586034913,0.024057738572574178,0.03783783783783784,0.024353690520794304,0.01150008455944529,0.02289077828646174,0.06772009029345373,0.03192702394526796,0.007783543365455893
-5,0.032292405961674944,0.026585365853658536,0.026785714285714284,0.01971014492753623,0.0528169014084507,0.013395457192778102,0.01699109204882877,0.02736318407960199,0.005978260869565218,0.015513897866839044,0.03644224830142063,0.04039859951521681,0.011978704525288377,0.007246376811594203,0.03535353535353535,0.01709873138444567,0.015288394718554551,0.06451612903225806,0.02354948805460751,0.0,0.00357653791130186,0.031959629941127,0.028267634854771784,0.008287292817679558,0.0277505713352922,0.014261744966442953,0.04793650793650794,0.02197802197802198,0.01627906976744186,0.0594679186228482,0.029556650246305417,0.012258606213266163,0.02397838568051334,0.07032967032967033,0.041666666666666664,0.011571841851494697
-4,0.028288543140028287,0.020211299954065228,0.023972602739726026,0.021691973969631236,0.04862745098039216,0.014997222736530272,0.01608672844902955,0.05565217391304348,0.018620689655172412,0.016652649285113542,0.031088082901554404,0.04155047406581149,0.012981199641897942,0.008064516129032258,0.038461538461538464,0.020418084589207585,0.015676266861100983,0.03225806451612903,0.02544529262086514,0.025,0.0035014005602240898,0.027128157156220765,0.025041736227045076,0.012403100775193798,0.021941489361702128,0.010923987255348202,0.04243008678881389,0.01715686274509804,0.023346303501945526,0.06666666666666667,0.021189894050529748,0.01099434114793856,0.018003706645485836,0.0458970792767733,0.027577937649880094,0.012267343485617596
-3,0.029122392758756395,0.027906976744186046,0.02120141342756184,0.02883922134102379,0.0570281124497992,0.00715607649599013,0.01530891197375615,0.04291845493562232,0.016332590942835932,0.013144058885383806,0.03843466107617051,0.033993924490091136,0.016377171215880892,0.02459016393442623,0.007633587786259542,0.020397208803005905,0.0125,0.0,0.021284206760865676,0.0,0.0037369207772795215,0.024342745861733205,0.02287675150128682,0.011019283746556474,0.023387668320340185,0.009103977000479156,0.04851752021563342,0.020050125313283207,0.017170891251022075,0.0486322188449848,0.023686477174849268,0.010592858363232531,0.01962507322788518,0.04532967032967033,0.044340723453908985,0.012382739212007506
-2,0.022303325223033254,0.02345159350571257,0.024844720496894408,0.016129032258064516,0.047787610619469026,0.014601674898003006,0.012768319763138416,0.012224938875305624,0.012555391432791729,0.01057202189918822,0.027738264580369845,0.03662147420913199,0.013550135501355014,0.02608695652173913,0.031496062992125984,0.01101206082852648,0.011227255129694155,0.0,0.021802608526377262,0.0,0.005555555555555556,0.01935483870967742,0.02458530805687204,0.006968641114982578,0.021137026239067054,0.006084070796460177,0.039644565960355434,0.011834319526627219,0.019246861924686193,0.04754358161648178,0.023676880222841225,0.010452333753829519,0.021753246753246754,0.045714285714285714,0.03811944091486658,0.00563014291901256
-1,0.024307036247334754,0.022041763341067284,0.030821917808219176,0.016352201257861635,0.04407951598962835,0.016125564394753815,0.012877263581488933,0.04523809523809524,0.02007168458781362,0.01738794435857805,0.02276176024279211,0.032592832819847574,0.013199577613516367,0.01834862385321101,0.014492753623188406,0.009564293304994687,0.014705882352941176,0.038461538461538464,0.024415055951169887,0.0,0.004105090311986864,0.022151898734177215,0.02658742571160463,0.017857142857142856,0.018518518518518517,0.00897571277719113,0.04562607204116638,0.019390581717451522,0.013082583810302535,0.06020066889632107,0.018805829807240243,0.01153059326762135,0.026298044504383007,0.05525606469002695,0.03770949720670391,0.009888751545117428
