cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.012012012012012012,0.010837070254110613,0.04128440366972477,0.04246794871794872,0.04726890756302521,0.028182701652089408,0.0066555740432612314,0.013651877133105802,0.04390243902439024,0.03844644958807376,0.02871410736579276,0.006802721088435374,0.016704631738800303,0.021505376344086023,0.015151515151515152,0.03217821782178218,0.012376237623762377,0.0,0.035327635327635325,0.0,0.040214477211796246,0.027710843373493974,0.05973773676542011,0.032388663967611336,0.023931623931623933,0.026299694189602447,0.061481870730425645,0.010676156583629894,0.013192612137203167,0.0774818401937046,0.023448275862068966,0.018838652482269503,0.015677491601343786,0.0026595744680851063,0.01858736059479554,
-12,0.017654476670870115,0.014655172413793103,0.038834951456310676,0.04308897593732513,0.03367496339677892,0.02430865298840321,0.012182993535554451,0.006535947712418301,0.039473684210526314,0.03692762186115214,0.029616724738675958,0.007194244604316547,0.020596205962059622,0.037037037037037035,0.0410958904109589,0.03389830508474576,0.02049530315969257,0.0,0.03325759140673414,0.0,0.04201680672268908,0.011904761904761904,0.05104586451736711,0.03709428129829984,0.03460207612456748,0.019204389574759947,0.05220588235294118,0.0125,0.015238095238095238,0.07281553398058252,0.02649656526005888,0.024568393094289508,0.02262180974477958,0.014184397163120567,0.014652014652014652,
-11,0.014394242303078768,0.013133208255159476,0.02631578947368421,0.0416,0.03547169811320755,0.03066935303335572,0.01610229694529955,0.01152073732718894,0.052269601100412656,0.040727027936721644,0.02063628546861565,0.015402843601895734,0.015086206896551725,0.010416666666666666,0.052083333333333336,0.030991735537190084,0.021904761904761906,0.0,0.035700039888312725,0.0,0.03962264150943396,0.010887772194304857,0.046672428694900604,0.03571428571428571,0.036281179138321996,0.02232346241457859,0.0633009708737864,0.016042780748663103,0.010156971375807941,0.0677710843373494,0.0199203187250996,0.023979261179520414,0.021751254880089235,0.02301255230125523,0.02345679012345679,
-10,0.02,0.011711471919084376,0.03592814371257485,0.04304461942257218,0.032992930086410056,0.026669654863290003,0.015968063872255488,0.02099737532808399,0.04223433242506812,0.04452882292026234,0.03222836095764273,0.01556420233463035,0.025059665871121718,0.011494252873563218,0.026785714285714284,0.026871401151631478,0.014615384615384615,0.0,0.030946601941747573,0.024390243902439025,0.04480651731160896,0.012589928057553957,0.05377789728421619,0.046849757673667204,0.026881720430107527,0.021486123545210387,0.054509018036072145,0.016666666666666666,0.014340344168260038,0.06747404844290658,0.041728763040238454,0.029865771812080538,0.01884570082449941,0.0535279805352798,0.01152073732718894,
-9,0.014612214312476583,0.017455699550383497,0.0220125786163522,0.03993933265925177,0.03315343099460293,0.02732945986658059,0.01065340909090909,0.012165450121654502,0.05750350631136045,0.04689655172413793,0.029616724738675958,0.010624169986719787,0.022935779816513763,0.0,0.048,0.030612244897959183,0.018518518518518517,0.0,0.030052013099595452,0.04,0.054,0.01855287569573284,0.04829467939972715,0.039938556067588324,0.041371158392434985,0.020427553444180523,0.06666666666666667,0.02710027100271003,0.012195121951219513,0.0658682634730539,0.04091341579448145,0.028286724525875925,0.01790450928381963,0.04428904428904429,0.03084223013048636,
-8,0.015411712901805373,0.017532874139010644,0.03870967741935484,0.0361094933022714,0.02480752780153978,0.030486268581506677,0.014359252235166622,0.012232415902140673,0.051490514905149054,0.05422828972317027,0.035583941605839414,0.017001545595054096,0.02870493991989319,0.0,0.027522935779816515,0.03794642857142857,0.014617368873602751,0.0,0.025399605868184804,0.0,0.04329896907216495,0.021739130434782608,0.046740467404674045,0.022569444444444444,0.04106280193236715,0.02785363189513927,0.07519181585677749,0.011142061281337047,0.015028901734104046,0.06859205776173286,0.023978201634877384,0.024046284577834025,0.03194103194103194,0.03571428571428571,0.016774193548387096,
-7,0.011477761836441894,0.01827508816928503,0.015625,0.02764736567553469,0.03232533889468196,0.028465017291832935,0.011683705403713749,0.00554016620498615,0.04807692307692308,0.028158631873802152,0.017029328287606435,0.011970455896086255,0.015903067020068155,0.0,0.03755868544600939,0.030110262934690414,0.018685567010309278,0.0,0.030028873917228104,0.047619047619047616,0.012402088772845953,0.027777777777777776,0.049473684210526316,0.03697478991596639,0.02783964365256125,0.021621621621621623,0.06823394495412843,0.0029585798816568047,0.017733990147783252,0.07339449541284404,0.020104895104895104,0.017287471039030475,0.019314785008047827,0.04,0.015313935681470138,0.011858559724018974
-6,0.0182648401826484,0.018444666001994018,0.03571428571428571,0.0398406374501992,0.029871977240398292,0.02350560398505604,0.009869967100109666,0.02158273381294964,0.0375886524822695,0.03330612244897959,0.026460309535696454,0.014804845222072678,0.021505376344086023,0.0,0.02109704641350211,0.03900709219858156,0.015277777777777777,0.0,0.02750891492613347,0.0,0.02021478205938092,0.017996870109546165,0.049641319942611194,0.04046997389033943,0.03761755485893417,0.02587646076794658,0.0634162973065121,0.012468827930174564,0.011226944667201283,0.0945945945945946,0.02098164106406894,0.02147809910366988,0.02779594506213211,0.03837471783295711,0.010262257696693273,0.01223128243143069
-5,0.01312987934705465,0.016097560975609757,0.026785714285714284,0.036521739130434785,0.021830985915492956,0.026596777324791303,0.012702078521939953,0.01990049751243781,0.049456521739130434,0.027795733678086618,0.02285361334156887,0.013466199838405602,0.019077196095829637,0.021739130434782608,0.015151515151515152,0.03861003861003861,0.01250868658790827,0.0,0.028668941979522185,0.0,0.01430615164520744,0.024390243902439025,0.05134854771784232,0.031767955801104975,0.036891936010447275,0.018456375838926176,0.06222222222222222,0.01978021978021978,0.008527131782945736,0.0782472613458529,0.021346469622331693,0.017800167926112512,0.02668017561634583,0.03736263736263736,0.020202020202020204,0.01591128254580521
-4,0.015205091937765204,0.012861736334405145,0.0273972602739726,0.04772234273318872,0.03215686274509804,0.02518052212553231,0.011715334848749781,0.017391304347826087,0.0496551724137931,0.027586206896551724,0.03173575129533679,0.014779698828778583,0.018352730528200537,0.008064516129032258,0.019230769230769232,0.040350024307243555,0.01093693036820999,0.0,0.02490003635041803,0.025,0.02100840336134454,0.01216089803554724,0.04618809126321647,0.024806201550387597,0.03590425531914894,0.023668639053254437,0.06332369013179043,0.012254901960784314,0.00933852140077821,0.06666666666666667,0.021189894050529748,0.021827000808407437,0.020386550172094255,0.043115438108484005,0.017985611510791366,0.01015228426395939
-3,0.01652892561983471,0.012859097127222982,0.024734982332155476,0.02883922134102379,0.03855421686746988,0.017766810610734114,0.008930198651357754,0.017167381974248927,0.051224944320712694,0.030844724851034,0.025157232704402517,0.015333429769998554,0.024317617866004962,0.02459016393442623,0.03816793893129771,0.035963499731615674,0.020945945945945947,0.0,0.024682525487390448,0.0,0.012705530642750373,0.027263875365141188,0.04117815270231627,0.028925619834710745,0.031892274982282066,0.023957834211787255,0.06334231805929919,0.007518796992481203,0.012264922322158627,0.0668693009118541,0.031007751937984496,0.01742696053305997,0.024897480960749854,0.03983516483516483,0.021003500583430573,0.010131332082551596
-2,0.012976480129764802,0.013529765484064944,0.037267080745341616,0.030721966205837174,0.03185840707964602,0.023835086965857847,0.009252405625462621,0.02689486552567237,0.04579025110782865,0.031149707381536718,0.023470839260312945,0.01807698301386941,0.01842818428184282,0.043478260869565216,0.031496062992125984,0.0346093340325118,0.02013162988772745,0.03571428571428571,0.030757251313996495,0.0,0.015873015873015872,0.024731182795698924,0.04650473933649289,0.036585365853658534,0.038629737609329445,0.023783185840707963,0.07006151742993848,0.005917159763313609,0.010878661087866108,0.08399366085578447,0.017641597028783658,0.024508920526220942,0.025,0.045714285714285714,0.025412960609911054,0.0129926375054136
-1,0.011513859275053304,0.014791183294663572,0.017123287671232876,0.033962264150943396,0.05012964563526361,0.026875940657923026,0.012877263581488933,0.023809523809523808,0.06738351254480286,0.02917310664605873,0.023520485584218515,0.01735041349116264,0.017423442449841606,0.0,0.028985507246376812,0.025504782146652496,0.019736842105263157,0.0,0.03438453713123093,0.08333333333333333,0.014778325123152709,0.02109704641350211,0.041601501407569595,0.03214285714285714,0.03510802469135803,0.023231256599788808,0.05900514579759863,0.0110803324099723,0.02044153720359771,0.07525083612040134,0.022096850023507288,0.024363027710619305,0.022252191503708697,0.05121293800539083,0.03212290502793296,0.0173053152039555
0,0.009868421052631578,0.011318446007953502,0.041401273885350316,0.0377255330781848,0.036683785766691124,0.022222222222222223,0.010236966824644549,0.016241299303944315,0.06245710363761153,0.029352633695215118,0.02592852137351086,0.017756007959589776,0.016358839050131926,0.047244094488188976,0.036231884057971016,0.04084967320261438,0.022736338252891904,0.0,0.03466369852122754,0.0,0.012292118582791034,0.03169014084507042,0.0416435313714603,0.02857142857142857,0.03754512635379061,0.033924050632911394,0.0684931506849315,0.010899182561307902,0.011965811965811967,0.0662557781201849,0.01620891490319676,0.020980253878702396,0.0303125,0.042492917847025496,0.0275,0.008710801393728223
1,0.015510555794915984,0.019799498746867168,0.026239067055393587,0.029173419773095625,0.0381451009723261,0.023260284505959246,0.011682650392327812,0.019342359767891684,0.05358255451713396,0.034108527131782945,0.013285024154589372,0.017963244438303164,0.02456140350877193,0.03597122302158273,0.043137254901960784,0.03631840796019901,0.02433862433862434,0.0,0.033261802575107295,0.0,0.013888888888888888,0.03842869342442357,0.040637012630422846,0.03870967741935484,0.03735524841240194,0.025545750116117046,0.06856084002470661,0.024861878453038673,0.010894941634241245,0.09448818897637795,0.016914191419141914,0.019208478224871667,0.02556299452221546,0.035175879396984924,0.017222820236813777,0.013977635782747603
2,0.007411474059840791,0.009893643334157804,0.019390581717451522,0.03556034482758621,0.032444124008651765,0.0224406528189911,0.010067696580454782,0.01764705882352941,0.06013229104028864,0.04146730462519936,0.024721878862793572,0.018565854971074935,0.0193868349864743,0.038461538461538464,0.0297029702970297,0.03490566037735849,0.02080581241743725,0.0,0.038023399014778324,0.0,0.015861571737563085,0.032663316582914576,0.04642757853767028,0.036535859269282815,0.034044145155256264,0.02435723951285521,0.06486941870261162,0.012195121951219513,0.015434606011372868,0.07849293563579278,0.016630513376717282,0.02097130242825607,0.021448999046711152,0.046218487394957986,0.01444043321299639,0.01602086438152012
