cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,39.0,32.0,34.5,35.0,35.0,35.0,34.0,39.0,36.0,37.5,39.5,33.5,36.0,,42.0,38.0,36.0,,37.0,,35.0,38.0,33.0,36.0,32.0,39.0,37.0,32.5,36.0,35.0,37.0,33.0,31.0,36.5,33.5,
-12,37.5,36.0,24.0,38.0,37.0,34.0,31.0,31.5,35.5,36.0,37.0,34.5,38.5,35.0,43.0,33.0,37.0,47.5,36.0,42.5,35.5,41.0,34.0,36.5,28.5,40.0,37.5,26.0,35.5,34.0,40.0,34.0,29.0,32.5,30.0,
-11,37.0,32.0,37.0,39.0,36.5,35.0,30.0,44.0,37.0,40.0,34.5,35.0,38.5,23.0,30.0,36.5,36.0,,38.0,,38.5,37.0,34.0,37.0,32.0,37.0,42.0,46.0,33.5,35.0,41.5,32.0,28.0,37.0,36.0,
-10,35.0,37.0,29.0,36.0,34.5,33.5,31.0,38.5,34.0,34.5,30.5,32.5,34.0,,,35.0,31.0,,36.0,38.0,35.0,40.5,31.0,31.0,34.5,37.0,38.0,38.5,34.0,34.5,33.0,34.0,30.0,34.0,34.0,
-9,38.0,32.0,46.0,37.5,38.0,36.0,31.0,33.0,32.0,41.5,35.0,37.5,33.0,38.0,42.0,37.0,39.0,,33.0,,36.0,38.0,27.0,35.0,32.0,39.0,37.5,38.0,37.0,32.0,40.0,34.0,27.0,32.0,29.0,
-8,40.5,29.0,49.0,38.0,36.0,36.0,30.0,33.0,31.0,37.0,33.5,37.5,35.0,33.0,,35.0,31.5,,32.0,,36.0,37.5,34.0,39.0,31.5,40.0,38.0,27.0,34.0,33.0,38.0,35.0,31.0,46.5,30.0,
-7,34.0,37.0,31.5,36.5,40.0,37.0,32.0,38.0,34.0,40.0,28.0,38.0,36.0,32.5,34.5,37.5,35.0,,35.0,,32.0,38.0,32.0,32.0,33.0,39.5,34.0,40.0,36.0,36.0,39.5,34.0,32.0,36.0,42.0,35.0
-6,36.0,36.0,24.5,40.0,33.0,35.5,32.0,34.0,35.5,36.0,39.0,34.0,38.0,49.5,29.0,36.0,37.0,63.0,34.0,,35.0,40.0,34.0,37.0,35.5,38.0,30.0,33.5,34.0,35.0,41.0,34.0,28.0,36.5,38.0,40.0
-5,36.0,30.0,36.0,36.0,36.0,36.0,32.0,36.0,34.0,39.0,35.0,38.0,33.0,46.0,26.5,35.5,36.5,,32.0,,34.0,42.0,30.0,35.0,34.0,40.0,36.0,43.5,34.0,35.0,40.5,35.0,29.0,28.0,36.0,39.5
-4,32.0,34.0,20.0,40.0,35.0,36.0,32.0,39.0,33.0,36.0,37.0,38.0,35.0,25.0,21.0,38.0,39.0,34.5,37.0,,35.5,33.0,33.5,35.0,32.0,40.0,36.0,54.0,33.0,34.0,38.0,35.0,30.0,34.5,33.0,41.0
