cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.03863596720739578,0.009795918367346938,0.03826530612244898,0.0581732693077231,0.09112065878983172,0.03045235188092331,0.024206349206349204,0.002040816326530612,0.04512626968595658,0.020847048496818083,0.07466796242306446,0.019912131519274377,0.1689588879029873,,0.00510204081632653,0.01984126984126984,0.13945578231292516,,0.031240188383045528,,0.06722162549230219,0.05558132343846629,0.0490047871000252,0.1567717996289425,0.007482993197278911,0.036073584363322794,0.021073646850044366,0.09557823129251701,0.03601662887377173,0.07987528344671202,0.012093726379440665,0.011818495514147688,0.02793457808655377,0.003401360544217687,0.021490414347557208,
-12,0.06106505102040816,0.01240079365079365,0.01445578231292517,0.03899196042053185,0.031512605042016806,0.022502450761964173,0.016509527787723275,0.00496031746031746,0.03751500600240096,0.005911888564949789,0.013676303854875282,0.05282738095238095,0.08751700680272108,0.05357142857142857,0.04336734693877551,0.0413022351797862,0.10051020408163265,0.0017006802721088435,0.022785813354468002,0.002551020408163265,0.025251404909790005,0.06379849236992094,0.02639647408259078,0.1962261094914156,0.007086167800453515,0.012624280481423339,0.012866015971606033,0.043731778425655975,0.008418367346938774,0.08891600118308193,0.025143390689609177,0.010173576156920168,0.02604645461788319,0.00510204081632653,0.007389162561576355,
-11,0.02345022516048673,0.018916338465210646,0.016326530612244896,0.04213298222514812,0.03608200036771465,0.013782904466134279,0.010894212757566796,0.004346182917611489,0.022900941198397168,0.02049537763823478,0.01829519686662544,0.024795918367346938,0.14600179694519316,0.05158730158730159,0.003401360544217687,0.017233560090702947,0.11622697859631657,,0.05998763141620284,,0.021258503401360544,0.015031819179284618,0.03090172239108409,0.1035525321239607,0.01982172179216514,0.019907277979685025,0.020521541950113378,0.06341107871720117,0.003625134264232008,0.06689342403628118,0.010144408640649243,0.008595955388958304,0.030146582442500812,0.0032123960695389264,0.006433007985803017,
-10,0.02409900130264872,0.008432539682539682,0.0435374149659864,0.029539508110936682,0.028805272108843538,0.021072238419177197,0.01367938479739722,0.003543083900226757,0.042091836734693876,0.01929392446633826,0.007369614512471655,0.01717032967032967,0.09931972789115646,,,0.010321369927281257,0.048909218859957776,,0.02186197059468949,0.20975056689342406,0.017573696145124718,0.01785714285714286,0.02953514739229025,0.24628942486085342,0.012398507790212858,0.01866024187452759,0.011961451247165533,0.20599489795918366,0.01174777603349032,0.09645814847678202,0.009284794999080713,0.009548901527824245,0.01598972922502334,0.027696793002915453,0.025672173631357303,
-9,0.029046539250620885,0.019810626953484095,0.0023809523809523807,0.04797564186965109,0.06671626984126984,0.025935374149659865,0.012982420691048697,0.003826530612244898,0.026174532312925172,0.04011387163561076,0.035336356764928196,0.012244897959183675,0.11116641778662685,0.0272108843537415,0.003401360544217687,0.00510204081632653,0.18970315398886825,,0.055590986394557826,,0.011941733215025141,0.04154518950437318,0.015044479330193618,0.12447882378757955,0.025252525252525252,0.015216612960973862,0.024559823929571827,0.10279667422524566,0.00805860805860806,0.0926652712366998,0.018985145078439538,0.009958867267837367,0.016165228978189214,0.01020408163265306,0.023809523809523808,
-8,0.0270766201217329,0.009265775275627492,0.0045351473922902496,0.041395281516862066,0.04469387755102041,0.033843537414965985,0.01405467847516365,0.0018424036281179139,0.025616496598639456,0.027580597456373854,0.03061224489795918,0.013957307060755337,0.1342828798185941,0.0017006802721088435,,0.02576215671453767,0.13994952819837614,,0.022625505898561955,,0.023144040224785566,0.014172335600907028,0.05209750566893424,0.12765106042416965,0.0053854875283446705,0.02662153970499091,0.004792826221397649,0.18299319727891156,0.004644165358451072,0.12920445956160242,0.0126861555432984,0.010079031612645058,0.02836388792805258,0.0022675736961451248,0.003968253968253968,
-7,0.07369614512471655,0.013550581522931752,0.011054421768707483,0.05787627551020408,0.03933747412008281,0.03752685284640172,0.011475618284697056,0.014259549973835687,0.026554481441699487,0.04993691024797015,0.016581632653061226,0.06138361777459522,0.1409438775510204,0.08588435374149661,0.03784013605442177,0.019679300291545188,0.07468820861678004,,0.025093710953769263,,0.049837326234841765,0.01563317634746206,0.03647578434358818,0.09216067379332686,0.05188620902906617,0.025636700961376286,0.015051020408163265,0.22230320699708453,0.005408720865395338,0.09733124018838304,0.027056277056277056,0.01331254724111867,0.11748672071568354,0.003061224489795918,0.01967930029154519,0.11734693877551021
-6,0.021193092621664047,0.010028149190710767,0.0017006802721088435,0.03890778533635676,0.05823541537827252,0.03251369992441421,0.013350585190848674,0.004174397031539889,0.03012166405023548,0.020553182513315404,0.020775877918735062,0.04017757337676854,0.07541302235179785,0.002551020408163265,0.022108843537414966,0.012248018473444424,0.05889479079302953,0.003401360544217687,0.027499888844426657,,0.03082820429759205,0.04733560090702948,0.015578231292517007,0.10894660894660894,0.012633624878522837,0.013006338899196042,0.01845238095238095,0.08928571428571429,0.005878079387094644,0.07958801498127341,0.04332552693208431,0.014114897060145643,0.032754240936881084,0.0036848072562358273,0.027210884353741496,0.034807256235827665
-5,0.012293488824101069,0.019702220510845848,0.0017006802721088433,0.07351899092970522,0.037193138124815145,0.020154728558089904,0.00878480888758381,0.0055658627087198514,0.016084211462362722,0.029244564958850677,0.020277341705913134,0.022373572070337567,0.1023296110897189,0.0017006802721088435,0.011054421768707483,0.009828349944629014,0.0910204081632653,,0.033671330167287045,,0.018480725623582765,0.016666666666666666,0.028543849972421396,0.1595870906502136,0.014582844632105716,0.023142168259708946,0.017540349473122583,0.2682823129251701,0.00840433260682914,0.08590244608481691,0.022034900916888495,0.015828113423587257,0.041194255479969764,0.0030234315948601664,0.03388278388278389,0.11765615337043908
-4,0.020023485584710073,0.02357970215113072,0.0055272108843537416,0.09531046461137647,0.05991032776747063,0.024941470094531317,0.012824960012333545,0.007568027210884354,0.024434773909563823,0.0330366189028803,0.022141548927263215,0.03015403052412675,0.14486068399962726,0.02891156462585034,0.0017006802721088435,0.010379409495757067,0.08344863369076444,0.003401360544217687,0.029541446208112873,,0.03810177917320774,0.04727019012733299,0.032892702535559676,0.1936456400742115,0.019434386657888963,0.019406535620383122,0.011708529565672423,0.052235179786200195,0.010100561963916002,0.06194669648681391,0.009846043680630146,0.011380952380952382,0.03853440110221304,0.005952380952380952,0.02409297052154195,0.04772211915069058
-3,0.02485827664399093,0.026419870273690874,0.0017006802721088435,0.05471753918958888,0.05540438397581254,0.017783892583250527,0.008970839797907467,0.0026010404161664665,0.014635105742977461,0.03162874345140355,0.015006002400960384,0.03768012581376637,0.1125,0.070578231292517,0.002551020408163265,0.010761201032136992,0.02893772893772894,,0.035967895930301946,,0.012375162831089883,0.061224489795918366,0.02535790435577216,0.07846320346320347,0.015589569160997732,0.016389741737402926,0.008131377551020409,0.15918367346938775,0.009413067552602437,0.07119309262166405,0.016319293674916777,0.013312221440300257,0.04406651549508692,0.010416666666666666,0.009288330716902144,0.04354772211915069
-2,0.023784140521880395,0.027210884353741496,0.0017006802721088435,0.05714285714285714,0.03342899659863945,0.01834215167548501,0.00955507551209899,0.01927437641723356,0.014407875826386893,0.03695532266960838,0.027681285280069478,0.029714953466048997,0.0808632977000324,0.030612244897959186,0.04659863945578231,0.009854409053340963,0.062115322319403955,0.0017006802721088435,0.025459183673469384,0.0017006802721088435,0.01855631141345427,0.08459309649785841,0.02548658352229781,0.08894557823129251,0.018841747225205874,0.026487190620929225,0.017338642774182844,0.00744047619047619,0.004028795984413182,0.10275689223057645,0.009183673469387756,0.011771665187814256,0.03774864376130199,0.014334305150631681,0.025510204081632654,0.07554600787683495
-1,0.00826044703595724,0.029429162969535638,0.005102040816326531,0.06567242281527996,0.01619343389529725,0.019594794439514934,0.007666820773616891,0.007936507936507936,0.011024689596118168,0.02173982800667437,0.011367704976727533,0.017454954954954957,0.07531125657810295,0.011337868480725622,0.0017006802721088435,0.02139899438036084,0.06710938343591405,,0.03778602350030921,0.0017006802721088435,0.030414491377946527,0.0251404909790003,0.023314389046757943,0.11743644826351592,0.01524007661316954,0.024509803921568627,0.015934634723454598,0.04251700680272109,0.003212396069538927,0.14342403628117914,0.014860706187236799,0.010434304726257315,0.03735550164121593,0.0028344671201814054,0.0055272108843537416,0.06590136054421769
0,0.024106467984019005,0.018438954529180093,0.010204081632653062,0.019930779329275568,0.04098090849242923,0.02822002294893861,0.00759217267153775,0.012755102040816327,0.022851129402037058,0.041729915106538486,0.02080498866213152,0.05504479019330504,0.10760667903525047,0.0028344671201814054,0.06224489795918368,0.013095238095238096,0.030448717948717948,0.0017006802721088435,0.05108169393883679,,0.03302483784211359,0.058989310009718174,0.017857142857142856,0.13265306122448978,0.01419062248555336,0.02153026158917175,0.02474663334721644,0.12570861678004533,0.005014826443397872,0.06883030990173848,0.01066790352504638,0.014747785906815556,0.028428655412782396,0.002354788069073783,0.010562119584675976,0.06767290249433107
