cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.06976744186046512,0.06666666666666667,0.0,0.0,0.0,0.007874015748031496,0.0196078431372549,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,,0.0,0.06666666666666667,0.0,,0.028169014084507043,,0.041666666666666664,0.045454545454545456,0.034482758620689655,0.0,0.0,0.013157894736842105,0.0,0.0,0.017543859649122806,0.0,0.0,0.04827586206896552,0.01,0.0,0.0,
-12,0.0625,0.0,0.125,0.017241379310344827,0.029411764705882353,0.008583690987124463,0.0,0.0,0.0,0.015873015873015872,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.04854368932038835,0.0,0.021739130434782608,0.02564102564102564,0.0,0.0,0.0,0.022900763358778626,0.041666666666666664,0.0,0.03333333333333333,0.0,0.0,0.03139013452914798,0.017699115044247787,0.0,0.0,
-11,0.028169014084507043,0.017543859649122806,0.0,0.0,0.02631578947368421,0.004329004329004329,0.0,0.0,0.013513513513513514,0.0,0.029411764705882353,0.02,0.0,0.0,0.0,0.0,0.0,,0.02702702702702703,,0.0,0.03125,0.020833333333333332,0.0,0.0,0.02027027027027027,0.0,0.0,0.039473684210526314,0.0,0.034482758620689655,0.02040816326530612,0.0,0.0,0.0,
-10,0.0,0.04,0.0,0.0,0.020833333333333332,0.009389671361502348,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,,,0.034482758620689655,0.0,,0.016,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.03076923076923077,0.0,0.0,0.03278688524590164,0.02857142857142857,0.0,0.047619047619047616,
-9,0.015625,0.02631578947368421,0.0,0.0,0.0,0.010471204188481676,0.004830917874396135,0.0,0.014925373134328358,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,,0.015503875968992248,,0.0,0.0,0.03773584905660377,0.0,0.030303030303030304,0.026143790849673203,0.0,0.0,0.0,0.0,0.0,0.009216589861751152,0.019230769230769232,0.0,0.0,
-8,0.07692307692307693,0.0,0.0,0.0,0.0,0.02824858757062147,0.005319148936170213,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0625,0.0,0.0,0.0,0.0,0.014925373134328358,0.0625,0.0,0.03278688524590164,0.0,0.022222222222222223,0.009009009009009009,0.0,0.0,0.0,
-7,0.0,0.0,0.0,0.0,0.0,0.032467532467532464,0.009345794392523364,0.07692307692307693,0.05263157894736842,0.024193548387096774,0.0,0.011695906432748537,0.0,0.0,0.0,0.015625,0.0,,0.0,,0.0,0.038461538461538464,0.0,0.0,0.01818181818181818,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0
-6,0.01282051282051282,0.0,0.0,0.0,0.030303030303030304,0.013888888888888888,0.005763688760806916,0.045454545454545456,0.009615384615384616,0.015503875968992248,0.0,0.023474178403755867,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,0.0,,0.0,0.0,0.02,0.0,0.008928571428571428,0.017045454545454544,0.0,0.0,0.009708737864077669,0.0,0.0,0.021929824561403508,0.012658227848101266,0.0,0.0,0.0
-5,0.0,0.018867924528301886,0.0,0.0,0.014492753623188406,0.0196078431372549,0.0,0.0,0.013071895424836602,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0,0.011627906976744186,0.0,,0.018518518518518517,,0.0,0.0,0.02702702702702703,0.0,0.011494252873563218,0.012658227848101266,0.0,0.0,0.038834951456310676,0.02127659574468085,0.021739130434782608,0.014778325123152709,0.006535947712418301,0.0,0.0,0.03333333333333333
-4,0.0,0.0,0.0,0.0,0.06818181818181818,0.012987012987012988,0.0028328611898017,0.05,0.0,0.04964539007092199,0.019230769230769232,0.02072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,,0.0,0.0,0.022727272727272728,0.0,0.0,0.012269938650306749,0.0,0.0,0.02608695652173913,0.0136986301369863,0.0,0.024,0.0,0.0,0.05555555555555555,0.0
