cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.023255813953488372,0.0,0.0,0.02702702702702703,0.09523809523809523,0.015748031496062992,0.0196078431372549,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,,0.0,0.13333333333333333,0.0,,0.014084507042253521,,0.041666666666666664,0.0,0.10344827586206896,0.0,0.047619047619047616,0.02631578947368421,0.037037037037037035,0.0,0.08771929824561403,0.03333333333333333,0.0,0.034482758620689655,0.0,0.0,0.0,
-12,0.015625,0.0,0.125,0.0,0.029411764705882353,0.02145922746781116,0.005847953216374269,0.08333333333333333,0.0,0.047619047619047616,0.08333333333333333,0.03125,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.06796116504854369,0.0,0.021739130434782608,0.05128205128205128,0.07042253521126761,0.09523809523809523,0.08333333333333333,0.03816793893129771,0.0,0.0,0.03333333333333333,0.0,0.0196078431372549,0.026905829596412557,0.0,0.16666666666666666,0.0,
-11,0.056338028169014086,0.0,0.2,0.03076923076923077,0.07894736842105263,0.017316017316017316,0.004830917874396135,0.0,0.0,0.0,0.08823529411764706,0.02,0.018518518518518517,0.0,1.0,0.0,0.0,,0.036036036036036036,,0.02,0.125,0.020833333333333332,0.0,0.034482758620689655,0.05405405405405406,0.03225806451612903,0.0,0.039473684210526314,0.0,0.06896551724137931,0.027210884353741496,0.0,0.0,0.0,
-10,0.0,0.0,0.0,0.014084507042253521,0.041666666666666664,0.004694835680751174,0.010810810810810811,0.08333333333333333,0.0,0.034482758620689655,0.041666666666666664,0.038461538461538464,0.024390243902439025,,,0.0,0.0,,0.008,0.0,0.0,0.0,0.08196721311475409,0.09090909090909091,0.03125,0.04827586206896552,0.0,0.0,0.046153846153846156,0.04,0.0,0.012295081967213115,0.01904761904761905,0.14285714285714285,0.0,
-9,0.03125,0.0,0.0,0.015625,0.04,0.015706806282722512,0.014492753623188406,0.25,0.029850746268656716,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.02702702702702703,,0.046511627906976744,,0.041666666666666664,0.0,0.018867924528301886,0.0,0.06060606060606061,0.0392156862745098,0.0,0.0,0.015384615384615385,0.0,0.04,0.05069124423963134,0.009615384615384616,0.09090909090909091,0.0,
-8,0.019230769230769232,0.03225806451612903,0.0,0.0,0.0,0.022598870056497175,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.03225806451612903,0.027777777777777776,,0.058823529411764705,,0.0,0.0,0.024390243902439025,0.05,0.03125,0.04477611940298507,0.0,0.09090909090909091,0.03278688524590164,0.03773584905660377,0.044444444444444446,0.04954954954954955,0.015151515151515152,0.0,0.2,
-7,0.030303030303030304,0.0,0.0,0.0,0.0,0.032467532467532464,0.009345794392523364,0.15384615384615385,0.0,0.008064516129032258,0.0,0.005847953216374269,0.0,0.0,0.0,0.046875,0.016666666666666666,,0.05102040816326531,,0.043478260869565216,0.038461538461538464,0.029850746268656716,0.047619047619047616,0.05454545454545454,0.06611570247933884,0.0,0.0,0.03278688524590164,0.038461538461538464,0.0,0.027777777777777776,0.0,0.0,0.0,0.0
-6,0.01282051282051282,0.0,0.0,0.010638297872340425,0.030303030303030304,0.034722222222222224,0.020172910662824207,0.09090909090909091,0.028846153846153848,0.023255813953488372,0.08108108108108109,0.023474178403755867,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.025974025974025976,,0.047619047619047616,0.023809523809523808,0.06,0.0,0.044642857142857144,0.05113636363636364,0.07317073170731707,0.0,0.0,0.0,0.03278688524590164,0.02631578947368421,0.0,0.0,0.0,0.0
-5,0.0,0.0,0.0,0.037037037037037035,0.043478260869565216,0.0196078431372549,0.004796163069544364,0.09090909090909091,0.006535947712418301,0.006993006993006993,0.05128205128205128,0.02358490566037736,0.018867924528301886,0.0,0.0,0.06976744186046512,0.06,,0.024691358024691357,,0.0,0.0,0.013513513513513514,0.023255813953488372,0.05747126436781609,0.04430379746835443,0.058823529411764705,0.0,0.019417475728155338,0.0,0.0,0.029556650246305417,0.013071895424836602,0.1111111111111111,0.0,0.1
-4,0.047619047619047616,0.0,0.0,0.0,0.045454545454545456,0.016233766233766232,0.014164305949008499,0.0,0.029411764705882353,0.0425531914893617,0.019230769230769232,0.04145077720207254,0.0,0.0,0.0,0.030927835051546393,0.0,0.0,0.024691358024691357,,0.038461538461538464,0.0,0.022727272727272728,0.045454545454545456,0.04032258064516129,0.06134969325153374,0.05660377358490566,0.0,0.034782608695652174,0.0273972602739726,0.017543859649122806,0.024,0.006329113924050633,0.0,0.0,0.06060606060606061
