cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.018689196108550948,0.013916500994035786,0.0,0.03773584905660377,0.0,0.02107728337236534,0.016766192007349565,0.0,0.013157894736842105,0.014144271570014143,0.009834368530020704,0.07952380952380952,0.023534269199009084,0.0,0.0,0.014950166112956811,0.032,,0.017425810904071772,0.0,0.0,0.0,0.0,0.0,0.0125,0.030084447572132304,0.0136986301369863,0.0,0.02586206896551724,0.0,0.08093317972350231,0.008881529429474636,0.056342364532019705,0.0,0.0,
-12,0.017354767994154183,0.01800327332242226,0.023809523809523808,0.0055248618784530384,0.016666666666666666,0.0057731491962870725,0.016587677725118485,0.0,0.0,0.010454822954822954,0.0,0.008695652173913044,0.02201933404940924,0.0,0.0,0.012658227848101266,0.005263157894736842,0.0,0.005836575875486381,0.0,0.017543859649122806,0.0,0.002331002331002331,0.013513513513513514,0.0,0.02925531914893617,0.0,0.045454545454545456,0.011299435028248588,0.0,0.07666060054595086,0.002544529262086514,0.042466240227434254,0.0,0.0,
-11,0.0045662100456621,0.005255255255255256,0.0,0.007763975155279503,0.015151515151515152,0.013929618768328446,0.023909774436090228,0.0,0.009259259259259259,0.009708737864077669,0.0078125,0.019230769230769232,0.06557142857142857,0.0,0.0,0.0,0.020525451559934318,,0.012152777777777778,0.0,0.0,0.0,0.002976190476190476,0.0,0.0,0.013796172674677348,0.019801980198019802,0.02702702702702703,0.009478672985781991,0.0,0.02774922918807811,0.0060312204351939454,0.020053475935828877,0.0,0.0,
-10,0.011093073593073594,0.008594071634417456,0.0,0.006369426751592357,0.0,0.011566897209635106,0.011336515513126491,0.0,0.006195335276967929,0.0125,0.0,0.05454545454545454,0.01845738295318127,0.0,0.0,0.015625,0.004201680672268907,0.0,0.007033597377765638,0.0,0.01818181818181818,0.0,0.0,0.0037313432835820895,0.0,0.01281275221953188,0.02857142857142857,0.043478260869565216,0.00625,0.0,0.05922242314647378,0.002446183953033268,0.012244897959183673,0.0,0.01098901098901099,
-9,0.009961629279811098,0.011647162729079267,0.0,0.005291005291005291,0.0,0.010670731707317074,0.018876285005317264,0.0,0.0,0.009070294784580499,0.00847457627118644,0.03409090909090909,0.06756756756756757,0.0,0.0,0.018571428571428572,0.009174311926605505,0.0,0.008220502901353965,0.0,0.0,0.0,0.005917159763313609,0.015873015873015872,0.0,0.006636100386100387,0.026659959758551306,0.08571428571428572,0.026306620209059235,0.0,0.057800751879699255,0.0009082652134423251,0.027250206440957887,0.0,0.0,
-8,0.006890527950310559,0.012371134020618556,0.0,0.011803874092009685,0.024390243902439025,0.005494505494505495,0.007300089847259659,0.0,0.011627906976744186,0.010614772224679344,0.010309278350515464,0.04,0.05572808833678399,0.0,0.0,0.0,0.013333333333333334,,0.007407407407407408,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0025974025974025974,0.0,0.09523809523809523,0.015503875968992248,0.0,0.0717562254259502,0.006047728015691403,0.019642857142857142,0.0,0.0,
-7,0.010050251256281407,0.006344845630559917,0.018867924528301886,0.02631578947368421,0.0,0.00839934444140945,0.020233568712656164,0.0,0.011627906976744186,0.030053519967064634,0.008928571428571428,0.03822185292895721,0.007195185766614339,0.0,0.0,0.0021645021645021645,0.009287925696594427,,0.012347318109399893,0.2,0.0390625,0.0,0.004291845493562232,0.0,0.005917159763313609,0.0,0.0,0.0,0.012422360248447204,0.0,0.04290947148090005,0.004610514726121662,0.012860843819393043,,0.020618556701030927,0.03285319652722968
-6,0.021846916640842887,0.001904075751337999,0.0,0.010101010101010102,0.0,0.015780730897009966,0.012087912087912088,0.0,0.01744186046511628,0.013576617087512972,0.020945220193340493,0.011333255840985703,0.015479876160990712,0.0,0.0,0.002857142857142857,0.007858420649118323,,0.003289473684210526,0.0,0.006802721088435374,0.0,0.0,0.011235955056179775,0.007371007371007371,0.005208333333333333,0.0,0.0,0.010309278350515464,0.0,0.052329192546583844,0.0036989795918367352,0.014705882352941176,0.0,0.0,0.011450381679389313
-5,0.009259259259259259,0.006983240223463687,0.0,0.018604651162790697,0.014705882352941176,0.017955801104972375,0.0038111630194246375,0.0,0.01020408163265306,0.009061833688699361,0.0,0.015065046637211584,0.013910812943962115,0.0,0.0,0.0,0.0022862086010874937,0.0,0.003616636528028933,0.0,0.0,0.02857142857142857,0.0,0.0,0.0026109660574412533,0.0056657223796034,0.0,0.044444444444444446,0.010648754914809962,0.0,0.018691588785046728,0.0045871559633027525,0.013924050632911392,0.0,0.012987012987012988,0.006060606060606061
-4,0.010957792207792208,0.005623100303951368,0.0,0.008888888888888889,0.015384615384615385,0.010443864229765013,0.018153773137161842,0.0,0.0,0.009187220658831319,0.0,0.01445806204519341,0.010416666666666666,0.0,0.0,0.004275026718916993,0.009671302149178256,0.0,0.00847323408299018,0.0,0.02857142857142857,0.0,0.0,0.022321428571428572,0.0,0.0026544401544401543,0.010526315789473684,0.027777777777777776,0.009615384615384616,0.0,0.03211009174311927,0.005897219882055603,0.029320987654320986,0.0,0.0,0.01924500370096225
-3,0.013157894736842105,0.007155635062611807,0.0,0.008928571428571428,0.0,0.006381039197812215,0.014975041597337771,0.0,0.0,0.005985634477254589,0.015706806282722512,0.018029842497927603,0.022900763358778626,0.0,0.0,0.003003003003003003,0.0068846815834767644,,0.004454342984409799,0.0,0.0,0.0,0.0,0.0,0.0028169014084507044,0.0030581039755351682,0.010638297872340425,0.0,0.009259259259259259,0.0,0.017543859649122806,0.003587443946188341,0.011983082706766918,0.0,0.0,0.01821286283437678
-2,0.01545253863134658,0.005836575875486381,0.023255813953488372,0.017467248908296942,0.0,0.006222943722943722,0.012171133513646421,0.0,0.0,0.01043115438108484,0.0,0.016847041847041846,0.008968609865470852,0.0,0.0,0.0,0.0027088679783290564,,0.004987531172069825,0.0,0.018691588785046728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.04375,0.006490541422048272,0.017719427102460522,0.0,0.008928571428571428,0.007078507078507078
-1,0.015503875968992248,0.004901960784313725,0.0,0.01162046908315565,0.0,0.008992805755395683,0.013624338624338626,0.0,0.0058823529411764705,0.008802104411169567,0.015463917525773196,0.005863539445628997,0.01327433628318584,0.1111111111111111,0.0,0.0029556650246305416,0.0012731171267756634,,0.005194805194805195,0.0,0.019801980198019802,0.0,0.0,0.0136986301369863,0.0,0.0,0.02197802197802198,0.043478260869565216,0.020512820512820513,0.0,0.016483516483516484,0.005106809078771696,0.005701376936316695,0.0,0.0,0.004975124378109453
