cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.0,0.0,0.0,0.0,0.017857142857142856,0.004338394793926247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.008771929824561403,0.007692307692307693,0.004985044865403789,0.003937007874015748,0.0,0.0,
-12,0.0,0.0016207455429497568,0.0,0.0,0.03333333333333333,0.0031007751937984496,0.0,0.0,0.0,0.002079002079002079,0.025,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.007874015748031496,0.0,0.0,0.005555555555555556,0.0,0.006134969325153374,0.0033085194375516956,0.0045871559633027525,0.0,0.0,
-11,0.009009009009009009,0.0,0.0,0.0,0.0,0.008522727272727272,0.0,0.0,0.01834862385321101,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.002932551319648094,0.0,0.0,0.009345794392523364,0.0,0.006896551724137931,0.0007987220447284345,0.0,0.0,0.0,
-10,0.0024509803921568627,0.0,0.0,0.0,0.0,0.00315955766192733,0.0,0.0,0.02,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.0037593984962406013,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0027247956403269754,0.0,0.0,0.0,0.007462686567164179,0.0,0.0017421602787456446,0.0,0.0,0.0,
-9,0.003952569169960474,0.00145985401459854,0.0,0.0,0.0,0.0071633237822349575,0.002347417840375587,0.0,0.0,0.0021321961620469083,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001851851851851852,0.0,0.0,0.06666666666666667,0.002890173410404624,0.0,0.0,0.009554140127388535,0.0,0.0,0.0,0.0,0.0,0.0025167785234899327,0.0,0.0,0.0,
-8,0.002277904328018223,0.0017152658662092624,0.0,0.0,0.0196078431372549,0.003703703703703704,0.0,0.0,0.00980392156862745,0.005,0.008695652173913044,0.0,0.0043859649122807015,0.0,0.0,0.014084507042253521,0.0,,0.002,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0035971223021582736,0.011904761904761904,0.0,0.0,0.015267175572519083,0.0,0.007960199004975124,0.006097560975609756,0.0,0.0,
-7,0.0,0.0018214936247723133,0.0,0.0,0.0,0.003787878787878788,0.0076045627376425855,0.0,0.0,0.0009624639076034649,0.008928571428571428,0.003316749585406302,0.0,0.0,0.0,0.0020161290322580645,0.0,,0.0037174721189591076,0.0,0.0,0.0,0.004291845493562232,0.0,0.0,0.006644518272425249,0.0,0.0,0.006211180124223602,0.007633587786259542,0.0,0.0038131553860819827,0.0012953367875647669,,0.0,0.0
-6,0.0,0.004316546762589928,0.0,0.0,0.014705882352941176,0.005055611729019211,0.003076923076923077,0.02,0.005813953488372093,0.0,0.0,0.004051863857374392,0.0,0.0,0.0,0.0,0.0017921146953405018,,0.004918032786885246,0.0,0.0,0.0,0.0,0.011235955056179775,0.002457002457002457,0.0026041666666666665,0.0,0.0,0.005154639175257732,0.011299435028248588,0.0,0.0017683465959328027,0.0,0.0,0.0,0.0
-5,0.003703703703703704,0.002777777777777778,0.0,0.0,0.029411764705882353,0.008287292817679558,0.0051635111876075735,0.0,0.01020408163265306,0.002296211251435132,0.0,0.0017152658662092624,0.0,0.0,0.0,0.003663003663003663,0.0017064846416382253,0.0,0.0017953321364452424,0.0,0.0,0.0,0.004901960784313725,0.0,0.005221932114882507,0.0056657223796034,0.0,0.0,0.009174311926605505,0.0,0.0,0.003656307129798903,0.0,0.0,0.0,0.004524886877828055
-4,0.001893939393939394,0.002828854314002829,0.0,0.0,0.0,0.009138381201044387,0.0033222591362126247,0.0,0.011363636363636364,0.0011587485515643105,0.0,0.0008904719501335708,0.0,0.0,0.0,0.0,0.0017730496453900709,0.0,0.004434589800443459,0.0,0.0,0.0,0.0,0.0,0.007874015748031496,0.0033783783783783786,0.0,0.0,0.004807692307692308,0.005988023952095809,0.0,0.0016849199663016006,0.0,0.0,0.0,0.0
