cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.043478260869565216,0.014184397163120567,0.024390243902439025,0.17094017094017094,0.10714285714285714,0.04772234273318872,0.02564102564102564,0.043478260869565216,0.0875,0.04871794871794872,0.05,0.0,0.08196721311475409,0.0,0.08333333333333333,0.03333333333333333,0.030864197530864196,,0.07882882882882883,0.0,0.07317073170731707,0.14285714285714285,0.14583333333333334,0.05660377358490566,0.047058823529411764,0.04721030042918455,0.15853658536585366,0.0,0.07692307692307693,0.12280701754385964,0.03076923076923077,0.06181455633100698,0.07480314960629922,0.0,0.03488372093023256,
-12,0.060759493670886074,0.017828200972447326,0.06818181818181818,0.15508021390374332,0.06666666666666667,0.05891472868217054,0.035046728971962614,0.11904761904761904,0.047058823529411764,0.029106029106029108,0.058333333333333334,0.01680672268907563,0.06204379562043796,0.0,0.0,0.075,0.04712041884816754,0.0,0.08123791102514506,0.0,0.08771929824561403,0.13333333333333333,0.1558139534883721,0.09333333333333334,0.009174311926605505,0.06036745406824147,0.10576923076923077,0.045454545454545456,0.05,0.08783783783783784,0.0736196319018405,0.03391232423490488,0.03669724770642202,0.0,0.01020408163265306,
-11,0.060810810810810814,0.032210834553440704,0.09090909090909091,0.12041884816753927,0.0,0.05539772727272727,0.026748971193415638,0.20930232558139536,0.03669724770642202,0.035211267605633804,0.06015037593984962,0.01834862385321101,0.06153846153846154,0.0,0.125,0.0410958904109589,0.05555555555555555,,0.07191780821917808,0.0,0.08064516129032258,0.14285714285714285,0.18100890207715134,0.014492753623188406,0.029197080291970802,0.03812316715542522,0.04854368932038835,0.02702702702702703,0.04672897196261682,0.08620689655172414,0.04827586206896552,0.038338658146964855,0.018867924528301886,0.0,0.041666666666666664,
-10,0.03676470588235294,0.022222222222222223,0.08888888888888889,0.1301775147928994,0.037037037037037035,0.0679304897314376,0.030660377358490566,0.07142857142857142,0.03,0.04328018223234624,0.04032258064516129,0.017094017094017096,0.05371900826446281,0.0,0.0,0.014925373134328358,0.03937007874015748,0.0,0.07330827067669173,0.0,0.03636363636363636,0.037037037037037035,0.1846590909090909,0.04411764705882353,0.050359712230215826,0.07084468664850137,0.03636363636363636,0.0,0.043478260869565216,0.03731343283582089,0.050314465408805034,0.04006968641114982,0.04072398190045249,0.0,0.042105263157894736,
-9,0.041501976284584984,0.02335766423357664,0.09302325581395349,0.14427860696517414,0.03571428571428571,0.06876790830945559,0.051643192488262914,0.046511627906976744,0.10112359550561797,0.07462686567164178,0.040983606557377046,0.030303030303030304,0.08583690987124463,0.0,0.125,0.012195121951219513,0.06926406926406926,0.0,0.08148148148148149,0.0,0.16071428571428573,0.06666666666666667,0.14450867052023122,0.06153846153846154,0.08181818181818182,0.0732484076433121,0.1038961038961039,0.027777777777777776,0.05188679245283019,0.1,0.062111801242236024,0.04865771812080537,0.03571428571428571,0.0,0.028846153846153848,
-8,0.04783599088838269,0.022298456260720412,0.021739130434782608,0.16875,0.0392156862745098,0.06481481481481481,0.01837270341207349,0.06060606060606061,0.0784313725490196,0.0575,0.06086956521739131,0.02127659574468085,0.08333333333333333,0.0,0.0,0.056338028169014086,0.07777777777777778,,0.076,0.0,0.10638297872340426,0.06666666666666667,0.1387900355871886,0.03571428571428571,0.04504504504504504,0.0539568345323741,0.05952380952380952,0.043478260869565216,0.09210526315789473,0.05343511450381679,0.0547945205479452,0.041791044776119404,0.06097560975609756,0.0,0.05357142857142857,
-7,0.052763819095477386,0.018214936247723135,0.05660377358490566,0.12376237623762376,0.0851063829787234,0.045454545454545456,0.04182509505703422,0.05454545454545454,0.03488372093023256,0.03753609239653513,0.03571428571428571,0.01824212271973466,0.047619047619047616,0.0,0.043478260869565216,0.02620967741935484,0.03560371517027864,,0.05762081784386617,0.0,0.0390625,0.09523809523809523,0.16738197424892703,0.07142857142857142,0.038461538461538464,0.07308970099667775,0.078125,0.04,0.043478260869565216,0.06870229007633588,0.08088235294117647,0.042897998093422304,0.029792746113989636,,0.020618556701030927,0.03258145363408521
-6,0.021691973969631236,0.033093525179856115,0.1206896551724138,0.10952380952380952,0.10294117647058823,0.054600606673407485,0.03076923076923077,0.1,0.023255813953488372,0.04963680387409201,0.06015037593984962,0.029173419773095625,0.06501547987616099,0.0,0.0,0.0392156862745098,0.04838709677419355,,0.07868852459016394,0.0,0.04081632653061224,0.1724137931034483,0.18309859154929578,0.056179775280898875,0.08353808353808354,0.044270833333333336,0.06315789473684211,0.041666666666666664,0.05154639175257732,0.1016949152542373,0.06956521739130435,0.034482758620689655,0.056372549019607844,0.3333333333333333,0.02586206896551724,0.05244755244755245
-5,0.04259259259259259,0.022222222222222223,0.2391304347826087,0.06956521739130435,0.07352941176470588,0.06767955801104972,0.020654044750430294,0.06666666666666667,0.04081632653061224,0.045924225028702644,0.08376963350785341,0.03173241852487135,0.06353591160220995,0.0,0.0,0.05128205128205128,0.04607508532423208,0.0,0.06642728904847396,0.0,0.038461538461538464,0.05714285714285714,0.14950980392156862,0.046153846153846156,0.08093994778067885,0.059490084985835696,0.05263157894736842,0.06666666666666667,0.06880733944954129,0.046052631578947366,0.04672897196261682,0.033820840950639856,0.035443037974683546,0.3333333333333333,0.06493506493506493,0.07239819004524888
-4,0.028409090909090908,0.01272984441301273,0.0851063829787234,0.12,0.07692307692307693,0.05352480417754569,0.03322259136212625,0.08333333333333333,0.056818181818181816,0.030127462340672075,0.04597701149425287,0.024933214603739984,0.07291666666666667,0.0,0.05,0.04987531172069826,0.03546099290780142,0.0,0.08647450110864745,0.0,0.03571428571428571,0.13636363636363635,0.1649214659685864,0.011363636363636364,0.06299212598425197,0.06418918918918919,0.09090909090909091,0.05555555555555555,0.028846153846153848,0.09580838323353294,0.05,0.04212299915754002,0.030864197530864196,0.20833333333333334,0.018691588785046728,0.06217616580310881
