cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.016722408026755852,0.008865248226950355,0.0,0.05128205128205128,0.0,0.01735357917570499,0.002849002849002849,0.0,0.0,0.015384615384615385,0.0125,0.0,0.00546448087431694,0.0,0.0,0.016666666666666666,0.0,,0.018018018018018018,0.0,0.0,0.047619047619047616,0.0763888888888889,0.018867924528301886,0.011764705882352941,0.034334763948497854,0.036585365853658534,0.0,0.007692307692307693,0.017543859649122806,0.015384615384615385,0.007976071784646061,0.011811023622047244,0.0,0.011627906976744186,
-12,0.015189873417721518,0.004862236628849271,0.022727272727272728,0.053475935828877004,0.016666666666666666,0.020155038759689922,0.014018691588785047,0.023809523809523808,0.011764705882352941,0.02494802494802495,0.016666666666666666,0.008403361344537815,0.010948905109489052,0.0,0.0,0.025,0.015706806282722512,0.0,0.005802707930367505,0.0,0.017543859649122806,0.13333333333333333,0.05581395348837209,0.013333333333333334,0.0,0.007874015748031496,0.009615384615384616,0.045454545454545456,0.005555555555555556,0.033783783783783786,0.006134969325153374,0.011579818031430935,0.009174311926605505,0.0,0.02040816326530612,
-11,0.0045045045045045045,0.013177159590043924,0.0,0.031413612565445025,0.014925373134328358,0.019886363636363636,0.00411522633744856,0.0,0.027522935779816515,0.009389671361502348,0.007518796992481203,0.03669724770642202,0.023076923076923078,0.0,0.0,0.0,0.022222222222222223,,0.02910958904109589,0.0,0.03225806451612903,0.047619047619047616,0.032640949554896145,0.014492753623188406,0.014598540145985401,0.02346041055718475,0.0,0.02702702702702703,0.009345794392523364,0.05747126436781609,0.027586206896551724,0.02156549520766773,0.014150943396226415,0.0,0.016666666666666666,
-10,0.00980392156862745,0.005555555555555556,0.022222222222222223,0.029585798816568046,0.018518518518518517,0.020537124802527645,0.007075471698113208,0.017857142857142856,0.02,0.025056947608200455,0.024193548387096774,0.008547008547008548,0.008264462809917356,0.0,0.0,0.0,0.003937007874015748,0.0,0.022556390977443608,0.0,0.01818181818181818,0.0,0.028409090909090908,0.029411764705882353,0.007194244604316547,0.021798365122615803,0.01818181818181818,0.0,0.012422360248447204,0.029850746268656716,0.018867924528301886,0.016550522648083623,0.00904977375565611,0.0,0.0,
-9,0.01383399209486166,0.01167883211678832,0.023255813953488372,0.029850746268656716,0.03571428571428571,0.02865329512893983,0.004694835680751174,0.023255813953488372,0.0449438202247191,0.029850746268656716,0.01639344262295082,0.010101010101010102,0.012875536480686695,0.0,0.0,0.0,0.012987012987012988,0.0,0.018518518518518517,0.0,0.07142857142857142,0.0,0.03468208092485549,0.015384615384615385,0.01818181818181818,0.009554140127388535,0.05194805194805195,0.0,0.0047169811320754715,0.0375,0.031055900621118012,0.016778523489932886,0.00510204081632653,0.0,0.028846153846153848,
-8,0.009111617312072893,0.015437392795883362,0.0,0.03125,0.0,0.022222222222222223,0.02099737532808399,0.030303030303030304,0.00980392156862745,0.045,0.02608695652173913,0.031914893617021274,0.017543859649122806,0.0,0.0,0.04225352112676056,0.011111111111111112,,0.01,0.0,0.06382978723404255,0.0,0.042704626334519574,0.0,0.009009009009009009,0.017985611510791366,0.023809523809523808,0.0,0.013157894736842105,0.015267175572519083,0.02054794520547945,0.01691542288557214,0.012195121951219513,0.0,0.0,
-7,0.01256281407035176,0.00546448087431694,0.0,0.019801980198019802,0.02127659574468085,0.020833333333333332,0.011406844106463879,0.0,0.06976744186046512,0.008662175168431183,0.008928571428571428,0.003316749585406302,0.02197802197802198,0.0,0.043478260869565216,0.016129032258064516,0.0046439628482972135,,0.01486988847583643,0.0,0.0078125,0.0,0.030042918454935622,0.0,0.008875739644970414,0.026578073089700997,0.015625,0.0,0.024844720496894408,0.04580152671755725,0.003676470588235294,0.01334604385128694,0.009067357512953367,,0.010309278350515464,0.002506265664160401
-6,0.008676789587852495,0.0057553956834532375,0.0,0.02857142857142857,0.014705882352941176,0.012133468149646108,0.009230769230769232,0.0,0.029069767441860465,0.024213075060532687,0.022556390977443608,0.008103727714748784,0.009287925696594427,0.09090909090909091,0.041666666666666664,0.01680672268907563,0.01971326164874552,,0.01639344262295082,0.0,0.013605442176870748,0.034482758620689655,0.02464788732394366,0.0,0.019656019656019656,0.020833333333333332,0.031578947368421054,0.0,0.005154639175257732,0.03954802259887006,0.004347826086956522,0.013262599469496022,0.007352941176470588,0.0,0.017241379310344827,0.006993006993006993
-5,0.007407407407407408,0.005555555555555556,0.021739130434782608,0.0391304347826087,0.029411764705882353,0.012430939226519336,0.01549053356282272,0.0,0.02040816326530612,0.011481056257175661,0.03664921465968586,0.012864493996569469,0.0055248618784530384,0.0,0.0,0.014652014652014652,0.010238907849829351,0.0,0.026929982046678635,0.0,0.007692307692307693,0.02857142857142857,0.031862745098039214,0.03076923076923077,0.0026109660574412533,0.0056657223796034,0.03508771929824561,0.022222222222222223,0.013761467889908258,0.039473684210526314,0.009345794392523364,0.010968921389396709,0.005063291139240506,0.0,0.0,0.004524886877828055
-4,0.015151515151515152,0.008486562942008486,0.02127659574468085,0.008888888888888889,0.046153846153846156,0.024804177545691905,0.006644518272425249,0.0,0.022727272727272728,0.01738122827346466,0.028735632183908046,0.012466607301869992,0.017361111111111112,0.0,0.0,0.014962593516209476,0.0035460992907801418,0.0,0.03547671840354767,0.0,0.02857142857142857,0.045454545454545456,0.031413612565445025,0.0,0.02099737532808399,0.016891891891891893,0.01818181818181818,0.0,0.0,0.011976047904191617,0.004545454545454545,0.012636899747262006,0.01646090534979424,0.041666666666666664,0.018691588785046728,0.015544041450777202
