cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.07366071428571429,0.042091836734693876,0.5714285714285714,0.42410714285714285,0.75,0.16729323308270677,0.1884920634920635,0.11607142857142858,0.22321428571428573,0.32142857142857145,0.02040816326530612,0.024603174603174603,0.030612244897959183,0.03571428571428571,0.03571428571428571,0.039473684210526314,0.1380952380952381,0.0,0.19973544973544974,0.03571428571428571,0.03571428571428571,0.42857142857142855,2.392857142857143,0.11263736263736264,0.05672268907563025,0.39285714285714285,0.19642857142857142,0.14285714285714285,0.08333333333333333,0.3392857142857143,0.24285714285714285,0.3170995670995671,0.3873626373626374,0.35714285714285715,0.35714285714285715,0.0
-12,0.14732142857142858,0.05739795918367347,1.2142857142857142,0.59375,0.9285714285714286,0.28383458646616544,0.24404761904761904,0.32142857142857145,0.27232142857142855,0.5074404761904762,0.0391156462585034,0.01746031746031746,0.1326530612244898,0.03571428571428571,0.05357142857142857,0.03759398496240601,0.17142857142857143,0.07142857142857142,0.28835978835978837,0.0,0.07142857142857142,0.7619047619047619,5.017857142857143,0.08516483516483517,0.09033613445378151,0.5909090909090909,0.34226190476190477,0.3392857142857143,0.2222222222222222,0.625,0.45357142857142857,0.47186147186147187,0.4010989010989011,0.8392857142857143,0.7321428571428571,0.0
-11,0.13839285714285715,0.06760204081632654,1.3928571428571428,0.6205357142857143,0.8214285714285714,0.3101503759398496,0.2996031746031746,0.32142857142857145,0.3169642857142857,0.3333333333333333,0.0391156462585034,0.01904761904761905,0.10459183673469388,0.0,0.10714285714285714,0.03759398496240601,0.14523809523809525,0.10714285714285714,0.3029100529100529,0.14285714285714285,0.08333333333333333,0.7380952380952381,4.464285714285714,0.08241758241758242,0.10084033613445378,0.5714285714285714,0.3482142857142857,0.23214285714285715,0.1865079365079365,0.6428571428571429,0.3821428571428571,0.4393939393939394,0.43956043956043955,0.375,0.36607142857142855,0.0
-10,0.13616071428571427,0.08290816326530612,1.4285714285714286,0.6919642857142857,0.9285714285714286,0.32142857142857145,0.2857142857142857,0.17857142857142858,0.29464285714285715,0.2767857142857143,0.03231292517006803,0.01904761904761905,0.07397959183673469,0.05357142857142857,0.10714285714285714,0.043233082706766915,0.1761904761904762,0.07142857142857142,0.2791005291005291,0.25,0.05952380952380952,0.5595238095238095,5.357142857142857,0.07967032967032966,0.1092436974789916,0.577922077922078,0.3244047619047619,0.25,0.19047619047619047,0.7142857142857143,0.3892857142857143,0.4751082251082251,0.3708791208791209,0.375,0.49107142857142855,0.0
-9,0.18526785714285715,0.09183673469387756,1.0357142857142858,0.6696428571428571,1.0357142857142858,0.34774436090225563,0.3333333333333333,0.16964285714285715,0.2857142857142857,0.29464285714285715,0.04591836734693878,0.024603174603174603,0.13520408163265307,0.017857142857142856,0.125,0.03571428571428571,0.19285714285714287,0.10714285714285714,0.2896825396825397,0.14285714285714285,0.011904761904761904,0.5714285714285714,4.732142857142857,0.12912087912087913,0.10714285714285714,0.5162337662337663,0.3125,0.16071428571428573,0.2261904761904762,0.5,0.4785714285714286,0.46645021645021645,0.4175824175824176,0.375,0.49107142857142855,0.0
-8,0.11607142857142858,0.06887755102040816,0.6071428571428571,0.5803571428571429,0.6964285714285714,0.33270676691729323,0.25396825396825395,0.15178571428571427,0.18303571428571427,0.24702380952380953,0.04251700680272109,0.012698412698412698,0.08673469387755102,0.0,0.14285714285714285,0.03571428571428571,0.14761904761904762,0.07142857142857142,0.23544973544973544,0.10714285714285714,0.03571428571428571,0.5238095238095238,4.071428571428571,0.10164835164835165,0.08823529411764706,0.5064935064935064,0.25595238095238093,0.4107142857142857,0.18253968253968253,0.5892857142857143,0.41785714285714287,0.4015151515151515,0.2802197802197802,0.2857142857142857,0.4642857142857143,0.0
-7,0.09598214285714286,0.0625,0.42857142857142855,0.5758928571428571,0.625,0.2274436090225564,0.3273809523809524,0.10714285714285714,0.24107142857142858,0.45089285714285715,0.047619047619047616,0.20793650793650795,0.05102040816326531,0.10714285714285714,0.23214285714285715,0.16917293233082706,0.29523809523809524,0.07142857142857142,0.25,0.07142857142857142,0.05952380952380952,0.4880952380952381,2.5535714285714284,0.12637362637362637,0.13655462184873948,0.4967532467532468,0.23214285714285715,0.23214285714285715,0.19444444444444445,0.44642857142857145,0.31785714285714284,0.3560606060606061,0.521978021978022,0.19642857142857142,0.33035714285714285,2.392857142857143
-6,0.18080357142857142,0.09821428571428571,0.5357142857142857,0.7455357142857143,0.9821428571428571,0.38721804511278196,0.42658730158730157,0.25,0.3482142857142857,0.5892857142857143,0.0782312925170068,0.26587301587301587,0.09693877551020408,0.017857142857142856,0.23214285714285715,0.15037593984962405,0.49523809523809526,0.10714285714285714,0.31216931216931215,0.25,0.05952380952380952,0.7380952380952381,3.9107142857142856,0.11538461538461539,0.2415966386554622,0.6363636363636364,0.3630952380952381,0.23214285714285715,0.19444444444444445,0.5357142857142857,0.4642857142857143,0.40476190476190477,0.5384615384615384,0.32142857142857145,0.41964285714285715,4.142857142857143
-5,0.171875,0.11479591836734694,0.7857142857142857,0.6339285714285714,0.9464285714285714,0.4342105263157895,0.5,0.13392857142857142,0.42857142857142855,0.6830357142857143,0.06292517006802721,0.29444444444444445,0.17857142857142858,0.05357142857142857,0.32142857142857145,0.18233082706766918,0.49047619047619045,0.17857142857142858,0.3558201058201058,0.21428571428571427,0.047619047619047616,0.7261904761904762,4.714285714285714,0.13736263736263737,0.22899159663865545,0.7402597402597403,0.44642857142857145,0.5178571428571429,0.2896825396825397,0.5357142857142857,0.5285714285714286,0.4642857142857143,0.5082417582417582,0.30357142857142855,0.44642857142857145,2.0357142857142856
-4,0.18526785714285715,0.07525510204081633,0.75,0.4017857142857143,0.8035714285714286,0.4548872180451128,0.4087301587301587,0.35714285714285715,0.4107142857142857,0.6205357142857143,0.04931972789115646,0.26666666666666666,0.12244897959183673,0.125,0.25,0.16729323308270677,0.5523809523809524,0.10714285714285714,0.25,0.32142857142857145,0.07142857142857142,0.42857142857142855,4.339285714285714,0.08516483516483517,0.24369747899159663,0.6201298701298701,0.375,0.2857142857142857,0.3134920634920635,0.44642857142857145,0.5142857142857142,0.41233766233766234,0.771978021978022,0.5178571428571429,0.5892857142857143,2.4285714285714284
