cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.011134453781512604,0.004979769685652038,0.009903961584633855,0.03172573377176957,0.1902607196724844,0.02661064425770308,0.00740296118447379,0.010122230710466003,0.022195834855681402,0.02322314467955857,0.0046218487394957975,0.0036414565826330533,0.06325863678804854,0.03676470588235294,0.0063025210084033615,0.07563025210084033,0.004662840746054519,,0.030207082833133253,0.13655462184873948,0.031512605042016806,0.020761245674740483,0.016369747899159664,0.11383237505528526,0.04077540106951871,0.03278522947640595,0.04898459383753501,0.13524159663865545,0.00676937441643324,0.021873455264458726,0.02307422969187675,0.022779549776114825,0.05053688141923436,0.015861344537815125,0.15922158337019018,
-12,0.008180544945250827,0.003314659197012138,0.01198714780029659,0.018956801470588234,0.11727632229362334,0.02261904761904762,0.005687640910022545,0.011204481792717085,0.013156082104973137,0.009306409130816505,0.018176835951772014,0.05312124849939976,0.013089851325145443,0.0703781512605042,0.026610644257703084,0.05042016806722689,0.012087443673121423,0.0031512605042016808,0.021453742787437557,,0.032913165266106444,0.022584033613445378,0.017232871796405393,0.07738095238095237,0.03634942349032636,0.025186210847975555,0.016824990865911583,0.045112781954887216,0.0028136254501800718,0.015846338535414166,0.018196254879904717,0.019004824151882975,0.032628223703274416,0.011463280964559737,0.08468202095653075,
-11,0.007047980482515587,0.004122403678452513,0.006087050204697264,0.012393446587268002,0.14701315308732188,0.021772345301757066,0.00552340141354555,0.005368814192343604,0.014469167948869687,0.013630332515781433,0.003927658019729631,0.006485202776762879,0.03597048575527772,,0.01330532212885154,0.04170168067226891,0.00947220993660622,0.006302521008403362,0.022261536193424736,0.032563025210084036,0.041416566626650664,0.030834914611005695,0.012045947411222554,0.06396696609678354,0.027042731986411585,0.017557022809123652,0.02528315674095725,0.10568842921784098,0.0033971035222599678,0.006360877684407096,0.017837323608688758,0.022843380528390016,0.032787597797739786,0.0035451680672268907,0.09253945480631276,
-10,0.008816641410662625,0.004104718810601164,0.007563025210084033,0.012314794338788147,0.13289915966386556,0.021033714690695555,0.01205065359477124,0.012289915966386554,0.02343244990303814,0.011078201772512283,0.011831048208757185,0.014443277310924369,0.06490872210953347,0.0063025210084033615,0.05,0.018816222141030327,0.012400793650793652,0.0021008403361344537,0.029381894938070016,0.07052821128451381,0.06008403361344537,0.024629000536384768,0.012322100557394675,0.09303721488595439,0.019513574660633484,0.02006664734859461,0.016845627139744787,0.07934712346477053,0.003851540616246499,0.0070903361344537815,0.019782913165266106,0.018420900470279857,0.03389992360580596,0.011029411764705881,0.0919701213818861,
-9,0.005695049103978941,0.002485501242750621,0.022095044914517532,0.014632936507936508,0.1306411453470277,0.0125,0.007598248880390479,0.007850508624502433,0.01750700280112045,0.01635810574229692,0.009881730469965764,0.01158850637029005,0.05086457659987072,0.03991596638655462,0.09183673469387754,0.03466386554621849,0.010089220873534598,0.0028011204481792717,0.024943780329033022,0.022058823529411766,0.008403361344537815,0.011860994397759103,0.008579097038054765,0.10423743965671375,0.020390509144834406,0.03204811336299226,0.015282583621683967,0.05392156862745098,0.0031887755102040817,0.01050420168067227,0.015617875056999544,0.015217304105413047,0.024072787009540658,0.020108043217286913,0.08518701598286373,
-8,0.005208333333333333,0.017004915173616613,0.003301320528211284,0.013936267576337464,0.21189309056956118,0.01100685673042223,0.008928571428571428,0.003751500600240096,0.009103641456582634,0.027175870348139255,0.010504201680672268,0.03333333333333333,0.04628413865546219,,0.004464285714285714,0.01483718487394958,0.012149859943977591,0.0021008403361344537,0.0193659281894576,0.0021008403361344537,0.17331932773109243,0.013251454427925014,0.018275271273557967,0.09933035714285714,0.038235294117647055,0.019424934152765583,0.01868347338935574,0.21107916850950906,0.004509120721459316,0.012847446670976084,0.031288243452720896,0.017264267670258286,0.02690964026059862,0.003301320528211284,0.09449006875477464,
-7,0.02008012507328513,0.006688389641570914,0.011204481792717087,0.017435320584926885,0.19015606242497,0.030847338935574228,0.01312706900942195,0.0028011204481792717,0.024081854964207908,0.03492387053831434,0.023109243697478993,0.024321266968325792,0.02069327731092437,0.07177871148459385,0.013736263736263736,0.05841302038056602,0.022067363530778168,0.0021008403361344537,0.0334244809034725,0.14495798319327732,0.14915966386554622,0.01680672268907563,0.026467629305243223,0.09252831567409572,0.046638655462184875,0.03530539732671592,0.02911549235078647,0.08645765998707175,0.013505402160864346,0.02764705882352941,0.03599754508544991,0.03220862813210391,0.0485515258735073,0.04029793735676089,0.07097433568021803,0.10908209437621202
-6,0.007443718228031953,0.002482811306340718,0.009943977591036414,0.013103991596638656,0.10576776165011459,0.0225279432161214,0.009185069376587843,0.0024009603841536613,0.027391725921137686,0.020233851116204057,0.00803799780781878,0.008309293866800451,0.020068553737284386,0.10294117647058823,0.06157078215901745,0.030435924369747902,0.006495351763893964,0.0021008403361344537,0.01754557755305512,0.033013205282112844,0.1596638655462185,0.009995933857413934,0.023022907793254287,0.05282112845138055,0.029484837413226158,0.023043248713097805,0.017443862791018047,0.15740142210730448,0.008060367003944434,0.0057422969187675066,0.018406593406593407,0.0231998459761263,0.02827559595266678,0.010737628384687206,0.06405328088682281,0.01818885448916409
-5,0.006957328385899814,0.004084967320261438,0.019576012223071048,0.02128103149656809,0.21238306643412083,0.010440539852304557,0.006852741096438576,0.0026610644257703078,0.018535539215686275,0.01518646674356017,0.007154213036565978,0.01680672268907563,0.014165666266506604,0.14355742296918766,0.02275910364145658,0.03378671056051286,0.019682630333686873,0.0021008403361344537,0.02201178979054308,0.0035014005602240898,0.10451680672268908,0.027999724479955915,0.017672717942138687,0.0746218487394958,0.025557011795543906,0.01515406162464986,0.017983193277310926,0.020428861199652273,0.0025612984919995397,0.013585434173669468,0.016324097206450148,0.016427882628461222,0.024034070149799053,0.025210084033613443,0.07734522380380723,0.05558092802338326
-4,0.005124000819840132,0.005982053838484547,0.015406162464985995,0.02896825396825397,0.1549953314659197,0.01316931731370234,0.007189769111528106,0.006144957983193277,0.022081658750456704,0.018323156600769806,0.003332367429730513,0.01878176420268706,0.04105392156862745,0.10714285714285714,0.013955582232893157,0.03675290340855443,0.008729353810489712,0.0021008403361344537,0.030823440487306033,0.03244631185807657,0.07282913165266107,0.029820261437908495,0.016668395753363072,0.11934128490105719,0.021479281367719504,0.016514627241270837,0.018497642959622872,0.05632878151260504,0.0031645569620253164,0.01403361344537815,0.024078862314156433,0.030169172932330825,0.027019348664732795,0.016734279918864097,0.06735421441303795,0.040101334651507656
