cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.0,0.0,0.0,0.014492753623188406,0.1794871794871795,0.006190476190476191,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.06666666666666667,0.0,,0.0,0.0,0.0,0.0,0.0,0.09962406015037593,0.0,0.019230769230769232,0.03333333333333333,0.06696428571428571,0.0,0.0,0.0,0.009254431699687173,0.015873015873015872,0.0,0.13157894736842105,
-12,0.0,0.0,0.0,0.002232142857142857,0.0784313725490196,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.010989010989010988,0.0,0.0,0.05,0.0,0.0,0.0,,0.0,0.0,0.0035587188612099642,0.05,0.012458471760797342,0.011363636363636364,0.0,0.011278195488721804,0.0,0.0,0.007874015748031496,0.005869708994708994,0.006896551724137931,0.0,0.012345679012345678,
-11,0.0,0.0,0.0,0.0,0.16459627329192547,0.008225108225108226,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.016129032258064516,0.004032258064516129,0.0603448275862069,0.0,0.011904761904761904,0.004347826086956522,0.07692307692307693,0.0,0.0,0.009433962264150943,0.0024813895781637717,0.013793103448275862,0.0,0.08013937282229965,
-10,0.0,0.0,0.0,0.0021146616541353387,0.14,0.015060240963855422,0.006944444444444444,0.0,0.015384615384615385,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.013888888888888888,0.0,0.014218009478672985,0.0,0.0,0.005319148936170213,0.003367003367003367,0.10714285714285714,0.0,0.005747126436781609,0.0,0.07692307692307693,0.0,0.0,0.0,0.0045871559633027525,0.015151515151515152,0.0,0.037037037037037035,
-9,0.0,0.0,0.034482758620689655,0.001736111111111111,0.09259259259259259,0.0,0.0029940119760479044,0.0,0.0,0.005208333333333333,0.0,0.0,0.057692307692307696,0.0,0.14285714285714285,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.12158054711246201,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0011074197120708748,0.0022161609273781114,0.0,0.0,0.0196078431372549,
-8,0.0,0.02291105121293801,0.0,0.0,0.2222222222222222,0.006134969325153374,0.0,0.0,0.0,0.016581632653061226,0.0,0.0,0.03125,,0.0,0.0,0.005952380952380953,0.0,0.006060606060606061,0.0,0.0,0.0,0.009535367545076284,0.09821428571428571,0.0,0.007462686567164179,0.0,0.2199248120300752,0.0,0.0,0.01144244105409154,0.005477651183172655,0.0,0.0,0.0625,
-7,0.023255813953488372,0.0,0.0,0.0,0.2153061224489796,0.024702380952380955,0.0,0.0,0.0,0.0165016501650165,0.011479591836734694,0.0038461538461538464,0.0,0.0,0.0,0.031198686371100164,0.016260162601626018,0.0,0.021164021164021163,0.0,0.007142857142857143,0.0,0.0020120724346076456,0.07841614906832298,0.019230769230769232,0.013422818791946308,0.0,0.07692307692307693,0.0,0.0,0.0,0.01693443334780721,0.02744360902255639,0.0,0.02702702702702703,0.06758241758241758
-6,0.0,0.0,0.0,0.0,0.07272727272727272,0.006414701803051317,0.002325581395348837,0.0,0.005036630036630037,0.010101010101010102,0.0,0.0,0.02631578947368421,0.0,0.07692307692307693,0.0125,0.0,0.0,0.007263922518159807,0.0,0.07142857142857142,0.0,0.008153946510110893,0.023809523809523808,0.008695652173913044,0.007853403141361256,0.0,0.1978021978021978,0.0,0.0,0.0,0.01078167115902965,0.0052842565597667635,0.0,0.031914893617021274,0.008771929824561403
-5,0.0,0.0,0.0,0.012540894220283533,0.22641509433962265,0.004329004329004329,0.0,0.0,0.0,0.005213196389666978,0.0,0.003850596842510589,0.014285714285714285,0.13095238095238096,0.0,0.010309278350515464,0.0159500693481276,0.0,0.014925373134328358,0.0,0.0,0.01639344262295082,0.003816793893129771,0.04,0.000655307994757536,0.0,0.0,0.0,0.0,0.0,0.0,0.00468384074941452,0.005434782608695652,0.0,0.002186588921282799,0.043478260869565216
-4,0.0,0.0,0.0,0.0047619047619047615,0.15555555555555556,0.0,0.0,0.0,0.0,0.011990407673860911,0.0,0.010372112917023097,0.041666666666666664,0.14285714285714285,0.0,0.02247191011235955,0.004310344827586207,0.0,0.015873015873015872,0.0,0.0,0.027777777777777776,0.00411522633744856,0.12788018433179724,0.0,0.008021390374331552,0.0011614401858304297,0.0,0.0,0.0,0.0017482517482517483,0.015789473684210527,0.0,0.0,0.07575757575757576,0.029411764705882353
-3,0.0,0.0,0.0,0.005822981366459627,0.017543859649122806,0.0014749262536873156,0.0043859649122807015,0.0,0.013333333333333334,0.010031131096506399,0.0,0.0047831632653061226,0.0,0.0,0.0,0.0,0.0047169811320754715,0.0,0.006060606060606061,0.0,0.0,0.0,0.003745318352059925,0.030303030303030304,0.0,0.0,0.0,0.15714285714285714,0.0,0.0,0.0,0.011834319526627219,0.013023630504833513,0.0,0.04649595687331537,0.016
-2,0.0,0.0,0.0,0.0027472527472527475,0.10344827586206896,0.005025125628140704,0.0,0.0,0.011235955056179775,0.002506265664160401,0.0,0.004604672057502247,0.0,0.0,0.0,0.023529411764705882,0.005387931034482759,0.0,0.012121212121212121,0.0,0.17857142857142858,0.0,0.01104417670682731,0.14423076923076922,0.0,0.014150943396226415,0.0003337783711615487,0.0,0.0,0.0,0.0,0.008233532934131737,0.009009009009009009,0.0,0.021739130434782608,0.017722878625134265
