cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.030303030303030304,0.0,0.0625,0.031578947368421054,0.0,0.1348314606741573,0.08421052631578947,0.07692307692307693,0.0,0.027777777777777776,0.16666666666666666,0.12903225806451613,0.08333333333333333,0.0,0.0,0.0,0.08771929824561403,,0.026490066225165563,0.0,0.0,0.25,0.045112781954887216,0.0,0.0,0.0,0.06060606060606061,0.25,0.0,0.3157894736842105,0.08823529411764706,0.040955631399317405,0.028368794326241134,0.0,0.05,
-12,0.06060606060606061,0.13333333333333333,0.058823529411764705,0.03759398496240601,0.07692307692307693,0.1390728476821192,0.08943089430894309,0.2222222222222222,0.06557377049180328,0.02932551319648094,0.043478260869565216,0.045454545454545456,0.038461538461538464,0.0,0.0,0.05,0.07246376811594203,1.0,0.05045871559633028,,0.0,0.21875,0.06405693950177936,0.0,0.0,0.022222222222222223,0.017391304347826087,0.10526315789473684,0.08928571428571429,0.17142857142857143,0.047244094488188976,0.05057471264367816,0.03424657534246575,0.0425531914893617,0.08536585365853659,
-11,0.04838709677419355,0.09433962264150944,0.05128205128205128,0.02158273381294964,0.06521739130434782,0.11515151515151516,0.1456953642384106,0.1388888888888889,0.028169014084507043,0.026785714285714284,0.0,0.08333333333333333,0.07317073170731707,,0.0,0.05,0.07017543859649122,0.0,0.056768558951965066,0.25,0.0,0.12903225806451613,0.024096385542168676,0.0,0.08333333333333333,0.05847953216374269,0.02586206896551724,0.15384615384615385,0.0425531914893617,0.1111111111111111,0.037383177570093455,0.046798029556650245,0.01875,0.09523809523809523,0.07317073170731707,
-10,0.08196721311475409,0.03076923076923077,0.075,0.04516129032258064,0.038461538461538464,0.07602339181286549,0.09722222222222222,0.25,0.015151515151515152,0.03260869565217391,0.10526315789473684,0.08333333333333333,0.0,0.5,0.0,0.08695652173913043,0.04054054054054054,0.0,0.052132701421800945,0.0,0.2,0.2127659574468085,0.02348993288590604,0.0,0.07692307692307693,0.02247191011235955,0.03669724770642202,0.07142857142857142,0.0,0.1,0.045871559633027525,0.04100227790432802,0.02962962962962963,0.0,0.07272727272727272,
-9,0.10843373493975904,0.1111111111111111,0.0,0.04,0.05172413793103448,0.07567567567567568,0.13095238095238096,0.2631578947368421,0.046875,0.05555555555555555,0.1111111111111111,0.03225806451612903,0.05660377358490566,0.0,0.14285714285714285,0.0,0.024691358024691357,0.6666666666666666,0.0639269406392694,0.25,0.0,0.125,0.01509433962264151,0.02127659574468085,0.0392156862745098,0.025477707006369428,0.08571428571428572,0.0,0.017543859649122806,0.14285714285714285,0.07462686567164178,0.05104408352668213,0.039473684210526314,0.0,0.05454545454545454,
-8,0.019230769230769232,0.05555555555555555,0.058823529411764705,0.05384615384615385,0.07692307692307693,0.062146892655367235,0.1171875,0.11764705882352941,0.04878048780487805,0.06626506024096386,0.04,0.0625,0.058823529411764705,,0.125,0.0,0.0967741935483871,0.5,0.056179775280898875,0.0,0.0,0.13636363636363635,0.021929824561403508,0.05405405405405406,0.07142857142857142,0.025974025974025976,0.05813953488372093,0.08695652173913043,0.021739130434782608,0.2727272727272727,0.05982905982905983,0.04864864864864865,0.0392156862745098,0.0625,0.07692307692307693,
-7,0.046511627906976744,0.04081632653061224,0.0,0.05426356589147287,0.11428571428571428,0.1322314049586777,0.15757575757575756,0.3333333333333333,0.0,0.06930693069306931,0.07142857142857142,0.07633587786259542,0.0,0.0,0.07692307692307693,0.011111111111111112,0.032520325203252036,0.5,0.07936507936507936,0.5,0.0,0.07317073170731707,0.014084507042253521,0.043478260869565216,0.015384615384615385,0.040268456375838924,0.10256410256410256,0.23076923076923078,0.061224489795918366,0.16,0.06741573033707865,0.04559270516717325,0.06315789473684211,0.0,0.0,0.05970149253731343
-6,0.07407407407407407,0.025974025974025976,0.0,0.05389221556886228,0.12727272727272726,0.08737864077669903,0.13953488372093023,0.35714285714285715,0.02564102564102564,0.07323232323232323,0.043478260869565216,0.08358208955223881,0.05263157894736842,0.0,0.07692307692307693,0.075,0.014492753623188406,0.6666666666666666,0.0423728813559322,0.0,0.0,0.1774193548387097,0.0228310502283105,0.0,0.034782608695652174,0.015706806282722512,0.03278688524590164,0.23076923076923078,0.061224489795918366,0.23333333333333334,0.07692307692307693,0.05093833780160858,0.05102040816326531,0.0,0.0851063829787234,0.02586206896551724
-5,0.11688311688311688,0.08888888888888889,0.09090909090909091,0.04225352112676056,0.07547169811320754,0.09090909090909091,0.12698412698412698,0.2,0.03125,0.0784313725490196,0.05405405405405406,0.11590296495956873,0.014285714285714285,0.0,0.05555555555555555,0.030927835051546393,0.043689320388349516,0.4,0.07835820895522388,0.0,0.0,0.13114754098360656,0.03816793893129771,0.02,0.07339449541284404,0.02666666666666667,0.05333333333333334,0.10344827586206896,0.0410958904109589,0.16666666666666666,0.05405405405405406,0.03278688524590164,0.05434782608695652,0.058823529411764705,0.02040816326530612,0.08771929824561403
-4,0.07317073170731707,0.05084745762711865,0.09523809523809523,0.03333333333333333,0.06666666666666667,0.08264462809917356,0.08737864077669903,0.15,0.05434782608695652,0.06474820143884892,0.0,0.11011904761904762,0.020833333333333332,0.14285714285714285,0.0,0.033707865168539325,0.04310344827586207,0.3333333333333333,0.0582010582010582,0.2222222222222222,0.0,0.1388888888888889,0.0411522633744856,0.0,0.02586206896551724,0.0213903743315508,0.015873015873015872,0.0,0.012658227848101266,0.04,0.041666666666666664,0.04736842105263158,0.02491103202846975,0.0,0.06060606060606061,0.029411764705882353
