cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.0,0.0,0.0,0.021052631578947368,0.0,0.02247191011235955,0.0,0.0,0.04,0.004629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,,0.013245033112582781,0.0,0.0,0.027777777777777776,0.03759398496240601,0.0,0.0,0.017391304347826087,0.0,0.0,0.0,0.0,0.029411764705882353,0.013651877133105802,0.0070921985815602835,0.0,0.025,
-12,0.0,0.022222222222222223,0.0,0.015037593984962405,0.0,0.019867549668874173,0.0,0.0,0.04918032786885246,0.017595307917888565,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.013761467889908258,,0.0,0.0,0.017793594306049824,0.0,0.0,0.016666666666666666,0.017391304347826087,0.0,0.0,0.05714285714285714,0.015748031496062992,0.006896551724137931,0.0273972602739726,0.02127659574468085,0.0,
-11,0.0,0.0,0.02564102564102564,0.007194244604316547,0.021739130434782608,0.012121212121212121,0.013245033112582781,0.0,0.0,0.004464285714285714,0.043478260869565216,0.041666666666666664,0.04878048780487805,,0.0,0.0,0.0,0.0,0.008733624454148471,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.011695906432748537,0.017241379310344827,0.0,0.0,0.027777777777777776,0.009345794392523364,0.0049261083743842365,0.00625,0.0,0.024390243902439025,
-10,0.0,0.0,0.025,0.0064516129032258064,0.0,0.03508771929824561,0.0,0.0,0.015151515151515152,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.009478672985781991,0.0,0.0,0.02127659574468085,0.013422818791946308,0.0,0.0,0.0056179775280898875,0.009174311926605505,0.0,0.020833333333333332,0.05,0.009174311926605505,0.011389521640091117,0.007407407407407408,0.0,0.0,
-9,0.012048192771084338,0.013888888888888888,0.0,0.013333333333333334,0.0,0.016216216216216217,0.0,0.0,0.03125,0.005050505050505051,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.020833333333333332,0.018867924528301886,0.0,0.0,0.012738853503184714,0.01904761904761905,0.0,0.0,0.03571428571428571,0.014925373134328358,0.009280742459396751,0.013157894736842105,0.0,0.01818181818181818,
-8,0.019230769230769232,0.0,0.058823529411764705,0.0,0.0,0.005649717514124294,0.0078125,0.0,0.0,0.018072289156626505,0.04,0.0,0.029411764705882353,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.017543859649122806,0.0,0.023809523809523808,0.012987012987012988,0.023255813953488372,0.043478260869565216,0.0,0.0,0.017094017094017096,0.008108108108108109,0.00980392156862745,0.0,0.0,
-7,0.023255813953488372,0.02040816326530612,0.0,0.007751937984496124,0.0,0.01652892561983471,0.0,0.0,0.037037037037037035,0.026402640264026403,0.0,0.011450381679389313,0.0,0.0,0.07692307692307693,0.011111111111111112,0.008130081300813009,0.0,0.010582010582010581,0.0,0.0,0.04878048780487805,0.028169014084507043,0.043478260869565216,0.0,0.0,0.01282051282051282,0.0,0.0,0.08,0.0,0.0060790273556231,0.005263157894736842,0.0,0.0,0.014925373134328358
-6,0.0,0.012987012987012988,0.0,0.005988023952095809,0.0,0.0048543689320388345,0.0,0.0,0.01282051282051282,0.015151515151515152,0.021739130434782608,0.005970149253731343,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.00847457627118644,0.0,0.0,0.0,0.0136986301369863,0.023809523809523808,0.0,0.015706806282722512,0.02459016393442623,0.0,0.0,0.03333333333333333,0.007692307692307693,0.013404825737265416,0.01020408163265306,0.0,0.0,0.0
-5,0.012987012987012988,0.0,0.0,0.0,0.0,0.017316017316017316,0.015873015873015872,0.13333333333333333,0.052083333333333336,0.010893246187363835,0.0,0.01078167115902965,0.0,0.0,0.0,0.020618556701030927,0.009708737864077669,0.0,0.0037313432835820895,0.0,0.0,0.01639344262295082,0.019083969465648856,0.02,0.01834862385321101,0.0044444444444444444,0.02,0.0,0.0136986301369863,0.1,0.013513513513513514,0.00702576112412178,0.016304347826086956,0.0,0.0,0.017543859649122806
-4,0.012195121951219513,0.0,0.0,0.0,0.0,0.004132231404958678,0.0,0.0,0.03260869565217391,0.002398081534772182,0.034482758620689655,0.005952380952380952,0.0,0.0,0.0,0.011235955056179775,0.01293103448275862,0.0,0.015873015873015872,0.0,0.16666666666666666,0.0,0.024691358024691357,0.0,0.017241379310344827,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.010526315789473684,0.010676156583629894,0.0,0.015151515151515152,0.0
-3,0.013333333333333334,0.018518518518518517,0.0,0.0,0.0,0.0029498525073746312,0.008771929824561403,0.0,0.02666666666666667,0.01694915254237288,0.034482758620689655,0.002967359050445104,0.018518518518518517,0.0,0.1111111111111111,0.011904761904761904,0.0,0.0,0.024242424242424242,0.0,0.0,0.0196078431372549,0.018726591760299626,0.0,0.0,0.005128205128205128,0.00847457627118644,0.0,0.0,0.037037037037037035,0.0,0.005917159763313609,0.011278195488721804,0.0,0.0,0.008
-2,0.0,0.0,0.03571428571428571,0.02197802197802198,0.05172413793103448,0.010050251256281407,0.0,0.0,0.02247191011235955,0.022556390977443608,0.03333333333333333,0.009433962264150943,0.0,0.0,0.0,0.023529411764705882,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.004016064257028112,0.0,0.0,0.009433962264150943,0.018691588785046728,0.0,0.0,0.046511627906976744,0.013157894736842105,0.011976047904191617,0.0045045045045045045,0.0,0.021739130434782608,0.0
-1,0.0,0.031746031746031744,0.0,0.008928571428571428,0.0,0.0106951871657754,0.00425531914893617,0.0,0.0136986301369863,0.01092896174863388,0.0,0.0029940119760479044,0.0,0.0,0.0,0.014492753623188406,0.017391304347826087,0.0,0.01948051948051948,0.0,0.0,0.0,0.028688524590163935,0.0,0.02040816326530612,0.009009009009009009,0.023809523809523808,0.0,0.028169014084507043,0.0,0.009174311926605505,0.0113314447592068,0.009523809523809525,0.0,0.02857142857142857,0.0
0,0.013157894736842105,0.0,0.03333333333333333,0.024390243902439025,0.017543859649122806,0.022988505747126436,0.0,0.0,0.03529411764705882,0.017964071856287425,0.0,0.009146341463414634,0.0425531914893617,0.0,0.0,0.011111111111111112,0.010810810810810811,0.0,0.02564102564102564,0.0,0.0,0.07407407407407407,0.013986013986013986,0.0,0.014184397163120567,0.005025125628140704,0.01652892561983471,0.0,0.0,0.08571428571428572,0.008771929824561403,0.006928406466512702,0.007326007326007326,0.03636363636363636,0.022222222222222223,0.010526315789473684
1,0.014705882352941176,0.0,0.05,0.018518518518518517,0.041666666666666664,0.004366812227074236,0.0,0.0,0.009900990099009901,0.02142857142857143,0.023255813953488372,0.0026666666666666666,0.0,0.0,0.0,0.011494252873563218,0.008264462809917356,0.0,0.010256410256410256,0.0,0.0,0.0,0.007168458781362007,0.0,0.01694915254237288,0.0,0.02702702702702703,0.0,0.014492753623188406,0.034482758620689655,0.007246376811594203,0.004366812227074236,0.00784313725490196,0.0,0.0,0.013333333333333334
