cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.9387755102040817,0.98,,0.8092105263157895,0.9946236559139785,0.9968152866242038,0.9953596287703016,0.9878048780487805,0.9823008849557522,0.9830866807610994,1.0,,0.996996996996997,,,1.0,0.9949748743718593,,0.9950433705080545,1.0,1.0,0.8450450450450451,1.0,0.9926470588235294,1.0,0.9766899766899767,1.0,0.9932885906040269,1.0,1.0,0.9966703662597114,0.9925925925925926,1.0,1.0,
-12,0.9672619047619048,0.9777327935222672,0.9848484848484849,0.7930232558139535,0.9957627118644068,0.9975845410628019,0.9964285714285714,0.991304347826087,0.9865771812080537,0.9617834394904459,0.9938271604938271,0.9239130434782609,0.9977324263038548,,,,0.9876543209876543,,0.9964349376114082,1.0,,0.8661710037174721,0.9662162162162162,0.9844559585492227,1.0,0.9815126050420168,1.0,0.9870689655172413,1.0,0.9914040114613181,0.9944664031620554,1.0,0.9848484848484849,0.9866666666666667,
-11,0.9763313609467456,0.989648033126294,0.9761904761904762,0.8275154004106776,0.995575221238938,0.9950920245398773,1.0,0.9745222929936306,0.9912280701754386,0.9845857418111753,0.993103448275862,,0.9947780678851175,,,,0.9714285714285714,,0.9925163704396632,1.0,1.0,0.8887640449438202,,0.9934640522875817,1.0,0.9842829076620825,1.0,0.9949494949494949,0.9911504424778761,0.9907120743034056,0.9933719966859983,0.9962825278810409,0.9824561403508771,1.0,
-10,0.9663608562691132,0.9678800856531049,1.0,0.8383620689655172,0.9955357142857143,0.9905548996458088,0.9981818181818182,0.9811320754716981,0.9924242424242424,0.9942528735632183,0.9923076923076923,0.9,0.9975186104218362,,1.0,,0.9918032786885246,,0.9924953095684803,1.0,1.0,0.8850698174006445,0.9790209790209791,0.9893048128342246,1.0,0.9835164835164835,1.0,0.9821428571428571,1.0,0.9930555555555556,0.9958609271523179,0.995850622406639,1.0,0.9761904761904762,
-9,0.959079283887468,0.9775561097256857,1.0,0.8054474708171206,0.9907834101382489,0.9953757225433526,0.9966329966329966,0.9924242424242424,1.0,0.9896049896049897,0.9929577464788732,,0.9975062344139651,,,,0.9929577464788732,,0.9928571428571429,1.0,0.9848484848484849,0.8859060402684564,0.9930555555555556,0.99375,0.9906976744186047,0.981042654028436,1.0,0.9957081545064378,1.0,0.9876160990712074,0.988477366255144,1.0,0.9895833333333334,1.0,
-8,0.9565217391304348,0.9653465346534653,0.9883720930232558,0.8029197080291971,1.0,0.9986376021798365,1.0,0.9880952380952381,1.0,0.9959432048681541,0.9927007299270073,0.9605263157894737,0.997093023255814,,,0.987012987012987,0.9919678714859438,,0.996938775510204,1.0,,0.8762135922330098,0.9824561403508771,0.9939393939393939,0.9949748743718593,0.993993993993994,1.0,0.9946808510638298,1.0,1.0,0.9901574803149606,1.0,0.9814814814814815,1.0,
-7,0.9477124183006536,0.9899749373433584,1.0,0.8330019880715706,0.9946524064171123,0.9949174078780177,0.9683195592286501,1.0,0.9918032786885246,0.9956663055254604,0.9933333333333333,0.9856201318154584,0.9982300884955753,1.0,1.0,0.99812734082397,0.9945280437756497,,0.9910313901345291,1.0,1.0,0.886896551724138,0.9921875,0.9281345565749235,1.0,0.9828767123287672,1.0,0.8901098901098901,1.0,0.9925373134328358,0.990342405618964,0.998639455782313,0.9878048780487805,1.0,1.0
-6,0.953168044077135,0.9759825327510917,0.9876543209876543,0.8263069139966274,0.9957805907172996,0.9976228209191759,0.973655323819978,0.9906542056074766,0.9929328621908127,0.992108229988726,1.0,0.9779582366589327,0.9913606911447084,,0.9111111111111111,0.9674620390455532,0.9903225806451613,,0.9933829611248967,1.0,,0.8888888888888888,,0.9422336328626444,1.0,0.9825949367088608,1.0,0.895397489539749,1.0,0.9954545454545455,0.9926470588235294,0.9936170212765958,0.9736842105263158,0.9848484848484849,1.0
-5,0.9370277078085643,0.9613733905579399,0.9893617021276596,0.9311224489795918,1.0,0.9969788519637462,0.9804147465437788,1.0,0.987012987012987,0.9917840375586855,0.9915966386554622,0.9771359807460891,0.9959349593495935,,,0.9952038369304557,0.98989898989899,,0.9913194444444444,1.0,1.0,0.8628081457663451,0.9694656488549618,0.9546099290780142,1.0,0.9845916795069337,1.0,0.9401709401709402,1.0,0.9975728155339806,0.9935661764705882,1.0,0.9534883720930233,0.9761904761904762,1.0
-4,0.95,0.9734848484848485,1.0,0.9852941176470589,0.985781990521327,0.9949186991869918,0.9770992366412213,1.0,0.9956521739130435,0.9918793503480279,0.9636363636363636,0.9743016759776536,0.9976635514018691,,0.875,0.9847036328871893,0.9927404718693285,,0.9969199178644764,1.0,1.0,0.8535178777393311,,0.9417613636363636,1.0,0.9812080536912752,1.0,0.9325396825396826,0.9824561403508771,0.9901234567901235,0.9887054735013032,0.9982876712328768,0.9769585253456221,1.0,1.0
-3,0.9566473988439307,0.98125,0.9886363636363636,0.9855072463768116,1.0,0.9987389659520807,0.9806094182825484,0.9918032786885246,0.995260663507109,0.9951749095295537,0.968421052631579,0.9863013698630136,0.9976076555023924,,,0.9933774834437086,0.9858712715855573,,0.9875565610859729,0.9832635983263598,1.0,0.8717366628830874,,0.9530102790014684,0.9948979591836735,0.9822485207100592,0.9705882352941176,0.9267241379310345,0.970873786407767,0.99,0.9850327408793265,0.9980430528375733,0.9700598802395209,1.0,1.0
-2,0.941717791411043,0.976303317535545,1.0,0.9939393939393939,0.9950738916256158,1.0,0.9797843665768194,0.9901960784313726,0.9954128440366973,0.9897828863346104,0.9814814814814815,0.9805950840879689,0.9922279792746114,,0.9230769230769231,0.993103448275862,0.9896907216494846,,0.9963855421686747,0.99581589958159,0.9868421052631579,0.8882282996432818,0.984,0.9507462686567164,1.0,0.9844413012729845,1.0,0.909952606635071,0.9719626168224299,0.9943661971830986,0.9934823091247672,0.9959432048681541,0.9770114942528736,0.9545454545454546,1.0
-1,0.9719101123595506,0.9774266365688488,0.9772727272727273,0.40969162995594716,0.9948979591836735,0.9944994499449945,0.9644322845417237,0.9818181818181818,0.9960474308300395,0.994729907773386,0.989247311827957,0.9777468706536857,0.9951573849878934,,,0.9954441913439636,0.9978540772532188,,0.9940334128878282,0.985,0.9863013698630136,0.8933333333333333,0.9863013698630136,0.9646302250803859,1.0,0.9927953890489913,1.0,0.9094076655052264,0.9603960396039604,0.9815789473684211,0.9943019943019943,0.9936305732484076,0.9669811320754716,1.0,1.0
0,0.9659090909090909,0.9763593380614657,1.0,0.5789473684210527,0.9959016393442623,0.9978969505783386,0.9854497354497355,1.0,0.9829059829059829,0.997289972899729,0.97,0.9722589167767504,0.983451536643026,1.0,,0.9927710843373494,0.9919028340080972,,0.9929266136162688,1.0,1.0,0.8943661971830986,,0.9610194902548725,1.0,0.9762282091917591,1.0,0.9285714285714286,0.9433962264150944,0.9824561403508771,0.992773261065944,0.9979166666666667,0.9545454545454546,0.984375,1.0
1,0.9544072948328267,0.9804772234273319,0.9873417721518988,0.6152380952380953,0.9907407407407407,0.9969135802469136,0.9715025906735751,0.9708029197080292,0.9929078014184397,0.9961880559085133,0.9734513274336283,0.982373678025852,0.9903846153846154,,0.9714285714285714,0.9938144329896907,0.9856115107913669,1.0,0.9894651539708266,0.9959016393442623,1.0,0.882494004796163,0.9820627802690582,0.937592867756315,1.0,0.9869621903520208,1.0,0.9045643153526971,0.9903846153846154,0.9946808510638298,0.989282769991756,1.0,0.9390243902439024,1.0,1.0
2,0.9834254143646409,0.9865771812080537,0.989010989010989,0.62708719851577,0.9961685823754789,0.997020854021847,0.9760403530895334,0.9716312056737588,0.9964028776978417,0.98989898989899,0.9818181818181818,0.9858323494687131,0.994,,0.9206349206349206,0.9915611814345991,0.9949238578680203,,0.9949452401010952,1.0,0.9906542056074766,0.8877928483353884,1.0,0.9188767550702028,1.0,0.9732704402515723,1.0,0.9159663865546218,0.992,0.995049504950495,0.990582191780822,0.927797833935018,0.968944099378882,1.0,1.0
3,0.9973474801061007,0.9788732394366197,0.9861111111111112,0.58,1.0,0.9990196078431373,0.9781420765027322,0.9818181818181818,0.9928825622775801,0.9934123847167325,0.9464285714285714,0.9858823529411764,0.9956803455723542,,1.0,0.9858585858585859,0.985663082437276,,0.994807121661721,0.987603305785124,0.9944444444444445,0.882803943044907,0.9854368932038835,0.9440654843110505,0.9948979591836735,0.9764089121887287,1.0,0.927710843373494,0.963302752293578,0.9876237623762376,0.9893333333333333,0.9710144927536232,0.9759615384615384,0.9875,1.0
4,1.0,0.9670050761421319,1.0,0.5786290322580645,0.996,0.9989858012170385,0.9904632152588556,0.9621212121212122,0.995850622406639,0.9925925925925926,0.9786476868327402,0.9872685185185185,1.0,,,0.9957805907172996,0.9861351819757366,,0.9952283571915473,0.9959183673469387,0.9794520547945206,0.8939213349225268,0.9864253393665159,0.9397590361445783,0.9942196531791907,0.9671428571428572,1.0,0.9477911646586346,0.9555555555555556,0.9870410367170627,0.9875724937862469,0.9587426326129665,0.9833333333333333,0.9746835443037974,1.0
5,0.9947780678851175,0.9853801169590644,1.0,0.5891783567134269,1.0,0.9979879275653923,0.9824797843665768,0.9701492537313433,0.996551724137931,0.9936868686868687,0.9549180327868853,0.9863013698630136,1.0,1.0,,0.9910112359550561,0.9744094488188977,,0.9942979330007128,0.9956331877729258,0.9817073170731707,0.8907469342251951,0.9908256880733946,0.9293628808864266,1.0,0.9796806966618288,1.0,0.9400921658986175,0.967479674796748,0.9974226804123711,0.9861830742659758,0.9685990338164251,0.9207317073170732,0.9821428571428571,1.0
