cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.08291502084704849,0.07331129965798473,0.07109450923226433,0.09967561664953752,0.08030523255813954,0.10310661912819273,0.09336833826794966,0.032493781094527364,0.05738811728395062,0.05918162719633308,0.07264503023431595,0.17842799770510614,0.14412178609462956,0.1875,0.06912878787878787,0.07843501984126984,0.0897108843537415,0.07217261904761904,0.05740523182957393,0.030753968253968256,0.08298088972431077,0.04460825027685493,0.04550775789767962,0.10476424821897262,0.06292857142857143,0.055114638447971785,0.03163135031171243,0.11376231527093596,0.058703599550056246,0.043719211822660094,0.12053571428571429,0.06362713040031708,0.13656895280235987,0.025581065759637187,0.06134259259259259,
-12,0.0700618616026471,0.051398870636550305,0.054281135531135526,0.06544415014809751,0.04690065681444992,0.07634257634257635,0.0776973401973402,0.024637681159420288,0.051303854875283446,0.03543157332017436,0.03709077380952381,0.11842469545957919,0.07709800469483569,0.015873015873015872,0.027715773809523808,0.045770202020202023,0.07000248015873016,,0.0445439181962093,0.03968253968253968,0.058227726574500774,0.042298597521200264,0.019893542244999642,0.06513501742160278,0.040736607142857144,0.0574023630167698,0.022592474489795917,0.10647577996715928,0.03846856725146199,0.028385816692268306,0.10978104368591095,0.04558523732594815,0.09326058201058202,0.019065425315425315,0.08312948467058057,
-11,0.07407051282051283,0.062003968253968256,0.03930005737234653,0.05520322399346004,0.0616428022822032,0.08893322053533322,0.06618329956095913,0.027569444444444445,0.02585891812865497,0.03622249001850229,0.03849275724275724,0.11739816408491106,0.0794571807502842,0.0875,0.0687624007936508,0.06110395189003436,0.0650656814449918,0.002232142857142857,0.04542502484864914,0.022817460317460316,0.03918315637065637,0.029596560846560847,0.02985873287671233,0.08065801457194899,0.03750607385811467,0.06625635691169672,0.02406005505650536,0.14249419279907086,0.03211805555555555,0.02996482683982684,0.09712941628264209,0.05420115471081136,0.12279835089773615,0.011236637512147716,0.05617559523809524,
-10,0.05914141972578506,0.0640707671957672,0.06040409121395037,0.05723143424036281,0.05300065231572081,0.07873730851442821,0.06439753320683111,0.03211928335690712,0.03720238095238095,0.04672100948696693,0.054145575553055866,0.10646802325581395,0.1021723906954086,0.15811011904761904,0.07306547619047618,0.04698350694444445,0.0760596264367816,0.01488095238095238,0.04148190797011778,0.014880952380952382,0.03552532123960696,0.058673469387755105,0.023723735613979516,0.09532122905027933,0.0365419341894061,0.050889144639144644,0.025303431919642856,0.14522879464285715,0.04897314375987362,0.038369182900432904,0.12251984126984126,0.049478193631419434,0.10834041950113378,0.0091991341991342,0.08610491071428572,
-9,0.06900126854020297,0.06793135025893647,0.05597527472527473,0.0520221787345075,0.051369348244348245,0.08798128823317741,0.06794431377403647,0.02976190476190476,0.019972451790633606,0.040729359925788494,0.04997334754797441,0.09641417050691244,0.11644345238095238,0.03794642857142857,0.07215007215007214,0.028435169248422258,0.07421804273040014,0.10044642857142858,0.04849249482401657,0.052083333333333336,0.043194710770214126,0.02877784178187404,0.029464633400089008,0.08609426474992513,0.045029761904761906,0.04990100119545727,0.03503517990737442,0.12345238095238095,0.04928462210572302,0.034431990881458964,0.08877955944282476,0.05631181523638999,0.10995277999467945,0.010432497467071934,0.055310760667903525,
-8,0.07299076269511955,0.06717121020005636,0.09165035877364645,0.057346596356663476,0.05359864982578397,0.09249289993775288,0.07994684499314128,0.032781228433402344,0.042565947242206234,0.06358982157339822,0.03836872586872587,0.17124368686868688,0.14715608465608465,0.060019841269841265,0.11243386243386243,0.08054915514592934,0.10212404537286614,,0.05733363858363858,0.07638888888888888,0.0586033382425135,0.05026455026455027,0.030581829383199248,0.10993025941719971,0.04879807692307692,0.04964902627717754,0.031999518557422967,0.17852891156462586,0.050972093382807664,0.058734939759036146,0.11958409973431432,0.06435356163617033,0.13885467980295568,0.009672619047619048,0.07934027777777779,
-7,0.09430925147836913,0.07813811922753988,0.08218344155844155,0.05640085736129314,0.07496976063152533,0.0920934054283291,0.10025201941241613,0.03678743131868132,0.05612070647931304,0.10971803494124924,0.06286706349206349,0.1625210672151284,0.1425305520438264,0.09410014005602241,0.06005184331797235,0.06727772309711287,0.0971624266144814,0.032242063492063495,0.06702038984354963,0.05431547619047619,0.16160429482797906,0.06445424555364315,0.04710385878489327,0.0985792902066487,0.05217662370758701,0.07732097157481034,0.046805002488800394,0.14573834853090173,0.09186126373626374,0.05267857142857143,0.13136058662866643,0.07975371825748934,0.13315913635795526,0.014572444831591171,0.07492334054834054,0.17704250767522373
-6,0.06592302899121082,0.058058408548604626,0.04394473838918283,0.04195659377070908,0.05914707655213984,0.10783620104143084,0.06757549679236426,0.04912105028927458,0.06499768635369342,0.06298988028131207,0.08310046346782987,0.09273774916943522,0.10771174020364085,0.0665391156462585,0.08449074074074074,0.044133327934348335,0.05851814516129032,0.06994047619047619,0.04137916567953882,0.03645833333333333,0.037072036843934654,0.02608816964285714,0.03630551547218214,0.10308441558441558,0.032077144079711475,0.04952706391198455,0.030339944966750746,0.1294642857142857,0.04800508069336521,0.03028069025775448,0.10346858995314373,0.0623098544973545,0.09065981465049788,0.016956453634085215,0.06727994227994229,0.0836360585901027
-5,0.07752713805925393,0.055684077699602326,0.03769313576494428,0.06466013824884792,0.05790423599158539,0.08047115015360982,0.06098630679335955,0.04256465517241379,0.04186475726654298,0.058759699659465196,0.04628726490596238,0.08913077943041624,0.10160484417344173,0.08552170868347339,0.06704472329472329,0.045131751741463964,0.06810819565921607,0.028769841269841268,0.04128234989648033,0.0625,0.0517546375980111,0.02855576441102757,0.03487533813096514,0.07400173611111112,0.03542510976021614,0.04639713636732376,0.026858133363235403,0.1208400974025974,0.045882936507936505,0.040375112309074576,0.09729825628548257,0.06471229246068252,0.08635752688172044,0.018664636397194536,0.06655683106575963,0.10590190139660104
-4,0.0593791335978836,0.05965652389988253,0.051098256203890004,0.06705105511592392,0.05929107424960505,0.0809212277390631,0.06392577652888566,0.03642971611721612,0.03143115942028986,0.05547039001215335,0.03952245670995671,0.09721554165998611,0.10322443813974189,0.05442176870748299,0.03413318452380952,0.05033062460165711,0.05885133091349063,0.17559523809523808,0.051241505329031,0.08978174603174603,0.03980044886807182,0.027377915451895045,0.03521997034107761,0.07544406651549508,0.034904711174242424,0.0525172501916688,0.022455770502645505,0.10122213779128673,0.05399659863945579,0.033769319131161234,0.09642485119047618,0.06914148152745025,0.11351898380792852,0.0330946894886987,0.06959567363530778,0.09122685959629755
